,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,HES,HES_6m,HES_12m,HES_6m_ret,HES_12m_ret
0,0,0,0,2019-02-05,50.351356506347656,,,,
1,1,1,1,2019-02-06,50.84181594848633,,,,
2,2,2,2,2019-02-07,48.49129104614258,,,,
3,3,3,3,2019-02-08,48.55605697631836,,,,
4,4,4,4,2019-02-11,49.583255767822266,,,,
5,5,5,5,2019-02-12,51.02688217163086,,,,
6,6,6,6,2019-02-13,51.82273864746094,50.351356506347656,,0.029222293960000645,
7,7,7,7,2019-02-14,52.81292343139648,50.84181594848633,,0.03876941541402257,
8,8,8,8,2019-02-15,53.28488159179688,48.49129104614258,,0.09885466941049059,
9,9,9,9,2019-02-19,53.29413986206055,48.55605697631836,,0.09757964671746366,
10,10,10,10,2019-02-20,54.26580429077149,49.583255767822266,,0.09443810113792539,
11,11,11,11,2019-02-21,53.3774299621582,51.02688217163086,,0.04606489149427517,
12,12,12,12,2019-02-22,52.89622116088867,51.82273864746094,50.351356506347656,0.020714507597338727,0.050542126987585645
13,13,13,13,2019-02-25,53.24787139892578,52.81292343139648,50.84181594848633,0.008235635129994145,0.047324341303569994
14,14,14,14,2019-02-26,53.38667678833008,53.28488159179688,48.49129104614258,0.0019103954722659022,0.10095391639561058
15,15,15,15,2019-02-27,53.80311584472656,53.29413986206055,48.55605697631836,0.009550317989621027,0.10806188136255135
16,16,16,16,2019-02-28,53.53474426269531,54.26580429077149,49.583255767822266,-0.013471836225976697,0.0796940102799264
17,17,17,17,2019-03-01,54.811805725097656,53.3774299621582,51.02688217163086,0.026872327198150137,0.07417508952900675
18,18,18,18,2019-03-04,54.90434646606445,52.89622116088867,51.82273864746094,0.037963492686327927,0.05946439534133918
19,19,19,19,2019-03-05,54.73777389526367,53.24787139892578,52.81292343139648,0.027980508087839695,0.036446580473197265
20,20,20,20,2019-03-06,52.50754165649414,53.38667678833008,53.28488159179688,-0.016467313283454077,-0.01458837689192527
21,21,21,21,2019-03-07,52.387237548828125,53.80311584472656,53.29413986206055,-0.026315916349242685,-0.017016923728945144
22,22,22,22,2019-03-08,50.8973388671875,53.53474426269531,54.26580429077149,-0.04926530296971343,-0.062073445102459046
23,23,23,23,2019-03-11,51.757957458496094,54.811805725097656,53.3774299621582,-0.055715155269975725,-0.030340023954136264
24,24,24,24,2019-03-12,52.942481994628906,54.90434646606445,52.89622116088867,-0.035732407317663695,0.0008745583847951099
25,25,25,25,2019-03-13,53.72908020019531,54.73777389526367,53.24787139892578,-0.018427744193587614,0.009037146248802808
26,26,26,26,2019-03-14,53.63653564453125,52.50754165649414,53.38667678833008,0.021501558679380306,0.004680172493070289
27,27,27,27,2019-03-15,54.138427734375,52.387237548828125,53.80311584472656,0.03342780164567105,0.006232202064581749
28,28,28,28,2019-03-18,54.95630645751953,50.8973388671875,53.53474426269531,0.07974812987617241,0.026554011126841415
29,29,29,29,2019-03-19,53.89677047729492,51.757957458496094,54.811805725097656,0.04132336598703512,-0.016694127035186357
30,30,30,30,2019-03-20,55.71843338012695,52.942481994628906,54.90434646606445,0.05243334428067947,0.014827367348151155
31,31,31,31,2019-03-21,56.508426666259766,53.72908020019531,54.73777389526367,0.05172890463988167,0.032347913424175756
32,32,32,32,2019-03-22,54.60313034057617,53.63653564453125,52.50754165649414,0.01802119925214596,0.039910241804718805
33,33,33,33,2019-03-25,55.33737182617188,54.138427734375,52.387237548828125,0.02214589787644705,0.05631398820359723
34,34,34,34,2019-03-26,56.7779541015625,54.95630645751953,50.8973388671875,0.03314719932008314,0.11553875635266486
35,35,35,35,2019-03-27,56.00653839111328,53.89677047729492,51.757957458496094,0.03914460727674096,0.08208556019669166
36,36,36,36,2019-03-28,56.657135009765625,55.71843338012695,52.942481994628906,0.016847236591068127,0.07016393782810515
37,37,37,37,2019-03-29,55.97866439819336,56.508426666259766,53.72908020019531,-0.00937492510975746,0.041869024923115505
38,38,38,38,2019-04-01,56.54560470581055,54.60313034057617,53.63653564453125,0.03557441401470163,0.05423670687008486
39,39,39,39,2019-04-02,56.09018325805664,55.33737182617188,54.138427734375,0.013604032989667836,0.03605120439141207
40,40,40,40,2019-04-03,55.35596084594727,56.7779541015625,54.95630645751953,-0.025044813222251938,0.007272220682018826
41,41,41,41,2019-04-04,56.46197128295898,56.00653839111328,53.89677047729492,0.008131780769331742,0.047594703410748895
42,42,42,42,2019-04-05,58.55313873291016,56.657135009765625,55.71843338012695,0.03346451815499907,0.05087553940083067
43,43,43,43,2019-04-08,58.62749862670898,55.97866439819336,56.508426666259766,0.047318639288598474,0.037500105479214785
44,44,44,44,2019-04-09,58.12561798095703,56.54560470581055,54.60313034057617,0.027942282753306902,0.06451072710319061
45,45,45,45,2019-04-10,58.887733459472656,56.09018325805664,55.33737182617188,0.04987593263058532,0.06415847945315001
46,46,46,46,2019-04-11,58.82267379760742,55.35596084594727,56.7779541015625,0.06262582924552307,0.03601256382692819
47,47,47,47,2019-04-12,61.434326171875,56.46197128295898,56.00653839111328,0.08806555591190901,0.09691346647524579
48,48,48,48,2019-04-15,60.913848876953125,58.55313873291016,56.657135009765625,0.04031739707091253,0.0751311174921534
49,49,49,49,2019-04-16,61.629512786865234,58.62749862670898,55.97866439819336,0.051204882187974254,0.10094646682664066
50,50,50,50,2019-04-17,61.26702880859375,58.12561798095703,56.54560470581055,0.05404520307493166,0.08349763217401818
51,51,51,51,2019-04-18,61.21125793457031,58.887733459472656,56.09018325805664,0.039456850155333845,0.09130072998608174
52,52,52,52,2019-04-22,63.08869171142578,58.82267379760742,55.35596084594727,0.0725233594191339,0.13969102418795143
53,53,53,53,2019-04-23,62.69832611083984,61.434326171875,56.46197128295898,0.020574815705287408,0.11045230420006757
54,54,54,54,2019-04-24,61.20196533203125,60.913848876953125,58.55313873291016,0.00472990067759671,0.04523799503223391
55,55,55,55,2019-04-25,59.64984893798828,61.629512786865234,58.62749862670898,-0.032122010370636445,0.0174380680606685
56,56,56,56,2019-04-26,59.3431396484375,61.26702880859375,58.12561798095703,-0.03140170492299754,0.020946386632471503
57,57,57,57,2019-04-29,59.408199310302734,61.21125793457031,58.887733459472656,-0.02945632364221129,0.008838272765044897
58,58,58,58,2019-04-30,59.59409713745117,63.08869171142578,58.82267379760742,-0.055391774328737875,0.013114387531889538
59,59,59,59,2019-05-01,58.6553840637207,62.69832611083984,61.434326171875,-0.0644824558788365,-0.04523435481948057
60,60,60,60,2019-05-02,57.55866622924805,61.20196533203125,60.913848876953125,-0.0595291194166343,-0.055080785561303136
61,61,61,61,2019-05-03,58.76691818237305,59.64984893798828,61.629512786865234,-0.014801894243405833,-0.046448438013650395
62,62,62,62,2019-05-06,58.37655258178711,59.3431396484375,61.26702880859375,-0.016288101242648678,-0.047178332016668656
63,63,63,63,2019-05-07,57.90254211425781,59.408199310302734,61.21125793457031,-0.025344265834090107,-0.054054040579418206
64,64,64,64,2019-05-08,58.96208190917969,59.59409713745117,63.08869171142578,-0.010605332719678118,-0.06540965885172634
65,65,65,65,2019-05-09,58.79478454589844,58.6553840637207,62.69832611083984,0.002376601643700793,-0.06225910334576734
66,66,66,66,2019-05-10,59.09220886230469,57.55866622924805,61.20196533203125,0.026643123156272486,-0.034472037920363685
67,67,67,67,2019-05-13,58.46020126342773,58.76691818237305,59.64984893798828,-0.005219210542800279,-0.019943850583717393
68,68,68,68,2019-05-14,59.64984893798828,58.37655258178711,59.3431396484375,0.021811777158598833,0.00516840348130887
69,69,69,69,2019-05-15,60.44914245605469,57.90254211425781,59.408199310302734,0.043980803757661,0.01752187674153971
70,70,70,70,2019-05-16,61.66668319702149,58.96208190917969,59.59409713745117,0.04587017961827988,0.034778378381838504
71,71,71,71,2019-05-17,61.05326461791992,58.79478454589844,58.6553840637207,0.038412932192283034,0.04088082607377119
72,72,72,72,2019-05-20,60.672210693359375,59.09220886230469,57.55866622924805,0.026737904395084833,0.05409340883109626
73,73,73,73,2019-05-21,61.7689094543457,58.46020126342773,58.76691818237305,0.05659761888277792,0.051083013450807346
74,74,74,74,2019-05-22,59.566200256347656,59.64984893798828,58.37655258178711,-0.0014023284740852793,0.02037886140833378
75,75,75,75,2019-05-23,54.84477233886719,60.44914245605469,57.90254211425781,-0.09271215255471599,-0.052808903784514194
76,76,76,76,2019-05-24,55.272308349609375,61.66668319702149,58.96208190917969,-0.10369253729736783,-0.06257875298999338
77,77,77,77,2019-05-28,55.002777099609375,61.05326461791992,58.79478454589844,-0.09910178523909186,-0.06449564320333234
78,78,78,78,2019-05-29,54.40795135498047,60.672210693359375,59.09220886230469,-0.1032475867747561,-0.0792703064838779
79,79,79,79,2019-05-30,53.710880279541016,61.7689094543457,58.46020126342773,-0.13045445104969022,-0.08124024346898462
80,80,80,80,2019-05-31,51.91712188720703,59.566200256347656,59.64984893798828,-0.1284130653998784,-0.12963531657590888
81,81,81,81,2019-06-03,50.86687469482422,54.84477233886719,60.44914245605469,-0.07253011498461315,-0.15851784445406458
82,82,82,82,2019-06-04,51.89852523803711,55.272308349609375,61.66668319702149,-0.06103930181877615,-0.15840251903569524
83,83,83,83,2019-06-05,50.35569763183594,55.002777099609375,61.05326461791992,-0.0844880879261356,-0.17521695282031013
84,84,84,84,2019-06-06,51.60111618041992,54.40795135498047,60.672210693359375,-0.0515886943848991,-0.14950987295955398
85,85,85,85,2019-06-07,52.55841827392578,53.710880279541016,61.7689094543457,-0.021456770017865834,-0.14911208991357583
86,86,86,86,2019-06-10,53.23688888549805,51.91712188720703,59.566200256347656,0.025420650265596034,-0.1062567587593457
87,87,87,87,2019-06-11,53.90606689453125,50.86687469482422,54.84477233886719,0.05974796403240146,-0.017115677653578243
88,88,88,88,2019-06-12,52.70711898803711,51.89852523803711,55.272308349609375,0.015580283761269076,-0.04641002770043334
89,89,89,89,2019-06-13,54.19419097900391,50.35569763183594,55.002777099609375,0.07622758749629943,-0.014700823544620656
90,90,90,90,2019-06-14,53.4381217956543,51.60111618041992,54.40795135498047,0.03560011393574136,-0.017825143847056357
91,91,91,91,2019-06-17,54.00750732421875,52.55841827392578,53.710880279541016,0.027571017124993213,0.005522662133517819
92,92,92,92,2019-06-18,54.800899505615234,53.23688888549805,51.91712188720703,0.02937832493331949,0.055545791322434646
93,93,93,93,2019-06-19,54.99692535400391,53.90606689453125,50.86687469482422,0.020236283637738994,0.0811933244170775
94,94,94,94,2019-06-20,57.23712158203125,52.70711898803711,51.89852523803711,0.08594669336835326,0.10286605100064405
95,95,95,95,2019-06-21,57.12511444091797,54.19419097900391,50.35569763183594,0.05408187499375283,0.13443199334810263
96,96,96,96,2019-06-24,57.48915100097656,53.4381217956543,51.60111618041992,0.07580785157108028,0.1141067336599757
97,97,97,97,2019-06-25,58.049198150634766,54.00750732421875,52.55841827392578,0.07483572241453151,0.10447003652377718
98,98,98,98,2019-06-26,61.026798248291016,54.800899505615234,53.23688888549805,0.11360942610144265,0.1463254056702583
99,99,99,99,2019-06-27,60.00938034057617,54.99692535400391,53.90606689453125,0.09114064021412305,0.11322127169816021
100,100,100,100,2019-06-28,59.33731842041016,57.23712158203125,52.70711898803711,0.03669291502314542,0.12579324310778417
101,101,101,101,2019-07-01,59.99070358276367,57.12511444091797,54.19419097900391,0.05016338557727451,0.10695819051908084
102,102,102,102,2019-07-02,58.469234466552734,57.48915100097656,53.4381217956543,0.01704814645044106,0.09414838137719839
103,103,103,103,2019-07-03,58.26388168334961,58.049198150634766,54.00750732421875,0.0036983031558464052,0.07881079075875363
104,104,104,104,2019-07-05,58.81459426879883,61.026798248291016,54.800899505615234,-0.03624971394520338,0.07324140295858328
105,105,105,105,2019-07-08,57.60115051269531,60.00938034057617,54.99692535400391,-0.04013088977445245,0.047352195453264745
106,106,106,106,2019-07-09,57.91851425170898,59.33731842041016,57.23712158203125,-0.02391082385369747,0.011904733341650875
107,107,107,107,2019-07-10,58.973289489746094,59.99070358276367,57.12511444091797,-0.01695952926462918,0.03235310890693466
108,108,108,108,2019-07-11,58.3292236328125,58.469234466552734,57.48915100097656,-0.0023946069247806623,0.01461271591611557
109,109,109,109,2019-07-12,58.92660903930664,58.26388168334961,58.049198150634766,0.0113745829630576,0.015114952774972767
110,110,110,110,2019-07-15,58.0305290222168,58.81459426879883,61.026798248291016,-0.013331134156917557,-0.049097598302367484
