,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,REGN,REGN_6m,REGN_12m,REGN_6m_ret,REGN_12m_ret
0,0,0,0,2019-02-05,421.0400085449219,,,,
1,1,1,1,2019-02-06,406.55999755859375,,,,
2,2,2,2,2019-02-07,406.4599914550781,,,,
3,3,3,3,2019-02-08,406.8599853515625,,,,
4,4,4,4,2019-02-11,408.510009765625,,,,
5,5,5,5,2019-02-12,416.3399963378906,,,,
6,6,6,6,2019-02-13,412.0899963378906,421.0400085449219,,-0.021256916267795356,
7,7,7,7,2019-02-14,414.9700012207031,406.55999755859375,,0.02068576277206735,
8,8,8,8,2019-02-15,423.9700012207031,406.4599914550781,,0.0430792947245342,
9,9,9,9,2019-02-19,420.6000061035156,406.8599853515625,,0.03377088248204241,
10,10,10,10,2019-02-20,422.510009765625,408.510009765625,,0.03427088606233242,
11,11,11,11,2019-02-21,418.6199951171875,416.3399963378906,,0.005476290530219696,
12,12,12,12,2019-02-22,422.5199890136719,412.0899963378906,421.0400085449219,0.02530998754754843,0.003515058993715847
13,13,13,13,2019-02-25,420.3800048828125,414.9700012207031,406.55999755859375,0.013037095804985688,0.033992540848111874
14,14,14,14,2019-02-26,426.1499938964844,423.9700012207031,406.4599914550781,0.005141855955620889,0.048442658208298406
15,15,15,15,2019-02-27,433.3299865722656,420.6000061035156,406.8599853515625,0.030266239381882,0.06505923947726333
16,16,16,16,2019-02-28,430.739990234375,422.510009765625,408.510009765625,0.01947878222652122,0.054417223415171634
17,17,17,17,2019-03-01,439.5700073242188,418.6199951171875,416.3399963378906,0.05004541696859599,0.05579577074184172
18,18,18,18,2019-03-04,433.8299865722656,422.5199890136719,412.0899963378906,0.026767958564506644,0.05275544280999589
19,19,19,19,2019-03-05,437.1300048828125,420.3800048828125,414.9700012207031,0.039844901768506524,0.05340145937518859
20,20,20,20,2019-03-06,423.6900024414063,426.1499938964844,423.9700012207031,-0.005772595307547146,-0.0006604212054877046
21,21,21,21,2019-03-07,409.5799865722656,433.3299865722656,420.6000061035156,-0.054808115606925,-0.02620071177207217
