,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,TPR,TPR_6m,TPR_12m,TPR_6m_ret,TPR_12m_ret
836,836,836,836,2022-05-31,32.496192932128906,29.58566665649414,28.850969314575195,0.09837622756409647,0.12634666023897445
837,837,837,837,2022-06-01,32.157100677490234,29.482057571411133,29.67985725402832,0.09073461374260061,0.08346547634172619
838,838,838,838,2022-06-02,33.36216735839844,28.295238494873047,30.169654846191406,0.17907355205518027,0.10581866211207425
839,839,839,839,2022-06-03,33.09648895263672,29.68927764892578,31.1115779876709,0.11476235104137733,0.06379975216147549
840,840,840,840,2022-06-06,32.84977722167969,31.4600887298584,30.000112533569336,0.044173063329676854,0.09498846662397198
841,841,841,841,2022-06-07,33.10597229003906,32.345489501953125,29.17122268676757,0.02351124684757111,0.13488463084052849
842,842,842,842,2022-06-08,33.030067443847656,32.496192932128906,29.58566665649414,0.016428832535361648,0.11642126666756925
843,843,843,843,2022-06-09,32.5840950012207,32.157100677490234,29.482057571411133,0.013278383770131352,0.10521780653524093
844,844,844,844,2022-06-10,31.0279541015625,33.36216735839844,28.295238494873047,-0.06996587577060798,0.0965786383876781
845,845,845,845,2022-06-13,29.34845924377441,33.09648895263672,29.68927764892578,-0.11324553834776818,-0.011479511532127229
846,846,846,846,2022-06-14,29.98420143127441,32.84977722167969,31.4600887298584,-0.08723273132318532,-0.046913004958668125
847,847,847,847,2022-06-15,31.0279541015625,33.10597229003906,32.345489501953125,-0.0627686802330164,-0.04073320332070007
848,848,848,848,2022-06-16,28.959423065185547,33.030067443847656,32.496192932128906,-0.1232405712032637,-0.1088364373737627
849,849,849,849,2022-06-17,30.458629608154297,32.5840950012207,32.157100677490234,-0.06523014964775853,-0.05281791683803316
850,850,850,850,2022-06-21,30.506078720092773,31.0279541015625,33.36216735839844,-0.01681952280068144,-0.08560860592849595
851,851,851,851,2022-06-22,29.51925468444824,29.34845924377441,33.09648895263672,0.005819570944258556,-0.1080850078480452
852,852,852,852,2022-06-23,30.44914436340332,29.98420143127441,32.84977722167969,0.01550626363001828,-0.07307912142223094
853,853,853,853,2022-06-24,31.62574005126953,31.0279541015625,33.10597229003906,0.019266044668956317,-0.04471193976124077
854,854,854,854,2022-06-27,30.88562393188477,28.959423065185547,33.030067443847656,0.06651378593984703,-0.06492398223553497
855,855,855,855,2022-06-28,30.572498321533203,30.458629608154297,32.5840950012207,0.003738471324672421,-0.06173553936704823
856,856,856,856,2022-06-29,29.61413955688477,30.506078720092773,31.0279541015625,-0.029238079773934667,-0.04556583202521025
857,857,857,857,2022-06-30,28.959423065185547,29.51925468444824,29.34845924377441,-0.01896496457133212,-0.013255761583851777
858,858,858,858,2022-07-01,29.244083404541016,30.44914436340332,29.98420143127441,-0.03957618462049994,-0.02468359974267753
859,859,859,859,2022-07-05,29.73749542236328,31.62574005126953,31.0279541015625,-0.059705942875807994,-0.04159019556929899
860,860,860,860,2022-07-06,29.073286056518555,30.88562393188477,28.959423065185547,-0.058679011288978566,0.0039318114548314576
861,861,861,861,2022-07-07,30.4206771850586,30.572498321533203,30.458629608154297,-0.004965938173514206,-0.0012460318663035652
862,862,862,862,2022-07-08,30.192949295043945,29.61413955688477,30.506078720092773,0.01954504661691625,-0.010264492789189172
863,863,863,863,2022-07-11,29.301013946533203,28.959423065185547,29.51925468444824,0.011795500227292477,-0.007393165587951334
864,864,864,864,2022-07-12,29.661584854125977,29.244083404541016,30.44914436340332,0.014276441624432312,-0.025864750085519916
865,865,865,865,2022-07-13,29.79442405700684,29.73749542236328,31.62574005126953,0.0019143722036774058,-0.05790587006956627
866,866,866,866,2022-07-14,29.50976753234864,29.073286056518555,30.88562393188477,0.015013145572246867,-0.04454682225524875
867,867,867,867,2022-07-15,29.22510528564453,30.4206771850586,30.572498321533203,-0.03930129142559935,-0.04407206181575485
868,868,868,868,2022-07-18,29.83238220214844,30.192949295043945,29.61413955688477,-0.011942095797666585,0.0073695420001806955
869,869,869,869,2022-07-19,31.29363822937012,29.301013946533203,28.959423065185547,0.06800530133438198,0.0806029581090213
870,870,870,870,2022-07-20,32.10017395019531,29.661584854125977,29.244083404541016,0.08221371541885514,0.09766387635219242
871,871,871,871,2022-07-21,32.28994369506836,29.79442405700684,29.73749542236328,0.08375794186478469,0.08583265794420525
872,872,872,872,2022-07-22,32.21403503417969,29.50976753234864,29.073286056518555,0.09163974263323582,0.10802868900183848
873,873,873,873,2022-07-25,32.35636520385742,29.22510528564453,30.4206771850586,0.10714281052568109,0.06363066827945407
874,874,874,874,2022-07-26,30.857160568237305,29.83238220214844,30.192949295043945,0.03435120799756519,0.021998886783226146
875,875,875,875,2022-07-27,32.00528717041016,31.29363822937012,29.301013946533203,0.02274101003609541,0.09229282061063016
876,876,876,876,2022-07-28,32.28994369506836,32.10017395019531,29.661584854125977,0.005911798022262493,0.08861154432133356
877,877,877,877,2022-07-29,31.910400390625,32.28994369506836,29.79442405700684,-0.011754226270184742,0.07101920579399623
878,878,878,878,2022-08-01,32.26148223876953,32.21403503417969,29.50976753234864,0.001472873688114662,0.0932475900870604
879,879,879,879,2022-08-02,31.312618255615234,32.35636520385742,29.22510528564453,-0.032257855345190434,0.07142875789727587
880,880,880,880,2022-08-03,32.10017395019531,30.857160568237305,29.83238220214844,0.04028281796081723,0.07601778941688253
881,881,881,881,2022-08-04,32.138126373291016,32.00528717041016,31.29363822937012,0.0041505393210052866,0.026985936813454847
882,882,882,882,2022-08-05,32.33739471435547,32.28994369506836,32.10017395019531,0.0014695293288591316,0.007390014911701437
883,883,883,883,2022-08-08,32.650516510009766,31.910400390625,32.28994369506836,0.023193570444894895,0.011166721699687354
884,884,884,884,2022-08-09,31.58778953552246,32.26148223876953,32.21403503417969,-0.020882261337561103,-0.01944014458271892
885,885,885,885,2022-08-10,32.67898178100586,31.312618255615234,32.35636520385742,0.04363619529470664,0.009970729873885142
886,886,886,886,2022-08-11,33.684776306152344,32.10017395019531,30.857160568237305,0.04936429187005675,0.09163564261403989
887,887,887,887,2022-08-12,33.86506652832031,32.138126373291016,32.00528717041016,0.05373493572620025,0.05810850401084888
888,888,888,888,2022-08-15,34.092796325683594,32.33739471435547,32.28994369506836,0.054283952892125065,0.05583325408184536
889,889,889,889,2022-08-16,35.24092483520508,32.650516510009766,31.910400390625,0.07933743787486991,0.10437112677403304
890,890,890,890,2022-08-17,35.21245574951172,31.58778953552246,32.26148223876953,0.1147489668409083,0.09147048758956022
891,891,891,891,2022-08-18,35.6489372253418,32.67898178100586,31.312618255615234,0.09088274121387019,0.13848471355310377
892,892,892,892,2022-08-19,34.946781158447266,33.684776306152344,32.10017395019531,0.03746513976595489,0.08867887173037059
893,893,893,893,2022-08-22,33.59938049316406,33.86506652832031,32.138126373291016,-0.007845430775518025,0.045467931232215486
894,894,894,894,2022-08-23,34.38694381713867,34.092796325683594,32.33739471435547,0.008627848787911896,0.06338015541720043
895,895,895,895,2022-08-24,34.18768310546875,35.24092483520508,32.650516510009766,-0.029886892431499334,0.04707939597181343
896,896,896,896,2022-08-25,34.88984298706055,35.21245574951172,31.58778953552246,-0.009161893301226076,0.10453575574905982
897,897,897,897,2022-08-26,33.542449951171875,35.6489372253418,32.67898178100586,-0.05908976362617846,0.02642273789166505
898,898,898,898,2022-08-29,33.32421112060547,34.946781158447266,33.684776306152344,-0.046429742140917996,-0.010704099153569846
899,899,899,899,2022-08-30,33.75120162963867,33.59938049316406,33.86506652832031,0.004518569516646309,-0.0033623113832189633
900,900,900,900,2022-08-31,32.95415496826172,34.38694381713867,34.092796325683594,-0.04166665279985837,-0.03339829759180202
901,901,901,901,2022-09-01,33.12495422363281,34.18768310546875,35.24092483520508,-0.031085139012123952,-0.06004299323774975
902,902,902,902,2022-09-02,32.76437759399414,34.88984298706055,35.21245574951172,-0.06091931665770667,-0.0695230736797312
903,903,903,903,2022-09-06,31.81551170349121,33.542449951171875,35.6489372253418,-0.05148515538353904,-0.10753267334784711
904,904,904,904,2022-09-07,32.71693420410156,33.32421112060547,34.946781158447266,-0.018223294598215034,-0.06380693386997982
905,905,905,905,2022-09-08,33.099815368652344,33.75120162963867,33.59938049316406,-0.019299646517305424,-0.014868283795094306
906,906,906,906,2022-09-09,33.99958038330078,32.95415496826172,34.38694381713867,0.03172362987447008,-0.011264840396919107
907,907,907,907,2022-09-12,34.82276153564453,33.12495422363281,34.18768310546875,0.051254631192831246,0.0185762348450631
908,908,908,908,2022-09-13,32.96580505371094,32.76437759399414,34.88984298706055,0.006147757854973568,-0.055146076010235134
909,909,909,909,2022-09-14,32.2957763671875,31.81551170349121,33.542449951171875,0.015095299053247357,-0.037167040147609076
910,910,910,910,2022-09-15,31.798025131225582,32.71693420410156,33.32421112060547,-0.02808664978030795,-0.045798113085299574
911,911,911,911,2022-09-16,31.156707763671875,33.099815368652344,33.75120162963867,-0.05870448470297862,-0.076871155416536
912,912,912,912,2022-09-19,31.70230865478516,33.99958038330078,32.95415496826172,-0.06756764944204863,-0.037987510669966085
913,913,913,913,2022-09-20,31.01313018798828,34.82276153564453,33.12495422363281,-0.10940060982115729,-0.06375326653698021
914,914,914,914,2022-09-21,30.59196281433105,32.96580505371094,32.76437759399414,-0.07200923003434023,-0.06630416748894086
915,915,915,915,2022-09-22,29.62519645690918,32.2957763671875,31.81551170349121,-0.0826913055105134,-0.0688442564430507
916,916,916,916,2022-09-23,28.390411376953125,31.798025131225582,32.71693420410156,-0.10716432043215751,-0.13224108347554286
917,917,917,917,2022-09-26,27.404502868652344,31.156707763671875,33.099815368652344,-0.12043008277641354,-0.1720647815272658
918,918,918,918,2022-09-27,27.78738021850586,31.70230865478516,33.99958038330078,-0.12349032617497968,-0.182714024548553
919,919,919,919,2022-09-28,28.62013816833496,31.01313018798828,34.82276153564453,-0.07716060923705637,-0.17811980135350758
