,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,WBD,WBD_6m,WBD_12m,WBD_6m_ret,WBD_12m_ret
0,0,0,0,2019-02-05,29.040000915527344,,,,
1,1,1,1,2019-02-06,29.1200008392334,,,,
2,2,2,2,2019-02-07,28.63999938964844,,,,
3,3,3,3,2019-02-08,29.190000534057617,,,,
4,4,4,4,2019-02-11,28.63999938964844,,,,
5,5,5,5,2019-02-12,28.1299991607666,,,,
6,6,6,6,2019-02-13,28.31999969482422,29.040000915527344,,-0.024793429683335422,
7,7,7,7,2019-02-14,28.770000457763672,29.1200008392334,,-0.012019243522760181,
8,8,8,8,2019-02-15,29.299999237060547,28.63999938964844,,0.02304468790074954,
9,9,9,9,2019-02-19,29.059999465942383,29.190000534057617,,-0.004453616503485636,
10,10,10,10,2019-02-20,29.09000015258789,28.63999938964844,,0.0157123174765883,
11,11,11,11,2019-02-21,29.0,28.1299991607666,,0.030927865808357602,
12,12,12,12,2019-02-22,29.209999084472656,28.31999969482422,29.040000915527344,0.03142653245900617,0.005853931252957301
13,13,13,13,2019-02-25,29.209999084472656,28.770000457763672,29.1200008392334,0.015293660747587756,0.003090598991947857
14,14,14,14,2019-02-26,28.38999938964844,29.299999237060547,28.63999938964844,-0.031058016078754025,-0.00872905046535577
15,15,15,15,2019-02-27,28.63999938964844,29.059999465942383,29.190000534057617,-0.014452859050674505,-0.018842108062569585
16,16,16,16,2019-02-28,28.89999961853028,29.09000015258789,28.63999938964844,-0.006531472432484975,0.009078220475654541
17,17,17,17,2019-03-01,29.07999992370605,29.0,28.1299991607666,0.0027586180588292653,0.0337718020363269
18,18,18,18,2019-03-04,28.780000686645508,29.209999084472656,28.31999969482422,-0.01472093157495935,0.01624297305007949
19,19,19,19,2019-03-05,28.989999771118164,29.209999084472656,28.770000457763672,-0.0075316439661047285,0.007646830373793989
20,20,20,20,2019-03-06,28.809999465942383,28.38999938964844,29.299999237060547,0.014793944534112313,-0.016723542111850342
21,21,21,21,2019-03-07,28.420000076293945,28.63999938964844,29.059999465942383,-0.00768154043446001,-0.022023379263943266
22,22,22,22,2019-03-08,28.920000076293945,28.89999961853028,29.09000015258789,0.0006920573711994837,-0.0058439352149272095
23,23,23,23,2019-03-11,28.420000076293945,29.07999992370605,29.0,-0.022696005816495002,-0.01999999736917435
24,24,24,24,2019-03-12,28.3700008392334,28.780000686645508,29.209999084472656,-0.014245998527802617,-0.028757215733217212
25,25,25,25,2019-03-13,26.93000030517578,28.989999771118164,29.209999084472656,-0.07105896799608447,-0.07805542111464392
26,26,26,26,2019-03-14,27.43000030517578,28.809999465942383,28.38999938964844,-0.04790000646816961,-0.033814691972930966
27,27,27,27,2019-03-15,27.43000030517578,28.420000076293945,28.63999938964844,-0.03483461535751209,-0.04224857228558454
28,28,28,28,2019-03-18,27.229999542236328,28.920000076293945,28.89999961853028,-0.05843708608572684,-0.057785470530704486
29,29,29,29,2019-03-19,27.26000022888184,28.420000076293945,29.07999992370605,-0.04081632105200805,-0.06258595940849865
30,30,30,30,2019-03-20,26.690000534057617,28.3700008392334,28.780000686645508,-0.059217492262195415,-0.07261987848241058
31,31,31,31,2019-03-21,26.68000030517578,26.93000030517578,28.989999771118164,-0.009283327039248168,-0.07968263139635356
32,32,32,32,2019-03-22,26.670000076293945,27.43000030517578,28.809999465942383,-0.027706898302091165,-0.0742797441623777
33,33,33,33,2019-03-25,27.11000061035156,27.43000030517578,28.420000076293945,-0.011666047804011148,-0.04609428087352818
34,34,34,34,2019-03-26,27.63999938964844,27.229999542236328,28.920000076293945,0.015056917161389016,-0.0442600512886836
35,35,35,35,2019-03-27,27.57999992370605,27.26000022888184,28.420000076293945,0.011738800151775974,-0.029556655535992293
36,36,36,36,2019-03-28,26.90999984741211,26.690000534057617,28.3700008392334,0.00824276166925375,-0.05146284626830977
37,37,37,37,2019-03-29,27.020000457763672,26.68000030517578,26.93000030517578,0.012743633759326967,0.003342003400222504
38,38,38,38,2019-04-01,27.75,26.670000076293945,27.43000030517578,0.0404949351562256,0.011666047804011148
39,39,39,39,2019-04-02,27.38999938964844,27.11000061035156,27.43000030517578,0.01032824688281142,-0.0014582907430661374
40,40,40,40,2019-04-03,27.8700008392334,27.63999938964844,27.229999542236328,0.00832132614558212,0.02350353682541817
41,41,41,41,2019-04-04,28.8799991607666,27.57999992370605,27.26000022888184,0.04713557797885093,0.05942769326055908
42,42,42,42,2019-04-05,29.479999542236328,26.90999984741211,26.690000534057617,0.09550351948706437,0.10453349390602473
43,43,43,43,2019-04-08,28.8700008392334,27.020000457763672,26.68000030517578,0.06846781458651541,0.08208397709923454
44,44,44,44,2019-04-09,28.84000015258789,27.75,26.670000076293945,0.03927928477794196,0.08136483202423328
45,45,45,45,2019-04-10,30.59000015258789,27.38999938964844,27.11000061035156,0.11683099066255664,0.1283658968604946
46,46,46,46,2019-04-11,30.190000534057617,27.8700008392334,27.63999938964844,0.0832436176879583,0.09225764112585999
47,47,47,47,2019-04-12,30.020000457763672,28.8799991607666,27.57999992370605,0.03947373026747725,0.088469925337467
48,48,48,48,2019-04-15,30.049999237060547,29.479999542236328,26.90999984741211,0.019335132417745537,0.1166852251004531
49,49,49,49,2019-04-16,29.979999542236328,28.8700008392334,27.020000457763672,0.038448170098231316,0.10954844686622334
50,50,50,50,2019-04-17,30.40999984741211,28.84000015258789,27.75,0.05443826929672668,0.09585585035719313
51,51,51,51,2019-04-18,30.1299991607666,30.59000015258789,27.38999938964844,-0.015037626333008425,0.10003650354784943
52,52,52,52,2019-04-22,29.1200008392334,30.190000534057617,27.8700008392334,-0.0354421886683024,0.04485109301612722
53,53,53,53,2019-04-23,29.46999931335449,30.020000457763672,28.8799991607666,-0.018321157096016782,0.020429368758064337
54,54,54,54,2019-04-24,30.3799991607666,30.049999237060547,29.479999542236328,0.010981694911295303,0.03052915985432203
55,55,55,55,2019-04-25,30.3700008392334,29.979999542236328,28.8700008392334,0.013008715909005542,0.05195704732926609
56,56,56,56,2019-04-26,31.51000022888184,30.40999984741211,28.84000015258789,0.036172324465280736,0.09257975250233708
