,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,FTV,FTV_6m,FTV_12m,FTV_6m_ret,FTV_12m_ret
0,0,0,0,2019-02-05,61.113224029541016,,,,
1,1,1,1,2019-02-06,61.457618713378906,,,,
2,2,2,2,2019-02-07,61.02302551269531,,,,
3,3,3,3,2019-02-08,62.990970611572266,,,,
4,4,4,4,2019-02-11,63.26976776123047,,,,
5,5,5,5,2019-02-12,64.63093566894531,,,,
6,6,6,6,2019-02-13,65.95931243896484,61.113224029541016,,0.07929688682569447,
7,7,7,7,2019-02-14,65.9675064086914,61.457618713378906,,0.07338207678278841,
8,8,8,8,2019-02-15,67.07447052001953,61.02302551269531,,0.09916658435864134,
9,9,9,9,2019-02-19,65.99212646484375,62.990970611572266,,0.04764422303916893,
10,10,10,10,2019-02-20,66.46770477294922,63.26976776123047,,0.0505444721053383,
11,11,11,11,2019-02-21,66.15583801269531,64.63093566894531,,0.02359400073613216,
12,12,12,12,2019-02-22,66.77957916259766,65.95931243896484,61.113224029541016,0.012435950183559585,0.09271896914352995
13,13,13,13,2019-02-25,66.96831512451172,65.9675064086914,61.457618713378906,0.015171237633569978,0.08966661134127496
14,14,14,14,2019-02-26,67.08321380615234,67.07447052001953,61.02302551269531,0.00013035192175236965,0.09930986283523846
15,15,15,15,2019-02-27,67.05859375,65.99212646484375,62.990970611572266,0.01616052311519911,0.06457470172209834
16,16,16,16,2019-02-28,66.9437026977539,66.46770477294922,63.26976776123047,0.007161341382716291,0.058067779707810185
17,17,17,17,2019-03-01,67.75617218017578,66.15583801269531,64.63093566894531,0.024190369520727062,0.04835511785313851
18,18,18,18,2019-03-04,67.77261352539062,66.77957916259766,65.95931243896484,0.014870329751181632,0.027491206614740138
19,19,19,19,2019-03-05,67.50177764892578,66.96831512451172,65.9675064086914,0.007965894369930338,0.023257984479950533
20,20,20,20,2019-03-06,67.32943725585938,67.08321380615234,67.07447052001953,0.003670418212498472,0.0038012485803184948
21,21,21,21,2019-03-07,66.52516174316406,67.05859375,65.99212646484375,-0.007954715078347996,0.008077255679952655
