,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,LYB,LYB_6m,LYB_12m,LYB_6m_ret,LYB_12m_ret
0,0,0,0,2019-02-05,65.05440521240234,,,,
1,1,1,1,2019-02-06,64.779541015625,,,,
2,2,2,2,2019-02-07,62.84061050415039,,,,
3,3,3,3,2019-02-08,62.83317184448242,,,,
4,4,4,4,2019-02-11,62.33545303344727,,,,
5,5,5,5,2019-02-12,63.486915588378906,,,,
6,6,6,6,2019-02-13,63.92521667480469,65.05440521240234,,-0.017357602977244313,
7,7,7,7,2019-02-14,64.12580108642578,64.779541015625,,-0.010091765377614137,
8,8,8,8,2019-02-15,65.10640716552734,62.84061050415039,,0.03605624839095589,
9,9,9,9,2019-02-19,64.98755645751953,62.83317184448242,,0.034287376393625335,
10,10,10,10,2019-02-20,66.23558807373047,62.33545303344727,,0.06256688369924102,
11,11,11,11,2019-02-21,65.7452621459961,63.486915588378906,,0.035571842429065414,
12,12,12,12,2019-02-22,66.22074127197266,63.92521667480469,65.05440521240234,0.03590953173996381,0.017928625367678475
13,13,13,13,2019-02-25,65.8121337890625,64.12580108642578,64.779541015625,0.02629725748554712,0.015940106355314176
14,14,14,14,2019-02-26,64.5269546508789,65.10640716552734,62.84061050415039,-0.008900084336941338,0.026835260402461314
15,15,15,15,2019-02-27,64.40066528320312,64.98755645751953,62.83317184448242,-0.009030823842408053,0.024946909294988107
16,16,16,16,2019-02-28,63.531471252441406,66.23558807373047,62.33545303344727,-0.040825738850223,0.019186805594440637
17,17,17,17,2019-03-01,63.92985916137695,65.7452621459961,63.486915588378906,-0.02761268151289442,0.006976926960350349
18,18,18,18,2019-03-04,63.967472076416016,66.22074127197266,63.92521667480469,-0.034026638063478165,0.0006610130369411049
19,19,19,19,2019-03-05,63.23081970214844,65.8121337890625,64.12580108642578,-0.039222464586660455,-0.013956650351566458
20,20,20,20,2019-03-06,67.09440612792969,64.5269546508789,65.10640716552734,0.0397888214458888,0.030534613242411357
21,21,21,21,2019-03-07,65.47834014892578,64.40066528320312,64.98755645751953,0.016733908896492844,0.007551964070645845
22,22,22,22,2019-03-08,65.50086212158203,63.531471252441406,66.23558807373047,0.03099866617782676,-0.011092616122477472
23,23,23,23,2019-03-11,66.67347717285156,63.92985916137695,65.7452621459961,0.042916065316974006,0.014118356160695456
24,24,24,24,2019-03-12,67.10943603515625,63.967472076416016,66.22074127197266,0.04911815109696405,0.01342018748376228
25,25,25,25,2019-03-13,66.80877685546875,63.23081970214844,65.8121337890625,0.056585651904790035,0.0151437585901808
26,26,26,26,2019-03-14,65.72638702392578,67.09440612792969,64.5269546508789,-0.020389465872840296,0.018588082756056945
27,27,27,27,2019-03-15,65.39564514160156,65.47834014892578,64.40066528320312,-0.001262936829738437,0.015449838196903709
28,28,28,28,2019-03-18,65.59857940673828,65.50086212158203,63.531471252441406,0.0014918473130149934,0.032536758767686136
29,29,29,29,2019-03-19,65.36559295654297,66.67347717285156,63.92985916137695,-0.019616259294800154,0.022457953357003735
30,30,30,30,2019-03-20,64.89202880859375,67.10943603515625,63.967472076416016,-0.03304166086868732,0.014453544937233831
31,31,31,31,2019-03-21,66.38032531738281,66.80877685546875,63.23081970214844,-0.0064131025630483895,0.04980965975247931
32,32,32,32,2019-03-22,63.94493103027344,65.72638702392578,67.09440612792969,-0.027104121713001805,-0.046940949021161416
33,33,33,33,2019-03-25,62.74223709106445,65.39564514160156,65.47834014892578,-0.04057469032978678,-0.04178638388875244
34,34,34,34,2019-03-26,63.3736457824707,65.59857940673828,65.50086212158203,-0.03391740559611922,-0.032476157873507217
35,35,35,35,2019-03-27,62.757266998291016,65.36559295654297,66.67347717285156,-0.03990365328722789,-0.05873715217233588
