,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,VRSN,VRSN_6m,VRSN_12m,VRSN_6m_ret,VRSN_12m_ret
0,0,0,0,2019-02-05,173.77999877929688,,,,
1,1,1,1,2019-02-06,173.88999938964844,,,,
2,2,2,2,2019-02-07,173.0500030517578,,,,
3,3,3,3,2019-02-08,173.08999633789062,,,,
4,4,4,4,2019-02-11,170.52999877929688,,,,
5,5,5,5,2019-02-12,174.2899932861328,,,,
6,6,6,6,2019-02-13,174.27999877929688,173.77999877929688,,0.0028772010790205638,
7,7,7,7,2019-02-14,175.11000061035156,173.88999938964844,,0.007015936655272448,
8,8,8,8,2019-02-15,175.39999389648438,173.0500030517578,,0.013579837060295752,
9,9,9,9,2019-02-19,175.67999267578125,173.08999633789062,,0.014963293042277614,
10,10,10,10,2019-02-20,176.00999450683594,170.52999877929688,,0.03213508336812554,
11,11,11,11,2019-02-21,176.0,174.2899932861328,,0.00981127304916396,
12,12,12,12,2019-02-22,178.7899932861328,174.27999877929688,173.77999877929688,0.025877866298055663,0.02882952320191179
13,13,13,13,2019-02-25,178.0800018310547,175.11000061035156,173.88999938964844,0.01696077442950772,0.02409570680380191
14,14,14,14,2019-02-26,178.27999877929688,175.39999389648438,173.0500030517578,0.016419640724230522,0.030222453830149876
15,15,15,15,2019-02-27,177.89999389648438,175.67999267578125,173.08999633789062,0.012636619497133905,0.027788997980011
16,16,16,16,2019-02-28,178.0399932861328,176.00999450683594,170.52999877929688,0.01153342902478216,0.04403914009613952
17,17,17,17,2019-03-01,180.5,176.0,174.2899932861328,0.02556818181818188,0.03563031128053451
18,18,18,18,2019-03-04,176.82000732421875,178.7899932861328,174.27999877929688,-0.011018435236256896,0.014574297467941033
19,19,19,19,2019-03-05,177.7899932861328,178.0800018310547,175.11000061035156,-0.0016285295481802686,0.015304623759008873
20,20,20,20,2019-03-06,176.74000549316406,178.27999877929688,175.39999389648438,-0.008638059774945694,0.007639747111225725
21,21,21,21,2019-03-07,177.49000549316406,177.89999389648438,175.67999267578125,-0.002304600434999915,0.010302896703344055
22,22,22,22,2019-03-08,177.72999572753906,178.0399932861328,176.00999450683594,-0.001741168109883895,0.00977217927608276
23,23,23,23,2019-03-11,179.07000732421875,180.5,176.0,-0.007922397095741052,0.01744322343306104
24,24,24,24,2019-03-12,180.5,176.82000732421875,178.7899932861328,0.020812083041222618,0.009564331215844435
25,25,25,25,2019-03-13,180.47999572753903,177.7899932861328,178.0800018310547,0.015130224101403522,0.013477054536203514
26,26,26,26,2019-03-14,181.42999267578125,176.74000549316406,178.27999877929688,0.02653608145779196,0.01766880142502103
27,27,27,27,2019-03-15,181.6199951171875,177.49000549316406,177.89999389648438,0.023268857379028507,0.020910631525191015
28,28,28,28,2019-03-18,180.9100036621093,177.72999572753906,178.0399932861328,0.017892353631995705,0.016120031926557088
29,29,29,29,2019-03-19,182.3000030517578,179.07000732421875,180.5,0.018037614315226547,0.009972316076220622
30,30,30,30,2019-03-20,181.8500061035156,180.5,176.82000732421875,0.007479258191222193,0.02844700017500723
31,31,31,31,2019-03-21,185.3800048828125,180.47999572753903,177.7899932861328,0.027149874065105495,0.04269088184543901
32,32,32,32,2019-03-22,181.6699981689453,181.42999267578125,176.74000549316406,0.0013228545601771113,0.02789403939433477
33,33,33,33,2019-03-25,181.2700042724609,181.6199951171875,177.49000549316406,-0.0019270501824469877,0.021296966940724138
34,34,34,34,2019-03-26,182.97000122070312,180.9100036621093,177.72999572753906,0.011386863727233854,0.029482955151796775
35,35,35,35,2019-03-27,180.17999267578125,182.3000030517578,179.07000732421875,-0.011629239388299184,0.006198611192061776
36,36,36,36,2019-03-28,181.0399932861328,181.8500061035156,180.5,-0.004454290845179787,0.002991652554752422
37,37,37,37,2019-03-29,181.5599975585937,185.3800048828125,180.47999572753903,-0.02060636111555625,0.005984052840321885
38,38,38,38,2019-04-01,185.9600067138672,181.6699981689453,181.42999267578125,0.023614292883585186,0.024968385718788788
39,39,39,39,2019-04-02,186.8800048828125,181.2700042724609,181.6199951171875,0.03094831178973978,0.02896162265741209
40,40,40,40,2019-04-03,188.08999633789065,182.97000122070312,180.9100036621093,0.02798270253609303,0.03968820148382535
41,41,41,41,2019-04-04,186.1300048828125,180.17999267578125,182.3000030517578,0.03302260211397501,0.021009334980467864
42,42,42,42,2019-04-05,189.2400054931641,181.0399932861328,181.8500061035156,0.04529392681798883,0.04063788364924137
43,43,43,43,2019-04-08,189.7700042724609,181.5599975585937,185.3800048828125,0.0452192488668528,0.023681083579771833
44,44,44,44,2019-04-09,189.0200042724609,185.9600067138672,181.6699981689453,0.016455137922758212,0.04045800725269122
45,45,45,45,2019-04-10,188.97000122070312,186.8800048828125,181.2700042724609,0.011183627372019833,0.04247805354860912
46,46,46,46,2019-04-11,189.52999877929688,188.08999633789065,182.97000122070312,0.007655922534122173,0.035852858473127025
47,47,47,47,2019-04-12,189.6000061035156,186.1300048828125,180.17999267578125,0.018642890075073026,0.05228112893025183
48,48,48,48,2019-04-15,189.0500030517578,189.2400054931641,181.0399932861328,-0.0010040289362237553,0.04424442146860463
49,49,49,49,2019-04-16,188.8000030517578,189.7700042724609,181.5599975585937,-0.005111457020944288,0.039876655598806154
50,50,50,50,2019-04-17,186.3000030517578,189.0200042724609,185.9600067138672,-0.014390017771782393,0.0018283304238302378
51,51,51,51,2019-04-18,186.6499938964844,188.97000122070312,186.8800048828125,-0.012277119697475802,-0.0012307950573542392
52,52,52,52,2019-04-22,187.0399932861328,189.52999877929688,188.08999633789065,-0.013137790899601098,-0.005582450274875805
53,53,53,53,2019-04-23,189.2899932861328,189.6000061035156,186.1300048828125,-0.0016350886466403036,0.016977318650530426
54,54,54,54,2019-04-24,189.3600006103516,189.0500030517578,189.2400054931641,0.0016397648960042588,0.0006340895883762965
55,55,55,55,2019-04-25,189.17999267578125,188.8000030517578,189.7700042724609,0.0020126568743712436,-0.0031090877556843033
56,56,56,56,2019-04-26,199.8600006103516,186.3000030517578,189.0200042724609,0.07278581501056958,0.05734840806725128
57,57,57,57,2019-04-29,197.47000122070312,186.6499938964844,188.97000122070312,0.057969502695079056,0.04498068447421244
58,58,58,58,2019-04-30,197.4499969482422,187.0399932861328,189.52999877929688,0.0556565656318444,0.04178757041078218
59,59,59,59,2019-05-01,194.44000244140625,189.2899932861328,189.6000061035156,0.027206980495205757,0.025527406023648336
60,60,60,60,2019-05-02,194.97999572753903,189.3600006103516,189.0500030517578,0.02967889258065526,0.03136732388286556
61,61,61,61,2019-05-03,196.9499969482422,189.17999267578125,188.8000030517578,0.04107201909970071,0.04316733985565735
62,62,62,62,2019-05-06,197.1300048828125,199.8600006103516,186.3000030517578,-0.013659540274201798,0.058132053964840225
63,63,63,63,2019-05-07,193.17999267578125,197.47000122070312,186.6499938964844,-0.021724862097545317,0.03498526114561984
64,64,64,64,2019-05-08,193.1499938964844,197.4499969482422,187.0399932861328,-0.0217776810241479,0.032666813674466555
65,65,65,65,2019-05-09,193.72999572753903,194.44000244140625,189.2899932861328,-0.0036515465179608464,0.023456086422353417
66,66,66,66,2019-05-10,194.63999938964844,194.97999572753903,189.3600006103516,-0.0017437498478853897,0.027883390168346844
67,67,67,67,2019-05-13,189.2100067138672,196.9499969482422,189.17999267578125,-0.03929926557149954,0.0001586533420443459
68,68,68,68,2019-05-14,191.25,197.1300048828125,199.8600006103516,-0.029828056293652372,-0.04308015903160989
69,69,69,69,2019-05-15,193.8800048828125,193.17999267578125,197.47000122070312,0.0036236268432108254,-0.01817995804779604
70,70,70,70,2019-05-16,196.8300018310547,193.1499938964844,197.4499969482422,0.019052591513632366,-0.003140010771182866
71,71,71,71,2019-05-17,195.3000030517578,193.72999572753903,194.44000244140625,0.00810410033987119,0.004422961322533059
72,72,72,72,2019-05-20,194.1600036621093,194.63999938964844,194.97999572753903,-0.00246606930252935,-0.004205518942443587
