,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CFG,CFG_6m,CFG_12m,CFG_6m_ret,CFG_12m_ret
0,0,0,0,2019-02-05,27.33772850036621,,,,
1,1,1,1,2019-02-06,27.44905471801757,,,,
2,2,2,2,2019-02-07,28.291927337646484,,,,
3,3,3,3,2019-02-08,28.085174560546875,,,,
4,4,4,4,2019-02-11,28.18854522705078,,,,
5,5,5,5,2019-02-12,28.64179801940918,,,,
6,6,6,6,2019-02-13,28.87239646911621,27.33772850036621,,0.056137362280463066,
7,7,7,7,2019-02-14,28.54637908935547,27.44905471801757,,0.039976763593888576,
8,8,8,8,2019-02-15,29.182504653930664,28.291927337646484,,0.03147814235685309,
9,9,9,9,2019-02-19,29.48467254638672,28.085174560546875,,0.04983048913663546,
10,10,10,10,2019-02-20,29.945863723754883,28.18854522705078,,0.06234158175065074,
11,11,11,11,2019-02-21,29.603944778442383,28.64179801940918,,0.03359240081161108,
12,12,12,12,2019-02-22,29.603944778442383,28.87239646911621,27.33772850036621,0.02533729093491366,0.08289702189579562
13,13,13,13,2019-02-25,29.452863693237305,28.54637908935547,27.44905471801757,0.03175480158251842,0.07300101937224213
14,14,14,14,2019-02-26,29.17454719543457,29.182504653930664,28.291927337646484,-0.00027267907914207967,0.031196879846840053
15,15,15,15,2019-02-27,29.44491195678711,29.48467254638672,28.085174560546875,-0.0013485172520418809,0.04841477461031518
16,16,16,16,2019-02-28,29.373340606689453,29.945863723754883,28.18854522705078,-0.019118604236860626,0.04203109348479961
17,17,17,17,2019-03-01,29.42105865478516,29.603944778442383,28.64179801940918,-0.006177761951184357,0.027207113004843908
18,18,18,18,2019-03-04,29.30177879333496,29.603944778442383,28.87239646911621,-0.01020695003212746,0.014871724440264078
19,19,19,19,2019-03-05,29.05527687072754,29.452863693237305,28.54637908935547,-0.013499088803410886,0.017827051892610468
20,20,20,20,2019-03-06,28.411195755004883,29.17454719543457,29.182504653930664,-0.026164979881817763,-0.02643052431833992
21,21,21,21,2019-03-07,27.76710700988769,29.44491195678711,29.48467254638672,-0.05698115006632509,-0.05825282725446146
22,22,22,22,2019-03-08,27.63988304138184,29.373340606689453,29.945863723754883,-0.059014655109158376,-0.07700498151081214
23,23,23,23,2019-03-11,27.91023826599121,29.42105865478516,29.603944778442383,-0.05135166638703614,-0.05721218996748467
24,24,24,24,2019-03-12,27.8784408569336,29.30177879333496,29.603944778442383,-0.04857513758601972,-0.058286283616002965
25,25,25,25,2019-03-13,28.22831153869629,29.05527687072754,29.452863693237305,-0.028461794933518525,-0.041576675439617294
26,26,26,26,2019-03-14,28.41914749145508,28.411195755004883,29.17454719543457,0.0002798803865478039,-0.025892422559953165
27,27,27,27,2019-03-15,28.52252197265625,27.76710700988769,29.44491195678711,0.027205389545967407,-0.03132595490468926
28,28,28,28,2019-03-18,28.94396209716797,27.63988304138184,29.373340606689453,0.04718106273581868,-0.014617966518377545
29,29,29,29,2019-03-19,28.41914749145508,27.91023826599121,29.42105865478516,0.018233782908402496,-0.034054218615519605
30,30,30,30,2019-03-20,27.24230194091797,27.8784408569336,29.30177879333496,-0.022818310366787165,-0.07028504538725977
31,31,31,31,2019-03-21,26.46304512023925,28.22831153869629,29.05527687072754,-0.06253531728375439,-0.0892172448406402
32,32,32,32,2019-03-22,25.26235008239746,28.41914749145508,28.411195755004883,-0.11107994741949212,-0.11083115613156569
33,33,33,33,2019-03-25,25.1351261138916,28.52252197265625,27.76710700988769,-0.11876214389499118,-0.09478772473700114
34,34,34,34,2019-03-26,25.620174407958984,28.94396209716797,27.63988304138184,-0.11483526954777912,-0.07307225686877872
35,35,35,35,2019-03-27,25.43728256225586,28.41914749145508,27.91023826599121,-0.10492450310466894,-0.08860389080764897
36,36,36,36,2019-03-28,25.78715705871582,27.24230194091797,27.8784408569336,-0.05341490177144392,-0.07501437433139879
37,37,37,37,2019-03-29,25.84281539916992,26.46304512023925,28.22831153869629,-0.023437579396143438,-0.08450722021599677
38,38,38,38,2019-04-01,26.83677291870117,25.26235008239746,28.41914749145508,0.06232289676805447,-0.05567987474746361
39,39,39,39,2019-04-02,27.04351043701172,25.1351261138916,28.52252197265625,0.07592499494424243,-0.05185416412554322
