,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,LEN,LEN_6m,LEN_12m,LEN_6m_ret,LEN_12m_ret
0,0,0,0,2019-02-05,44.28360748291016,,,,
1,1,1,1,2019-02-06,43.500091552734375,,,,
2,2,2,2,2019-02-07,43.60391998291016,,,,
3,3,3,3,2019-02-08,43.452880859375,,,,
4,4,4,4,2019-02-11,43.41512680053711,,,,
5,5,5,5,2019-02-12,45.88843536376953,,,,
6,6,6,6,2019-02-13,45.47306060791016,44.28360748291016,,0.026859896756582735,
7,7,7,7,2019-02-14,45.53915023803711,43.500091552734375,,0.04687481365023838,
8,8,8,8,2019-02-15,46.162208557128906,43.60391998291016,,0.05867106845488723,
9,9,9,9,2019-02-19,46.61532211303711,43.452880859375,,0.07277863265030926,
10,10,10,10,2019-02-20,46.20939254760742,43.41512680053711,,0.06436157056290681,
11,11,11,11,2019-02-21,46.46427917480469,45.88843536376953,,0.012548778498771895,
12,12,12,12,2019-02-22,47.43661880493164,45.47306060791016,44.28360748291016,0.043180691397752824,0.07120041706715696
13,13,13,13,2019-02-25,46.86076354980469,45.53915023803711,43.500091552734375,0.029021475035423183,0.0772566649198021
14,14,14,14,2019-02-26,46.69084548950195,46.162208557128906,43.60391998291016,0.01145172531593297,0.07079467873075762
15,15,15,15,2019-02-27,46.10556411743164,46.61532211303711,43.452880859375,-0.01093541720830249,0.061047350730125904
16,16,16,16,2019-02-28,45.293704986572266,46.20939254760742,43.41512680053711,-0.019816048438459077,0.043270130124597905
17,17,17,17,2019-03-01,44.39689636230469,46.46427917480469,45.88843536376953,-0.04449402528601032,-0.032503592455071284
18,18,18,18,2019-03-04,44.93498229980469,47.43661880493164,45.47306060791016,-0.052736400024929186,-0.011832902842081272
19,19,19,19,2019-03-05,43.54727554321289,46.86076354980469,45.53915023803711,-0.07070921930390972,-0.043739830111289235
20,20,20,20,2019-03-06,43.33015823364258,46.69084548950195,46.162208557128906,-0.0719774341335283,-0.061349974622238235
21,21,21,21,2019-03-07,44.88777542114258,46.10556411743164,46.61532211303711,-0.02641305273236294,-0.03705963218929209
22,22,22,22,2019-03-08,45.05770492553711,45.293704986572266,46.20939254760742,-0.005210438428587816,-0.02492323656676032
23,23,23,23,2019-03-11,45.79402923583984,44.39689636230469,46.46427917480469,0.031469156360249384,-0.014425058364583299
24,24,24,24,2019-03-12,45.84122848510742,44.93498229980469,47.43661880493164,0.02016794352463047,-0.0336320412376937
25,25,25,25,2019-03-13,45.3786735534668,43.54727554321289,46.86076354980469,0.04205539812557446,-0.03162752554730974
26,26,26,26,2019-03-14,45.33146667480469,43.33015823364258,46.69084548950195,0.04618742517326524,-0.029114461313469064
27,27,27,27,2019-03-15,45.05770492553711,44.88777542114258,46.10556411743164,0.0037856521692205547,-0.022727391193514412
28,28,28,28,2019-03-18,45.180423736572266,45.05770492553711,45.293704986572266,0.0027235921411878916,-0.0025010373965561605
29,29,29,29,2019-03-19,43.98152923583984,45.79402923583984,44.39689636230469,-0.03957939561652468,-0.009355769445575923
30,30,30,30,2019-03-20,43.63224411010742,45.84122848510742,44.93498229980469,-0.04818772201355026,-0.028991625745069638
31,31,31,31,2019-03-21,44.90666580200195,45.3786735534668,43.54727554321289,-0.010401532581350348,0.031216424950399224
32,32,32,32,2019-03-22,45.16156005859375,45.33146667480469,43.33015823364258,-0.0037480943961023527,0.042266215947700525
33,33,33,33,2019-03-25,46.77580642700195,45.05770492553711,44.88777542114258,0.038131136601480264,0.04206113999069094
34,34,34,34,2019-03-26,46.92684555053711,45.180423736572266,45.05770492553711,0.03865439209130672,0.041483263031016904
35,35,35,35,2019-03-27,48.77710723876953,43.98152923583984,45.79402923583984,0.10903618146642002,0.06514119968712095
36,36,36,36,2019-03-28,46.97404479980469,43.63224411010742,45.84122848510742,0.07659016302861077,0.024711735530065226
37,37,37,37,2019-03-29,46.3415641784668,44.90666580200195,45.3786735534668,0.031952903891628415,0.02121901213938049
38,38,38,38,2019-04-01,46.1716423034668,45.16156005859375,45.33146667480469,0.022365973264930172,0.018534049089770077
39,39,39,39,2019-04-02,46.12443161010742,46.77580642700195,45.05770492553711,-0.013925464180100544,0.023674678644489244
40,40,40,40,2019-04-03,47.02124786376953,46.92684555053711,45.180423736572266,0.00201169100809806,0.04074384379239837
41,41,41,41,2019-04-04,47.85197830200195,48.77710723876953,43.98152923583984,-0.018966457609693177,0.08800169374302125
42,42,42,42,2019-04-05,48.78655242919922,46.97404479980469,43.63224411010742,0.03858530039555097,0.11813071787196483
43,43,43,43,2019-04-08,48.427825927734375,46.3415641784668,44.90666580200195,0.04501923459538704,0.07841063376331636
44,44,44,44,2019-04-09,47.4177360534668,46.1716423034668,45.16156005859375,0.02698829168366923,0.04995788435886239
45,45,45,45,2019-04-10,47.99357604980469,46.12443161010742,46.77580642700195,0.04052395605646164,0.026034176977860923
46,46,46,46,2019-04-11,48.427825927734375,47.02124786376953,46.92684555053711,0.02991366941260254,0.031985537480477166
47,47,47,47,2019-04-12,48.11630630493164,47.85197830200195,48.77710723876953,0.005523867817156303,-0.013547357997332532
48,48,48,48,2019-04-15,48.27677917480469,48.78655242919922,46.97404479980469,-0.0104490526387232,0.027733067921913657
49,49,49,49,2019-04-16,48.52222442626953,48.427825927734375,46.3415641784668,0.001949261539760716,0.0470562503976939
50,50,50,50,2019-04-17,49.003684997558594,47.4177360534668,46.1716423034668,0.033446323593001814,0.061337274413545195
51,51,51,51,2019-04-18,49.94769287109375,47.99357604980469,46.12443161010742,0.04071621625488375,0.08289015446964387
