,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,DFS,DFS_6m,DFS_12m,DFS_6m_ret,DFS_12m_ret
0,0,0,0,2019-02-05,61.428829193115234,,,,
1,1,1,1,2019-02-06,61.286746978759766,,,,
2,2,2,2,2019-02-07,61.19795227050781,,,,
3,3,3,3,2019-02-08,60.38991165161133,,,,
4,4,4,4,2019-02-11,60.27445983886719,,,,
5,5,5,5,2019-02-12,61.9083137512207,,,,
6,6,6,6,2019-02-13,62.31678009033203,61.428829193115234,,0.014454953950454152,
7,7,7,7,2019-02-14,61.88167953491211,61.286746978759766,,0.00970736065267963,
8,8,8,8,2019-02-15,63.30240249633789,61.19795227050781,,0.03438759219471854,
9,9,9,9,2019-02-19,63.568790435791016,60.38991165161133,,0.052639235548457286,
10,10,10,10,2019-02-20,63.9527587890625,60.27445983886719,,0.06102583017796559,
11,11,11,11,2019-02-21,63.58663558959961,61.9083137512207,,0.02710979732259,
12,12,12,12,2019-02-22,63.80988693237305,62.31678009033203,61.428829193115234,0.02395994850627181,0.03876124240903933
13,13,13,13,2019-02-25,63.42591857910156,61.88167953491211,61.286746978759766,0.024954704781699366,0.03490430975367609
14,14,14,14,2019-02-26,63.19374465942383,63.30240249633789,61.19795227050781,-0.0017164883579315893,0.03261207793512755
15,15,15,15,2019-02-27,63.62235641479492,63.568790435791016,60.38991165161133,0.0008426458744408283,0.05352623765756648
16,16,16,16,2019-02-28,63.9438362121582,63.9527587890625,60.27445983886719,-0.000139518248676751,0.060877797712338255
17,17,17,17,2019-03-01,64.14920806884766,63.58663558959961,61.9083137512207,0.008847338344475375,0.03619698521642856
18,18,18,18,2019-03-04,63.79204940795898,63.80988693237305,62.31678009033203,-0.0002795417022596336,0.02367370899922072
19,19,19,19,2019-03-05,63.42591857910156,63.42591857910156,61.88167953491211,0.0,0.024954704781699366
20,20,20,20,2019-03-06,63.66701889038086,63.19374465942383,63.30240249633789,0.007489257576168251,0.005759913994797694
21,21,21,21,2019-03-07,62.425811767578125,63.62235641479492,63.568790435791016,-0.018806984127022197,-0.01798018588016681
