,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,BKR,BKR_6m,BKR_12m,BKR_6m_ret,BKR_12m_ret
0,0,0,0,2019-02-05,21.607994079589844,,,,
1,1,1,1,2019-02-06,21.478496551513672,,,,
2,2,2,2,2019-02-07,21.05548858642578,,,,
3,3,3,3,2019-02-08,21.24541473388672,,,,
4,4,4,4,2019-02-11,21.42670249938965,,,,
5,5,5,5,2019-02-12,21.35763931274414,,,,
6,6,6,6,2019-02-13,21.694320678710938,21.607994079589844,,0.003995123230926545,
7,7,7,7,2019-02-14,22.13459587097168,21.478496551513672,,0.030546799115311885,
8,8,8,8,2019-02-15,22.29861831665039,21.05548858642578,,0.05904064990569924,
9,9,9,9,2019-02-19,22.5230770111084,21.24541473388672,,0.06013826010107448,
10,10,10,10,2019-02-20,22.94608688354492,21.42670249938965,,0.07091078919859695,
11,11,11,11,2019-02-21,22.678466796875,21.35763931274414,,0.06184332756957467,
12,12,12,12,2019-02-22,22.74752426147461,21.694320678710938,21.607994079589844,0.04854743314443577,0.05273650935331964
13,13,13,13,2019-02-25,23.092845916748047,22.13459587097168,21.478496551513672,0.04329196030333038,0.07516119023333623
14,14,14,14,2019-02-26,23.092845916748047,22.29861831665039,21.05548858642578,0.03561779428748757,0.09676134191612751
15,15,15,15,2019-02-27,23.02377891540528,22.5230770111084,21.24541473388672,0.022230617248697238,0.08370578799208128
16,16,16,16,2019-02-28,22.773422241210938,22.94608688354492,21.42670249938965,-0.007524796851431814,0.06285240306387085
17,17,17,17,2019-03-01,23.39499282836914,22.678466796875,21.35763931274414,0.031594994402041054,0.09539226155998004
18,18,18,18,2019-03-04,23.38635635375977,22.74752426147461,21.694320678710938,0.028083587688137568,0.07799440692831916
19,19,19,19,2019-03-05,23.40361976623535,23.092845916748047,22.13459587097168,0.013457581218342396,0.05733214659355612
20,20,20,20,2019-03-06,22.712995529174805,23.092845916748047,22.29861831665039,-0.016448833935091445,0.018583089169027067
21,21,21,21,2019-03-07,22.48854255676269,23.02377891540528,22.5230770111084,-0.023247111632246464,-0.0015332920243834591
22,22,22,22,2019-03-08,22.21229362487793,22.773422241210938,22.94608688354492,-0.02463962642020423,-0.0319790150883289
23,23,23,23,2019-03-11,22.87701988220215,23.39499282836914,22.678466796875,-0.022140333616126995,0.008755137069253127
24,24,24,24,2019-03-12,23.15327262878418,23.38635635375977,22.74752426147461,-0.009966654123018892,0.01783703416009752
25,25,25,25,2019-03-13,23.52447509765625,23.40361976623535,23.092845916748047,0.005163958935756607,0.018691034550885055
26,26,26,26,2019-03-14,23.921592712402344,22.712995529174805,23.092845916748047,0.053211703479406625,0.035887599070379084
27,27,27,27,2019-03-15,24.042455673217773,22.48854255676269,23.02377891540528,0.0690979912341092,0.04424455088607959
28,28,28,28,2019-03-18,24.327333450317383,22.21229362487793,22.773422241210938,0.0952193348943755,0.0682335396343936
29,29,29,29,2019-03-19,24.01655578613281,22.87701988220215,23.39499282836914,0.04981137883335918,0.026568204671982176
30,30,30,30,2019-03-20,24.38776588439941,23.15327262878418,23.38635635375977,0.053318305166091706,0.04282024593705658
31,31,31,31,2019-03-21,24.56905174255371,23.52447509765625,23.40361976623535,0.04440382370110907,0.04979708215904877
32,32,32,32,2019-03-22,23.44678497314453,23.921592712402344,22.712995529174805,-0.019848500263598412,0.032307030705270634
33,33,33,33,2019-03-25,23.67987823486328,24.042455673217773,22.48854255676269,-0.015080715684063328,0.05297522838990454
34,34,34,34,2019-03-26,23.89569854736328,24.327333450317383,22.21229362487793,-0.017742795519928634,0.07578708218587238
35,35,35,35,2019-03-27,23.55038070678711,24.01655578613281,22.87701988220215,-0.019410571752960126,0.02943393973744035
36,36,36,36,2019-03-28,23.44678497314453,24.38776588439941,23.15327262878418,-0.03858413746118561,0.012676926889179985
37,37,37,37,2019-03-29,23.93022727966309,24.56905174255371,23.52447509765625,-0.02600118513260219,0.01724808652785903
38,38,38,38,2019-04-01,24.0338191986084,23.44678497314453,23.921592712402344,0.0250368750400638,0.0046914303556331305
39,39,39,39,2019-04-02,23.300024032592773,23.67987823486328,24.042455673217773,-0.016041222784298648,-0.030880025348327234
40,40,40,40,2019-04-03,22.85112190246582,23.89569854736328,24.327333450317383,-0.043714003289212156,-0.060681190187422795
41,41,41,41,2019-04-04,23.11010360717773,23.55038070678711,24.01655578613281,-0.01869511601918572,-0.0377428048812255
42,42,42,42,2019-04-05,23.11873817443848,23.44678497314453,24.38776588439941,-0.013991120705111104,-0.05203542284177465
43,43,43,43,2019-04-08,23.15327262878418,23.93022727966309,24.56905174255371,-0.03246749986111497,-0.05762449151903548
44,44,44,44,2019-04-09,23.032413482666016,24.0338191986084,23.44678497314453,-0.04166652447815555,-0.017672849004805036
45,45,45,45,2019-04-10,23.196435928344727,23.300024032592773,23.67987823486328,-0.004445836798414704,-0.020415742924167368
46,46,46,46,2019-04-11,23.015146255493164,22.85112190246582,23.89569854736328,0.0071779562389733265,-0.03684982425287919
47,47,47,47,2019-04-12,22.773422241210938,23.11010360717773,23.55038070678711,-0.014568578821179456,-0.03299133356906858
48,48,48,48,2019-04-15,22.4022159576416,23.11873817443848,23.44678497314453,-0.03099313688275207,-0.04455062886870664
49,49,49,49,2019-04-16,22.30725479125977,23.15327262878418,23.93022727966309,-0.03653988147112475,-0.06782102273565072
50,50,50,50,2019-04-17,22.25545883178711,23.032413482666016,24.0338191986084,-0.03373309755243992,-0.07399408109570282
51,51,51,51,2019-04-18,22.100067138671875,23.196435928344727,23.300024032592773,-0.04726453637358796,-0.05150024275693288
52,52,52,52,2019-04-22,22.96334457397461,23.015146255493164,22.85112190246582,-0.002250764819979878,0.004911035527611407
