,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,COP,COP_6m,COP_12m,COP_6m_ret,COP_12m_ret
0,0,0,0,2019-02-05,57.85745620727539,,,,
1,1,1,1,2019-02-06,57.73214340209961,,,,
2,2,2,2,2019-02-07,56.37050628662109,,,,
3,3,3,3,2019-02-08,55.602684020996094,,,,
4,4,4,4,2019-02-11,56.00545501708984,,,,
5,5,5,5,2019-02-12,56.601261138916016,,,,
6,6,6,6,2019-02-13,56.87818908691406,57.85745620727539,,-0.01692551288209221,
7,7,7,7,2019-02-14,57.98588180541992,57.73214340209961,,0.004395097572474471,
8,8,8,8,2019-02-15,58.89217758178711,56.37050628662109,,0.04473387700909326,
9,9,9,9,2019-02-19,58.31315612792969,55.602684020996094,,0.04874714511821221,
10,10,10,10,2019-02-20,59.28658676147461,56.00545501708984,,0.05858593137728363,
11,11,11,11,2019-02-21,58.94252014160156,56.601261138916016,,0.04136407838933853,
12,12,12,12,2019-02-22,58.71595764160156,56.87818908691406,57.85745620727539,0.03231060243284567,0.014838216033048024
13,13,13,13,2019-02-25,58.11175155639648,57.98588180541992,57.73214340209961,0.0021706965050376503,0.006575334500452001
14,14,14,14,2019-02-26,57.83483123779297,58.89217758178711,56.37050628662109,-0.017953935266287968,0.025976792610773902
15,15,15,15,2019-02-27,58.08657836914063,58.31315612792969,55.602684020996094,-0.003885534137304747,0.04467220228445434
16,16,16,16,2019-02-28,56.93692398071289,59.28658676147461,56.00545501708984,-0.03963228293467158,0.016631754234276208
17,17,17,17,2019-03-01,57.84322738647461,58.94252014160156,56.601261138916016,-0.018650250319905748,0.02194237765321949
18,18,18,18,2019-03-04,58.65721893310547,58.71595764160156,56.87818908691406,-0.0010003874731062679,0.03127789183781715
19,19,19,19,2019-03-05,57.91036987304688,58.11175155639648,57.98588180541992,-0.003465420985532597,-0.0013022468577167379
20,20,20,20,2019-03-06,57.3061637878418,57.83483123779297,58.89217758178711,-0.00914098716355738,-0.026930805738040853
21,21,21,21,2019-03-07,57.02084732055664,58.08657836914063,58.31315612792969,-0.018347285698449345,-0.022161530830845932
22,22,22,22,2019-03-08,54.90616607666016,56.93692398071289,59.28658676147461,-0.035666800418312716,-0.07388552662743131
23,23,23,23,2019-03-11,55.2754020690918,57.84322738647461,58.94252014160156,-0.04439284309338598,-0.062215155777187725
24,24,24,24,2019-03-12,55.0739860534668,58.65721893310547,58.71595764160156,-0.06108767078993471,-0.06202694692242139
25,25,25,25,2019-03-13,56.517356872558594,57.91036987304688,58.11175155639648,-0.024054638289171648,-0.027436699826377642
26,26,26,26,2019-03-14,56.24043655395508,57.3061637878418,57.83483123779297,-0.01859707862896287,-0.027568070135493228
27,27,27,27,2019-03-15,56.718746185302734,57.02084732055664,58.08657836914063,-0.0052980821830930225,-0.023548162454075316
28,28,28,28,2019-03-18,56.73552703857422,54.90616607666016,56.93692398071289,0.03331795119986891,-0.003537193934236682
29,29,29,29,2019-03-19,56.517356872558594,55.2754020690918,57.84322738647461,0.022468489725581797,-0.022921793506737176
30,30,30,30,2019-03-20,56.676788330078125,55.0739860534668,58.65721893310547,0.02910271058018754,-0.03376277701276442
31,31,31,31,2019-03-21,57.180294036865234,56.517356872558594,57.91036987304688,0.01172979772924454,-0.012606996601509324
32,32,32,32,2019-03-22,55.4432373046875,56.24043655395508,57.3061637878418,-0.014174841059471088,-0.032508309054697926
33,33,33,33,2019-03-25,56.28237533569336,56.718746185302734,57.02084732055664,-0.007693591254357646,-0.012950912158701922
34,34,34,34,2019-03-26,57.53273010253906,56.73552703857422,54.90616607666016,0.014051214566541903,0.04783732344763769
35,35,35,35,2019-03-27,56.987281799316406,56.517356872558594,55.2754020690918,0.008314701054004559,0.030970009554789568
