,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,TGT,TGT_6m,TGT_12m,TGT_6m_ret,TGT_12m_ret
65,65,65,65,2019-05-09,67.35565185546875,67.85781860351562,73.67781066894531,-0.007400278381787806,-0.08580817964154452
66,66,66,66,2019-05-10,66.93418884277344,68.53040313720703,74.32345581054688,-0.02329206047770882,-0.09942039006648107
67,67,67,67,2019-05-13,64.27975463867188,68.09994506835938,73.30116271972656,-0.05609682101582836,-0.12307319210677237
68,68,68,68,2019-05-14,64.47881317138672,68.13581848144531,69.15814208984375,-0.05367228854900252,-0.06766128726214315
69,69,69,69,2019-05-15,64.07164764404297,67.29288482666016,69.76791381835938,-0.047868912009267794,-0.08164592951921457
70,70,70,70,2019-05-16,64.04449462890625,67.62466430664062,69.42716217041016,-0.05294177375136799,-0.0775297070085057
71,71,71,71,2019-05-17,64.14402770996094,67.35565185546875,67.85781860351562,-0.047681583609335276,-0.05472900499872957
72,72,72,72,2019-05-20,65.22078704833984,66.93418884277344,68.53040313720703,-0.02559830520182038,-0.0482941284066416
73,73,73,73,2019-05-21,65.11219024658203,64.27975463867188,68.09994506835938,0.012950198901495957,-0.04387308710422899
74,74,74,74,2019-05-22,70.1792984008789,64.47881317138672,68.13581848144531,0.08840865625643768,0.029991272798610025
75,75,75,75,2019-05-23,71.84420776367188,64.07164764404297,67.29288482666016,0.12131044550017211,0.06763453444945156
76,76,76,76,2019-05-24,73.80770874023438,64.04449462890625,67.62466430664062,0.15244423689966213,0.09143179484865227
77,77,77,77,2019-05-28,73.08384704589844,64.14402770996094,67.35565185546875,0.13937103195889944,0.08504401683649654
78,78,78,78,2019-05-29,72.06135559082031,65.22078704833984,66.93418884277344,0.10488325658214492,0.07660011776777398
79,79,79,79,2019-05-30,72.7400131225586,65.11219024658203,64.27975463867188,0.1171489216856283,0.1316162224240487
80,80,80,80,2019-05-31,72.79429626464844,70.1792984008789,64.47881317138672,0.03726167008441883,0.1289645805228905
81,81,81,81,2019-06-03,75.056396484375,71.84420776367188,64.07164764404297,0.04471047591295685,0.17144476916465456
82,82,82,82,2019-06-04,77.680419921875,73.80770874023438,64.04449462890625,0.05247028051325375,0.2129133092856701
83,83,83,83,2019-06-05,77.35468292236328,73.08384704589844,64.14402770996094,0.05843748036118912,0.20595300426310548
84,84,84,84,2019-06-06,77.54469299316406,72.06135559082031,65.22078704833984,0.07609262075888923,0.18895671920809676
85,85,85,85,2019-06-07,78.58526611328125,72.7400131225586,65.11219024658203,0.08035815144649572,0.2069209439227313
86,86,86,86,2019-06-10,79.21865844726562,72.79429626464844,70.1792984008789,0.08825364777565814,0.12880379616723991
87,87,87,87,2019-06-11,79.4900894165039,75.056396484375,71.84420776367188,0.059071486772641624,0.1064230769720893
88,88,88,88,2019-06-12,79.861083984375,77.680419921875,73.80770874023438,0.02807224863991653,0.08201548791394453
89,89,89,89,2019-06-13,79.89727783203125,77.35468292236328,73.08384704589844,0.03286930814802558,0.09322758805860087
90,90,90,90,2019-06-14,79.4358139038086,77.54469299316406,72.06135559082031,0.024387496263751363,0.10233582552709697
91,91,91,91,2019-06-17,78.84764862060547,78.58526611328125,72.7400131225586,0.0033388257150646083,0.08396527902402506
92,92,92,92,2019-06-18,78.24143981933594,79.21865844726562,72.79429626464844,-0.012335712912636687,0.07482926320056804
93,93,93,93,2019-06-19,77.96092224121094,79.4900894165039,75.056396484375,-0.019237205373874966,0.038697911075981306
94,94,94,94,2019-06-20,78.00616455078125,79.861083984375,77.680419921875,-0.023226825144981422,0.004193394284349283
95,95,95,95,2019-06-21,79.26387786865234,79.89727783203125,77.35468292236328,-0.007927678896776813,0.024681051930691922
96,96,96,96,2019-06-24,78.4676284790039,79.4358139038086,77.54469299316406,-0.012188273490557955,0.01190198129898068
97,97,97,97,2019-06-25,77.54469299316406,78.84764862060547,78.58526611328125,-0.016524977602197066,-0.013241325907291546
98,98,98,98,2019-06-26,77.4451675415039,78.24143981933594,79.21865844726562,-0.010177116879120152,-0.022387287799657707
99,99,99,99,2019-06-27,77.6985092163086,77.96092224121094,79.4900894165039,-0.003365955883518623,-0.022538409672782977
100,100,100,100,2019-06-28,78.36808776855469,78.00616455078125,79.861083984375,0.004639674567486596,-0.01869491548740332
101,101,101,101,2019-07-01,78.66667938232422,79.26387786865234,79.89727783203125,-0.0075343082168871645,-0.01540225753741109
102,102,102,102,2019-07-02,78.75717163085938,78.4676284790039,79.4358139038086,0.003689969449413688,-0.008543278397965537
103,103,103,103,2019-07-03,79.53533172607422,77.54469299316406,78.84764862060547,0.025670857102827682,0.008721669161977141
104,104,104,104,2019-07-05,80.20491027832031,77.4451675415039,78.24143981933594,0.03563479587460927,0.0250950195129096
105,105,105,105,2019-07-08,80.44923400878906,77.6985092163086,77.96092224121094,0.03540254272862042,0.03191742344811277
106,106,106,106,2019-07-09,79.44486236572266,78.36808776855469,78.00616455078125,0.013739962628002589,0.018443386150652552
107,107,107,107,2019-07-10,77.680419921875,78.66667938232422,79.26387786865234,-0.012537194504625648,-0.019977043633939817
108,108,108,108,2019-07-11,78.24143981933594,78.75717163085938,78.4676284790039,-0.0065483790344923465,-0.0028825729036591197
109,109,109,109,2019-07-12,79.20054626464844,79.53533172607422,77.54469299316406,-0.004209267179255738,0.021353534427305698
110,110,110,110,2019-07-15,78.54002380371094,80.20491027832031,77.4451675415039,-0.02075791206338895,0.014137179852058424
111,111,111,111,2019-07-16,79.90631103515625,80.44923400878906,77.6985092163086,-0.006748640684055451,0.028414983004387606
112,112,112,112,2019-07-17,79.49915313720703,79.44486236572266,78.36808776855469,0.0006833767454268447,0.01443272894437242
113,113,113,113,2019-07-18,80.0782470703125,77.680419921875,78.66667938232422,0.030867844829482793,0.01794365415029131
114,114,114,114,2019-07-19,79.63485717773438,78.24143981933594,78.75717163085938,0.0178091988288549,0.01114419841013059
115,115,115,115,2019-07-22,78.92003631591797,79.20054626464844,79.53533172607422,-0.0035417678533825603,-0.007736126785456543
116,116,116,116,2019-07-23,80.11442565917969,78.54002380371094,80.20491027832031,0.020045854065483093,-0.0011281680738327582
117,117,117,117,2019-07-24,80.6120834350586,79.90631103515625,80.44923400878906,0.008832498844701053,0.0020242507996004466
118,118,118,118,2019-07-25,79.59868621826172,79.49915313720703,79.44486236572266,0.0012520017777157832,0.0019362341120428006
119,119,119,119,2019-07-26,78.77527618408203,80.0782470703125,77.680419921875,-0.016271221385333212,0.014094365907241002
120,120,120,120,2019-07-29,78.9291000366211,79.63485717773438,78.24143981933594,-0.008862414853562539,0.008788951467061601
121,121,121,121,2019-07-30,78.61239624023438,78.92003631591797,79.20054626464844,-0.003898123848449675,-0.00742608545209722
122,122,122,122,2019-07-31,78.17809295654297,80.11442565917969,78.54002380371094,-0.02416958851922879,-0.0046082344980250545
123,123,123,123,2019-08-01,74.75780487060547,80.6120834350586,79.90631103515625,-0.07262284157646604,-0.06443178389608806
124,124,124,124,2019-08-02,73.76246643066406,79.59868621826172,79.49915313720703,-0.07332055420606554,-0.0721603498925587
125,125,125,125,2019-08-05,73.1019287109375,78.77527618408203,80.0782470703125,-0.07201939171735883,-0.08711876963602194
126,126,126,126,2019-08-06,74.89352416992188,78.9291000366211,79.63485717773438,-0.05112912556746263,-0.05953841289914641
127,127,127,127,2019-08-07,75.11066436767578,78.61239624023438,78.92003631591797,-0.04454427087882584,-0.048268755642650985
128,128,128,128,2019-08-08,75.82550048828125,78.17809295654297,80.11442565917969,-0.030092732878115314,-0.05353499242626103
129,129,129,129,2019-08-09,74.56778717041016,74.75780487060547,80.6120834350586,-0.0025417774174109065,-0.07498002789516967
130,130,130,130,2019-08-12,74.22393035888672,73.76246643066406,79.59868621826172,0.006256080504797534,-0.0675231729910375
131,131,131,131,2019-08-13,76.22362518310547,73.1019287109375,78.77527618408203,0.04270333939494142,-0.032391520849941124
132,132,132,132,2019-08-14,74.09724426269531,74.89352416992188,78.9291000366211,-0.010632159670039387,-0.0612176722106792
133,133,133,133,2019-08-15,74.70350646972656,75.11066436767578,78.61239624023438,-0.005420773486387143,-0.049723579962662634
134,134,134,134,2019-08-16,76.19647216796875,75.82550048828125,78.17809295654297,0.004892439579015084,-0.025347520176473792
135,135,135,135,2019-08-19,78.3409652709961,74.56778717041016,74.75780487060547,0.05060064464516123,0.047930251651884914
136,136,136,136,2019-08-20,77.9853286743164,74.22393035888672,73.76246643066406,0.050676355957473884,0.05724947182483109
137,137,137,137,2019-08-21,93.91431427001952,76.22362518310547,73.1019287109375,0.23208931672322364,0.2847036449801368
138,138,138,138,2019-08-22,96.94144439697266,74.09724426269531,74.89352416992188,0.308300266245912,0.2943902089188304
