,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PLD,PLD_6m,PLD_12m,PLD_6m_ret,PLD_12m_ret
0,0,0,0,2019-02-05,61.69986724853516,,,,
1,1,1,1,2019-02-06,61.2940673828125,,,,
2,2,2,2,2019-02-07,62.13214874267578,,,,
3,3,3,3,2019-02-08,62.48501968383789,,,,
4,4,4,4,2019-02-11,62.67028427124024,,,,
5,5,5,5,2019-02-12,62.2821159362793,,,,
6,6,6,6,2019-02-13,62.4761848449707,61.69986724853516,,0.012582159914679147,
7,7,7,7,2019-02-14,62.50265884399414,61.2940673828125,,0.01971791908723186,
8,8,8,8,2019-02-15,62.80258941650391,62.13214874267578,,0.010790559917777998,
9,9,9,9,2019-02-19,62.9702033996582,62.48501968383789,,0.00776480055980211,
10,10,10,10,2019-02-20,62.03510284423828,62.67028427124024,,-0.010135288747899485,
11,11,11,11,2019-02-21,62.66144180297852,62.2821159362793,,0.006090446045335263,
12,12,12,12,2019-02-22,63.181941986083984,62.4761848449707,61.69986724853516,0.011296418673204078,0.02402071193409272
13,13,13,13,2019-02-25,62.86434173583984,62.50265884399414,61.2940673828125,0.005786680095457353,0.02561870047259518
14,14,14,14,2019-02-26,62.67028427124024,62.80258941650391,62.13214874267578,-0.0021066829647139462,0.008661144664305453
15,15,15,15,2019-02-27,61.89396286010742,62.9702033996582,62.48501968383789,-0.017091266685611894,-0.009459176402937919
16,16,16,16,2019-02-28,61.80572509765625,62.03510284423828,62.67028427124024,-0.0036975476152263376,-0.013795360650386335
17,17,17,17,2019-03-01,61.64694213867188,62.66144180297852,62.2821159362793,-0.01619017429404912,-0.010198333631716405
18,18,18,18,2019-03-04,62.0527572631836,63.181941986083984,62.4761848449707,-0.01787195340005676,-0.006777423794967707
19,19,19,19,2019-03-05,62.0527572631836,62.86434173583984,62.50265884399414,-0.012910092593772293,-0.007198119074157905
20,20,20,20,2019-03-06,61.90276718139648,62.67028427124024,62.80258941650391,-0.012246906149681935,-0.014327788765839844
21,21,21,21,2019-03-07,61.329345703125,61.89396286010742,62.9702033996582,-0.009122330044669558,-0.026057684554693816
22,22,22,22,2019-03-08,61.69986724853516,61.80572509765625,62.03510284423828,-0.0017127515121588832,-0.005403966147115913
23,23,23,23,2019-03-11,62.62617492675781,61.64694213867188,62.66144180297852,0.015884531399516844,-0.0005628162264698089
24,24,24,24,2019-03-12,63.181941986083984,62.0527572631836,63.181941986083984,0.018197172417515395,0.0
25,25,25,25,2019-03-13,63.85239410400391,62.0527572631836,62.86434173583984,0.029001722408361852,0.015717214892918774
26,26,26,26,2019-03-14,63.79018783569336,61.90276718139648,62.67028427124024,0.030490085342486983,0.01786976997911993
27,27,27,27,2019-03-15,63.66576766967773,61.329345703125,61.89396286010742,0.03809631327003826,0.028626456082234242
28,28,28,28,2019-03-18,62.96371841430664,61.69986724853516,61.80572509765625,0.020483855511074678,0.01873602024441423
29,29,29,29,2019-03-19,62.59046936035156,62.62617492675781,61.64694213867188,-0.0005701380684355328,0.015305336955031112
30,30,30,30,2019-03-20,63.025917053222656,63.181941986083984,62.0527572631836,-0.0024694545301519044,0.015682780797501072
31,31,31,31,2019-03-21,64.03902435302734,63.85239410400391,62.0527572631836,0.002922838707025477,0.03200932847221294
32,32,32,32,2019-03-22,63.159217834472656,63.79018783569336,61.90276718139648,-0.009891333175658823,0.020297164574151427
33,33,33,33,2019-03-25,63.05257797241211,63.66576766967773,61.329345703125,-0.009631387788286427,0.028098005115344105
34,34,34,34,2019-03-26,64.12789154052734,62.96371841430664,61.69986724853516,0.018489586630833,0.039352180162913086
35,35,35,35,2019-03-27,63.62133026123047,62.59046936035156,62.62617492675781,0.016469934023723987,0.015890405818916875
36,36,36,36,2019-03-28,64.09233856201172,63.025917053222656,63.181941986083984,0.016920364806251253,0.014409126204576905
37,37,37,37,2019-03-29,63.94124221801758,64.03902435302734,63.85239410400391,-0.0015269148147967204,0.0013914609665057753
38,38,38,38,2019-04-01,64.17231750488281,63.159217834472656,63.79018783569336,0.01604040875023638,0.00599041454735505
39,39,39,39,2019-04-02,64.99881744384766,63.05257797241211,63.66576766967773,0.030866929378955854,0.020938250223986987
40,40,40,40,2019-04-03,65.00770568847656,64.12789154052734,62.96371841430664,0.0137196799522592,0.0324629377941168
41,41,41,41,2019-04-04,64.7410888671875,63.62133026123047,62.59046936035156,0.017600364553197467,0.0343601754199061
42,42,42,42,2019-04-05,64.92771911621094,64.09233856201172,63.025917053222656,0.01303401581128072,0.030174920919949333
43,43,43,43,2019-04-08,64.77664184570312,63.94124221801758,64.03902435302734,0.013065114137712941,0.011518250006582242
44,44,44,44,2019-04-09,64.32339477539062,64.17231750488281,63.159217834472656,0.0023542436424601743,0.01843241542301932
45,45,45,45,2019-04-10,65.37206268310547,64.99881744384766,63.05257797241211,0.005742338921477463,0.036786516670392455
46,46,46,46,2019-04-11,65.37206268310547,65.00770568847656,64.12789154052734,0.005604827778032062,0.019401404173593262
47,47,47,47,2019-04-12,66.14522552490234,64.7410888671875,63.62133026123047,0.021688493077330673,0.03967058301529858
48,48,48,48,2019-04-15,65.52313995361328,64.92771911621094,64.09233856201172,0.00917051831647786,0.022324062808493306
49,49,49,49,2019-04-16,64.66998291015625,64.77664184570312,63.94124221801758,-0.0016465647571070052,0.011397036824119189
50,50,50,50,2019-04-17,64.21675109863281,64.32339477539062,64.17231750488281,-0.0016579298578720536,0.0006924106137606856
51,51,51,51,2019-04-18,65.38095092773438,65.37206268310547,64.99881744384766,0.00013596396173065628,0.005879083634357629
52,52,52,52,2019-04-22,64.81218719482422,65.37206268310547,65.00770568847656,-0.008564445809141397,-0.003007620274883882
53,53,53,53,2019-04-23,65.9408187866211,66.14522552490234,64.7410888671875,-0.0030902719986084515,0.018531197735873306
54,54,54,54,2019-04-24,66.92723846435547,65.52313995361328,64.92771911621094,0.021429047993368533,0.03079608178697435
55,55,55,55,2019-04-25,67.0605697631836,64.66998291015625,64.77664184570312,0.03696594224168126,0.035258510666865694
56,56,56,56,2019-04-26,67.62933349609375,64.21675109863281,64.32339477539062,0.05314162331600092,0.05139558837413749
57,57,57,57,2019-04-29,66.98949432373047,65.38095092773438,65.37206268310547,0.02460263078421754,0.024741939817098713
58,58,58,58,2019-04-30,68.1358871459961,64.81218719482422,65.37206268310547,0.05128202109860758,0.042278373198783914
59,59,59,59,2019-05-01,68.96234893798828,65.9408187866211,66.14522552490234,0.04582184763499231,0.042589973663712755
60,60,60,60,2019-05-02,67.8337173461914,66.92723846435547,65.52313995361328,0.01354424450545233,0.035263532764362004
61,61,61,61,2019-05-03,68.22474670410156,67.0605697631836,64.66998291015625,0.01736008126726518,0.05496775527038289
62,62,62,62,2019-05-06,67.75375366210938,67.62933349609375,64.21675109863281,0.0018397366879685517,0.05507912659804215
63,63,63,63,2019-05-07,66.04747009277344,66.98949432373047,65.38095092773438,-0.014062268128262723,0.010194393865206486
64,64,64,64,2019-05-08,66.10967254638672,68.1358871459961,64.81218719482422,-0.029737847182759403,0.020019157009194544
65,65,65,65,2019-05-09,66.33182525634766,68.96234893798828,65.9408187866211,-0.038144345750258934,0.005929657485628459
66,66,66,66,2019-05-10,67.1494369506836,67.8337173461914,66.92723846435547,-0.01008761457101881,0.0033200008162068695
67,67,67,67,2019-05-13,66.7051010131836,68.22474670410156,67.0605697631836,-0.022274112610616847,-0.005300711748428277
68,68,68,68,2019-05-14,66.91838836669922,67.75375366210938,67.62933349609375,-0.01232943195407532,-0.010512378174414416
69,69,69,69,2019-05-15,67.54935455322266,66.04747009277344,66.98949432373047,0.022739469934875522,0.00835743328329408
70,70,70,70,2019-05-16,68.3136215209961,66.10967254638672,68.1358871459961,0.03333776873668448,0.002608528081819328
71,71,71,71,2019-05-17,68.08256530761719,66.33182525634766,68.96234893798828,0.026393666155025475,-0.012757448722667597
72,72,72,72,2019-05-20,67.17610931396484,67.1494369506836,67.8337173461914,0.00039720903841433675,-0.009694412424288035
73,73,73,73,2019-05-21,68.2780990600586,66.7051010131836,68.22474670410156,0.02358137568166052,0.0007820088535972491
74,74,74,74,2019-05-22,68.02924346923828,66.91838836669922,67.75375366210938,0.0166001472786792,0.00406604493830387
75,75,75,75,2019-05-23,67.922607421875,67.54935455322266,66.04747009277344,0.005525631904569117,0.028390751780009937
76,76,76,76,2019-05-24,67.0161361694336,68.3136215209961,66.10967254638672,-0.018993069356800563,0.013711512826066974
77,77,77,77,2019-05-28,66.0919189453125,68.08256530761719,66.33182525634766,-0.029238709694770715,-0.0036167602822326783
78,78,78,78,2019-05-29,65.00770568847656,67.17610931396484,67.1494369506836,-0.0322793869373067,-0.03189499956313824
79,79,79,79,2019-05-30,65.15876770019531,68.2780990600586,66.7051010131836,-0.04568567963673775,-0.023181635129863043
80,80,80,80,2019-05-31,65.46981048583984,68.02924346923828,66.91838836669922,-0.037622540732145215,-0.02164693317061761
81,81,81,81,2019-06-03,66.74063110351562,67.922607421875,67.54935455322266,-0.017401810136910445,-0.011972334229631065
82,82,82,82,2019-06-04,66.65177154541016,67.0161361694336,68.3136215209961,-0.005436968539968223,-0.024326773176198357
83,83,83,83,2019-06-05,68.84683227539062,66.0919189453125,68.08256530761719,0.04168305859537336,0.011225590051142431
84,84,84,84,2019-06-06,69.44226837158203,65.00770568847656,67.17610931396484,0.06821595434172578,0.033734598218924994
85,85,85,85,2019-06-07,69.4866943359375,65.15876770019531,68.2780990600586,0.06642124749282541,0.017701068022057953
86,86,86,86,2019-06-10,69.68220520019531,65.46981048583984,68.02924346923828,0.06434102501742456,0.024297811450813445
87,87,87,87,2019-06-11,70.05546569824219,66.74063110351562,67.922607421875,0.04966741458565482,0.03140130153013354
88,88,88,88,2019-06-12,70.51175689697266,66.65177154541016,67.0161361694336,0.057912719528132595,0.052160881354025745
89,89,89,89,2019-06-13,71.51383209228516,68.84683227539062,66.0919189453125,0.03873816308971789,0.08203594680703707
90,90,90,90,2019-06-14,71.54068756103516,69.44226837158203,65.00770568847656,0.03021818322847114,0.1004954997776002
91,91,91,91,2019-06-17,72.39958190917969,69.4866943359375,65.15876770019531,0.04192007694537403,0.11112570824390633
92,92,92,92,2019-06-18,72.00590515136719,69.68220520019531,65.46981048583984,0.03334710697653631,0.09983371903819704
93,93,93,93,2019-06-19,72.94535827636719,70.05546569824219,66.74063110351562,0.041251493360603186,0.09296776296927645
94,94,94,94,2019-06-20,73.79532623291016,70.51175689697266,66.65177154541016,0.04656768573693659,0.10717726658822668
95,95,95,95,2019-06-21,72.76642608642578,71.51383209228516,68.84683227539062,0.01751540866281953,0.05693208650990056
96,96,96,96,2019-06-24,72.11327362060547,71.54068756103516,69.44226837158203,0.008003642110397724,0.03846368086265595
97,97,97,97,2019-06-25,71.37960815429688,72.39958190917969,69.4866943359375,-0.014088116643578119,0.02724138536808174
98,98,98,98,2019-06-26,69.91229248046875,72.00590515136719,69.68220520019531,-0.02907556910085851,0.0033019517624679473
99,99,99,99,2019-06-27,71.00382232666016,72.94535827636719,70.05546569824219,-0.026616305623603287,0.01353722538228408
100,100,100,100,2019-06-28,71.66593170166016,73.79532623291016,70.51175689697266,-0.028855411852632518,0.016368544133340768
101,101,101,101,2019-07-01,71.5048599243164,72.76642608642578,71.51383209228516,-0.01733720109616199,-0.0001254605956113597
102,102,102,102,2019-07-02,72.99903106689453,72.11327362060547,71.54068756103516,0.01228286280482993,0.020384812553208675
103,103,103,103,2019-07-03,73.9027099609375,71.37960815429688,72.39958190917969,0.03534765561036135,0.02076155707146743
104,104,104,104,2019-07-05,73.7505874633789,69.91229248046875,72.00590515136719,0.05490157519841676,0.024229711554130562
105,105,105,105,2019-07-08,73.64323425292969,71.00382232666016,72.94535827636719,0.03717281464266331,0.009567106023641303
106,106,106,106,2019-07-09,73.92058563232422,71.66593170166016,73.79532623291016,0.031460610043416715,0.0016973893308462884
107,107,107,107,2019-07-10,74.27848052978516,71.5048599243164,72.76642608642578,0.038789260036373285,0.020779561738589303
108,108,108,108,2019-07-11,72.48905181884766,72.99903106689453,72.11327362060547,-0.006986109823561071,0.005210943552766523
109,109,109,109,2019-07-12,71.6032943725586,73.9027099609375,71.37960815429688,-0.031114090262647998,0.0031337552004795377
110,110,110,110,2019-07-15,71.52277374267578,73.7505874633789,69.91229248046875,-0.030207403050305892,0.02303573813799553
111,111,111,111,2019-07-16,72.88272094726562,73.64323425292969,71.00382232666016,-0.010326994915134446,0.0264619362597327
112,112,112,112,2019-07-17,73.0169448852539,73.92058563232422,71.66593170166016,-0.012224480357406198,0.018851540076502582
113,113,113,113,2019-07-18,73.7505874633789,74.27848052978516,71.5048599243164,-0.007106944873415455,0.031406642030198606
114,114,114,114,2019-07-19,72.2385482788086,72.48905181884766,72.99903106689453,-0.003455743091592356,-0.010417710714393569
115,115,115,115,2019-07-22,72.63220977783203,71.6032943725586,73.9027099609375,0.014369665729622616,-0.017191523609580983
116,116,116,116,2019-07-23,73.89373779296875,71.52277374267578,73.7505874633789,0.033149777703297856,0.0019410059568802929
117,117,117,117,2019-07-24,73.59849548339844,72.88272094726562,73.64323425292969,0.009820908534009298,-0.0006075068536179895
118,118,118,118,2019-07-25,72.87377166748047,73.0169448852539,73.92058563232422,-0.0019608218064783856,-0.014161332136226945
119,119,119,119,2019-07-26,73.46430206298828,73.7505874633789,74.27848052978516,-0.0038818050165739804,-0.010961162115727396
120,120,120,120,2019-07-29,73.92951202392578,72.2385482788086,72.48905181884766,0.02340805270048918,0.019871417392489432
121,121,121,121,2019-07-30,73.37482452392578,72.63220977783203,71.6032943725586,0.010224317122737414,0.024740902871727588
122,122,122,122,2019-07-31,72.12223052978516,73.89373779296875,71.52277374267578,-0.02397371301133666,0.008381341434912759
123,123,123,123,2019-08-01,72.27432250976562,73.59849548339844,72.88272094726562,-0.017991848405807476,-0.008347636169349526
124,124,124,124,2019-08-02,72.03276062011719,72.87377166748047,73.0169448852539,-0.011540654862778,-0.01347884750154038
125,125,125,125,2019-08-05,70.35965728759766,73.46430206298828,73.7505874633789,-0.04226059035759577,-0.04597834800251632
126,126,126,126,2019-08-06,71.53172302246094,73.92951202392578,72.2385482788086,-0.032433448237678686,-0.009784599402795635
127,127,127,127,2019-08-07,72.0238037109375,73.37482452392578,72.63220977783203,-0.018412593444059877,-0.008376532515746549
128,128,128,128,2019-08-08,73.5179672241211,72.12223052978516,73.89373779296875,0.01935237837326076,-0.0050852830032832586
129,129,129,129,2019-08-09,73.2137680053711,72.27432250976562,73.59849548339844,0.012998330015179693,-0.005227382373789502
130,130,130,130,2019-08-12,73.08851623535156,72.03276062011719,72.87377166748047,0.014656603552960723,0.0029468018871174895
131,131,131,131,2019-08-13,73.20481872558594,70.35965728759766,73.46430206298828,0.040437397617765214,-0.0035321010356821336
132,132,132,132,2019-08-14,71.80909729003906,71.53172302246094,73.92951202392578,0.003877639959700474,-0.028681573512895464
133,133,133,133,2019-08-15,72.65904998779297,72.0238037109375,73.37482452392578,0.008819949018590956,-0.009755042560945615
134,134,134,134,2019-08-16,73.71480560302734,73.5179672241211,72.12223052978516,0.002677418681969135,0.02208161147462695
135,135,135,135,2019-08-19,75.030029296875,73.2137680053711,72.27432250976562,0.024807646717085463,0.03812843471119387
136,136,136,136,2019-08-20,73.76848602294922,73.08851623535156,72.03276062011719,0.00930337380783719,0.024096333222404454
137,137,137,137,2019-08-21,74.52898406982422,73.20481872558594,70.35965728759766,0.0180884997366364,0.05925734921056103
138,138,138,138,2019-08-22,75.14631652832031,71.80909729003906,71.53172302246094,0.04647348823787767,0.05053133565263623
139,139,139,139,2019-08-23,73.26744842529297,72.65904998779297,72.0238037109375,0.00837333322693068,0.017267134617698687
140,140,140,140,2019-08-26,73.92951202392578,73.71480560302734,73.5179672241211,0.0029126634621365888,0.005597880563673385
141,141,141,141,2019-08-27,73.37482452392578,75.030029296875,73.2137680053711,-0.02206056412959656,0.0021998119061823473
142,142,142,142,2019-08-28,74.11741638183594,73.76848602294922,73.08851623535156,0.004730073473083962,0.01407745292257978
143,143,143,143,2019-08-29,74.90475463867188,74.52898406982422,73.20481872558594,0.005041938697240456,0.02322163954067391
144,144,144,144,2019-08-30,74.8152847290039,75.14631652832031,71.80909729003906,-0.0044051633481150265,0.04186360158271829
145,145,145,145,2019-09-03,75.66526794433594,73.26744842529297,72.65904998779297,0.032726941780808705,0.04137430859676838
146,146,146,146,2019-09-04,76.38101959228516,73.92951202392578,73.71480560302734,0.03316006695088136,0.036169314528427865
147,147,147,147,2019-09-05,75.68315124511719,73.37482452392578,75.030029296875,0.03145938318992125,0.008704807319985797
148,148,148,148,2019-09-06,75.86209106445312,74.11741638183594,73.76848602294922,0.02353933485254034,0.028380751108984192
149,149,149,149,2019-09-09,75.71893310546875,74.90475463867188,74.52898406982422,0.010869516504317112,0.015966258637440944
150,150,150,150,2019-09-10,74.50215148925781,74.8152847290039,75.14631652832031,-0.004185418004894692,-0.00857214390301797
151,151,151,151,2019-09-11,73.80426788330078,75.66526794433594,73.26744842529297,-0.02459516911252102,0.007326848000653197
152,152,152,152,2019-09-12,75.19105529785156,76.38101959228516,73.92951202392578,-0.015579319322856833,0.01706413635622961
153,153,153,153,2019-09-13,75.32527923583984,75.68315124511719,73.37482452392578,-0.0047285558726049,0.026582069866184943
154,154,154,154,2019-09-16,76.24681854248047,75.86209106445312,74.11741638183594,0.005071406187584282,0.028730118568547125
155,155,155,155,2019-09-17,77.33837127685547,75.71893310546875,74.90475463867188,0.021387493259195978,0.03248948147447983
156,156,156,156,2019-09-18,76.56891632080078,74.50215148925781,74.8152847290039,0.027741008685379542,0.02343948296325915
157,157,157,157,2019-09-19,76.54190826416016,73.80426788330078,75.66526794433594,0.037093252997077775,0.011585769054160089
158,158,158,158,2019-09-20,75.938720703125,75.19105529785156,76.38101959228516,0.009943541852308613,-0.0057906910842655535
159,159,159,159,2019-09-23,76.18180084228516,75.32527923583984,75.68315124511719,0.011370971540159536,0.006588647393301228
160,160,160,160,2019-09-24,75.82167053222656,76.24681854248047,75.86209106445312,-0.005575944260769905,-0.0005328159514114139
161,161,161,161,2019-09-25,76.62291717529297,77.33837127685547,75.71893310546875,-0.009250958996813163,0.011938679439197353
162,162,162,162,2019-09-26,77.66724395751953,76.56891632080078,74.50215148925781,0.014344301702234885,0.042483235785721885
163,163,163,163,2019-09-27,77.22610473632812,76.54190826416016,73.80426788330078,0.008938847850600729,0.046363671792503114
164,164,164,164,2019-09-30,76.72196197509766,75.938720703125,75.19105529785156,0.010314122554614391,0.020360223316214565
165,165,165,165,2019-10-01,75.84869384765625,76.18180084228516,75.32527923583984,-0.0043725271776985375,0.006948724480364987
166,166,166,166,2019-10-02,75.84869384765625,75.82167053222656,76.24681854248047,0.00035640622581900594,-0.005221525336200128
167,167,167,167,2019-10-03,76.98304748535156,76.62291717529297,77.33837127685547,0.004700033923724201,-0.004594404894200821
168,168,168,168,2019-10-04,77.5952377319336,77.66724395751953,76.56891632080078,-0.0009271118932110411,0.013403891036316118
169,169,169,169,2019-10-07,77.2081069946289,77.22610473632812,76.54190826416016,-0.00023305256377581518,0.008703712065416092
170,170,170,170,2019-10-08,76.64994049072266,76.72196197509766,75.938720703125,-0.0009387336105712851,0.009365706730537493
171,171,171,171,2019-10-09,76.96504974365234,75.84869384765625,76.18180084228516,0.014718195388286004,0.010281312501245532
172,172,172,172,2019-10-10,77.25310516357422,75.84869384765625,75.82167053222656,0.018515959137526572,0.018878964566459322
173,173,173,173,2019-10-11,77.28012084960938,76.98304748535156,76.62291717529297,0.0038589452348498643,0.008577116332087575
174,174,174,174,2019-10-14,77.65825653076172,77.5952377319336,77.66724395751953,0.00081214776409122,-0.0001157170809708008
175,175,175,175,2019-10-15,80.22406005859375,77.2081069946289,77.22610473632812,0.03906264745196575,0.03882049123805342
176,176,176,176,2019-10-16,80.1610336303711,76.64994049072266,76.72196197509766,0.045806860607718436,0.044825126557499706
177,177,177,177,2019-10-17,80.26907348632812,76.96504974365234,75.84869384765625,0.04292888465193623,0.058278915752330684
178,178,178,178,2019-10-18,80.67420196533203,77.25310516357422,75.84869384765625,0.04428426267803798,0.06362018741374653
179,179,179,179,2019-10-21,81.5834732055664,77.28012084960938,76.98304748535156,0.05568511421367406,0.05975894525467074
180,180,180,180,2019-10-22,81.7545394897461,77.65825653076172,77.5952377319336,0.052747552442949486,0.05360253901381862
181,181,181,181,2019-10-23,82.70882415771484,80.22406005859375,77.2081069946289,0.030972804135146914,0.07124533131564292
182,182,182,182,2019-10-24,82.90689849853516,80.1610336303711,76.64994049072266,0.03425435955361378,0.0816303048346112
183,183,183,183,2019-10-25,81.79954528808594,80.26907348632812,76.96504974365234,0.01906676800023721,0.06281416773634074
184,184,184,184,2019-10-28,77.32515716552734,80.67420196533203,77.25310516357422,-0.04151320643052492,0.0009326745093360955
185,185,185,185,2019-10-29,78.00934600830078,81.5834732055664,77.28012084960938,-0.043809451312030734,0.009436128601694405
186,186,186,186,2019-10-30,78.93665313720703,81.7545394897461,77.65825653076172,-0.03446764387795853,0.016461824711953454
187,187,187,187,2019-10-31,79.00868225097656,82.70882415771484,80.22406005859375,-0.044736966634691844,-0.015149791804721757
