,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,TROW,TROW_6m,TROW_12m,TROW_6m_ret,TROW_12m_ret
0,0,0,0,2019-02-05,78.87133026123047,,,,
1,1,1,1,2019-02-06,78.55451202392578,,,,
2,2,2,2,2019-02-07,78.15432739257812,,,,
3,3,3,3,2019-02-08,77.02043151855469,,,,
4,4,4,4,2019-02-11,77.26222229003906,,,,
5,5,5,5,2019-02-12,80.94734954833984,,,,
6,6,6,6,2019-02-13,81.81440734863281,78.87133026123047,,0.03731491630297801,
7,7,7,7,2019-02-14,81.15576171875,78.55451202392578,,0.033113943779982336,
8,8,8,8,2019-02-15,81.35586547851562,78.15432739257812,,0.04096430988211064,
9,9,9,9,2019-02-19,81.20577239990234,77.02043151855469,,0.05434065739218008,
10,10,10,10,2019-02-20,81.8561019897461,77.26222229003906,,0.0594582910450312,
11,11,11,11,2019-02-21,80.95565795898438,80.94734954833984,,0.00010263968728918549,
12,12,12,12,2019-02-22,81.74771118164062,81.81440734863281,78.87133026123047,-0.0008152129820848675,0.03646928371669733
13,13,13,13,2019-02-25,81.7977294921875,81.15576171875,78.55451202392578,0.007910316653329863,0.04128620221425239
14,14,14,14,2019-02-26,82.1312255859375,81.35586547851562,78.15432739257812,0.0095304758035748,0.050885195049827026
15,15,15,15,2019-02-27,83.57359313964844,81.20577239990234,77.02043151855469,0.029158281114372464,0.08508341867073344
16,16,16,16,2019-02-28,83.73197937011719,81.8561019897461,77.26222229003906,0.02291676899794326,0.08373765196386573
17,17,17,17,2019-03-01,83.9321060180664,80.95565795898438,80.94734954833984,0.036766399460183896,0.036872812839216396
18,18,18,18,2019-03-04,82.98997497558594,81.74771118164062,81.81440734863281,0.015196312850705329,0.014368711637104736
19,19,19,19,2019-03-05,82.38134765625,81.7977294921875,81.15576171875,0.0071348944241569345,0.015101650351669882
20,20,20,20,2019-03-06,81.75605010986328,82.1312255859375,81.35586547851562,-0.00456800045777539,0.004918940127965676
21,21,21,21,2019-03-07,80.26366424560547,83.57359313964844,81.20577239990234,-0.03960496096550736,-0.011601492436491001
22,22,22,22,2019-03-08,80.73887634277344,83.73197937011719,81.8561019897461,-0.035746235188272024,-0.013648654404684546
23,23,23,23,2019-03-11,82.61479187011719,83.9321060180664,80.95565795898438,-0.015694996949864093,0.020494353982934754
24,24,24,24,2019-03-12,83.73197937011719,82.98997497558594,81.74771118164062,0.00894089189386471,0.024273073334953432
25,25,25,25,2019-03-13,84.4990234375,82.38134765625,81.7977294921875,0.025705767646413857,0.033024070008819795
26,26,26,26,2019-03-14,84.57462310791016,81.75605010986328,82.1312255859375,0.03447540572543928,0.029749921598527962
27,27,27,27,2019-03-15,86.05308532714844,80.26366424560547,83.57359313964844,0.0721300371214979,0.029668368851353044
28,28,28,28,2019-03-18,86.39749908447266,80.73887634277344,83.73197937011719,0.07008547800040943,0.03183395083225227
29,29,29,29,2019-03-19,86.22111511230469,82.61479187011719,83.9321060180664,0.0436522705020812,0.027272151299832403
30,30,30,30,2019-03-20,84.72582244873047,83.73197937011719,82.98997497558594,0.011869336973633793,0.020916351326231597
31,31,31,31,2019-03-21,85.94387817382812,84.4990234375,82.38134765625,0.017099070232412972,0.04324438260519092
32,32,32,32,2019-03-22,82.96177673339844,84.57462310791016,81.75605010986328,-0.019070098278225367,0.014747858071848086
33,33,33,33,2019-03-25,82.50814819335938,86.05308532714844,80.26366424560547,-0.04119477088255763,0.027963885885969875
34,34,34,34,2019-03-26,83.9110107421875,86.39749908447266,80.73887634277344,-0.028779633306909358,0.03928881033650877
