,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CVS,CVS_6m,CVS_12m,CVS_6m_ret,CVS_12m_ret
0,0,0,0,2019-02-05,56.77874755859375,,,,
1,1,1,1,2019-02-06,57.09000396728516,,,,
2,2,2,2,2019-02-07,56.8479118347168,,,,
3,3,3,3,2019-02-08,56.20810317993164,,,,
4,4,4,4,2019-02-11,56.285919189453125,,,,
5,5,5,5,2019-02-12,57.93732833862305,,,,
6,6,6,6,2019-02-13,58.61170959472656,56.77874755859375,,0.032282537303966796,
7,7,7,7,2019-02-14,58.525272369384766,57.09000396728516,,0.0251404502077468,
8,8,8,8,2019-02-15,60.11612701416016,56.8479118347168,,0.057490505349529375,
9,9,9,9,2019-02-19,60.418731689453125,56.20810317993164,,0.07491141439237947,
10,10,10,10,2019-02-20,55.52507400512695,56.285919189453125,,-0.013517504826833115,
11,11,11,11,2019-02-21,53.90824890136719,57.93732833862305,,-0.06954203020386662,
12,12,12,12,2019-02-22,53.56241607666016,58.61170959472656,56.77874755859375,-0.08614820405308043,-0.056646749360127036
13,13,13,13,2019-02-25,52.93989562988281,58.525272369384766,57.09000396728516,-0.09543529681074547,-0.07269413293053062
14,14,14,14,2019-02-26,52.4643669128418,60.11612701416016,56.8479118347168,-0.12728298513834768,-0.07711004292681845
15,15,15,15,2019-02-27,50.57951354980469,60.418731689453125,56.20810317993164,-0.16285045820261734,-0.10013840196864299
16,16,16,16,2019-02-28,50.00022888183594,55.52507400512695,56.285919189453125,-0.09950180566676736,-0.11167429435522125
17,17,17,17,2019-03-01,50.259613037109375,53.90824890136719,57.93732833862305,-0.06768232948789543,-0.1325175930902468
18,18,18,18,2019-03-04,48.3834114074707,53.56241607666016,58.61170959472656,-0.09669102046810418,-0.17450946675979784
19,19,19,19,2019-03-05,47.518798828125,52.93989562988281,58.525272369384766,-0.10240097259840053,-0.18806360219550855
20,20,20,20,2019-03-06,46.688777923583984,52.4643669128418,60.11612701416016,-0.11008593697228264,-0.2233568554310461
21,21,21,21,2019-03-07,45.27082824707031,50.57951354980469,60.418731689453125,-0.10495722339257008,-0.25071534967403286
22,22,22,22,2019-03-08,45.76366424560547,50.00022888183594,55.52507400512695,-0.08473090485730805,-0.17580183249499415
23,23,23,23,2019-03-11,46.472633361816406,50.259613037109375,53.90824890136719,-0.07534836514751597,-0.1379309417591229
24,24,24,24,2019-03-12,47.25077819824219,48.3834114074707,53.56241607666016,-0.0234095359603691,-0.11783706450778042
25,25,25,25,2019-03-13,48.910831451416016,47.518798828125,52.93989562988281,0.029294356288886547,-0.07610638688514004
26,26,26,26,2019-03-14,48.31424331665039,46.688777923583984,52.4643669128418,0.03481490553740385,-0.07910366293156534
27,27,27,27,2019-03-15,48.07215118408203,45.27082824707031,50.57951354980469,0.06187920666534308,-0.04957268644455637
28,28,28,28,2019-03-18,48.99728012084961,45.76366424560547,50.00022888183594,0.07065902454597817,-0.020058883397445437
29,29,29,29,2019-03-19,49.36042022705078,46.472633361816406,50.259613037109375,0.06213951429761422,-0.01789096166328763
30,30,30,30,2019-03-20,48.55633544921875,47.25077819824219,48.3834114074707,0.027630386223461922,0.0035740357431957026
31,31,31,31,2019-03-21,49.628448486328125,48.910831451416016,47.518798828125,0.014671945121704333,0.04439610659843707
32,32,32,32,2019-03-22,48.45258331298828,48.31424331665039,46.688777923583984,0.002863337741444427,0.03777793011183839
33,33,33,33,2019-03-25,47.51015472412109,48.07215118408203,45.27082824707031,-0.011690686730637445,0.04946510951444072
34,34,34,34,2019-03-26,47.890586853027344,48.99728012084961,45.76366424560547,-0.02258683063820388,0.04647623048729366
35,35,35,35,2019-03-27,46.73200607299805,49.36042022705078,46.472633361816406,-0.053249428225335405,0.005581192465730744
36,36,36,36,2019-03-28,46.13543701171875,48.55633544921875,47.25077819824219,-0.04985751941745742,-0.023604715711643687
37,37,37,37,2019-03-29,46.62825393676758,49.628448486328125,48.910831451416016,-0.060453119955725665,-0.04666813969244754
38,38,38,38,2019-04-01,46.853057861328125,48.45258331298828,48.31424331665039,-0.03301218102918746,-0.03024336831161134
