,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,FTNT,FTNT_6m,FTNT_12m,FTNT_6m_ret,FTNT_12m_ret
0,0,0,0,2019-02-05,16.393999099731445,,,,
1,1,1,1,2019-02-06,16.243999481201172,,,,
2,2,2,2,2019-02-07,15.871999740600586,,,,
3,3,3,3,2019-02-08,16.20400047302246,,,,
4,4,4,4,2019-02-11,16.33799934387207,,,,
5,5,5,5,2019-02-12,16.625999450683594,,,,
6,6,6,6,2019-02-13,16.483999252319336,16.393999099731445,,0.005489822955362156,
7,7,7,7,2019-02-14,16.63800048828125,16.243999481201172,,0.024255172350629906,
8,8,8,8,2019-02-15,16.621999740600586,15.871999740600586,,0.047253024965814516,
9,9,9,9,2019-02-19,16.785999298095703,16.20400047302246,,0.03591698395974463,
10,10,10,10,2019-02-20,16.77400016784668,16.33799934387207,,0.026686304412060213,
11,11,11,11,2019-02-21,16.898000717163086,16.625999450683594,,0.016359994915572384,
12,12,12,12,2019-02-22,17.357999801635742,16.483999252319336,16.393999099731445,0.05302114710988182,0.05880204677576728
13,13,13,13,2019-02-25,17.41200065612793,16.63800048828125,16.243999481201172,0.04652002314772363,0.07190354667755683
14,14,14,14,2019-02-26,17.395999908447266,16.621999740600586,15.871999740600586,0.04656480447151745,0.09601815730555274
15,15,15,15,2019-02-27,17.579999923706055,16.785999298095703,16.20400047302246,0.04730136177834976,0.08491726799036159
16,16,16,16,2019-02-28,17.357999801635742,16.77400016784668,16.33799934387207,0.034815764155559314,0.062431172648213185
17,17,17,17,2019-03-01,17.38599967956543,16.898000717163086,16.625999450683594,0.02887909466749461,0.0457115514249935
18,18,18,18,2019-03-04,16.763999938964844,17.357999801635742,16.483999252319336,-0.03422052479888393,0.016986210831458903
19,19,19,19,2019-03-05,16.724000930786133,17.41200065612793,16.63800048828125,-0.039512962291307074,0.005168916935989865
20,20,20,20,2019-03-06,16.579999923706055,17.395999908447266,16.621999740600586,-0.046907334389267974,-0.002526760771866865
21,21,21,21,2019-03-07,16.496000289916992,17.579999923706055,16.785999298095703,-0.06166095782101366,-0.017276243316155182
22,22,22,22,2019-03-08,16.134000778198242,17.357999801635742,16.77400016784668,-0.07051498084025531,-0.03815424962706415
