,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PSA,PSA_6m,PSA_12m,PSA_6m_ret,PSA_12m_ret
0,0,0,0,2019-02-05,169.76754760742188,,,,
1,1,1,1,2019-02-06,169.4101104736328,,,,
2,2,2,2,2019-02-07,170.4661865234375,,,,
3,3,3,3,2019-02-08,171.0592041015625,,,,
4,4,4,4,2019-02-11,171.0104522705078,,,,
5,5,5,5,2019-02-12,168.76022338867188,,,,
6,6,6,6,2019-02-13,168.93893432617188,169.76754760742188,,-0.004880869712308722,
7,7,7,7,2019-02-14,169.09326171875,169.4101104736328,,-0.0018703060519644765,
8,8,8,8,2019-02-15,168.76022338867188,170.4661865234375,,-0.01000763359325263,
9,9,9,9,2019-02-19,168.89833068847656,171.0592041015625,,-0.012632313031241349,
10,10,10,10,2019-02-20,167.0380096435547,171.0104522705078,,-0.023229238764127857,
11,11,11,11,2019-02-21,162.8625030517578,168.76022338867188,,-0.03494733663234739,
12,12,12,12,2019-02-22,163.39865112304688,168.93893432617188,169.76754760742188,-0.032794590691736736,-0.03751539427961059
13,13,13,13,2019-02-25,163.61798095703125,169.09326171875,169.4101104736328,-0.03238024215787905,-0.03418998724697164
14,14,14,14,2019-02-26,164.66590881347656,168.76022338867188,170.4661865234375,-0.024261135076632856,-0.03402597211948222
15,15,15,15,2019-02-27,170.27932739257812,168.89833068847656,171.0592041015625,0.00817649705874679,-0.004559104042839657
16,16,16,16,2019-02-28,171.80661010742188,167.0380096435547,171.0104522705078,0.028547996195853687,0.0046556092118550385
17,17,17,17,2019-03-01,172.2208709716797,162.8625030517578,168.76022338867188,0.05746177139956998,0.02050629889863087
18,18,18,18,2019-03-04,172.5052032470703,163.39865112304688,168.93893432617188,0.055732113217787704,0.02110981068468809
19,19,19,19,2019-03-05,173.1551055908203,163.61798095703125,169.09326171875,0.058288976419368366,0.024021323089895352
20,20,20,20,2019-03-06,173.20384216308594,164.66590881347656,168.76022338867188,0.05185003630156748,0.026330960490493993
21,21,21,21,2019-03-07,173.98370361328125,170.27932739257812,168.89833068847656,0.021754703154087007,0.030109077479187007
22,22,22,22,2019-03-08,174.10560607910156,171.80661010742188,167.0380096435547,0.013381301046812233,0.042311306574045915
23,23,23,23,2019-03-11,177.7774658203125,172.2208709716797,162.8625030517578,0.03226435226626245,0.09158009050011162
24,24,24,24,2019-03-12,178.94985961914062,172.5052032470703,163.39865112304688,0.037359199901002116,0.09517342027739839
25,25,25,25,2019-03-13,179.66307067871094,173.1551055908203,163.61798095703125,0.03758459830384364,0.09806434248747631
26,26,26,26,2019-03-14,179.19581604003906,173.20384216308594,164.66590881347656,0.034594924697520124,0.08823870910050413
27,27,27,27,2019-03-15,178.41693115234375,173.98370361328125,170.27932739257812,0.02548070564652627,0.04778973398811015
28,28,28,28,2019-03-18,178.53172302246094,174.10560607910156,171.80661010742188,0.025422024270421506,0.039143505077215535
29,29,29,29,2019-03-19,178.3021697998047,177.7774658203125,172.2208709716797,0.0029514650637585405,0.03531104443853983
30,30,30,30,2019-03-20,179.42538452148438,178.94985961914062,172.5052032470703,0.0026573080490579493,0.040115782852663484
31,31,31,31,2019-03-21,182.0243225097656,179.66307067871094,173.1551055908203,0.013142666559881055,0.05122122670701934
32,32,32,32,2019-03-22,182.1062927246093,179.19581604003906,173.20384216308594,0.016241878571092938,0.051398689834726285
33,33,33,33,2019-03-25,183.84439086914065,178.41693115234375,173.98370361328125,0.030420093439240903,0.05667592453243242
34,34,34,34,2019-03-26,180.54855346679688,178.53172302246094,174.10560607910156,0.011296762335521793,0.0370059731722141
35,35,35,35,2019-03-27,179.71231079101562,178.3021697998047,177.7774658203125,0.007908714699289554,0.010883522058182216
36,36,36,36,2019-03-28,179.54835510253906,179.42538452148438,178.94985961914062,0.000685357767980399,0.0033444870237517854
37,37,37,37,2019-03-29,178.548095703125,182.0243225097656,179.66307067871094,-0.019097595083503727,-0.006205921847900697
38,38,38,38,2019-04-01,178.98263549804688,182.1062927246093,179.19581604003906,-0.017152934035542522,-0.001189651336192754
39,39,39,39,2019-04-02,179.90089416503906,183.84439086914065,178.41693115234375,-0.021450187767265372,0.008317388955806138
40,40,40,40,2019-04-03,179.4745635986328,180.54855346679688,178.53172302246094,-0.005948482264420796,0.005281081480702721
41,41,41,41,2019-04-04,178.4989776611328,179.71231079101562,178.3021697998047,-0.006751530401797434,0.001103788369760661
42,42,42,42,2019-04-05,179.19581604003906,179.54835510253906,179.42538452148438,-0.0019634769825580545,-0.0012794648987798363
43,43,43,43,2019-04-08,178.7284698486328,178.548095703125,182.0243225097656,0.0010102272152356928,-0.01810666077856693
44,44,44,44,2019-04-09,179.87625122070312,178.98263549804688,182.1062927246093,0.004992750945753022,-0.012245823417417867
45,45,45,45,2019-04-10,179.958251953125,179.90089416503906,183.84439086914065,0.00031882992217546757,-0.021138196806786413
46,46,46,46,2019-04-11,180.0730438232422,179.4745635986328,180.54855346679688,0.003334624208630288,-0.0026336940087539062
47,47,47,47,2019-04-12,181.8111572265625,178.4989776611328,179.71231079101562,0.018555734093433474,0.011678924088776466
48,48,48,48,2019-04-15,180.81912231445312,179.19581604003906,179.54835510253906,0.009058840269191126,0.007077576462275692
49,49,49,49,2019-04-16,178.2693634033203,178.7284698486328,178.548095703125,-0.002568737066351634,-0.0015611048592091281
50,50,50,50,2019-04-17,177.6544952392578,179.87625122070312,178.98263549804688,-0.01235158041357709,-0.007420497832615447
51,51,51,51,2019-04-18,178.27752685546875,179.958251953125,179.90089416503906,-0.009339527803893355,-0.009023675602640724
52,52,52,52,2019-04-22,175.7360076904297,180.0730438232422,179.4745635986328,-0.02408487156506156,-0.02083056135221384
53,53,53,53,2019-04-23,177.08876037597656,181.8111572265625,178.4989776611328,-0.02597418619750136,-0.007900422196442158
54,54,54,54,2019-04-24,178.90887451171875,180.81912231445312,179.19581604003906,-0.010564412537145018,-0.0016012735936657974
55,55,55,55,2019-04-25,177.7364501953125,178.2693634033203,178.7284698486328,-0.0029893706794820174,-0.00555042883856427
56,56,56,56,2019-04-26,179.50732421875,177.6544952392578,179.87625122070312,0.01042939542282273,-0.0020510045069844773
57,57,57,57,2019-04-29,178.06439208984375,178.27752685546875,179.958251953125,-0.0011955223374721102,-0.010523884527254501
58,58,58,58,2019-04-30,181.33560180664065,175.7360076904297,180.0730438232422,0.03186366977264554,0.007011365813518244
59,59,59,59,2019-05-01,182.01612854003903,177.08876037597656,181.8111572265625,0.027824285141536897,0.0011273857809568355
60,60,60,60,2019-05-02,185.9923858642578,178.90887451171875,180.81912231445312,0.03959284508312688,0.028610157397004343
61,61,61,61,2019-05-03,185.9022216796875,177.7364501953125,178.2693634033203,0.0459431448945995,0.0428164331248464
62,62,62,62,2019-05-06,185.9596405029297,179.50732421875,177.6544952392578,0.03594458505947529,0.04674886077319251
63,63,63,63,2019-05-07,182.52442932128903,178.06439208984375,178.27752685546875,0.025047327986804646,0.023821861009230227
64,64,64,64,2019-05-08,182.2620849609375,181.33560180664065,175.7360076904297,0.005109218184770725,0.03713568639845244
65,65,65,65,2019-05-09,182.737548828125,182.01612854003903,177.08876037597656,0.003963496498208707,0.031898063096469365
66,66,66,66,2019-05-10,184.8856201171875,185.9923858642578,178.90887451171875,-0.005950597073785868,0.0334066469412464
67,67,67,67,2019-05-13,187.5009155273437,185.9022216796875,177.7364501953125,0.00859964896175791,0.05493788877464989
68,68,68,68,2019-05-14,186.6810607910156,185.9596405029297,179.50732421875,0.0038794454868531503,0.03996347560461433
69,69,69,69,2019-05-15,187.29595947265625,182.52442932128903,178.06439208984375,0.026141871359959712,0.05184398337290608
70,70,70,70,2019-05-16,187.8452911376953,182.2620849609375,181.33560180664065,0.030632844883533572,0.035898572956434505
71,71,71,71,2019-05-17,188.6651306152344,182.737548828125,182.01612854003903,0.03243767810787834,0.03652974122967767
72,72,72,72,2019-05-20,189.00946044921875,184.8856201171875,185.9923858642578,0.022304819214265637,0.016221495148531995
73,73,73,73,2019-05-21,189.3291931152344,187.5009155273437,185.9022216796875,0.009750766190920857,0.018434268319028613
74,74,74,74,2019-05-22,190.0097045898437,186.6810607910156,185.9596405029297,0.01783064540518353,0.021779263908881408
75,75,75,75,2019-05-23,192.19869995117188,187.29595947265625,182.52442932128903,0.02617643483778087,0.05300260718993233
76,76,76,76,2019-05-24,193.6744537353516,187.8452911376953,182.2620849609375,0.031031720637507698,0.0626151554057992
77,77,77,77,2019-05-28,191.24771118164065,188.6651306152344,182.737548828125,0.01368870102273001,0.046570408808098485
78,78,78,78,2019-05-29,189.80471801757807,189.00946044921875,184.8856201171875,0.004207501394211777,0.026606168166419142
79,79,79,79,2019-05-30,191.23947143554688,189.3291931152344,187.5009155273437,0.010089718806068015,0.019938867485998824
80,80,80,80,2019-05-31,195.0272216796875,190.0097045898437,186.6810607910156,0.026406635917226806,0.044708128683794035
81,81,81,81,2019-06-03,196.71612548828125,192.19869995117188,187.29595947265625,0.023503933888507245,0.050295617920152136
82,82,82,82,2019-06-04,194.8796539306641,193.6744537353516,187.8452911376953,0.006222814481043226,0.03744763975910592
83,83,83,83,2019-06-05,200.77438354492188,191.24771118164065,188.6651306152344,0.04981326210086312,0.06418384197545857
84,84,84,84,2019-06-06,200.635009765625,189.80471801757807,189.00946044921875,0.057060181965781887,0.0615077641551689
85,85,85,85,2019-06-07,201.03677368164065,191.23947143554688,189.3291931152344,0.05123054447154618,0.061837165065613986
86,86,86,86,2019-06-10,199.815185546875,195.0272216796875,190.0097045898437,0.02455023368507625,0.05160515868490756
87,87,87,87,2019-06-11,199.09600830078125,196.71612548828125,192.19869995117188,0.012098056560400083,0.035886342370482494
88,88,88,88,2019-06-12,199.9887542724609,194.8796539306641,193.6744537353516,0.02621669445089725,0.03260265055781475
89,89,89,89,2019-06-13,200.2615203857422,200.77438354492188,191.24771118164065,-0.002554425271413807,0.047131592573887104
90,90,90,90,2019-06-14,201.1295318603516,200.635009765625,189.80471801757807,0.0024647846619803015,0.05966560768908136
91,91,91,91,2019-06-17,201.8652191162109,201.03677368164065,191.23947143554688,0.004120865150184727,0.05556252378706872
