,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,LRCX,LRCX_6m,LRCX_12m,LRCX_6m_ret,LRCX_12m_ret
0,0,0,0,2019-02-05,161.4771270751953,,,,
1,1,1,1,2019-02-06,164.6473846435547,,,,
2,2,2,2,2019-02-07,163.36439514160156,,,,
3,3,3,3,2019-02-08,162.97390747070312,,,,
4,4,4,4,2019-02-11,163.55032348632812,,,,
5,5,5,5,2019-02-12,166.6461639404297,,,,
6,6,6,6,2019-02-13,168.28237915039062,161.4771270751953,,0.04214375248344804,
7,7,7,7,2019-02-14,168.57994079589844,164.6473846435547,,0.023884716789503546,
8,8,8,8,2019-02-15,168.35678100585938,163.36439514160156,,0.030559816047618593,
9,9,9,9,2019-02-19,167.63165283203125,162.97390747070312,,0.028579699864933472,
10,10,10,10,2019-02-20,169.39804077148438,163.55032348632812,,0.03575485000887246,
11,11,11,11,2019-02-21,166.2464141845703,166.6461639404297,,-0.002398793626010365,
12,12,12,12,2019-02-22,166.6182861328125,168.28237915039062,161.4771270751953,-0.009888694383688001,0.03183831141126947
13,13,13,13,2019-02-25,166.97157287597656,168.57994079589844,164.6473846435547,-0.009540683857927945,0.014116156399650803
14,14,14,14,2019-02-26,166.00469970703125,168.35678100585938,163.36439514160156,-0.013970814152987732,0.01616205638408008
15,15,15,15,2019-02-27,164.7402801513672,167.63165283203125,162.97390747070312,-0.017248369456580148,0.010838377186124681
16,16,16,16,2019-02-28,163.70838928222656,169.39804077148438,163.55032348632812,-0.033587469272641,0.0009664658102106483
17,17,17,17,2019-03-01,164.32196044921875,166.2464141845703,166.6461639404297,-0.011575911244708026,-0.013946936648609354
18,18,18,18,2019-03-04,165.270263671875,166.6182861328125,168.28237915039062,-0.008090483297031326,-0.017899173363978615
19,19,19,19,2019-03-05,161.33766174316406,166.97157287597656,168.57994079589844,-0.033741738403562094,-0.04296050300256471
20,20,20,20,2019-03-06,157.2935791015625,166.00469970703125,168.35678100585938,-0.05247514450399493,-0.06571283816546625
21,21,21,21,2019-03-07,155.40626525878906,164.7402801513672,167.63165283203125,-0.05665897183130819,-0.07293006640871191
22,22,22,22,2019-03-08,156.95883178710938,163.70838928222656,169.39804077148438,-0.04122914851651993,-0.07343183503022521
23,23,23,23,2019-03-11,159.91522216796875,164.32196044921875,166.2464141845703,-0.026817707561442083,-0.03808317940363237
24,24,24,24,2019-03-12,159.96173095703125,165.270263671875,166.6182861328125,-0.03212031370254986,-0.039950928138075215
25,25,25,25,2019-03-13,158.42776489257812,161.33766174316406,166.97157287597656,-0.018036066837377684,-0.051169236991883804
26,26,26,26,2019-03-14,164.117431640625,157.2935791015625,166.00469970703125,0.04338290588871674,-0.011368762870791915
27,27,27,27,2019-03-15,169.56533813476562,155.40626525878906,164.7402801513672,0.09111005178844156,0.02928887809930303
28,28,28,28,2019-03-18,167.52935791015625,156.95883178710938,163.70838928222656,0.06734585115531555,0.023340090539541558
29,29,29,29,2019-03-19,167.76321411132812,159.91522216796875,164.32196044921875,0.04907595310167623,0.020942140981654367
30,30,30,30,2019-03-20,164.38644409179688,159.96173095703125,165.270263671875,0.027661073109756407,-0.005347722938428001
31,31,31,31,2019-03-21,171.92575073242188,158.42776489257812,161.33766174316406,0.08519962298903883,0.06562689005691147
32,32,32,32,2019-03-22,167.8567657470703,164.117431640625,157.2935791015625,0.022784502956599395,0.06715586679280339
33,33,33,33,2019-03-25,167.52005004882812,169.56533813476562,155.40626525878906,-0.012061946789573064,0.07794914040220124
34,34,34,34,2019-03-26,168.4180145263672,167.52935791015625,156.95883178710938,0.005304482911511643,0.07300756898344174
35,35,35,35,2019-03-27,166.16368103027344,167.76321411132812,159.91522216796875,-0.009534468503883287,0.039073571468646984
36,36,36,36,2019-03-28,164.33029174804688,164.38644409179688,159.96173095703125,-0.00034158743478052145,0.027310036999969034
37,37,37,37,2019-03-29,167.44520568847656,171.92575073242188,158.42776489257812,-0.02606093051714309,0.05691831101709166
38,38,38,38,2019-04-01,172.76760864257812,167.8567657470703,164.117431640625,0.029256151062195368,0.05270724087917
39,39,39,39,2019-04-02,172.3560028076172,167.52005004882812,169.56533813476562,0.028867904214328277,0.01645775430019558
40,40,40,40,2019-04-03,179.1656951904297,168.4180145263672,167.52935791015625,0.06381550509479417,0.06945849626257061
41,41,41,41,2019-04-04,178.6886444091797,166.16368103027344,167.76321411132812,0.07537726235508901,0.0651241117173722
42,42,42,42,2019-04-05,182.54244995117188,164.33029174804688,164.38644409179688,0.11082654335603626,0.1104470989666051
43,43,43,43,2019-04-08,181.0738983154297,167.44520568847656,171.92575073242188,0.0813919548840869,0.05320987428605517
44,44,44,44,2019-04-09,178.15548706054688,172.76760864257812,167.8567657470703,0.031185697714408933,0.061354222259916824
45,45,45,45,2019-04-10,178.51092529296875,172.3560028076172,167.52005004882812,0.03571051999982644,0.06560931208495369
