,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,UNP,UNP_6m,UNP_12m,UNP_6m_ret,UNP_12m_ret
0,0,0,0,2019-02-05,144.55467224121094,,,,
1,1,1,1,2019-02-06,144.05282592773438,,,,
2,2,2,2,2019-02-07,144.79661560058594,,,,
3,3,3,3,2019-02-08,144.9310760498047,,,,
4,4,4,4,2019-02-11,147.2880096435547,,,,
5,5,5,5,2019-02-12,149.70773315429688,,,,
6,6,6,6,2019-02-13,151.34771728515625,144.55467224121094,,0.04699291236059189,
7,7,7,7,2019-02-14,152.01983642578125,144.05282592773438,,0.05530617290384576,
8,8,8,8,2019-02-15,152.5665283203125,144.79661560058594,,0.05366087244165607,
9,9,9,9,2019-02-19,153.5433807373047,144.9310760498047,,0.05942345094119372,
10,10,10,10,2019-02-20,153.2386932373047,147.2880096435547,,0.04040168380407194,
11,11,11,11,2019-02-21,152.5038299560547,149.70773315429688,,0.018677036535420743,
12,12,12,12,2019-02-22,152.40524291992188,151.34771728515625,144.55467224121094,0.0069873907167898874,0.05430866091696496
13,13,13,13,2019-02-25,151.9481658935547,152.01983642578125,144.05282592773438,-0.000471455133169818,0.05480864339156444
14,14,14,14,2019-02-26,152.48585510253906,152.5665283203125,144.79661560058594,-0.000528774028363932,0.05310372393760576
15,15,15,15,2019-02-27,152.2967071533203,153.5433807373047,144.9310760498047,-0.00811935739592251,0.05082161330938084
16,16,16,16,2019-02-28,151.071533203125,153.2386932373047,147.2880096435547,-0.01414238132939205,0.025687926455973287
17,17,17,17,2019-03-01,150.8373260498047,152.5038299560547,149.70773315429688,-0.01092762002587222,0.00754532095108007
18,18,18,18,2019-03-04,150.77427673339844,152.40524291992188,151.34771728515625,-0.010701509707119472,-0.0037888946199128304
19,19,19,19,2019-03-05,150.24276733398438,151.9481658935547,152.01983642578125,-0.011223554753303278,-0.011689718483972156
20,20,20,20,2019-03-06,149.45909118652344,152.48585510253906,152.5665283203125,-0.019849473342824386,-0.020367751485207974
21,21,21,21,2019-03-07,148.58522033691406,152.2967071533203,153.5433807373047,-0.024370105472272696,-0.032291593272089525
22,22,22,22,2019-03-08,148.0087127685547,151.071533203125,153.2386932373047,-0.020273974650486637,-0.0341296336993091
23,23,23,23,2019-03-11,149.17979431152344,150.8373260498047,152.5038299560547,-0.010988869808882362,-0.021796407640969462
24,24,24,24,2019-03-12,148.48614501953125,150.77427673339844,152.40524291992188,-0.015175875908283065,-0.025714980832055923
25,25,25,25,2019-03-13,150.28782653808594,150.24276733398438,151.9481658935547,0.0002999093061257785,-0.010927011495695749
26,26,26,26,2019-03-14,148.79244995117188,149.45909118652344,152.48585510253906,-0.004460359219765397,-0.024221296781157586
27,27,27,27,2019-03-15,148.6392822265625,148.58522033691406,152.2967071533203,0.0003638443280284953,-0.024015128068893832
28,28,28,28,2019-03-18,149.75633239746094,148.0087127685547,151.071533203125,0.011807545624959559,-0.008705814906211917
29,29,29,29,2019-03-19,144.8107147216797,149.17979431152344,150.8373260498047,-0.029287341559943836,-0.039954376585375706
30,30,30,30,2019-03-20,145.035888671875,148.48614501953125,150.77427673339844,-0.02323621740737103,-0.03805946336370192
31,31,31,31,2019-03-21,146.48626708984375,150.28782653808594,150.24276733398438,-0.025295192137726463,-0.025002869095122948
32,32,32,32,2019-03-22,144.69358825683594,148.79244995117188,149.45909118652344,-0.027547511286231452,-0.03188499871004968
33,33,33,33,2019-03-25,145.48631286621094,148.6392822265625,148.58522033691406,-0.021212221379982688,-0.020856094998388253
34,34,34,34,2019-03-26,145.76560974121094,149.75633239746094,148.0087127685547,-0.026648106242735836,-0.015155209348056142
35,35,35,35,2019-03-27,146.84658813476562,144.8107147216797,149.17979431152344,0.01405885895252168,-0.01564022921150776
36,36,36,36,2019-03-28,148.8194580078125,145.035888671875,148.48614501953125,0.02608712485292064,0.0022447413409338868
37,37,37,37,2019-03-29,150.6211395263672,146.48626708984375,150.28782653808594,0.02822703123417991,0.002217830917907282
38,38,38,38,2019-04-01,153.97225952148438,144.69358825683594,148.79244995117188,0.06412634710653853,0.03481231454964506
39,39,39,39,2019-04-02,152.9453125,145.48631286621094,148.6392822265625,0.051269425190865636,0.02896966541370971
40,40,40,40,2019-04-03,152.79217529296875,145.76560974121094,149.75633239746094,0.04820454951090736,0.020271883311421712
41,41,41,41,2019-04-04,152.053466796875,146.84658813476562,144.8107147216797,0.035457947836900816,0.05001530507680729
42,42,42,42,2019-04-05,151.9904327392578,148.8194580078125,145.035888671875,0.021307527751370126,0.047950504741047784
43,43,43,43,2019-04-08,151.96339416503906,150.6211395263672,146.48626708984375,0.008911462513778945,0.03739003787867734
44,44,44,44,2019-04-09,149.62118530273438,153.97225952148438,144.69358825683594,-0.028258819038392335,0.03405539322966944
45,45,45,45,2019-04-10,149.85543823242188,152.9453125,145.48631286621094,-0.020202477716197542,0.030031178054727325
46,46,46,46,2019-04-11,150.1436767578125,152.79217529296875,145.76560974121094,-0.017333993249837087,0.030034978925236766
47,47,47,47,2019-04-12,152.69308471679688,152.053466796875,146.84658813476562,0.004206532961042786,0.03981363582425046
48,48,48,48,2019-04-15,151.00851440429688,151.9904327392578,148.8194580078125,-0.006460395679282249,0.014709477011866756
49,49,49,49,2019-04-16,151.32379150390625,151.96339416503906,150.6211395263672,-0.004208925870911928,0.00466502895774501
50,50,50,50,2019-04-17,152.49488830566406,149.62118530273438,153.97225952148438,0.019206524778661693,-0.009595047967807302
51,51,51,51,2019-04-18,159.14312744140625,149.85543823242188,152.9453125,0.06197765872586758,0.04052307874035854
52,52,52,52,2019-04-22,160.09803771972656,150.1436767578125,152.79217529296875,0.06629890233719826,0.04781568436177652
53,53,53,53,2019-04-23,159.20619201660156,152.69308471679688,152.053466796875,0.04265489371627207,0.04704085589368212
54,54,54,54,2019-04-24,159.30526733398438,151.00851440429688,151.9904327392578,0.054942285621554454,0.04812694103763282
55,55,55,55,2019-04-25,158.0891571044922,151.32379150390625,151.96339416503906,0.04470787794403952,0.04031077992901544
56,56,56,56,2019-04-26,159.64756774902344,152.49488830566406,149.62118530273438,0.04690438822462295,0.06701178329794866
57,57,57,57,2019-04-29,158.9179229736328,159.14312744140625,149.85543823242188,-0.0014151064604178698,0.06047484728018526
58,58,58,58,2019-04-30,159.48544311523438,160.09803771972656,150.1436767578125,-0.003826371723334998,0.06221884636867192
