,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,AVY,AVY_6m,AVY_12m,AVY_6m_ret,AVY_12m_ret
0,0,0,0,2019-02-05,96.19617462158205,,,,
1,1,1,1,2019-02-06,95.58098602294922,,,,
2,2,2,2,2019-02-07,94.59854125976562,,,,
3,3,3,3,2019-02-08,94.40573120117188,,,,
4,4,4,4,2019-02-11,93.65283966064452,,,,
5,5,5,5,2019-02-12,95.5626220703125,,,,
6,6,6,6,2019-02-13,95.86560821533205,96.19617462158205,,-0.003436377876255392,
7,7,7,7,2019-02-14,95.44324493408205,95.58098602294922,,-0.0014410929892907376,
8,8,8,8,2019-02-15,96.31552124023438,94.59854125976562,,0.018150173962555805,
9,9,9,9,2019-02-19,96.38897705078124,94.40573120117188,,0.02100768485531046,
10,10,10,10,2019-02-20,97.72030639648438,93.65283966064452,,0.04343132307123332,
11,11,11,11,2019-02-21,96.96742248535156,95.5626220703125,,0.014700312576243935,
12,12,12,12,2019-02-22,98.18856048583984,95.86560821533205,96.19617462158205,0.024231341288629915,0.020711695367258365
13,13,13,13,2019-02-25,99.10674285888672,95.44324493408205,95.58098602294922,0.038384046218617796,0.03688763824942076
14,14,14,14,2019-02-26,98.10591888427734,96.31552124023438,94.59854125976562,0.018588879767127864,0.03707644513122599
15,15,15,15,2019-02-27,98.95982360839844,96.38897705078124,94.40573120117188,0.02667158254270907,0.04823957559866909
16,16,16,16,2019-02-28,99.19854736328124,97.72030639648438,93.65283966064452,0.01512726495964034,0.05921558516252001
17,17,17,17,2019-03-01,100.73188018798828,96.96742248535156,95.5626220703125,0.038821880649714036,0.054092887006306434
18,18,18,18,2019-03-04,100.4380874633789,98.18856048583984,95.86560821533205,0.022910275559681725,0.04769676355441477
19,19,19,19,2019-03-05,100.41039276123048,99.10674285888672,95.44324493408205,0.013153998050364324,0.05204294793810704
20,20,20,20,2019-03-06,99.61701202392578,98.10591888427734,96.31552124023438,0.015402670469157664,0.03427786862572946
21,21,21,21,2019-03-07,99.44171905517578,98.95982360839844,96.38897705078124,0.004869606969837514,0.031671069636793
22,22,22,22,2019-03-08,100.00447845458984,99.19854736328124,97.72030639648438,0.008124424326065638,0.023374589605130947
23,23,23,23,2019-03-11,100.6963882446289,100.73188018798828,96.96742248535156,-0.0003523407216576846,0.03845586139861212
24,24,24,24,2019-03-12,101.99718475341795,100.4380874633789,98.18856048583984,0.015522968720481867,0.03878887977105405
25,25,25,25,2019-03-13,101.45288848876952,100.41039276123048,99.10674285888672,0.010382348867193691,0.02367291631431545
26,26,26,26,2019-03-14,101.59127044677734,99.61701202392578,98.10591888427734,0.019818486649422873,0.035526414737638845
27,27,27,27,2019-03-15,101.67430114746094,99.44171905517578,98.95982360839844,0.022451161479282167,0.02743009678153996
28,28,28,28,2019-03-18,102.9566421508789,100.00447845458984,99.19854736328124,0.02952031490899265,0.03788457479961793
29,29,29,29,2019-03-19,103.5747528076172,100.6963882446289,100.73188018798828,0.028584585933665085,0.02822217369837121
30,30,30,30,2019-03-20,101.4621124267578,101.99718475341795,100.4380874633789,-0.0052459519147878275,0.010195584058211526
31,31,31,31,2019-03-21,102.62451171875,101.45288848876952,100.41039276123048,0.011548446253555111,0.022050695118627228
32,32,32,32,2019-03-22,100.54878997802734,101.59127044677734,99.61701202392578,-0.010261516212617394,0.009353602714742948
33,33,33,33,2019-03-25,100.90857696533205,101.67430114746094,99.44171905517578,-0.007531147728454424,0.014750930737051915
34,34,34,34,2019-03-26,102.27394104003906,102.9566421508789,100.00447845458984,-0.006630957426130624,0.022693609531494463
35,35,35,35,2019-03-27,102.49535369873048,103.5747528076172,100.6963882446289,-0.010421450011969924,0.01786524308827464
36,36,36,36,2019-03-28,104.26665496826172,101.4621124267578,101.99718475341795,0.027641278842172934,0.022250322107715936
37,37,37,37,2019-03-29,104.24820709228516,102.62451171875,101.45288848876952,0.015821711074105016,0.027552873507638687
38,38,38,38,2019-04-01,104.88477325439452,100.54878997802734,101.59127044677734,0.04312317708959701,0.032419151696135184
39,39,39,39,2019-04-02,104.33124542236328,100.90857696533205,101.67430114746094,0.033918508812259995,0.026131915783211612
40,40,40,40,2019-04-03,104.49729919433594,102.27394104003906,102.9566421508789,0.02173924395292892,0.014964134525670136
