,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,RJF,RJF_6m,RJF_12m,RJF_6m_ret,RJF_12m_ret
0,0,0,0,2019-02-05,50.53163146972656,,,,
1,1,1,1,2019-02-06,50.2363395690918,,,,
2,2,2,2,2019-02-07,49.65805435180664,,,,
3,3,3,3,2019-02-08,49.47965621948242,,,,
4,4,4,4,2019-02-11,49.227420806884766,,,,
5,5,5,5,2019-02-12,50.4516487121582,,,,
6,6,6,6,2019-02-13,50.32861328125,50.53163146972656,,-0.004017645632482525,
7,7,7,7,2019-02-14,49.93489074707031,50.2363395690918,,-0.006000612795581839,
8,8,8,8,2019-02-15,50.64851379394531,49.65805435180664,,0.01994559503120441,
9,9,9,9,2019-02-19,51.01762771606445,49.47965621948242,,0.031082905866602673,
10,10,10,10,2019-02-20,50.92535018920898,49.227420806884766,,0.03449153651549319,
11,11,11,11,2019-02-21,51.00532531738281,50.4516487121582,,0.010974400626300618,
12,12,12,12,2019-02-22,51.40519714355469,50.32861328125,50.53163146972656,0.021391089325041523,0.017287501875958178
13,13,13,13,2019-02-25,51.41749572753906,49.93489074707031,50.2363395690918,0.029690762476650256,0.023511986911840532
14,14,14,14,2019-02-26,51.41134643554688,50.64851379394531,49.65805435180664,0.015061303569637197,0.03530730526248371
15,15,15,15,2019-02-27,51.56515121459961,51.01762771606445,49.47965621948242,0.010732045433048398,0.04214853445760269
16,16,16,16,2019-02-28,50.80230712890625,50.92535018920898,49.227420806884766,-0.0024161455904686546,0.031992054351164034
17,17,17,17,2019-03-01,51.95885848999024,51.00532531738281,50.4516487121582,0.01869477680367737,0.029874341400240922
18,18,18,18,2019-03-04,51.60205459594727,51.40519714355469,50.32861328125,0.0038295243152719483,0.025302531337013656
19,19,19,19,2019-03-05,51.4913215637207,51.41749572753906,49.93489074707031,0.0014358115878074784,0.03116920440527271
20,20,20,20,2019-03-06,50.87612533569336,51.41134643554688,50.64851379394531,-0.010410563756086733,0.004493943152489077
21,21,21,21,2019-03-07,49.49811553955078,51.56515121459961,51.01762771606445,-0.04008590349025465,-0.0297840617946884
