,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,NWS,NWS_6m,NWS_12m,NWS_6m_ret,NWS_12m_ret
0,0,0,0,2019-02-05,12.34963321685791,,,,
1,1,1,1,2019-02-06,12.302568435668944,,,,
2,2,2,2,2019-02-07,12.067249298095703,,,,
3,3,3,3,2019-02-08,11.926055908203123,,,,
4,4,4,4,2019-02-11,11.681321144104004,,,,
5,5,5,5,2019-02-12,11.88840389251709,,,,
6,6,6,6,2019-02-13,11.91664218902588,12.34963321685791,,-0.03506104353293449,
7,7,7,7,2019-02-14,11.944880485534668,12.302568435668944,,-0.02907424998321717,
8,8,8,8,2019-02-15,12.170788764953612,12.067249298095703,,0.00858020451058783,
9,9,9,9,2019-02-19,12.25550365447998,11.926055908203123,,0.027624199384328918,
10,10,10,10,2019-02-20,12.377870559692385,11.681321144104004,,0.059629335329073996,
11,11,11,11,2019-02-21,12.283743858337402,11.88840389251709,,0.033254250898150595,
12,12,12,12,2019-02-22,12.434348106384276,11.91664218902588,12.34963321685791,0.04344394244170169,0.006859708951576504
13,13,13,13,2019-02-25,12.490825653076172,11.944880485534668,12.302568435668944,0.045705368773061084,0.015302269472560859
14,14,14,14,2019-02-26,12.53788948059082,12.170788764953612,12.067249298095703,0.03016244244533217,0.03900144688063967
15,15,15,15,2019-02-27,12.53788948059082,12.25550365447998,11.926055908203123,0.023041552111782382,0.051302255925771645
16,16,16,16,2019-02-28,12.52847671508789,12.377870559692385,11.681321144104004,0.012167371978015762,0.07252223961084048
17,17,17,17,2019-03-01,12.76379680633545,12.283743858337402,11.88840389251709,0.03908034500997992,0.0736341835062786
18,18,18,18,2019-03-04,12.76379680633545,12.434348106384276,11.91664218902588,0.026495052023034704,0.071090043979815
19,19,19,19,2019-03-05,12.632018089294434,12.490825653076172,11.944880485534668,0.011303691216239864,0.05752569936483609
20,20,20,20,2019-03-06,12.57554054260254,12.53788948059082,12.170788764953612,0.0030029824453314813,0.03325600217583524
21,21,21,21,2019-03-07,12.377870559692385,12.53788948059082,12.25550365447998,-0.012762827519428366,0.00998464923697151
22,22,22,22,2019-03-08,12.283743858337402,12.52847671508789,12.377870559692385,-0.019534127118244093,-0.007604434131141979
23,23,23,23,2019-03-11,12.509649276733398,12.76379680633545,12.283743858337402,-0.019911593192701194,0.018390599885609538
24,24,24,24,2019-03-12,12.386356353759766,12.76379680633545,12.434348106384276,-0.029571173711284482,-0.003859611474112512
25,25,25,25,2019-03-13,12.291513442993164,12.632018089294434,12.490825653076172,-0.026955680707095087,-0.015956688182091616
26,26,26,26,2019-03-14,12.12079906463623,12.57554054260254,12.53788948059082,-0.03616078978281445,-0.033266397554410077
27,27,27,27,2019-03-15,12.08286190032959,12.377870559692385,12.53788948059082,-0.023833555048108912,-0.036292199015283466
28,28,28,28,2019-03-18,12.07337760925293,12.283743858337402,12.52847671508789,-0.01712558089052707,-0.036325174734681887
29,29,29,29,2019-03-19,11.969051361083984,12.509649276733398,12.76379680633545,-0.04321447417833435,-0.06226559834116008
30,30,30,30,2019-03-20,11.959568977355955,12.386356353759766,12.76379680633545,-0.03445624881236875,-0.06300851080458336
31,31,31,31,2019-03-21,12.187188148498535,12.291513442993164,12.632018089294434,-0.00848758738933808,-0.03521447940079259
32,32,32,32,2019-03-22,11.988019943237305,12.12079906463623,12.57554054260254,-0.010954650818882361,-0.04671931177629107
33,33,33,33,2019-03-25,11.940600395202637,12.08286190032959,12.377870559692385,-0.011773825299043805,-0.03532676823376113
