,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CAH,CAH_6m,CAH_12m,CAH_6m_ret,CAH_12m_ret
0,0,0,0,2019-02-05,42.40556716918945,,,,
1,1,1,1,2019-02-06,42.90394592285156,,,,
2,2,2,2,2019-02-07,45.82672119140625,,,,
3,3,3,3,2019-02-08,44.49203872680664,,,,
4,4,4,4,2019-02-11,44.93130111694336,,,,
5,5,5,5,2019-02-12,46.0632438659668,,,,
6,6,6,6,2019-02-13,46.50250625610352,42.40556716918945,,0.0966132364311536,
7,7,7,7,2019-02-14,46.88263702392578,42.90394592285156,,0.09273485259907255,
8,8,8,8,2019-02-15,46.8657455444336,45.82672119140625,,0.022672893150867512,
9,9,9,9,2019-02-19,47.97234344482422,44.49203872680664,,0.07822308928992006,
10,10,10,10,2019-02-20,47.22897338867188,44.93130111694336,,0.05113745239089207,
11,11,11,11,2019-02-21,46.24909210205078,46.0632438659668,,0.004034631964365376,
12,12,12,12,2019-02-22,46.37580108642578,46.50250625610352,42.40556716918945,-0.002724695503075414,0.09362529927723684
13,13,13,13,2019-02-25,46.10548782348633,46.88263702392578,42.90394592285156,-0.016576482249555324,0.0746211527114935
14,14,14,14,2019-02-26,45.27764892578125,46.8657455444336,45.82672119140625,-0.033886084606222,-0.011981487030932603
15,15,15,15,2019-02-27,45.302982330322266,47.97234344482422,44.49203872680664,-0.05564375060334792,0.018226712614700435
16,16,16,16,2019-02-28,45.90274810791016,47.22897338867188,44.93130111694336,-0.02808075606148619,0.021620718003211303
17,17,17,17,2019-03-01,44.81304168701172,46.24909210205078,46.0632438659668,-0.031050348228898184,-0.0271409929920019
18,18,18,18,2019-03-04,42.99687957763672,46.37580108642578,46.50250625610352,-0.07285958257609648,-0.07538575790217084
19,19,19,19,2019-03-05,42.118350982666016,46.10548782348633,46.88263702392578,-0.08647857400587455,-0.10162154570845472
20,20,20,20,2019-03-06,40.741432189941406,45.27764892578125,46.8657455444336,-0.10018666700816492,-0.13067781773973297
21,21,21,21,2019-03-07,40.124778747558594,45.302982330322266,47.97234344482422,-0.11430160480401286,-0.1635851854160839
