,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,BKNG,BKNG_6m,BKNG_12m,BKNG_6m_ret,BKNG_12m_ret
0,0,0,0,2019-02-05,1902.260009765625,,,,
1,1,1,1,2019-02-06,1906.9300537109373,,,,
2,2,2,2,2019-02-07,1877.06005859375,,,,
3,3,3,3,2019-02-08,1871.0899658203125,,,,
4,4,4,4,2019-02-11,1865.0,,,,
5,5,5,5,2019-02-12,1895.2900390625,,,,
6,6,6,6,2019-02-13,1919.969970703125,1902.260009765625,,0.009309958074386504,
7,7,7,7,2019-02-14,1902.3299560546875,1906.9300537109373,,-0.0024123053948926776,
8,8,8,8,2019-02-15,1933.5699462890625,1877.06005859375,,0.030105529887865412,
9,9,9,9,2019-02-19,1935.5,1871.0899658203125,,0.03442380396254707,
10,10,10,10,2019-02-20,1926.1700439453125,1865.0,,0.03279895117711118,
11,11,11,11,2019-02-21,1906.31005859375,1895.2900390625,,0.0058144238106696555,
12,12,12,12,2019-02-22,1910.52001953125,1919.969970703125,1902.260009765625,-0.004921926548889899,0.004342208595681241
13,13,13,13,2019-02-25,1890.030029296875,1902.3299560546875,1906.9300537109373,-0.00646571680094965,-0.008862424912321476
14,14,14,14,2019-02-26,1915.72998046875,1933.5699462890625,1877.06005859375,-0.009226439340635828,0.020601323701901375
15,15,15,15,2019-02-27,1906.0,1935.5,1871.0899658203125,-0.015241539653836234,0.01865759253557986
16,16,16,16,2019-02-28,1697.0400390625,1926.1700439453125,1865.0,-0.11895627055516489,-0.0900589602882037
17,17,17,17,2019-03-01,1714.0799560546875,1906.31005859375,1895.2900390625,-0.10083884396060272,-0.095610739925298
18,18,18,18,2019-03-04,1707.8199462890625,1910.52001953125,1919.969970703125,-0.10609680671753463,-0.11049653257668901
19,19,19,19,2019-03-05,1745.9300537109375,1890.030029296875,1902.3299560546875,-0.07624216195101685,-0.08221491852449903
20,20,20,20,2019-03-06,1751.6199951171875,1915.72998046875,1933.5699462890625,-0.0856644657779001,-0.09410052712138817
21,21,21,21,2019-03-07,1725.010009765625,1906.0,1935.5,-0.0949580221586438,-0.10875225535229915
22,22,22,22,2019-03-08,1715.8199462890625,1697.0400390625,1926.1700439453125,0.011066272329636417,-0.10920640071080989
23,23,23,23,2019-03-11,1709.9000244140625,1714.0799560546875,1906.31005859375,-0.002438586149881794,-0.10303152590223208
24,24,24,24,2019-03-12,1736.0,1707.8199462890625,1910.52001953125,0.016500599944490713,-0.09134686773607792
25,25,25,25,2019-03-13,1760.7099609375,1745.9300537109375,1890.030029296875,0.008465348995595923,-0.06842222946451515
26,26,26,26,2019-03-14,1743.8800048828125,1751.6199951171875,1915.72998046875,-0.004418761064586496,-0.08970469603648867
27,27,27,27,2019-03-15,1752.1700439453125,1725.010009765625,1906.0,0.01574485598688069,-0.08070826655544994
28,28,28,28,2019-03-18,1756.3299560546875,1715.8199462890625,1697.0400390625,0.023609709080046004,0.034937252879985836
29,29,29,29,2019-03-19,1764.030029296875,1709.9000244140625,1714.0799560546875,0.03165682443999107,0.02914104039648069
30,30,30,30,2019-03-20,1774.4300537109375,1736.0,1707.8199462890625,0.02213712771367371,0.03900300354648789
31,31,31,31,2019-03-21,1774.3599853515625,1760.7099609375,1745.9300537109375,0.007752568405300808,0.016283545598059668
32,32,32,32,2019-03-22,1721.5899658203125,1743.8800048828125,1751.6199951171875,-0.012781865151322624,-0.017144146207845656
33,33,33,33,2019-03-25,1752.3900146484375,1752.1700439453125,1725.010009765625,0.00012554186957203228,0.015872374495109476
34,34,34,34,2019-03-26,1768.8699951171875,1756.3299560546875,1715.8199462890625,0.007139910709414332,0.03091819100416715
35,35,35,35,2019-03-27,1752.1099853515625,1764.030029296875,1709.9000244140625,-0.00675727949487559,0.024685630934454306
36,36,36,36,2019-03-28,1728.8900146484375,1774.4300537109375,1736.0,-0.025664600848740338,-0.004095613681775578
37,37,37,37,2019-03-29,1744.9100341796875,1774.3599853515625,1760.7099609375,-0.016597506376948568,-0.008973611275192472
38,38,38,38,2019-04-01,1759.22998046875,1721.5899658203125,1743.8800048828125,0.021863518837659246,0.008802197136820178
39,39,39,39,2019-04-02,1763.550048828125,1752.3900146484375,1752.1700439453125,0.006368464831686627,0.006494806210239901
40,40,40,40,2019-04-03,1774.9300537109375,1768.8699951171875,1756.3299560546875,0.003425949114676863,0.010590320794864772
41,41,41,41,2019-04-04,1780.5999755859375,1752.1099853515625,1764.030029296875,0.016260389172234824,0.009393233683026914
42,42,42,42,2019-04-05,1769.449951171875,1728.8900146484375,1774.4300537109375,0.02346010225045192,-0.0028065927584169925
43,43,43,43,2019-04-08,1788.719970703125,1744.9100341796875,1774.3599853515625,0.02510727525504386,0.008093050716941885
44,44,44,44,2019-04-09,1794.469970703125,1759.22998046875,1721.5899658203125,0.020031485721375253,0.042332963324450024
45,45,45,45,2019-04-10,1806.0,1763.550048828125,1752.3900146484375,0.024070737998098224,0.030592496478198505
46,46,46,46,2019-04-11,1818.5899658203125,1774.9300537109375,1768.8699951171875,0.02459810290444575,0.02810832386799067
47,47,47,47,2019-04-12,1833.0699462890625,1780.5999755859375,1752.1099853515625,0.029467579143293454,0.04620712262036175
48,48,48,48,2019-04-15,1846.22998046875,1769.449951171875,1728.8900146484375,0.04339203222223098,0.06787011598547132
49,49,49,49,2019-04-16,1841.699951171875,1788.719970703125,1744.9100341796875,0.029618934957115872,0.05546986096488937
50,50,50,50,2019-04-17,1839.7900390625,1794.469970703125,1759.22998046875,0.025255406386999857,0.04579279542080372
51,51,51,51,2019-04-18,1844.31005859375,1806.0,1763.550048828125,0.02121265702865438,0.04579399933633299
52,52,52,52,2019-04-22,1844.1700439453125,1818.5899658203125,1774.9300537109375,0.014065885441890469,0.03900998244387788
53,53,53,53,2019-04-23,1887.72998046875,1833.0699462890625,1780.5999755859375,0.029818848042511004,0.06016511645045908
54,54,54,54,2019-04-24,1867.280029296875,1846.22998046875,1769.449951171875,0.011401639584891043,0.05528841211937574
55,55,55,55,2019-04-25,1866.260009765625,1841.699951171875,1788.719970703125,0.013335537408317943,0.04334945678054902
56,56,56,56,2019-04-26,1868.0,1839.7900390625,1794.469970703125,0.015333250174500934,0.04097590402589124
57,57,57,57,2019-04-29,1876.3199462890625,1844.31005859375,1806.0,0.01735602294536065,0.03893684733613645
58,58,58,58,2019-04-30,1854.989990234375,1844.1700439453125,1818.5899658203125,0.0058671087975785685,0.020015520319691005
59,59,59,59,2019-05-01,1829.52001953125,1887.72998046875,1833.0699462890625,-0.03083595722892829,-0.0019366019092720288
60,60,60,60,2019-05-02,1808.0,1867.280029296875,1846.22998046875,-0.031746726986201956,-0.020707052140407578
61,61,61,61,2019-05-03,1824.0699462890625,1866.260009765625,1841.699951171875,-0.022606744642114984,-0.009572680322652238
62,62,62,62,2019-05-06,1800.510009765625,1868.0,1839.7900390625,-0.036129545093348536,-0.021350278272454837
63,63,63,63,2019-05-07,1785.0,1876.3199462890625,1844.31005859375,-0.04866970927302283,-0.03215839891854888
64,64,64,64,2019-05-08,1751.6300048828125,1854.989990234375,1844.1700439453125,-0.05571996932366363,-0.05017977564830467
65,65,65,65,2019-05-09,1736.030029296875,1829.52001953125,1887.72998046875,-0.051100829308404316,-0.08036104355041596
66,66,66,66,2019-05-10,1829.8499755859373,1808.0,1867.280029296875,0.012085163487797201,-0.02004522788423546
67,67,67,67,2019-05-13,1777.260009765625,1824.0699462890625,1866.260009765625,-0.025662358298632615,-0.047688960559776006
68,68,68,68,2019-05-14,1793.6700439453125,1800.510009765625,1868.0,-0.0037989046343612776,-0.039791197031417314
69,69,69,69,2019-05-15,1789.4300537109375,1785.0,1876.3199462890625,0.0024818228072478465,-0.04630867606027089
70,70,70,70,2019-05-16,1803.31005859375,1751.6300048828125,1854.989990234375,0.02950397833268159,-0.027859951758605117
71,71,71,71,2019-05-17,1787.2900390625,1736.030029296875,1829.52001953125,0.029527144634926783,-0.02308254625143158
72,72,72,72,2019-05-20,1752.22998046875,1829.8499755859373,1808.0,-0.0424187753929568,-0.030846249740735576
73,73,73,73,2019-05-21,1772.18994140625,1777.260009765625,1824.0699462890625,-0.0028527442982546614,-0.028441894450571104
74,74,74,74,2019-05-22,1745.02001953125,1793.6700439453125,1800.510009765625,-0.027123173840297388,-0.030819040123858166
75,75,75,75,2019-05-23,1716.9300537109375,1789.4300537109375,1785.0,-0.04051569372585917,-0.03813442369135156
76,76,76,76,2019-05-24,1708.47998046875,1803.31005859375,1751.6300048828125,-0.05258667397383121,-0.02463421173066127
77,77,77,77,2019-05-28,1685.800048828125,1787.2900390625,1736.030029296875,-0.05678428683439107,-0.028933820049814485
78,78,78,78,2019-05-29,1685.9200439453125,1752.22998046875,1829.8499755859373,-0.037843169710918056,-0.07865668418774985
79,79,79,79,2019-05-30,1673.06005859375,1772.18994140625,1777.260009765625,-0.05593637594728673,-0.05862954806799281
80,80,80,80,2019-05-31,1656.219970703125,1745.02001953125,1793.6700439453125,-0.050887696321087805,-0.07663063432773609
81,81,81,81,2019-06-03,1650.4599609375,1716.9300537109375,1789.4300537109375,-0.03871450245149499,-0.07766165125328028
82,82,82,82,2019-06-04,1747.030029296875,1708.47998046875,1803.31005859375,0.022563945301570465,-0.03120929150739782
83,83,83,83,2019-06-05,1765.0,1685.800048828125,1787.2900390625,0.04698063167510913,-0.012471416823982229
84,84,84,84,2019-06-06,1754.8599853515625,1685.9200439453125,1752.22998046875,0.040891584185048346,0.001500947314067247
85,85,85,85,2019-06-07,1778.2900390625,1673.06005859375,1772.18994140625,0.06289671427408194,0.00344212407131117
86,86,86,86,2019-06-10,1781.1199951171875,1656.219970703125,1745.02001953125,0.07541270279517165,0.020687427755490484
87,87,87,87,2019-06-11,1803.6300048828125,1650.4599609375,1716.9300537109375,0.09280445910260582,0.05049707819167337
88,88,88,88,2019-06-12,1798.9000244140625,1747.030029296875,1708.47998046875,0.029690385538515107,0.052924263075359024
89,89,89,89,2019-06-13,1809.52001953125,1765.0,1685.800048828125,0.025223807099858275,0.07338946916576994
90,90,90,90,2019-06-14,1775.5,1754.8599853515625,1685.9200439453125,0.01176163045526546,0.05313416634222845
91,91,91,91,2019-06-17,1781.4100341796875,1778.2900390625,1673.06005859375,0.0017544917019454154,0.06476155773930103
92,92,92,92,2019-06-18,1808.989990234375,1781.1199951171875,1656.219970703125,0.015647455080842976,0.09224017475552704
93,93,93,93,2019-06-19,1842.06005859375,1803.6300048828125,1650.4599609375,0.021307060542849143,0.11608890987420062
94,94,94,94,2019-06-20,1861.31005859375,1798.9000244140625,1747.030029296875,0.03469344228844262,0.06541388950415983
95,95,95,95,2019-06-21,1880.0,1809.52001953125,1765.0,0.03894954446926069,0.06515580736543902
96,96,96,96,2019-06-24,1870.81005859375,1775.5,1754.8599853515625,0.05368068633835543,0.06607368918891754
97,97,97,97,2019-06-25,1845.469970703125,1781.4100341796875,1778.2900390625,0.035960242332942816,0.03777782598166146
98,98,98,98,2019-06-26,1830.219970703125,1808.989990234375,1781.1199951171875,0.011735819757631383,0.027566910550968826
99,99,99,99,2019-06-27,1845.1700439453125,1842.06005859375,1803.6300048828125,0.0016883191929890629,0.02303135285509894
