,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,SWK,SWK_6m,SWK_12m,SWK_6m_ret,SWK_12m_ret
0,0,0,0,2019-02-05,115.32532501220705,,,,
1,1,1,1,2019-02-06,115.29875946044922,,,,
2,2,2,2,2019-02-07,113.36870574951172,,,,
3,3,3,3,2019-02-08,112.27971649169922,,,,
4,4,4,4,2019-02-11,113.62545013427734,,,,
5,5,5,5,2019-02-12,117.1402816772461,,,,
6,6,6,6,2019-02-13,118.88441467285156,115.32532501220705,,0.030861301802251884,
7,7,7,7,2019-02-14,117.82201385498048,115.29875946044922,,0.02188448866526449,
8,8,8,8,2019-02-15,120.75251007080078,113.36870574951172,,0.0651308866275988,
9,9,9,9,2019-02-19,120.90300750732422,112.27971649169922,,0.07680185954390528,
10,10,10,10,2019-02-20,121.13319396972656,113.62545013427734,,0.06607449146803734,
11,11,11,11,2019-02-21,121.77064514160156,117.1402816772461,,0.03952836204639998,
12,12,12,12,2019-02-22,122.99243927001952,118.88441467285156,115.32532501220705,0.034554778340562864,0.06648248558589298
13,13,13,13,2019-02-25,121.63783264160156,117.82201385498048,115.29875946044922,0.03238629744792609,0.05497954367259972
14,14,14,14,2019-02-26,120.31865692138672,120.75251007080078,113.36870574951172,-0.0035929120575604045,0.061303965022154516
15,15,15,15,2019-02-27,120.81448364257812,120.90300750732422,112.27971649169922,-0.0007321891040694695,0.07601343695510554
16,16,16,16,2019-02-28,117.24652862548828,121.13319396972656,113.62545013427734,-0.03208588180387306,0.03186855134066979
17,17,17,17,2019-03-01,117.4236297607422,121.77064514160156,117.1402816772461,-0.035698385073056116,0.002418878283704462
18,18,18,18,2019-03-04,120.07510375976562,122.99243927001952,118.88441467285156,-0.02371963291051682,0.010015518772503729
19,19,19,19,2019-03-05,119.37220764160156,121.63783264160156,117.82201385498048,-0.018625989552736644,0.013157081057272757
20,20,20,20,2019-03-06,118.89171600341795,120.31865692138672,120.75251007080078,-0.011859681237142539,-0.015409982502987196
21,21,21,21,2019-03-07,116.77406311035156,120.81448364257812,120.90300750732422,-0.03344318007582503,-0.034150882447837594
22,22,22,22,2019-03-08,115.0123062133789,117.24652862548828,121.13319396972656,-0.019055765985584006,-0.05053022673436136
23,23,23,23,2019-03-11,117.93968200683594,117.4236297607422,121.77064514160156,0.004394790445034102,-0.031460481549644204
24,24,24,24,2019-03-12,117.98416137695312,120.07510375976562,122.99243927001952,-0.017413621286522907,-0.040720209492480564
25,25,25,25,2019-03-13,118.84725952148438,119.37220764160156,121.63783264160156,-0.004397574029067708,-0.02294165441388163
26,26,26,26,2019-03-14,117.4324951171875,118.89171600341795,120.31865692138672,-0.012273528680404433,-0.023987649779742548
27,27,27,27,2019-03-15,117.01429748535156,116.77406311035156,120.81448364257812,0.002057257995493167,-0.031454723329937595
28,28,28,28,2019-03-18,119.39891052246094,115.0123062133789,117.24652862548828,0.038140303881427196,0.01835774519045974
29,29,29,29,2019-03-19,118.62482452392578,117.93968200683594,117.4236297607422,0.0058092620348946244,0.01022958296921228
30,30,30,30,2019-03-20,117.31683349609376,117.98416137695312,120.07510375976562,-0.005656080215100112,-0.02297120866279101
31,31,31,31,2019-03-21,119.76372528076172,118.84725952148438,119.37220764160156,0.007711290634443868,0.0032798056339515824
32,32,32,32,2019-03-22,116.4715576171875,117.4324951171875,118.89171600341795,-0.008182892640074324,-0.020355988352972254
33,33,33,33,2019-03-25,117.15666198730467,117.01429748535156,116.77406311035156,0.0012166419404511242,0.003276402882304019
34,34,34,34,2019-03-26,117.49479675292967,119.39891052246094,115.0123062133789,-0.01594749701818321,0.021584564480822355
35,35,35,35,2019-03-27,117.77061462402344,118.62482452392578,117.93968200683594,-0.0072009371000592015,-0.0014335071956756984
36,36,36,36,2019-03-28,119.73702239990234,117.31683349609376,117.98416137695312,0.02062951097200516,0.014856748588049307
37,37,37,37,2019-03-29,121.16065216064452,119.76372528076172,118.84725952148438,0.011664023280905766,0.01946525858883552
38,38,38,38,2019-04-01,124.13250732421876,116.4715576171875,117.4324951171875,0.06577528337185012,0.05705415864957342
39,39,39,39,2019-04-02,123.9456558227539,117.15666198730467,117.01429748535156,0.05794799647146753,0.05923514037479083
40,40,40,40,2019-04-03,125.23580932617188,117.49479675292967,119.39891052246094,0.06588387560276532,0.048885695674860674
41,41,41,41,2019-04-04,127.1844253540039,117.77061462402344,118.62482452392578,0.07993344316010886,0.07215691036366256
42,42,42,42,2019-04-05,127.05094909667967,119.73702239990234,117.31683349609376,0.06108325186465713,0.08297288045121021
43,43,43,43,2019-04-08,128.12757873535156,121.16065216064452,119.76372528076172,0.05750156053526134,0.06983628335693881
44,44,44,44,2019-04-09,126.23234558105467,124.13250732421876,116.4715576171875,0.016916102817059686,0.08380404764524929
45,45,45,45,2019-04-10,126.75735473632812,123.9456558227539,117.15666198730467,0.02268493312581299,0.08194747602201069
46,46,46,46,2019-04-11,128.46572875976562,125.23580932617188,117.49479675292967,0.025790701964336415,0.09337376896702776
47,47,47,47,2019-04-12,130.05838012695312,127.1844253540039,117.77061462402344,0.022596750859626757,0.10433643012017679
48,48,48,48,2019-04-15,130.4499053955078,127.05094909667967,119.73702239990234,0.02675270293527432,0.0894700968913873
49,49,49,49,2019-04-16,129.7469940185547,128.12757873535156,121.16065216064452,0.012639084412482626,0.07086741202519864
50,50,50,50,2019-04-17,128.67922973632812,126.23234558105467,124.13250732421876,0.01938397123186064,0.03662797529928152
51,51,51,51,2019-04-18,129.6758270263672,126.75735473632812,123.9456558227539,0.023024086421729706,0.04623131940830261
52,52,52,52,2019-04-22,129.3999481201172,128.46572875976562,125.23580932617188,0.007272129067967814,0.033250384345742345
53,53,53,53,2019-04-23,131.1973419189453,130.05838012695312,127.1844253540039,0.008757311838579085,0.031551949492022224
54,54,54,54,2019-04-24,129.8804473876953,130.4499053955078,127.05094909667967,-0.004365338603243729,0.022270579725166106
55,55,55,55,2019-04-25,127.67382049560548,129.7469940185547,128.12757873535156,-0.015978586160175112,-0.0035414564469630205
56,56,56,56,2019-04-26,130.174072265625,128.67922973632812,126.23234558105467,0.01161681284819549,0.031225964046111443
57,57,57,57,2019-04-29,131.0816650390625,129.6758270263672,126.75735473632812,0.010841172521764308,0.03411486703654787
58,58,58,58,2019-04-30,130.44105529785156,129.3999481201172,128.46572875976562,0.008045653749164883,0.015376291849632961
59,59,59,59,2019-05-01,132.0248260498047,131.1973419189453,130.05838012695312,0.006307171462136774,0.01511971716802929
60,60,60,60,2019-05-02,133.43954467773438,129.8804473876953,130.4499053955078,0.027402872115269927,0.02291791069654181
61,61,61,61,2019-05-03,136.20672607421875,127.67382049560548,129.7469940185547,0.06683363547429022,0.049787142311291444
62,62,62,62,2019-05-06,130.26303100585938,130.174072265625,128.67922973632812,0.0006833829401360347,0.012308134520050862
63,63,63,63,2019-05-07,127.79837799072266,131.0816650390625,129.6758270263672,-0.025047645277937347,-0.01447801859989517
64,64,64,64,2019-05-08,128.0830841064453,130.44105529785156,129.3999481201172,-0.018076909804371155,-0.010176696612346992
65,65,65,65,2019-05-09,126.81076049804688,132.0248260498047,131.1973419189453,-0.03949306890047233,-0.03343498699545677
66,66,66,66,2019-05-10,126.5171127319336,133.43954467773438,129.8804473876953,-0.0518769152166918,-0.025895619574839546
67,67,67,67,2019-05-13,120.78697204589844,136.20672607421875,127.67382049560548,-0.11320846240675453,-0.053940960041562236
68,68,68,68,2019-05-14,120.5556182861328,130.26303100585938,130.174072265625,-0.07452162478308932,-0.07388916865000117
69,69,69,69,2019-05-15,120.19080352783205,127.79837799072266,131.0816650390625,-0.059527942236034304,-0.08308455273271786
70,70,70,70,2019-05-16,123.1092529296875,128.0830841064453,130.44105529785156,-0.03883284987597768,-0.056207781755694075
71,71,71,71,2019-05-17,119.98615264892578,126.81076049804688,132.0248260498047,-0.053817261424169205,-0.09118492151118207
72,72,72,72,2019-05-20,120.22639465332033,126.5171127319336,133.43954467773438,-0.04972227031407317,-0.09901974752930032
73,73,73,73,2019-05-21,121.8102035522461,120.78697204589844,136.20672607421875,0.008471373104367963,-0.10569612042600618
74,74,74,74,2019-05-22,120.62680053710938,120.5556182861328,130.26303100585938,0.0005904515441796931,-0.0739751746473376
75,75,75,75,2019-05-23,117.3346176147461,120.19080352783205,127.79837799072266,-0.023763764192029524,-0.08187709844592994
76,76,76,76,2019-05-24,118.16212463378906,123.1092529296875,128.0830841064453,-0.04018486164256019,-0.0774572188190854
77,77,77,77,2019-05-28,115.11018371582033,119.98615264892578,126.81076049804688,-0.04063776382073292,-0.09226801208566804
78,78,78,78,2019-05-29,115.86651611328124,120.22639465332033,126.5171127319336,-0.03626390488221032,-0.08418305151508643
79,79,79,79,2019-05-30,116.60501098632812,121.8102035522461,120.78697204589844,-0.04273199136134265,-0.03462261689928936
80,80,80,80,2019-05-31,113.19717407226562,120.62680053710938,120.5556182861328,-0.0615918388928679,-0.061037754345071416
81,81,81,81,2019-06-03,113.84114074707033,117.3346176147461,120.19080352783205,-0.029773624687184586,-0.052829855483005894
82,82,82,82,2019-06-04,118.50997924804688,118.16212463378906,123.1092529296875,0.002943875758293135,-0.03735928512430697
83,83,83,83,2019-06-05,120.6118621826172,115.11018371582033,119.98615264892578,0.04779488911579888,0.005214847879340123
84,84,84,84,2019-06-06,121.82833099365234,115.86651611328124,120.22639465332033,0.05145416536510261,0.013324331524298794
85,85,85,85,2019-06-07,123.15202331542967,116.60501098632812,121.8102035522461,0.056146920906076536,0.011015659805609479
86,86,86,86,2019-06-10,124.75302124023438,113.19717407226562,120.62680053710938,0.10208600402507795,0.0342065004190808
87,87,87,87,2019-06-11,125.22706604003906,113.84114074707033,117.3346176147461,0.10001591005017896,0.06726444919441299
88,88,88,88,2019-06-12,126.09465026855467,118.50997924804688,118.16212463378906,0.0640002729612561,0.06713255757164394
89,89,89,89,2019-06-13,127.82083892822266,120.6118621826172,115.11018371582033,0.05977004761513771,0.11042163952914819
90,90,90,90,2019-06-14,126.56867218017578,121.82833099365234,115.86651611328124,0.03891000679284051,0.09236625408181931
91,91,91,91,2019-06-17,125.93362426757812,123.15202331542967,116.60501098632812,0.02258672555483665,0.0800018215541678
92,92,92,92,2019-06-18,129.29664611816406,124.75302124023438,113.19717407226562,0.036420960652969736,0.14222503501386408
93,93,93,93,2019-06-19,128.3217315673828,125.22706604003906,113.84114074707033,0.024712433383644816,0.12719997994824328
94,94,94,94,2019-06-20,130.90658569335938,126.09465026855467,118.50997924804688,0.03816129720457062,0.10460390360347493
95,95,95,95,2019-06-21,128.30384826660156,127.82083892822266,120.6118621826172,0.0037787996263281,0.06377470627505932
96,96,96,96,2019-06-24,128.01766967773438,126.56867218017578,121.82833099365234,0.011448310807084194,0.05080377145119486
97,97,97,97,2019-06-25,126.73860931396484,125.93362426757812,123.15202331542967,0.0063921375333113595,0.029123240544321582
98,98,98,98,2019-06-26,127.94610595703124,129.29664611816406,124.75302124023438,-0.010445283784844439,0.025595249598388436
99,99,99,99,2019-06-27,128.0623321533203,128.3217315673828,125.22706604003906,-0.0020214768838767716,0.022641000886938656
100,100,100,100,2019-06-28,129.3413848876953,130.90658569335938,126.09465026855467,-0.011956623857950488,0.02574839307001353
101,101,101,101,2019-07-01,131.69366455078125,128.30384826660156,127.82083892822266,0.026420223009492316,0.03029885936465626
102,102,102,102,2019-07-02,131.1301727294922,128.01766967773438,126.56867218017578,0.024313073809209884,0.036039728241937574
103,103,103,103,2019-07-03,131.49691772460938,126.73860931396484,125.93362426757812,0.0375442687623071,0.04417639442513477
104,104,104,104,2019-07-05,131.04971313476562,127.94610595703124,129.29664611816406,0.024257144479072235,0.013558487936333963
