,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,F,F_6m,F_12m,F_6m_ret,F_12m_ret
0,0,0,0,2019-02-05,7.158003330230713,,,,
1,1,1,1,2019-02-06,7.133462429046631,,,,
2,2,2,2,2019-02-07,6.798057556152344,,,,
3,3,3,3,2019-02-08,6.8635029792785645,,,,
4,4,4,4,2019-02-11,6.814418315887451,,,,
5,5,5,5,2019-02-12,6.920766353607178,,,,
6,6,6,6,2019-02-13,6.879861831665039,7.158003330230713,,-0.03885741396500708,
7,7,7,7,2019-02-14,6.888044357299805,7.133462429046631,,-0.03440377995789423,
8,8,8,8,2019-02-15,6.986210823059082,6.798057556152344,,0.027677504250674723,
9,9,9,9,2019-02-19,7.223448753356934,6.8635029792785645,,0.05244344981929383,
10,10,10,10,2019-02-20,7.313433647155762,6.814418315887451,,0.07322933640643736,
11,11,11,11,2019-02-21,7.125279903411865,6.920766353607178,,0.029550708600080577,
12,12,12,12,2019-02-22,7.125279903411865,6.879861831665039,7.158003330230713,0.03567194774425153,-0.004571585861191996
13,13,13,13,2019-02-25,7.166183471679688,6.888044357299805,7.133462429046631,0.04037998304774537,0.004586979038372796
14,14,14,14,2019-02-26,7.264349460601807,6.986210823059082,6.798057556152344,0.0398125170549799,0.06859193241567385
15,15,15,15,2019-02-27,7.182545185089111,7.223448753356934,6.8635029792785645,-0.005662609324779022,0.0464838737265445
16,16,16,16,2019-02-28,7.174363613128662,7.313433647155762,6.814418315887451,-0.019015696420679906,0.0528211331555648
17,17,17,17,2019-03-01,7.190724849700928,7.125279903411865,6.920766353607178,0.009184894793778486,0.03900702354343233
18,18,18,18,2019-03-04,7.20708703994751,7.125279903411865,6.879861831665039,0.011481252335991954,0.0475627587136116
19,19,19,19,2019-03-05,7.174363613128662,7.166183471679688,6.888044357299805,0.0011414920482151203,0.041567568525516574
20,20,20,20,2019-03-06,7.018931865692139,7.264349460601807,6.986210823059082,-0.03378383656247408,0.004683660923179733
21,21,21,21,2019-03-07,6.937127113342285,7.182545185089111,7.223448753356934,-0.03416867773506127,-0.03963780318668242
22,22,22,22,2019-03-08,6.888044357299805,7.174363613128662,7.313433647155762,-0.03990866246379121,-0.05816546787450427
23,23,23,23,2019-03-11,7.043474197387695,7.190724849700928,7.125279903411865,-0.020477859380109154,-0.01148105157033874
24,24,24,24,2019-03-12,7.010753154754639,7.20708703994751,7.125279903411865,-0.027241780778368585,-0.01607329820157477
25,25,25,25,2019-03-13,6.978029727935791,7.174363613128662,7.166183471679688,-0.027366034923793303,-0.026255780986834787
26,26,26,26,2019-03-14,6.879861831665039,7.018931865692139,7.264349460601807,-0.01981356090758779,-0.05292801936663927
27,27,27,27,2019-03-15,6.896225452423096,6.937127113342285,7.182545185089111,-0.005896051816683956,-0.03986326925731176
28,28,28,28,2019-03-18,7.010753154754639,6.888044357299805,7.174363613128662,0.017814751341545865,-0.022804874020411536
29,29,29,29,2019-03-19,7.117100238800049,7.043474197387695,7.190724849700928,0.0104530859841383,-0.010238830220842154
30,30,30,30,2019-03-20,6.961670398712158,7.010753154754639,7.20708703994751,-0.00700106749717655,-0.034052126729572474
31,31,31,31,2019-03-21,7.108919143676758,6.978029727935791,7.174363613128662,0.01875736000621564,-0.009121989486585935
32,32,32,32,2019-03-22,6.986210823059082,6.879861831665039,7.018931865692139,0.015458012674697041,-0.004661826508530975
33,33,33,33,2019-03-25,6.961670398712158,6.896225452423096,6.937127113342285,0.009489966176507103,0.0035379610275079187
34,34,34,34,2019-03-26,7.166183471679688,7.010753154754639,6.888044357299805,0.022170273791431105,0.04037998304774537
35,35,35,35,2019-03-27,7.051655292510986,7.117100238800049,7.043474197387695,-0.009195450969241459,0.0011615141752525648
36,36,36,36,2019-03-28,7.174363613128662,6.961670398712158,7.010753154754639,0.030552037404104837,0.023337073030885946
37,37,37,37,2019-03-29,7.182545185089111,7.108919143676758,6.978029727935791,0.010356854526590409,0.02930848178169332
38,38,38,38,2019-04-01,7.346157073974609,6.986210823059082,6.879861831665039,0.05152238603041703,0.06777683240140298
39,39,39,39,2019-04-02,7.370697975158691,6.961670398712158,6.896225452423096,0.058754228945139264,0.06880177076706251
40,40,40,40,2019-04-03,7.468864440917969,7.166183471679688,7.010753154754639,0.04223740160079026,0.06534409014994957
41,41,41,41,2019-04-04,7.558849334716797,7.051655292510986,7.117100238800049,0.07192552970427557,0.06206869105320156
42,42,42,42,2019-04-05,7.567031383514404,7.174363613128662,6.961670398712158,0.054732069847586606,0.08695628349687912
43,43,43,43,2019-04-08,7.607935905456543,7.182545185089111,7.108919143676758,0.05922562398222553,0.07019586968064617
44,44,44,44,2019-04-09,7.534308910369873,7.346157073974609,6.986210823059082,0.025612280611563953,0.0784542724507693
45,45,45,45,2019-04-10,7.632475852966309,7.370697975158691,6.961670398712158,0.035516022863761654,0.096356968347459
46,46,46,46,2019-04-11,7.681561470031738,7.468864440917969,7.166183471679688,0.028477826957002295,0.07191805797169315
47,47,47,47,2019-04-12,7.730642795562744,7.558849334716797,7.051655292510986,0.022727461977172014,0.09628767642298941
48,48,48,48,2019-04-15,7.632475852966309,7.567031383514404,7.174363613128662,0.008648631958165565,0.06385405933417254
49,49,49,49,2019-04-16,7.657018184661865,7.607935905456543,7.182545185089111,0.00645145803214775,0.06605917364192226
50,50,50,50,2019-04-17,7.771545886993408,7.534308910369873,7.346157073974609,0.031487556383175797,0.057906305124598045
51,51,51,51,2019-04-18,7.8124494552612305,7.632475852966309,7.370697975158691,0.023579976636935784,0.059933466490061704
52,52,52,52,2019-04-22,7.771545886993408,7.681561470031738,7.468864440917969,0.011714339241146288,0.040525765123973434
53,53,53,53,2019-04-23,7.896223068237305,7.730642795562744,7.558849334716797,0.021418694027565355,0.04463294855884947
54,54,54,54,2019-04-24,7.954405784606934,7.632475852966309,7.567031383514404,0.042178964970522426,0.051192387273094386
55,55,55,55,2019-04-25,7.813105583190918,7.657018184661865,7.607935905456543,0.02038488021900209,0.026967850450372977
56,56,56,56,2019-04-26,8.652597427368164,7.771545886993408,7.534308910369873,0.1133688912329911,0.14842615697096395
57,57,57,57,2019-04-29,8.577790260314941,7.8124494552612305,7.632475852966309,0.0979642568488297,0.12385422837351556
58,58,58,58,2019-04-30,8.685845375061035,7.771545886993408,7.681561470031738,0.11764705521430607,0.13073955197095466
59,59,59,59,2019-05-01,8.561168670654297,7.896223068237305,7.730642795562744,0.08421058988211061,0.10743296476824149
60,60,60,60,2019-05-02,8.594416618347168,7.954405784606934,7.632475852966309,0.08045991756904813,0.12603259858424676
61,61,61,61,2019-05-03,8.652597427368164,7.813105583190918,7.657018184661865,0.10744662736714128,0.1300217942149584
62,62,62,62,2019-05-06,8.61935043334961,8.652597427368164,7.771545886993408,-0.0038424293164726064,0.10909084996526897
63,63,63,63,2019-05-07,8.627662658691406,8.577790260314941,7.8124494552612305,0.0058141312462720585,0.1043479651418644
64,64,64,64,2019-05-08,8.594416618347168,8.685845375061035,7.771545886993408,-0.010526178255069962,0.10588250308486624
65,65,65,65,2019-05-09,8.47805118560791,8.561168670654297,7.896223068237305,-0.00970866107699686,0.07368435672885432
66,66,66,66,2019-05-10,8.627662658691406,8.594416618347168,7.954405784606934,0.0038683300822612843,0.08463949317085806
67,67,67,67,2019-05-13,8.37830924987793,8.652597427368164,7.813105583190918,-0.03170009697003362,0.07234046189046617
68,68,68,68,2019-05-14,8.511296272277832,8.61935043334961,8.652597427368164,-0.012536230184318597,-0.016330489922412927
69,69,69,69,2019-05-15,8.611037254333496,8.627662658691406,8.577790260314941,-0.0019269882256188753,0.00387593925819929
70,70,70,70,2019-05-16,8.644286155700684,8.594416618347168,8.685845375061035,0.00580255060559387,-0.004784706331484645
71,71,71,71,2019-05-17,8.5528564453125,8.47805118560791,8.561168670654297,0.008823402697966332,-0.0009709218053709501
72,72,72,72,2019-05-20,8.544543266296387,8.627662658691406,8.594416618347168,-0.009634056833606741,-0.005802994463209088
73,73,73,73,2019-05-21,8.511296272277832,8.37830924987793,8.652597427368164,0.015872775572451037,-0.016330489922412927
74,74,74,74,2019-05-22,8.286879539489746,8.511296272277832,8.61935043334961,-0.026366927622885616,-0.03857261593327055
75,75,75,75,2019-05-23,8.187137603759766,8.611037254333496,8.627662658691406,-0.0492274784156117,-0.051059605869946845
76,76,76,76,2019-05-24,8.170511245727539,8.644286155700684,8.594416618347168,-0.05480786978120822,-0.04932334461360477
77,77,77,77,2019-05-28,8.12895393371582,8.5528564453125,8.47805118560791,-0.04956268286591026,-0.04117659167766141
