,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CMI,CMI_6m,CMI_12m,CMI_6m_ret,CMI_12m_ret
0,0,0,0,2019-02-05,130.6668701171875,,,,
1,1,1,1,2019-02-06,130.25692749023438,,,,
2,2,2,2,2019-02-07,130.492431640625,,,,
3,3,3,3,2019-02-08,129.32376098632812,,,,
4,4,4,4,2019-02-11,129.23655700683594,,,,
5,5,5,5,2019-02-12,132.38502502441406,,,,
6,6,6,6,2019-02-13,133.18743896484375,130.6668701171875,,0.01929003767669424,
7,7,7,7,2019-02-14,132.0361328125,130.25692749023438,,0.013659199219166362,
8,8,8,8,2019-02-15,135.5945587158203,130.492431640625,,0.03909902674851318,
9,9,9,9,2019-02-19,134.01597595214844,129.32376098632812,,0.03628269801337103,
10,10,10,10,2019-02-20,135.52481079101562,129.23655700683594,,0.048656927496506075,
11,11,11,11,2019-02-21,135.36668395996094,132.38502502441406,,0.022522629995326282,
12,12,12,12,2019-02-22,136.5703582763672,133.18743896484375,130.6668701171875,0.025399687371542523,0.045179685974610084
13,13,13,13,2019-02-25,137.13262939453125,132.0361328125,130.25692749023438,0.038599256684294314,0.05278569084022311
14,14,14,14,2019-02-26,136.4561309814453,135.5945587158203,130.492431640625,0.006354032741318738,0.04570149598594564
15,15,15,15,2019-02-27,136.50001525878906,134.01597595214844,129.32376098632812,0.018535396910645652,0.055490609132683666
16,16,16,16,2019-02-28,135.38424682617188,135.52481079101562,129.23655700683594,-0.0010371825204795737,0.04756927886132689
17,17,17,17,2019-03-01,135.6654052734375,135.36668395996094,132.38502502441406,0.002206756527809439,0.0247790884839012
18,18,18,18,2019-03-04,136.21888732910156,136.5703582763672,133.18743896484375,-0.0025735522092896757,0.02276076774070268
19,19,19,19,2019-03-05,135.7356719970703,137.13262939453125,132.0361328125,-0.010186907402190082,0.028019142228467908
20,20,20,20,2019-03-06,135.76202392578125,136.4561309814453,135.5945587158203,-0.005086668152407436,0.0012350437329267105
21,21,21,21,2019-03-07,135.55992126464844,136.50001525878906,134.01597595214844,-0.0068871347183244724,0.011520606416740131
22,22,22,22,2019-03-08,135.80596923828125,135.38424682617188,135.52481079101562,0.0031150035694393896,0.0020745902217063072
23,23,23,23,2019-03-11,138.8546905517578,135.6654052734375,135.36668395996094,0.0235084638703007,0.025767097854214827
24,24,24,24,2019-03-12,139.18858337402344,136.21888732910156,136.5703582763672,0.021800912510371306,0.01917125451452617
25,25,25,25,2019-03-13,137.90585327148438,135.7356719970703,137.13262939453125,0.0159882899055519,0.005638511274574709
26,26,26,26,2019-03-14,138.03759765625,135.76202392578125,136.4561309814453,0.016761489440616728,0.011589561153684924
27,27,27,27,2019-03-15,138.3012237548828,135.55992126464844,136.50001525878906,0.02022207201553794,0.01319566516295878
28,28,28,28,2019-03-18,141.0600128173828,135.80596923828125,135.38424682617188,0.03868786923410528,0.04192338565430287
29,29,29,29,2019-03-19,140.67344665527344,138.8546905517578,135.6654052734375,0.013098269106276206,0.03691465316262521
30,30,30,30,2019-03-20,138.60870361328125,139.18858337402344,136.21888732910156,-0.004166144569371366,0.01754394218773747
31,31,31,31,2019-03-21,139.3643035888672,137.90585327148438,135.7356719970703,0.010575695539997598,0.026733072731795815
32,32,32,32,2019-03-22,136.7372589111328,138.03759765625,135.76202392578125,-0.009420178032621074,0.007183415193373177
33,33,33,33,2019-03-25,137.45773315429688,138.3012237548828,135.55992126464844,-0.006098938083735961,0.013999800766654413
34,34,34,34,2019-03-26,137.29959106445312,141.0600128173828,135.80596923828125,-0.026658311436551174,0.010998204530694888
35,35,35,35,2019-03-27,136.6669921875,140.67344665527344,138.8546905517578,-0.028480531067042292,-0.015755307620971992
36,36,36,36,2019-03-28,137.05360412597656,138.60870361328125,139.18858337402344,-0.011219349483589602,-0.01533875262103801
37,37,37,37,2019-03-29,138.70535278320312,139.3643035888672,137.90585327148438,-0.004728261030227721,0.0057974298606806585
38,38,38,38,2019-04-01,142.6239471435547,136.7372589111328,138.03759765625,0.0430510914091653,0.03322536443097124
39,39,39,39,2019-04-02,142.18463134765625,137.45773315429688,138.3012237548828,0.034388012117538835,0.028079343677075208
40,40,40,40,2019-04-03,141.85073852539062,137.29959106445312,141.0600128173828,0.03314756748839143,0.005605597874370538
41,41,41,41,2019-04-04,143.5903778076172,136.6669921875,140.67344665527344,0.050658798509435776,0.020735477957626314
42,42,42,42,2019-04-05,143.44981384277344,137.05360412597656,138.60870361328125,0.04666940178324408,0.03492645197085831
43,43,43,43,2019-04-08,143.37950134277344,138.70535278320312,139.3643035888672,0.03369840071620023,0.028810804851085337
44,44,44,44,2019-04-09,142.0792236328125,142.6239471435547,136.7372589111328,-0.0038192990844231334,0.03906736733073979
45,45,45,45,2019-04-10,142.8084259033203,142.18463134765625,137.45773315429688,0.004387215057995997,0.03892609478011155
46,46,46,46,2019-04-11,144.58322143554688,141.85073852539062,137.29959106445312,0.019263085540207836,0.053049177456578
47,47,47,47,2019-04-12,145.90992736816406,143.5903778076172,136.6669921875,0.016153934518193136,0.06763107194152074
48,48,48,48,2019-04-15,144.9434356689453,143.44981384277344,137.05360412597656,0.010412155904286902,0.05756748677485768
49,49,49,49,2019-04-16,146.9202880859375,143.37950134277344,138.70535278320312,0.024695208938544155,0.05922579870132583
50,50,50,50,2019-04-17,145.81326293945312,142.0792236328125,142.6239471435547,0.026281388729226363,0.022361713160892416
51,51,51,51,2019-04-18,147.4650421142578,142.8084259033203,142.18463134765625,0.03260743322029169,0.03713770410031447
52,52,52,52,2019-04-22,145.81326293945312,144.58322143554688,141.85073852539062,0.008507498253900625,0.027934464460706465
53,53,53,53,2019-04-23,146.56002807617188,145.90992736816406,143.5903778076172,0.004455493328890947,0.02068140159456533
54,54,54,54,2019-04-24,145.9977569580078,144.9434356689453,143.44981384277344,0.007274018890173206,0.017761913013195185
55,55,55,55,2019-04-25,142.45700073242188,146.9202880859375,143.37950134277344,-0.030378972241770552,-0.0064339783700750885
56,56,56,56,2019-04-26,143.51133728027344,145.81326293945312,142.0792236328125,-0.015786805759470113,0.010079683790798821
57,57,57,57,2019-04-29,144.21421813964844,147.4650421142578,142.8084259033203,-0.022044709227361126,0.009843902608938748
58,58,58,58,2019-04-30,146.10317993164062,145.81326293945312,144.58322143554688,0.0019882758697189473,0.010512689377109474
59,59,59,59,2019-05-01,145.3827362060547,146.56002807617188,145.90992736816406,-0.008032830544391745,-0.003613127438403474
60,60,60,60,2019-05-02,145.9977569580078,145.9977569580078,144.9434356689453,0.0,0.007274018890173206
61,61,61,61,2019-05-03,148.65115356445312,142.45700073242188,146.9202880859375,0.04348085948872238,0.01178098342349565
62,62,62,62,2019-05-06,147.2541961669922,143.51133728027344,145.81326293945312,0.026080579817948868,0.009882045010798368
63,63,63,63,2019-05-07,145.5057373046875,144.21421813964844,147.4650421142578,0.008955560566076937,-0.013286571389931279
64,64,64,64,2019-05-08,145.27731323242188,146.10317993164062,145.81326293945312,-0.00565262644937059,-0.003675589560421466
65,65,65,65,2019-05-09,145.26852416992188,145.3827362060547,146.56002807617188,-0.0007855955879860765,-0.008812115576143031
66,66,66,66,2019-05-10,145.31246948242188,145.9977569580078,145.9977569580078,-0.00469382194538126,-0.00469382194538126
67,67,67,67,2019-05-13,139.60153198242188,148.65115356445312,142.45700073242188,-0.06087824658627661,-0.020044425583292003
68,68,68,68,2019-05-14,141.2445068359375,147.2541961669922,143.51133728027344,-0.040811667765578985,-0.01579547990629393
69,69,69,69,2019-05-15,141.82444763183594,145.5057373046875,144.21421813964844,-0.025299962331677528,-0.01657097711058131
70,70,70,70,2019-05-16,142.7820587158203,145.27731323242188,146.10317993164062,-0.017175803028581127,-0.022731341079463285
