,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,IRM,IRM_6m,IRM_12m,IRM_6m_ret,IRM_12m_ret
0,0,0,0,2019-02-05,27.08710479736328,,,,
1,1,1,1,2019-02-06,26.99159812927246,,,,
2,2,2,2,2019-02-07,26.844667434692383,,,,
3,3,3,3,2019-02-08,26.8226261138916,,,,
4,4,4,4,2019-02-11,26.72711753845215,,,,
5,5,5,5,2019-02-12,26.29366683959961,,,,
6,6,6,6,2019-02-13,26.33039283752441,27.08710479736328,,-0.02793624366648928,
7,7,7,7,2019-02-14,25.911640167236328,26.99159812927246,,-0.04001089364415644,
8,8,8,8,2019-02-15,25.80143928527832,26.844667434692383,,-0.03886165295033084,
9,9,9,9,2019-02-19,25.99979782104492,26.8226261138916,,-0.03067664923460034,
10,10,10,10,2019-02-20,26.24224090576172,26.72711753845215,,-0.018141748057673657,
11,11,11,11,2019-02-21,26.33039283752441,26.29366683959961,,0.0013967621233219596,
12,12,12,12,2019-02-22,26.139385223388672,26.33039283752441,27.08710479736328,-0.007254263744349676,-0.03498785053125586
13,13,13,13,2019-02-25,25.742660522460938,25.911640167236328,26.99159812927246,-0.006521379722965404,-0.04627134713661307
14,14,14,14,2019-02-26,25.742660522460938,25.80143928527832,26.844667434692383,-0.002278119533080436,-0.04105124099273738
15,15,15,15,2019-02-27,25.713281631469727,25.99979782104492,26.8226261138916,-0.01101993913749888,-0.041358533564591515
16,16,16,16,2019-02-28,26.021841049194336,26.24224090576172,26.72711753845215,-0.008398667528389026,-0.026388049075742437
17,17,17,17,2019-03-01,26.28633117675781,26.33039283752441,26.29366683959961,-0.001673414484868907,-0.0002789897235159211
18,18,18,18,2019-03-04,26.20550537109375,26.139385223388672,26.33039283752441,0.002529521912623789,-0.0047430916508270915
19,19,19,19,2019-03-05,25.933677673339844,25.742660522460938,25.911640167236328,0.007420256764534505,0.0008504867295657803
20,20,20,20,2019-03-06,25.72797584533692,25.742660522460938,25.80143928527832,-0.0005704413151548238,-0.002847261314732785
21,21,21,21,2019-03-07,25.61777687072754,25.713281631469727,25.99979782104492,-0.003714219060444668,-0.014693227729954184
22,22,22,22,2019-03-08,25.551654815673828,26.021841049194336,26.24224090576172,-0.018068907293362524,-0.02631582007679334
23,23,23,23,2019-03-11,25.69858741760254,26.28633117675781,26.33039283752441,-0.022359292181289625,-0.023995290302750938
24,24,24,24,2019-03-12,25.786741256713867,26.20550537109375,26.139385223388672,-0.01598000528704957,-0.01349090514796314
25,25,25,25,2019-03-13,25.911640167236328,25.933677673339844,25.742660522460938,-0.0008497640165463505,0.006564187280796219
26,26,26,26,2019-03-14,25.99461936950684,25.72797584533692,25.742660522460938,0.010363952678315691,0.00978759933636475
27,27,27,27,2019-03-15,26.11424446105957,25.61777687072754,25.713281631469727,0.019379807734188237,0.015593607822469435
28,28,28,28,2019-03-18,26.0320053100586,25.551654815673828,26.021841049194336,0.018799193157936545,0.0003906049862132388
29,29,29,29,2019-03-19,25.79276657104492,25.69858741760254,26.28633117675781,0.0036647599306516287,-0.01877647368870161
30,30,30,30,2019-03-20,25.718006134033203,25.786741256713867,26.20550537109375,-0.0026655218663106384,-0.01860293209984376
31,31,31,31,2019-03-21,26.338525772094727,25.911640167236328,25.933677673339844,0.016474665521102994,0.015610901926612186
32,32,32,32,2019-03-22,26.25629234313965,25.99461936950684,25.72797584533692,0.010066428360161472,0.020534709025641584
33,33,33,33,2019-03-25,26.293672561645508,26.11424446105957,25.61777687072754,0.006870889979355699,0.026383854240306537
34,34,34,34,2019-03-26,26.56281089782715,26.0320053100586,25.551654815673828,0.020390499365926518,0.03957301746002995
35,35,35,35,2019-03-27,26.503007888793945,25.79276657104492,25.69858741760254,0.02753645351663625,0.031302127938767965
36,36,36,36,2019-03-28,26.637575149536133,25.718006134033203,25.786741256713867,0.035755844007131055,0.032995014156770974
37,37,37,37,2019-03-29,26.510478973388672,26.338525772094727,25.911640167236328,0.0065285810899913255,0.023110802800879293
38,38,38,38,2019-04-01,26.72728538513184,26.25629234313965,25.99461936950684,0.017938292118203636,0.028185295010876743
39,39,39,39,2019-04-02,26.749725341796875,26.293672561645508,26.11424446105957,0.017344582772990336,0.024334645472317007
40,40,40,40,2019-04-03,26.83195686340332,26.56281089782715,26.0320053100586,0.010132435404198503,0.0307295401878096
41,41,41,41,2019-04-04,26.86185836791992,26.503007888793945,25.79276657104492,0.013539990654332534,0.0414492874942376
42,42,42,42,2019-04-05,27.183334350585938,26.637575149536133,25.718006134033203,0.02048832140260748,0.056976742633777944
43,43,43,43,2019-04-08,27.13848304748535,26.510478973388672,26.338525772094727,0.023688899575412092,0.030372135567214187
44,44,44,44,2019-04-09,26.89176368713379,26.72728538513184,26.25629234313965,0.006153947160434381,0.024202630580481665
45,45,45,45,2019-04-10,27.071197509765625,26.749725341796875,26.293672561645508,0.01201777453267705,0.02957080059079642
46,46,46,46,2019-04-11,27.13100242614746,26.83195686340332,26.56281089782715,0.011145126845072406,0.02139048952710021
47,47,47,47,2019-04-12,27.310422897338867,26.86185836791992,26.503007888793945,0.016698938817824027,0.03046503294768721
48,48,48,48,2019-04-15,27.3403377532959,27.183334350585938,26.637575149536133,0.0057757227529586785,0.026382379019661117
49,49,49,49,2019-04-16,26.951574325561523,27.13848304748535,26.510478973388672,-0.00688722068940939,0.016638528206737613
50,50,50,50,2019-04-17,26.92914772033692,26.89176368713379,26.72728538513184,0.0013901666561579873,0.007552668828738396
51,51,51,51,2019-04-18,26.86933708190918,27.071197509765625,26.749725341796875,-0.007456649370003898,0.00447151283177516
52,52,52,52,2019-04-22,26.46562957763672,27.13100242614746,26.83195686340332,-0.024524447643316294,-0.01365264887803408
53,53,53,53,2019-04-23,26.80952453613281,27.310422897338867,26.86185836791992,-0.018340922917560065,-0.0019482580493987989
54,54,54,54,2019-04-24,26.79457092285156,27.3403377532959,27.183334350585938,-0.019961963724407394,-0.01430153573952564
55,55,55,55,2019-04-25,24.40967559814453,26.951574325561523,27.13848304748535,-0.09431355277106002,-0.10055121520853283
56,56,56,56,2019-04-26,24.25267601013184,26.92914772033692,26.89176368713379,-0.09938939538676184,-0.0981373965540463
57,57,57,57,2019-04-29,23.946155548095703,26.86933708190918,27.071197509765625,-0.10879246945700127,-0.11543789152816752
58,58,58,58,2019-04-30,24.282583236694336,26.46562957763672,27.13100242614746,-0.08248609142429175,-0.10498761323717132
59,59,59,59,2019-05-01,23.8938217163086,26.80952453613281,27.310422897338867,-0.10875623011868563,-0.12510246340283437
