,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PODD,PODD_6m,PODD_12m,PODD_6m_ret,PODD_12m_ret
0,0,0,0,2019-02-05,81.72000122070312,,,,
1,1,1,1,2019-02-06,81.43000030517578,,,,
2,2,2,2,2019-02-07,81.31999969482422,,,,
3,3,3,3,2019-02-08,81.97000122070312,,,,
4,4,4,4,2019-02-11,82.8499984741211,,,,
5,5,5,5,2019-02-12,84.3499984741211,,,,
6,6,6,6,2019-02-13,84.95999908447266,81.72000122070312,,0.03964755035941803,
7,7,7,7,2019-02-14,84.83000183105469,81.43000030517578,,0.04175367202673086,
8,8,8,8,2019-02-15,88.45999908447266,81.31999969482422,,0.0878012717221257,
9,9,9,9,2019-02-19,87.62999725341797,81.97000122070312,,0.0690496028842964,
10,10,10,10,2019-02-20,85.83999633789062,82.8499984741211,,0.03608929292501406,
11,11,11,11,2019-02-21,85.2300033569336,84.3499984741211,,0.01043277888241434,
12,12,12,12,2019-02-22,87.5999984741211,84.95999908447266,81.72000122070312,0.03107343947854302,0.07195297559452696
13,13,13,13,2019-02-25,89.91999816894531,84.83000183105469,81.43000030517578,0.06000231319136051,0.1042613021239287
14,14,14,14,2019-02-26,92.11000061035156,88.45999908447266,81.31999969482422,0.04126160483444541,0.13268569793433116
15,15,15,15,2019-02-27,93.5199966430664,87.62999725341797,81.97000122070312,0.06721441942552042,0.14090515127924763
16,16,16,16,2019-02-28,93.91000366210938,85.83999633789062,82.8499984741211,0.09401220489866868,0.13349433182479742
17,17,17,17,2019-03-01,94.3499984741211,85.2300033569336,84.3499984741211,0.10700451434917801,0.11855364766921772
18,18,18,18,2019-03-04,92.51000213623048,87.5999984741211,84.95999908447266,0.056050271091727444,0.0888653852767951
19,19,19,19,2019-03-05,93.86000061035156,89.91999816894531,84.83000183105469,0.0438167540217651,0.10644817381096838
20,20,20,20,2019-03-06,92.12999725341795,92.11000061035156,88.45999908447266,0.0002170952440982976,0.041487657776716924
21,21,21,21,2019-03-07,93.08000183105467,93.5199966430664,87.62999725341797,-0.004704820656602937,0.06219336697998279
22,22,22,22,2019-03-08,92.02999877929688,93.91000366210938,85.83999633789062,-0.020019218501756253,0.07211093552521408
23,23,23,23,2019-03-11,93.97000122070312,94.3499984741211,85.2300033569336,-0.0040275279233014105,0.10254602275641611
24,24,24,24,2019-03-12,95.87999725341795,92.51000213623048,87.5999984741211,0.03642844059418371,0.09452053565666385
25,25,25,25,2019-03-13,95.7300033569336,93.86000061035156,89.91999816894531,0.019923319139375728,0.0646130483351679
26,26,26,26,2019-03-14,95.95999908447266,92.12999725341795,92.11000061035156,0.04157171328812348,0.04179783355346567
27,27,27,27,2019-03-15,98.04000091552734,93.08000183105467,93.5199966430664,0.05328748374409509,0.04833195503323462
28,28,28,28,2019-03-18,97.47000122070312,92.02999877929688,93.91000366210938,0.05911118671697779,0.037908608452436265
29,29,29,29,2019-03-19,98.83000183105467,93.97000122070312,94.3499984741211,0.05171863942980148,0.04748281324204129
30,30,30,30,2019-03-20,99.47000122070312,95.87999725341795,92.51000213623048,0.03744267907931342,0.07523509808402484
31,31,31,31,2019-03-21,101.87000274658205,95.7300033569336,93.86000061035156,0.06413871486826528,0.08533989009315102
32,32,32,32,2019-03-22,97.83999633789062,95.95999908447266,92.12999725341795,0.019591468021618264,0.06197763220122998
33,33,33,33,2019-03-25,97.18000030517578,98.04000091552734,93.08000183105467,-0.008771935968182487,0.04404811338060388
34,34,34,34,2019-03-26,96.76000213623048,97.47000122070312,92.02999877929688,-0.007284283118710322,0.05139632097873803
35,35,35,35,2019-03-27,93.38999938964844,98.83000183105467,93.97000122070312,-0.05504403865848018,-0.006172202016816675
36,36,36,36,2019-03-28,94.04000091552734,99.47000122070312,95.87999725341795,-0.05458932581218878,-0.019190617340417382
37,37,37,37,2019-03-29,95.08999633789062,101.87000274658205,95.7300033569336,-0.06655547487868207,-0.006685542636582498
38,38,38,38,2019-04-01,95.43000030517578,97.83999633789062,95.95999908447266,-0.024632012703597383,-0.005523121971169664
39,39,39,39,2019-04-02,95.8000030517578,97.18000030517578,98.04000091552734,-0.01420042446063341,-0.02284779521472624
40,40,40,40,2019-04-03,96.2300033569336,96.76000213623048,97.47000122070312,-0.005477457292225929,-0.012721841061248962
41,41,41,41,2019-04-04,95.75,93.38999938964844,98.83000183105467,0.025270378260792148,-0.031164644075589498
