,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PAYC,PAYC_6m,PAYC_12m,PAYC_6m_ret,PAYC_12m_ret
0,0,0,0,2019-02-05,156.21177673339844,,,,
1,1,1,1,2019-02-06,168.33370971679688,,,,
2,2,2,2,2019-02-07,167.3683319091797,,,,
3,3,3,3,2019-02-08,175.1212158203125,,,,
4,4,4,4,2019-02-11,171.38906860351562,,,,
5,5,5,5,2019-02-12,172.51368713378906,,,,
6,6,6,6,2019-02-13,172.23501586914062,156.21177673339844,,0.10257382299087814,
7,7,7,7,2019-02-14,177.5296630859375,168.33370971679688,,0.05462930380737063,
8,8,8,8,2019-02-15,181.60015869140625,167.3683319091797,,0.08503297260529119,
9,9,9,9,2019-02-19,178.70404052734375,175.1212158203125,,0.020459112793663525,
10,10,10,10,2019-02-20,176.19606018066406,171.38906860351562,,0.0280472472154496,
11,11,11,11,2019-02-21,178.0770263671875,172.51368713378906,,0.0322486831383062,
12,12,12,12,2019-02-22,183.4015350341797,172.23501586914062,156.21177673339844,0.06483303704934817,0.17405703250648719
13,13,13,13,2019-02-25,180.46560668945312,177.5296630859375,168.33370971679688,0.016537763619223433,0.07207051393964314
14,14,14,14,2019-02-26,179.56988525390625,181.60015869140625,167.3683319091797,-0.011179910040442498,0.07290240158065009
15,15,15,15,2019-02-27,181.8489685058593,178.70404052734375,175.1212158203125,0.017598527538801312,0.038417690592383646
16,16,16,16,2019-02-28,180.8636932373047,176.19606018066406,171.38906860351562,0.02649113182130547,0.05528138235996405
17,17,17,17,2019-03-01,180.933349609375,178.0770263671875,172.51368713378906,0.016039818838269992,0.04880576501188716
18,18,18,18,2019-03-04,176.57423400878906,183.4015350341797,172.23501586914062,-0.03722597536666339,0.025193588642539844
19,19,19,19,2019-03-05,177.71876525878906,180.46560668945312,177.5296630859375,-0.015220858317844699,0.0010651863444366416
20,20,20,20,2019-03-06,174.80271911621094,179.56988525390625,181.60015869140625,-0.026547692732301287,-0.0374308019562154
21,21,21,21,2019-03-07,175.38990783691406,181.8489685058593,178.70404052734375,-0.03551881939180268,-0.018545370774213588
22,22,22,22,2019-03-08,177.23109436035156,180.8636932373047,176.19606018066406,-0.020084732385658666,0.005874332142422611
23,23,23,23,2019-03-11,180.29641723632807,180.933349609375,178.0770263671875,-0.003520259667010195,0.012463094843937261
24,24,24,24,2019-03-12,181.4210205078125,176.57423400878906,183.4015350341797,0.02744900198056177,-0.010798789257669417
25,25,25,25,2019-03-13,180.16702270507807,177.71876525878906,180.46560668945312,0.013776021022450458,-0.0016545201595606907
26,26,26,26,2019-03-14,182.4759826660156,174.80271911621094,179.56988525390625,0.043896705889931775,0.01618365689770429
27,27,27,27,2019-03-15,181.0726928710937,175.38990783691406,181.8489685058593,0.03240086675604936,-0.0042687931701992365
28,28,28,28,2019-03-18,180.8238983154297,177.23109436035156,180.8636932373047,0.02027186012728177,-0.0002200271439928292
29,29,29,29,2019-03-19,182.2470550537109,180.29641723632807,180.933349609375,0.010819060341204612,0.007260714772440391
30,30,30,30,2019-03-20,181.1025390625,181.4210205078125,176.57423400878906,-0.001755482602958769,0.025645333132157555
31,31,31,31,2019-03-21,189.14404296875,180.16702270507807,177.71876525878906,0.04982610096391915,0.06428852740071522
