,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,HII,HII_6m,HII_12m,HII_6m_ret,HII_12m_ret
0,0,0,0,2019-02-05,190.12176513671875,,,,
1,1,1,1,2019-02-06,189.4575042724609,,,,
2,2,2,2,2019-02-07,188.7124938964844,,,,
3,3,3,3,2019-02-08,187.8328399658203,,,,
4,4,4,4,2019-02-11,188.99078369140625,,,,
5,5,5,5,2019-02-12,192.329833984375,,,,
6,6,6,6,2019-02-13,193.8737335205078,190.12176513671875,,0.019734554752797395,
7,7,7,7,2019-02-14,192.518295288086,189.4575042724609,,0.016155554393999294,
8,8,8,8,2019-02-15,197.203842163086,188.7124938964844,,0.04499621668536369,
9,9,9,9,2019-02-19,195.67791748046875,187.8328399658203,,0.041766272160267626,
10,10,10,10,2019-02-20,198.2181701660156,188.99078369140625,,0.04882453151618393,
11,11,11,11,2019-02-21,195.577865600586,192.329833984375,,0.016887819996115994,
12,12,12,12,2019-02-22,195.6409149169922,193.8737335205078,190.12176513671875,0.009115115102982463,0.029029552593857755
13,13,13,13,2019-02-25,192.4780120849609,192.518295288086,189.4575042724609,-0.00020924350625894927,0.0159429304428933
14,14,14,14,2019-02-26,191.0633087158203,197.203842163086,188.7124938964844,-0.031138001064844878,0.01245712337745597
15,15,15,15,2019-02-27,189.45030212402344,195.67791748046875,187.8328399658203,-0.03182584645539732,0.008611178740083325
16,16,16,16,2019-02-28,188.702392578125,198.2181701660156,188.99078369140625,-0.04800658577324546,-0.0015259533171319006
17,17,17,17,2019-03-01,189.2340240478516,195.577865600586,192.329833984375,-0.03243639832786582,-0.01609635838803314
18,18,18,18,2019-03-04,185.9629821777344,195.6409149169922,193.8737335205078,-0.04946783623131179,-0.040803626149473304
19,19,19,19,2019-03-05,186.03504943847656,192.4780120849609,192.518295288086,-0.03347375929693408,-0.033675998636430116
20,20,20,20,2019-03-06,184.3409881591797,191.0633087158203,197.203842163086,-0.035183733610722356,-0.06522618354093135
21,21,21,21,2019-03-07,181.5384826660156,189.45030212402344,195.67791748046875,-0.041761978573295555,-0.07225871471094558
22,22,22,22,2019-03-08,180.3310089111328,188.702392578125,198.2181701660156,-0.044362890966135105,-0.09023976580906568
23,23,23,23,2019-03-11,180.69146728515625,189.2340240478516,195.577865600586,-0.04514281618053628,-0.07611494414112852
24,24,24,24,2019-03-12,183.5479736328125,185.9629821777344,195.6409149169922,-0.012986501488848723,-0.061811923591292506
25,25,25,25,2019-03-13,187.27859497070312,186.03504943847656,192.4780120849609,0.0066844690609648705,-0.027013044544343723
26,26,26,26,2019-03-14,186.801025390625,184.3409881591797,191.0633087158203,0.013345036586877024,-0.022308225236143397
27,27,27,27,2019-03-15,184.19679260253903,181.5384826660156,189.45030212402344,0.0146432309970006,-0.027730277875435583
28,28,28,28,2019-03-18,186.9001617431641,180.3310089111328,188.702392578125,0.036428304104196396,-0.009550651744994476
29,29,29,29,2019-03-19,184.7284545898437,180.69146728515625,189.2340240478516,0.022341881248418405,-0.023809510370442544
30,30,30,30,2019-03-20,184.5031890869141,183.5479736328125,185.9629821777344,0.005204173247984167,-0.007849912244497714
31,31,31,31,2019-03-21,187.2606201171875,187.27859497070312,186.03504943847656,-9.597922025439409e-05,0.0065878482705821195
32,32,32,32,2019-03-22,183.0433654785156,186.801025390625,184.3409881591797,-0.02011584199953753,-0.007039252060120127
33,33,33,33,2019-03-25,183.25958251953125,184.19679260253903,181.5384826660156,-0.005088091218993673,0.009480633682953155
34,34,34,34,2019-03-26,183.1514892578125,186.9001617431641,180.3310089111328,-0.020057085292965016,0.015640573208735464
35,35,35,35,2019-03-27,182.89920043945312,184.7284545898437,180.69146728515625,-0.009902395136970665,0.01221824797522264
36,36,36,36,2019-03-28,184.8275604248047,184.5031890869141,183.5479736328125,0.001758079844017102,0.006971402444093444
37,37,37,37,2019-03-29,186.7108764648437,187.2606201171875,187.27859497070312,-0.0029357141506836104,-0.0030314116033828276
38,38,38,38,2019-04-01,191.4327087402344,183.0433654785156,186.801025390625,0.04583254487146915,0.024794742640860568
39,39,39,39,2019-04-02,189.972900390625,183.25958251953125,184.19679260253903,0.036632834031356865,0.031358351611201485
40,40,40,40,2019-04-03,187.990463256836,183.1514892578125,186.9001617431641,0.02642060962011583,0.005833603906508111
41,41,41,41,2019-04-04,188.7744598388672,182.89920043945312,184.7284545898437,0.03212293648795361,0.021902447340919506
42,42,42,42,2019-04-05,191.7571563720703,184.8275604248047,184.5031890869141,0.03749222210875236,0.03931621627276627
43,43,43,43,2019-04-08,193.0457305908203,186.7108764648437,187.2606201171875,0.03392868292367224,0.03089336385841568
44,44,44,44,2019-04-09,191.82920837402344,191.4327087402344,183.0433654785156,0.0020712219787217823,0.04799869622446962
45,45,45,45,2019-04-10,191.24351501464844,189.972900390625,183.25958251953125,0.006688399352806629,0.04356624840759027
46,46,46,46,2019-04-11,196.0193786621093,187.990463256836,183.1514892578125,0.042709163359548,0.07025817511198795
47,47,47,47,2019-04-12,197.5963592529297,188.7744598388672,182.89920043945312,0.04673248394720675,0.08035660504892084
48,48,48,48,2019-04-15,197.4972076416016,191.7571563720703,184.8275604248047,0.029933961152374122,0.06854847398124608
49,49,49,49,2019-04-16,199.1913452148437,193.0457305908203,186.7108764648437,0.031835019636096584,0.06684382284687085
50,50,50,50,2019-04-17,198.2001190185547,191.82920837402344,191.4327087402344,0.033211369105529576,0.035351379201886246
51,51,51,51,2019-04-18,199.05616760253903,191.24351501464844,189.972900390625,0.04085185626969978,0.0478134891515416
52,52,52,52,2019-04-22,197.4251251220703,196.0193786621093,187.990463256836,0.007171466768008727,0.05018691747327897
53,53,53,53,2019-04-23,203.3544921875,197.5963592529297,188.7744598388672,0.029140885775125636,0.07723519569902582
54,54,54,54,2019-04-24,203.0571136474609,197.4972076416016,191.7571563720703,0.02815182083965917,0.05892847750341623
55,55,55,55,2019-04-25,201.2368621826172,199.1913452148437,193.0457305908203,0.010269105645966947,0.042431042461948065
56,56,56,56,2019-04-26,199.6329040527344,198.2001190185547,191.82920837402344,0.0072289817043227345,0.040680435189491826
57,57,57,57,2019-04-29,199.0922088623047,199.05616760253903,191.24351501464844,0.00018106075385526665,0.04104031369144767
58,58,58,58,2019-04-30,200.570068359375,197.4251251220703,196.0193786621093,0.01592980242692077,0.023215509243655008
59,59,59,59,2019-05-01,201.0746612548828,203.3544921875,197.5963592529297,-0.011211116647057429,0.017603067258444627
60,60,60,60,2019-05-02,187.098388671875,203.0571136474609,197.4972076416016,-0.07859229695982362,-0.05265299238355481
61,61,61,61,2019-05-03,191.0633087158203,201.2368621826172,199.1913452148437,-0.050555118761316464,-0.040805168970853845
62,62,62,62,2019-05-06,189.81076049804688,199.6329040527344,198.2001190185547,-0.04920102525830583,-0.04232771686540937
63,63,63,63,2019-05-07,187.9274139404297,199.0922088623047,199.05616760253903,-0.05607851249265483,-0.0559076053565466
64,64,64,64,2019-05-08,186.4585723876953,200.570068359375,197.4251251220703,-0.07035693853578973,-0.05554790823910705
65,65,65,65,2019-05-09,186.87307739257807,201.0746612548828,203.3544921875,-0.07062841122632935,-0.0810477045165321
66,66,66,66,2019-05-10,187.9183959960937,187.098388671875,203.0571136474609,0.004382759948065473,-0.0745539881831001
67,67,67,67,2019-05-13,184.9807586669922,191.0633087158203,201.2368621826172,-0.03183525968282619,-0.08078094311008
68,68,68,68,2019-05-14,185.3953094482422,189.81076049804688,199.6329040527344,-0.023262385326411006,-0.07131887737670373
69,69,69,69,2019-05-15,184.7374725341797,187.9274139404297,199.0922088623047,-0.016974327158363223,-0.07210094463341332
70,70,70,70,2019-05-16,188.089599609375,186.4585723876953,200.570068359375,0.008747397348341623,-0.06222498128503351
71,71,71,71,2019-05-17,186.5306701660156,186.87307739257807,201.0746612548828,-0.0018322983242961,-0.07233129723108778
72,72,72,72,2019-05-20,189.18893432617188,187.9183959960937,187.098388671875,0.006761117363435654,0.011173509665885817
73,73,73,73,2019-05-21,191.01824951171875,184.9807586669922,191.0633087158203,0.032638480284294946,-0.0002358338940344762
74,74,74,74,2019-05-22,189.25205993652344,185.3953094482422,189.81076049804688,0.020802848247668093,-0.0029434609505670783
75,75,75,75,2019-05-23,184.8726959228516,184.7374725341797,187.9274139404297,0.0007319759592732122,-0.016254775998494786
76,76,76,76,2019-05-24,185.97657775878903,188.089599609375,186.4585723876953,-0.011234123816384778,-0.0025849958129255945
77,77,77,77,2019-05-28,185.1170196533203,186.5306701660156,186.87307739257807,-0.007578649191776976,-0.0093970611698585
78,78,78,78,2019-05-29,184.93603515625,189.18893432617188,187.9183959960937,-0.022479640181225613,-0.015870510303342966
79,79,79,79,2019-05-30,185.36129760742188,191.01824951171875,184.9807586669922,-0.029614719634156406,0.0020571812072343043
80,80,80,80,2019-05-31,185.5965576171875,189.25205993652344,185.3953094482422,-0.01931552195818642,0.0010855084173608809
81,81,81,81,2019-06-03,188.0486297607422,184.8726959228516,184.7374725341797,0.017179031343903528,0.017923581941123867
82,82,82,82,2019-06-04,191.0074157714844,185.97657775878903,188.089599609375,0.02705092261252573,0.015512905382164321
83,83,83,83,2019-06-05,195.2690887451172,185.1170196533203,186.5306701660156,0.05484135986420524,0.046847087244817454
84,84,84,84,2019-06-06,194.2375946044922,184.93603515625,189.18893432617188,0.05029608989066636,0.0266858117061759
85,85,85,85,2019-06-07,197.43161010742188,185.36129760742188,191.01824951171875,0.06511776004915437,0.03357459620793812
86,86,86,86,2019-06-10,194.29188537597656,185.5965576171875,189.25205993652344,0.04685069524147156,0.026630227650592087
87,87,87,87,2019-06-11,189.35159301757807,188.0486297607422,184.8726959228516,0.006928863339731084,0.024226925844125446
88,88,88,88,2019-06-12,190.86265563964844,191.0074157714844,185.97657775878903,-0.0007578770240478372,0.026272544315750546
89,89,89,89,2019-06-13,194.4638061523437,195.2690887451172,185.1170196533203,-0.004123963490322957,0.05049123260804245
90,90,90,90,2019-06-14,194.34616088867188,194.2375946044922,184.93603515625,0.0005589354851760486,0.05088313764524788
91,91,91,91,2019-06-17,195.4409942626953,197.43161010742188,185.36129760742188,-0.010082558935944785,0.054378647459737195
92,92,92,92,2019-06-18,198.3002319335937,194.29188537597656,185.5965576171875,0.020630540230028194,0.0684477906244838
93,93,93,93,2019-06-19,200.67086791992188,189.35159301757807,188.0486297607422,0.059779137433995544,0.06712220224757393
94,94,94,94,2019-06-20,203.36720275878903,190.86265563964844,191.0074157714844,0.06551594431730723,0.06470841426435259
