,Unnamed: 0.1,Unnamed: 0,Date,GEHC,GEHC_6m,GEHC_12m
0,0,0,2022-12-15,59.90415191650391,,
1,1,1,2022-12-16,56.64936065673828,,
2,2,2,2022-12-19,56.40974044799805,,
3,3,3,2022-12-20,57.11860275268555,,
4,4,4,2022-12-21,56.86900329589844,,
5,5,5,2022-12-22,57.50798034667969,,
6,6,6,2022-12-23,57.40813827514648,59.90415191650391,
7,7,7,2022-12-27,57.35821914672852,56.64936065673828,
8,8,8,2022-12-28,57.40813827514648,56.40974044799805,
9,9,9,2022-12-29,57.907344818115234,57.11860275268555,
10,10,10,2022-12-30,58.286739349365234,56.86900329589844,
11,11,11,2023-01-03,55.91054153442383,57.50798034667969,
12,12,12,2023-01-04,60.393367767333984,57.40813827514648,59.90415191650391
13,13,13,2023-01-05,58.90574645996094,57.35821914672852,56.64936065673828
14,14,14,2023-01-06,58.85582733154297,57.40813827514648,56.40974044799805
15,15,15,2023-01-09,58.00718307495117,57.907344818115234,57.11860275268555
16,16,16,2023-01-10,59.90415191650391,58.286739349365234,56.86900329589844
17,17,17,2023-01-11,64.88617706298828,55.91054153442383,57.50798034667969
18,18,18,2023-01-12,65.54512023925781,60.393367767333984,57.40813827514648
19,19,19,2023-01-13,65.33546447753906,58.90574645996094,57.35821914672852
20,20,20,2023-01-17,63.22883224487305,58.85582733154297,57.40813827514648
21,21,21,2023-01-18,61.98082733154297,58.00718307495117,57.907344818115234
22,22,22,2023-01-19,63.83785629272461,59.90415191650391,58.286739349365234
23,23,23,2023-01-20,66.66332244873047,64.88617706298828,55.91054153442383
24,24,24,2023-01-23,69.40894317626953,65.54512023925781,60.393367767333984
25,25,25,2023-01-24,69.48881530761719,65.33546447753906,58.90574645996094
26,26,26,2023-01-25,68.6002426147461,63.22883224487305,58.85582733154297
27,27,27,2023-01-26,69.10941314697266,61.98082733154297,58.00718307495117
28,28,28,2023-01-27,69.96804809570312,63.83785629272461,59.90415191650391
29,29,29,2023-01-30,71.38578033447266,66.66332244873047,64.88617706298828
30,30,30,2023-01-31,69.40894317626953,69.40894317626953,65.54512023925781
31,31,31,2023-02-01,69.89815521240234,69.48881530761719,65.33546447753906
32,32,32,2023-02-02,70.53714752197266,68.6002426147461,63.22883224487305
33,33,33,2023-02-03,70.43730163574219,69.10941314697266,61.98082733154297
34,34,34,2023-02-06,71.74520111083984,69.96804809570312,63.83785629272461
