,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CHD,CHD_6m,CHD_12m,CHD_6m_ret,CHD_12m_ret
0,0,0,0,2019-02-05,56.92374038696289,,,,
1,1,1,1,2019-02-06,59.10804748535156,,,,
2,2,2,2,2019-02-07,58.91974258422852,,,,
3,3,3,3,2019-02-08,59.635292053222656,,,,
4,4,4,4,2019-02-11,60.42617034912109,,,,
5,5,5,5,2019-02-12,60.39793014526367,,,,
6,6,6,6,2019-02-13,61.02872085571289,56.92374038696289,,0.07211368123114692,
7,7,7,7,2019-02-14,60.80008316040039,59.10804748535156,,0.028626147318910444,
8,8,8,8,2019-02-15,61.12132263183594,58.91974258422852,,0.0373657445033837,
9,9,9,9,2019-02-19,61.37643432617188,59.635292053222656,,0.029196507856376508,
10,10,10,10,2019-02-20,61.35752487182617,60.42617034912109,,0.015413098618099585,
11,11,11,11,2019-02-21,62.500789642333984,60.39793014526367,,0.03481674772649823,
12,12,12,12,2019-02-22,62.62361145019531,61.02872085571289,56.92374038696289,0.026133442944890506,0.10013170295003748
13,13,13,13,2019-02-25,61.697662353515625,60.80008316040039,59.10804748535156,0.014762795484132507,0.04381154476141069
14,14,14,14,2019-02-26,61.98112106323242,61.12132263183594,58.91974258422852,0.01406707830220677,0.051958449659339934
15,15,15,15,2019-02-27,62.11338806152344,61.37643432617188,59.635292053222656,0.012007112231954942,0.04155418583494419
16,16,16,16,2019-02-28,62.17011260986328,61.35752487182617,60.42617034912109,0.013243489526909347,0.028860711355134905
17,17,17,17,2019-03-01,61.96223068237305,62.500789642333984,60.39793014526367,-0.008616834491898206,0.025899903081894715
18,18,18,18,2019-03-04,62.25511169433594,62.62361145019531,61.02872085571289,-0.00588435810912058,0.020095306298857807
19,19,19,19,2019-03-05,62.00945281982422,61.697662353515625,60.80008316040039,0.0050535215503320075,0.01989092113958657
20,20,20,20,2019-03-06,61.75436782836914,61.98112106323242,61.12132263183594,-0.003658424226176016,0.010357190735978516
21,21,21,21,2019-03-07,62.00945281982422,62.11338806152344,61.37643432617188,-0.0016733146418654865,0.010313705913385096
22,22,22,22,2019-03-08,62.02836608886719,62.17011260986328,61.35752487182617,-0.002279978514525105,0.010933316140805616
23,23,23,23,2019-03-11,62.78422927856445,61.96223068237305,62.500789642333984,0.013266123364813698,0.004534976883531883
24,24,24,24,2019-03-12,62.73698425292969,62.25511169433594,62.62361145019531,0.00774028903778512,0.0018103842960979222
25,25,25,25,2019-03-13,63.24721145629883,62.00945281982422,61.697662353515625,0.019960805654438918,0.025115199566307478
26,26,26,26,2019-03-14,63.23776245117188,61.75436782836914,61.98112106323242,0.024020885889812105,0.020274583072762642
27,27,27,27,2019-03-15,63.68181610107422,62.00945281982422,62.11338806152344,0.02696948941170718,0.02525104632832531
28,28,28,28,2019-03-18,63.17161178588867,62.02836608886719,62.17011260986328,0.018431014213458052,0.01610901338252524
29,29,29,29,2019-03-19,62.71807861328125,62.78422927856445,61.96223068237305,-0.0010536191340296819,0.012198526789372499
30,30,30,30,2019-03-20,62.1889877319336,62.73698425292969,62.25511169433594,-0.008734824083777903,-0.0010621451090955247
31,31,31,31,2019-03-21,63.08658599853516,63.24721145629883,62.00945281982422,-0.0025396448960386397,0.017370467400199097
32,32,32,32,2019-03-22,63.398380279541016,63.23776245117188,61.75436782836914,0.0025399037243474254,0.02662180035169337
33,33,33,33,2019-03-25,64.25816345214844,63.68181610107422,62.00945281982422,0.009050422653767543,0.036263997343406906
