,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,STZ,STZ_6m,STZ_12m,STZ_6m_ret,STZ_12m_ret
0,0,0,0,2019-02-05,162.31906127929688,,,,
1,1,1,1,2019-02-06,160.0615234375,,,,
2,2,2,2,2019-02-07,161.69659423828125,,,,
3,3,3,3,2019-02-08,162.78353881835938,,,,
4,4,4,4,2019-02-11,161.18821716308594,,,,
5,5,5,5,2019-02-12,160.41384887695312,,,,
6,6,6,6,2019-02-13,163.05413818359375,162.31906127929688,,0.004528592628022077,
7,7,7,7,2019-02-14,162.2984161376953,160.0615234375,,0.013975205609415342,
8,8,8,8,2019-02-15,163.18475341796875,161.69659423828125,,0.009203404602910137,
9,9,9,9,2019-02-19,163.00747680664062,162.78353881835938,,0.0013756795675214928,
10,10,10,10,2019-02-20,155.78636169433594,161.18821716308594,,-0.03351271925344612,
11,11,11,11,2019-02-21,154.54547119140625,160.41384887695312,,-0.036582737255112296,
12,12,12,12,2019-02-22,157.7268829345703,163.05413818359375,162.31906127929688,-0.03267169609044274,-0.028291060264480916
13,13,13,13,2019-02-25,155.9449462890625,162.2984161376953,160.0615234375,-0.03914683827377885,-0.02571871777819812
14,14,14,14,2019-02-26,158.05340576171875,163.18475341796875,161.69659423828125,-0.03144501890508711,-0.022531015533906573
15,15,15,15,2019-02-27,157.9041748046875,163.00747680664062,162.78353881835938,-0.03130716517995469,-0.029974554239888263
16,16,16,16,2019-02-28,157.82022094726562,155.78636169433594,161.18821716308594,0.013055438427403976,-0.020894804068790407
17,17,17,17,2019-03-01,160.41384887695312,154.54547119140625,160.41384887695312,0.03797185152244831,0.0
18,18,18,18,2019-03-04,159.19166564941406,157.7268829345703,163.05413818359375,0.009286829788244688,-0.023688282782683312
19,19,19,19,2019-03-05,156.24346923828125,155.9449462890625,162.2984161376953,0.0019142842158244022,-0.037307492232561246
20,20,20,20,2019-03-06,154.92799377441406,158.05340576171875,163.18475341796875,-0.019774404558017267,-0.050597616937940626
21,21,21,21,2019-03-07,156.40208435058594,157.9041748046875,163.00747680664062,-0.00951267093450514,-0.04052202135421068
22,22,22,22,2019-03-08,155.04925537109375,157.82022094726562,155.78636169433594,-0.01755773474108724,-0.004731520238520304
23,23,23,23,2019-03-11,157.0458221435547,160.41384887695312,154.54547119140625,-0.02099586012665222,0.016178739712480628
24,24,24,24,2019-03-12,157.49368286132812,159.19166564941406,157.7268829345703,-0.01066627942586762,-0.0014785055591247653
25,25,25,25,2019-03-13,159.2196502685547,156.24346923828125,155.9449462890625,0.019048354755452745,0.02099910293612295
26,26,26,26,2019-03-14,159.1729736328125,154.92799377441406,158.05340576171875,0.027399695529391588,0.0070834783072097895
27,27,27,27,2019-03-15,159.0237274169922,156.40208435058594,157.9041748046875,0.016762200307571806,0.0070900760774024185
28,28,28,28,2019-03-18,159.6114959716797,155.04925537109375,157.82022094726562,0.02942445992189202,0.011350098318596347
29,29,29,29,2019-03-19,156.1128692626953,157.0458221435547,160.41384887695312,-0.005940641197105911,-0.026811772452121074
30,30,30,30,2019-03-20,153.5658721923828,157.49368286132812,159.19166564941406,-0.024939480730815866,-0.035339748686472494
31,31,31,31,2019-03-21,158.03480529785156,159.2196502685547,156.24346923828125,-0.0074415750110281564,0.011465029983675157
32,32,32,32,2019-03-22,158.16542053222656,159.1729736328125,154.92799377441406,-0.006329925725394814,0.02089633176639727
33,33,33,33,2019-03-25,156.77528381347656,159.0237274169922,156.40208435058594,-0.014139044783045174,0.0023861540237153367
34,34,34,34,2019-03-26,160.19923400878906,159.6114959716797,155.04925537109375,0.0036823039188458306,0.03321511364481822
35,35,35,35,2019-03-27,158.71583557128906,156.1128692626953,157.0458221435547,0.01667361775417553,0.010633924576534337
36,36,36,36,2019-03-28,160.936279296875,153.5658721923828,157.49368286132812,0.04799508510106176,0.0218586318701941
37,37,37,37,2019-03-29,163.5765838623047,158.03480529785156,159.2196502685547,0.035066823121706836,0.027364295716019837
38,38,38,38,2019-04-01,165.68507385253906,158.16542053222656,159.1729736328125,0.04754296669277558,0.040912097519450574
39,39,39,39,2019-04-02,164.86407470703125,156.77528381347656,159.0237274169922,0.05159480944189099,0.03672626333757423
40,40,40,40,2019-04-03,167.6443328857422,160.19923400878906,159.6114959716797,0.046473997975200465,0.05032743327891498
41,41,41,41,2019-04-04,178.61598205566406,158.71583557128906,156.1128692626953,0.1253822368306572,0.14414643007491046
