,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MSCI,MSCI_6m,MSCI_12m,MSCI_6m_ret,MSCI_12m_ret
0,0,0,0,2019-02-05,166.4586639404297,,,,
1,1,1,1,2019-02-06,164.03555297851562,,,,
2,2,2,2,2019-02-07,164.5125274658203,,,,
3,3,3,3,2019-02-08,164.35987854003906,,,,
4,4,4,4,2019-02-11,163.8447265625,,,,
5,5,5,5,2019-02-12,166.58267211914062,,,,
6,6,6,6,2019-02-13,166.82115173339844,166.4586639404297,,0.0021776444937613437,
7,7,7,7,2019-02-14,166.115234375,164.03555297851562,,0.012678235655149361,
8,8,8,8,2019-02-15,167.1073455810547,164.5125274658203,,0.015772769133180375,
9,9,9,9,2019-02-19,166.75436401367188,164.35987854003906,,0.014568552221517317,
10,10,10,10,2019-02-20,168.00408935546875,163.8447265625,,0.025386003445049043,
11,11,11,11,2019-02-21,166.750244140625,166.58267211914062,,0.0010059390892980247,
12,12,12,12,2019-02-22,169.564208984375,166.82115173339844,166.4586639404297,0.016443102223393735,0.018656553948172228
13,13,13,13,2019-02-25,170.52130126953125,166.115234375,164.03555297851562,0.0265241590339913,0.03953867422792845
14,14,14,14,2019-02-26,170.6840362548828,167.1073455810547,164.5125274658203,0.021403551479987293,0.037513913889291484
15,15,15,15,2019-02-27,172.99070739746094,166.75436401367188,164.35987854003906,0.03739838186950095,0.052511774370284314
16,16,16,16,2019-02-28,176.80003356933594,168.00408935546875,163.8447265625,0.05235553638969126,0.07907063766189637
17,17,17,17,2019-03-01,182.05465698242188,166.750244140625,166.58267211914062,0.09178045238056898,0.0928787170145502
18,18,18,18,2019-03-04,179.13543701171875,169.564208984375,166.82115173339844,0.05644603943645743,0.07381728965641066
19,19,19,19,2019-03-05,179.62355041503906,170.52130126953125,166.115234375,0.05337895663322745,0.08131894760202707
20,20,20,20,2019-03-06,178.46542358398438,170.6840362548828,167.1073455810547,0.04558942652071818,0.06796875363818455
21,21,21,21,2019-03-07,174.25413513183594,172.99070739746094,166.75436401367188,0.007303442788242798,0.044974961600100505
22,22,22,22,2019-03-08,174.61781311035156,176.80003356933594,168.00408935546875,-0.012342873555669098,0.039366445068425016
23,23,23,23,2019-03-11,175.78549194335938,182.05465698242188,166.750244140625,-0.034435620285548696,0.05418431528720702
24,24,24,24,2019-03-12,177.08718872070312,179.13543701171875,169.564208984375,-0.01143407650202477,0.04436655460127992
25,25,25,25,2019-03-13,177.63275146484375,179.62355041503906,170.52130126953125,-0.0110831733678316,0.0417041750348357
26,26,26,26,2019-03-14,178.8004150390625,178.46542358398438,170.6840362548828,0.0018770664274947446,0.04755206733018369
27,27,27,27,2019-03-15,181.45167541503903,174.25413513183594,172.99070739746094,0.041304846382885785,0.04890995675356313
28,28,28,28,2019-03-18,182.7820739746093,174.61781311035156,176.80003356933594,0.04675502870430659,0.03383506374124856
29,29,29,29,2019-03-19,183.5478057861328,175.78549194335938,182.05465698242188,0.04415787535682725,0.00820165124287442
30,30,30,30,2019-03-20,183.7391967773437,177.08718872070312,179.13543701171875,0.037563462973777995,0.0256998829624302
31,31,31,31,2019-03-21,187.2805633544922,177.63275146484375,179.62355041503906,0.054313249162037947,0.04262811263757338
32,32,32,32,2019-03-22,183.6339263916016,178.8004150390625,178.46542358398438,0.02703299850552976,0.02896080766695386
33,33,33,33,2019-03-25,183.365951538086,181.45167541503903,174.25413513183594,0.010549784776957116,0.05229038839942768
34,34,34,34,2019-03-26,186.10333251953125,182.7820739746093,174.61781311035156,0.018170592294424415,0.06577518756303102
35,35,35,35,2019-03-27,185.0695953369141,183.5478057861328,175.78549194335938,0.00829097108659771,0.05281495811125403
36,36,36,36,2019-03-28,188.208984375,183.7391967773437,177.08718872070312,0.024326804928143986,0.06280406693811069
37,37,37,37,2019-03-29,190.3146514892578,187.2805633544922,177.63275146484375,0.016200763605257684,0.07139392887760354
