,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,SYY,SYY_6m,SYY_12m,SYY_6m_ret,SYY_12m_ret
0,0,0,0,2019-02-05,57.43271255493164,,,,
1,1,1,1,2019-02-06,57.415138244628906,,,,
2,2,2,2,2019-02-07,57.22179412841797,,,,
3,3,3,3,2019-02-08,58.17973327636719,,,,
4,4,4,4,2019-02-11,58.25884246826172,,,,
5,5,5,5,2019-02-12,58.8300895690918,,,,
6,6,6,6,2019-02-13,58.4697494506836,57.43271255493164,,0.018056554350625253,
7,7,7,7,2019-02-14,58.4961166381836,57.415138244628906,,0.01882741079450101,
8,8,8,8,2019-02-15,59.35738754272461,57.22179412841797,,0.037321329168986006,
9,9,9,9,2019-02-19,58.89160537719727,58.17973327636719,,0.012235740192354072,
10,10,10,10,2019-02-20,59.19041442871094,58.25884246826172,,0.01599022433301389,
11,11,11,11,2019-02-21,59.0937385559082,58.8300895690918,,0.004481532983334535,
12,12,12,12,2019-02-22,59.17283248901367,58.4697494506836,57.43271255493164,0.012024731505358766,0.03029841107396214
13,13,13,13,2019-02-25,59.11132049560547,58.4961166381836,57.415138244628906,0.010517003397457758,0.029542422135250046
14,14,14,14,2019-02-26,59.2431526184082,59.35738754272461,57.22179412841797,-0.0019245274943102686,0.03532497575056581
15,15,15,15,2019-02-27,58.979488372802734,58.89160537719727,58.17973327636719,0.001492283917929882,0.01374628330859684
16,16,16,16,2019-02-28,59.36617660522461,59.19041442871094,58.25884246826172,0.00296943649085879,0.019007142779504216
17,17,17,17,2019-03-01,59.392555236816406,59.0937385559082,58.8300895690918,0.005056655547786892,0.009560850099744167
18,18,18,18,2019-03-04,58.979488372802734,59.17283248901367,58.4697494506836,-0.003267447375395416,0.008717993952566339
19,19,19,19,2019-03-05,58.51370620727539,59.11132049560547,58.4961166381836,-0.010109980344196634,0.00030069635563312325
20,20,20,20,2019-03-06,58.25004959106445,59.2431526184082,59.35738754272461,-0.016763169808677092,-0.018655436121798874
21,21,21,21,2019-03-07,57.88972473144531,58.979488372802734,58.89160537719727,-0.018476993806205155,-0.017012282808983925
22,22,22,22,2019-03-08,57.81062316894531,59.36617660522461,59.19041442871094,-0.0262026885548563,-0.023311059283550817
23,23,23,23,2019-03-11,58.40824890136719,59.392555236816406,59.0937385559082,-0.016572890853483013,-0.01160003870617321
24,24,24,24,2019-03-12,58.16216659545898,58.979488372802734,59.17283248901367,-0.013857729185061007,-0.017079897159601787
25,25,25,25,2019-03-13,58.399444580078125,58.51370620727539,59.11132049560547,-0.0019527326946701118,-0.012042970949706078
26,26,26,26,2019-03-14,58.10943984985352,58.25004959106445,59.2431526184082,-0.002413899081598392,-0.01913660429006958
27,27,27,27,2019-03-15,58.241249084472656,57.88972473144531,58.979488372802734,0.006072309976564716,-0.012516881863466667
28,28,28,28,2019-03-18,58.40824890136719,57.81062316894531,59.36617660522461,0.010337645568624598,-0.016135917093456853
29,29,29,29,2019-03-19,58.16216659545898,58.40824890136719,59.392555236816406,-0.004213143015531329,-0.020716209909667826
30,30,30,30,2019-03-20,57.48545455932617,58.16216659545898,58.979488372802734,-0.01163491795000704,-0.025331413593026486
31,31,31,31,2019-03-21,57.92488479614258,58.399444580078125,58.51370620727539,-0.008126100981745155,-0.01006296557334807
32,32,32,32,2019-03-22,57.61728286743164,58.10943984985352,58.25004959106445,-0.008469484195572141,-0.010862938797049138
33,33,33,33,2019-03-25,58.17973327636719,58.241249084472656,57.88972473144531,-0.0010562240520674004,0.00500967220464843
34,34,34,34,2019-03-26,58.25004959106445,58.40824890136719,57.81062316894531,-0.002708509727279873,0.007601136227765037
35,35,35,35,2019-03-27,57.68758773803711,58.16216659545898,58.40824890136719,-0.008159580105100872,-0.012338345642702642
36,36,36,36,2019-03-28,58.23247146606445,57.48545455932617,58.16216659545898,0.01299488561871498,0.0012087732407644047
37,37,37,37,2019-03-29,58.6718978881836,57.92488479614258,58.399444580078125,0.01289623785476679,0.004665340741929258
38,38,38,38,2019-04-01,58.68947219848633,57.61728286743164,58.10943984985352,0.018608814537846685,0.009981723281647925
39,39,39,39,2019-04-02,58.29398727416992,58.17973327636719,58.241249084472656,0.001963810959050072,0.0009055126826138515
40,40,40,40,2019-04-03,58.417030334472656,58.25004959106445,58.40824890136719,0.0028666197639395374,0.00015034576914474407
41,41,41,41,2019-04-04,59.1065673828125,57.68758773803711,58.16216659545898,0.024597659573131425,0.01623737289434568
42,42,42,42,2019-04-05,59.35411834716797,58.23247146606445,57.48545455932617,0.019261536611187235,0.03250672369500518
43,43,43,43,2019-04-08,59.4425048828125,58.6718978881836,57.92488479614258,0.013134175344003962,0.026199794648033237
44,44,44,44,2019-04-09,59.19496536254883,58.68947219848633,57.61728286743164,0.008613012609023585,0.0273821051011236
45,45,45,45,2019-04-10,59.60163116455078,58.29398727416992,58.17973327636719,0.02243188279831876,0.02443974573464014
46,46,46,46,2019-04-11,60.220458984375,58.417030334472656,58.25004959106445,0.03087162492815243,0.033826741902255986
47,47,47,47,2019-04-12,61.00726318359375,59.1065673828125,57.68758773803711,0.03215710004729444,0.05754574902024845
48,48,48,48,2019-04-15,61.55534362792969,59.35411834716797,58.23247146606445,0.03708631080806457,0.057062186752655286
49,49,49,49,2019-04-16,61.970848083496094,59.4425048828125,58.6718978881836,0.04253426408708849,0.056227091913740423
50,50,50,50,2019-04-17,62.44821548461914,59.19496536254883,58.68947219848633,0.05495822325674604,0.06404459173564958
