,Unnamed: 0.1,Unnamed: 0,Date,INTC,INTC_6m,INTC_12m
0,0,0,2019-02-05,43.6160888671875,,
1,1,1,2019-02-06,43.79601287841797,,
2,2,2,2019-02-07,43.20797348022461,,
3,3,3,2019-02-08,42.86567687988281,,
4,4,4,2019-02-11,42.80424880981445,,
5,5,5,2019-02-12,43.89255142211914,,
6,6,6,2019-02-13,44.29629135131836,43.6160888671875,
7,7,7,2019-02-14,44.59469604492188,43.79601287841797,
8,8,8,2019-02-15,45.34072494506836,43.20797348022461,
9,9,9,2019-02-19,45.11252212524414,42.86567687988281,
10,10,10,2019-02-20,45.10375213623047,42.80424880981445,
11,11,11,2019-02-21,45.12130355834961,43.89255142211914,
12,12,12,2019-02-22,46.06919097900391,44.29629135131836,43.6160888671875
13,13,13,2019-02-25,46.60457229614258,44.59469604492188,43.79601287841797
14,14,14,2019-02-26,46.71866607666016,45.34072494506836,43.20797348022461
15,15,15,2019-02-27,46.727447509765625,45.11252212524414,42.86567687988281
16,16,16,2019-02-28,46.48170852661133,45.10375213623047,42.80424880981445
17,17,17,2019-03-01,46.78011322021485,45.12130355834961,43.89255142211914
18,18,18,2019-03-04,47.34181594848633,46.06919097900391,44.29629135131836
19,19,19,2019-03-05,47.11362838745117,46.60457229614258,44.59469604492188
20,20,20,2019-03-06,46.472923278808594,46.71866607666016,45.34072494506836
21,21,21,2019-03-07,46.16573715209961,46.727447509765625,45.11252212524414
22,22,22,2019-03-08,46.0604133605957,46.48170852661133,45.10375213623047
23,23,23,2019-03-11,46.8239860534668,46.78011322021485,45.12130355834961
24,24,24,2019-03-12,47.017086029052734,47.34181594848633,46.06919097900391
25,25,25,2019-03-13,47.71922302246094,47.11362838745117,46.60457229614258
26,26,26,2019-03-14,46.90298461914063,46.472923278808594,46.71866607666016
27,27,27,2019-03-15,47.68411636352539,46.16573715209961,46.727447509765625
28,28,28,2019-03-18,47.48224258422852,46.0604133605957,46.48170852661133
29,29,29,2019-03-19,47.543678283691406,46.8239860534668,46.78011322021485
30,30,30,2019-03-20,47.23649978637695,47.017086029052734,47.34181594848633
31,31,31,2019-03-21,47.95619201660156,47.71922302246094,47.11362838745117
32,32,32,2019-03-22,46.74501037597656,46.90298461914063,46.472923278808594
33,33,33,2019-03-25,46.3237190246582,47.68411636352539,46.16573715209961
34,34,34,2019-03-26,46.90298461914063,47.48224258422852,46.0604133605957
35,35,35,2019-03-27,46.65723419189453,47.543678283691406,46.8239860534668
36,36,36,2019-03-28,46.61334991455078,47.23649978637695,47.017086029052734
37,37,37,2019-03-29,47.13117980957031,47.95619201660156,47.71922302246094
38,38,38,2019-04-01,47.842098236083984,46.74501037597656,46.90298461914063
39,39,39,2019-04-02,47.71044158935547,46.3237190246582,47.68411636352539
40,40,40,2019-04-03,48.69344711303711,46.90298461914063,47.48224258422852
41,41,41,2019-04-04,49.079620361328125,46.65723419189453,47.543678283691406
42,42,42,2019-04-05,48.79875946044922,46.61334991455078,47.23649978637695
43,43,43,2019-04-08,48.86898040771485,47.13117980957031,47.95619201660156
44,44,44,2019-04-09,48.55301284790039,47.842098236083984,46.74501037597656
45,45,45,2019-04-10,48.93041229248047,47.71044158935547,46.3237190246582
46,46,46,2019-04-11,48.97428512573242,48.69344711303711,46.90298461914063
47,47,47,2019-04-12,49.51845932006836,49.079620361328125,46.65723419189453
48,48,48,2019-04-15,49.39559173583984,48.79875946044922,46.61334991455078
49,49,49,2019-04-16,49.77299118041992,48.86898040771485,47.13117980957031
50,50,50,2019-04-17,51.39668273925781,48.55301284790039,47.842098236083984
51,51,51,2019-04-18,51.33525848388672,48.93041229248047,47.71044158935547
52,52,52,2019-04-22,51.624881744384766,48.97428512573242,48.69344711303711
53,53,53,2019-04-23,51.58977127075195,49.51845932006836,49.079620361328125
54,54,54,2019-04-24,51.5371208190918,49.39559173583984,48.79875946044922
55,55,55,2019-04-25,50.56288909912109,49.77299118041992,48.86898040771485
56,56,56,2019-04-26,46.01652526855469,51.39668273925781,48.55301284790039
57,57,57,2019-04-29,44.85799789428711,51.33525848388672,48.93041229248047
58,58,58,2019-04-30,44.79656219482422,51.624881744384766,48.97428512573242
59,59,59,2019-05-01,44.550811767578125,51.58977127075195,49.51845932006836
60,60,60,2019-05-02,44.36649703979492,51.5371208190918,49.39559173583984
61,61,61,2019-05-03,45.41972351074219,50.56288909912109,49.77299118041992
62,62,62,2019-05-06,45.22985076904297,46.01652526855469,51.39668273925781
63,63,63,2019-05-07,44.57639694213867,44.85799789428711,51.33525848388672
64,64,64,2019-05-08,43.48141860961914,44.79656219482422,51.624881744384766
65,65,65,2019-05-09,41.16781997680664,44.550811767578125,51.58977127075195
66,66,66,2019-05-10,40.79694747924805,44.36649703979492,51.5371208190918
67,67,67,2019-05-13,39.52534103393555,45.41972351074219,50.56288909912109
68,68,68,2019-05-14,39.88740158081055,45.22985076904297,46.01652526855469
69,69,69,2019-05-15,40.28477478027344,44.57639694213867,44.85799789428711
70,70,70,2019-05-16,40.205299377441406,43.48141860961914,44.79656219482422
71,71,71,2019-05-17,39.64015197753906,41.16781997680664,44.550811767578125
72,72,72,2019-05-20,38.46567916870117,40.79694747924805,44.36649703979492
73,73,73,2019-05-21,39.26043701171875,39.52534103393555,45.41972351074219
74,74,74,2019-05-22,38.85423278808594,39.88740158081055,45.22985076904297
75,75,75,2019-05-23,39.32224655151367,40.28477478027344,44.57639694213867
76,76,76,2019-05-24,39.35757827758789,40.205299377441406,43.48141860961914
77,77,77,2019-05-28,38.47451400756836,39.64015197753906,41.16781997680664
78,78,78,2019-05-29,39.05733108520508,38.46567916870117,40.79694747924805
79,79,79,2019-05-30,39.49885559082031,39.26043701171875,39.52534103393555
80,80,80,2019-05-31,38.88954925537109,38.85423278808594,39.88740158081055
81,81,81,2019-06-03,38.37737655639648,39.32224655151367,40.28477478027344
82,82,82,2019-06-04,39.55183792114258,39.35757827758789,40.205299377441406
83,83,83,2019-06-05,39.33990859985352,38.47451400756836,39.64015197753906
84,84,84,2019-06-06,39.82557678222656,39.05733108520508,38.46567916870117
85,85,85,2019-06-07,40.64681625366211,39.49885559082031,39.26043701171875
86,86,86,2019-06-10,41.326778411865234,38.88954925537109,38.85423278808594
87,87,87,2019-06-11,41.37092208862305,38.37737655639648,39.32224655151367
88,88,88,2019-06-12,40.90291976928711,39.55183792114258,39.35757827758789
89,89,89,2019-06-13,41.23847198486328,39.33990859985352,38.47451400756836
90,90,90,2019-06-14,40.78810119628906,39.82557678222656,39.05733108520508
91,91,91,2019-06-17,40.735130310058594,40.64681625366211,39.49885559082031
92,92,92,2019-06-18,41.83011245727539,41.326778411865234,38.88954925537109
93,93,93,2019-06-19,41.56519317626953,41.37092208862305,38.37737655639648
94,94,94,2019-06-20,41.67115783691406,40.90291976928711,39.55183792114258
95,95,95,2019-06-21,41.90958786010742,41.23847198486328,39.33990859985352
96,96,96,2019-06-24,42.05970001220703,40.78810119628906,39.82557678222656
97,97,97,2019-06-25,41.37092208862305,40.735130310058594,40.64681625366211
98,98,98,2019-06-26,42.5542106628418,41.83011245727539,41.326778411865234
99,99,99,2019-06-27,41.90958786010742,41.56519317626953,41.37092208862305
100,100,100,2019-06-28,42.27164459228516,41.67115783691406,40.90291976928711
101,101,101,2019-07-01,42.43058013916016,41.90958786010742,41.23847198486328
102,102,102,2019-07-02,42.49239349365234,42.05970001220703,40.78810119628906
103,103,103,2019-07-03,42.84561538696289,41.37092208862305,40.735130310058594
104,104,104,2019-07-05,42.45708847045898,42.5542106628418,41.83011245727539
105,105,105,2019-07-08,42.22747802734375,41.90958786010742,41.56519317626953
106,106,106,2019-07-09,42.16567611694336,42.27164459228516,41.67115783691406
107,107,107,2019-07-10,42.571868896484375,42.43058013916016,41.90958786010742
108,108,108,2019-07-11,42.916259765625,42.49239349365234,42.05970001220703
109,109,109,2019-07-12,44.08189010620117,42.84561538696289,41.37092208862305
110,110,110,2019-07-15,44.25849914550781,42.45708847045898,42.5542106628418
111,111,111,2019-07-16,43.41959762573242,42.22747802734375,41.90958786010742
112,112,112,2019-07-17,43.61387252807617,42.16567611694336,42.27164459228516
113,113,113,2019-07-18,44.09954833984375,42.571868896484375,42.43058013916016
114,114,114,2019-07-19,44.39096832275391,42.916259765625,42.49239349365234
