,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CTVA,CTVA_6m,CTVA_12m,CTVA_6m_ret,CTVA_12m_ret
0,0,0,0,2019-05-24,27.25494956970215,,,,
1,1,1,1,2019-05-28,27.034093856811523,,,,
2,2,2,2,2019-05-29,26.785043716430664,,,,
3,3,3,3,2019-05-30,27.06699180603028,,,,
4,4,4,4,2019-05-31,25.347108840942383,,,,
5,5,5,5,2019-06-03,23.317081451416016,,,,
6,6,6,6,2019-06-04,26.08017349243164,27.25494956970215,,-0.04310321962864472,
7,7,7,7,2019-06-05,26.32452964782715,27.034093856811523,,-0.02624701285505049,
8,8,8,8,2019-06-06,25.28131866455078,26.785043716430664,,-0.05614047405707456,
9,9,9,9,2019-06-07,24.726821899414062,27.06699180603028,,-0.08645844072317077,
10,10,10,10,2019-06-10,23.78699493408203,25.347108840942383,,-0.061549974659845574,
11,11,11,11,2019-06-11,23.448659896850582,23.317081451416016,,0.005643006639091119,
12,12,12,12,2019-06-12,23.561437606811523,26.08017349243164,27.25494956970215,-0.09657665376923374,-0.13551710867946354
13,13,13,13,2019-06-13,23.46745491027832,26.32452964782715,27.034093856811523,-0.10853279339730404,-0.13193114462886102
14,14,14,14,2019-06-14,23.674217224121094,25.28131866455078,26.785043716430664,-0.06356873475445524,-0.11614042990720619
15,15,15,15,2019-06-17,24.388486862182617,24.726821899414062,27.06699180603028,-0.013682916413914947,-0.0989583535193932
16,16,16,16,2019-06-18,25.657251358032227,23.78699493408203,25.347108840942383,0.0786251659418522,0.012235814310659343
17,17,17,17,2019-06-19,25.51627540588379,23.448659896850582,23.317081451416016,0.08817627609119394,0.0943168620416781
18,18,18,18,2019-06-20,25.525671005249023,23.561437606811523,26.08017349243164,0.08336644950177607,-0.021261456996961026
19,19,19,19,2019-06-21,25.572662353515625,23.46745491027832,26.32452964782715,0.08970753118674413,-0.02856147115903296
20,20,20,20,2019-06-24,26.32452964782715,23.674217224121094,25.28131866455078,0.11194931594214297,0.04126410481661891
21,21,21,21,2019-06-25,26.004981994628903,24.388486862182617,24.726821899414062,0.06628107522951177,0.05169124040340689
22,22,22,22,2019-06-26,27.499313354492188,25.657251358032227,23.78699493408203,0.07179498578218846,0.15606504439495805
23,23,23,23,2019-06-27,27.7906551361084,25.51627540588379,23.448659896850582,0.08913447178502243,0.18517029366957538
24,24,24,24,2019-06-28,27.7906551361084,25.525671005249023,23.561437606811523,0.08873357845886254,0.17949743134834106
25,25,25,25,2019-07-01,27.8940372467041,25.572662353515625,23.46745491027832,0.09077564397081028,0.18862643407006274
26,26,26,26,2019-07-02,27.245555877685547,26.32452964782715,23.674217224121094,0.03498737649561079,0.15085350530304753
27,27,27,27,2019-07-03,27.06699180603028,26.004981994628903,24.388486862182617,0.04083870589184513,0.10982661445885022
28,28,28,28,2019-07-05,26.916614532470703,27.499313354492188,25.657251358032227,-0.021189577154525407,0.04908410323712342
29,29,29,29,2019-07-08,26.09897232055664,27.7906551361084,25.51627540588379,-0.06087236185208722,0.022836284112942584
30,30,30,30,2019-07-09,25.365901947021484,27.7906551361084,25.525671005249023,-0.08725066671553316,-0.006259152137261581
31,31,31,31,2019-07-10,24.905391693115234,27.8940372467041,25.572662353515625,-0.10714281074325294,-0.026093124414504176
32,32,32,32,2019-07-11,24.839599609375,27.245555877685547,26.32452964782715,-0.0883063747758237,-0.056408606661457084
33,33,33,33,2019-07-12,25.9392032623291,27.06699180603028,26.004981994628903,-0.041666563901272435,-0.0025294665581151454
34,34,34,34,2019-07-15,26.39031791687012,26.916614532470703,27.499313354492188,-0.019552853311685547,-0.04032811377237189
35,35,35,35,2019-07-16,26.183557510375977,26.09897232055664,27.7906551361084,0.003240939481464311,-0.05782870601147938
36,36,36,36,2019-07-17,25.26252174377441,25.365901947021484,27.7906551361084,-0.004075557946371933,-0.09097062951384638
37,37,37,37,2019-07-18,25.046363830566406,24.905391693115234,27.8940372467041,0.00566030597664291,-0.10208896585861449
38,38,38,38,2019-07-19,25.74183464050293,24.839599609375,27.245555877685547,0.036322446630234984,-0.05519143173049312
39,39,39,39,2019-07-22,26.08957290649414,25.9392032623291,27.06699180603028,0.005797003194135009,-0.036111101911161736
40,40,40,40,2019-07-23,26.427907943725582,26.39031791687012,26.916614532470703,0.001424387041257802,-0.01815631710130461
41,41,41,41,2019-07-24,26.615873336791992,26.183557510375977,26.09897232055664,0.0165109659466518,0.019805416469529602
42,42,42,42,2019-07-25,26.333925247192383,25.26252174377441,25.365901947021484,0.04241078995536163,0.03816238437697517
43,43,43,43,2019-07-26,26.766244888305664,25.046363830566406,24.905391693115234,0.06866789404537554,0.07471688131308674
44,44,44,44,2019-07-29,27.04819679260254,25.74183464050293,24.839599609375,0.05074860321121566,0.08891436327314906
45,45,45,45,2019-07-30,27.50135612487793,26.08957290649414,25.9392032623291,0.05411292946203705,0.06022362548110749
46,46,46,46,2019-07-31,27.85067367553711,26.427907943725582,26.39031791687012,0.05383573057848934,0.055336800536739617
47,47,47,47,2019-08-01,29.502826690673828,26.615873336791992,26.183557510375977,0.10846735394893492,0.12676922068296093
48,48,48,48,2019-08-02,29.70108222961425,26.333925247192383,25.26252174377441,0.12786384676097073,0.17569744346419647
49,49,49,49,2019-08-05,28.22830390930176,26.766244888305664,25.046363830566406,0.05462324009577002,0.12704199700445695
50,50,50,50,2019-08-06,28.369916915893555,27.04819679260254,25.74183464050293,0.04886536923054674,0.1020938216756131
51,51,51,51,2019-08-07,28.92692947387696,27.50135612487793,26.08957290649414,0.051836474627861895,0.1087544275849972
52,52,52,52,2019-08-08,29.84270095825196,27.85067367553711,26.427907943725582,0.07152528179110318,0.1292116281696487
53,53,53,53,2019-08-09,29.86157989501953,29.502826690673828,26.615873336791992,0.012159960403357095,0.12194627308136807
54,54,54,54,2019-08-12,27.97340202331543,29.70108222961425,26.333925247192383,-0.0581689311164626,0.06225721234998338
55,55,55,55,2019-08-13,27.94508171081543,28.22830390930176,26.766244888305664,-0.010033270131862393,0.04404192024054909
56,56,56,56,2019-08-14,26.75552558898925,28.369916915893555,27.04819679260254,-0.05690504246770922,-0.010820359148426939
57,57,57,57,2019-08-15,26.83105087280273,28.92692947387696,27.50135612487793,-0.0724542369063732,-0.02437353449158952
58,58,58,58,2019-08-16,28.549299240112305,29.84270095825196,27.85067367553711,-0.04334063863552573,0.025084691764165168
59,59,59,59,2019-08-19,28.8608455657959,29.86157989501953,29.502826690673828,-0.03351243747791588,-0.021759986987310187
60,60,60,60,2019-08-20,28.568174362182617,27.97340202331543,29.70108222961425,0.021262066672171454,-0.038143656135938286
61,61,61,61,2019-08-21,28.870285034179688,27.94508171081543,28.22830390930176,0.03310791261727397,0.022742461854620366
62,62,62,62,2019-08-22,28.59650230407715,26.75552558898925,28.369916915893555,0.0688073463167369,0.007986818884783364
63,63,63,63,2019-08-23,27.42582893371582,26.83105087280273,28.92692947387696,0.022167527605710946,-0.05189284059743493
64,64,64,64,2019-08-26,27.397506713867188,28.549299240112305,29.84270095825196,-0.04034398590865684,-0.08193609042979866
65,65,65,65,2019-08-27,27.123722076416016,28.8608455657959,29.86157989501953,-0.06018962560953567,-0.09168496202239285
66,66,66,66,2019-08-28,27.53911781311035,28.568174362182617,27.97340202331543,-0.03602108192235376,-0.015524897895619172
67,67,67,67,2019-08-29,28.04892921447754,28.870285034179688,27.94508171081543,-0.028449868739769624,0.0037161281092950027
68,68,68,68,2019-08-30,27.68073272705078,28.59650230407715,26.75552558898925,-0.03202383170111689,0.03458003973737234
69,69,69,69,2019-09-03,26.651674270629883,27.42582893371582,26.83105087280273,-0.02822721110661619,-0.0066854109823433205
70,70,70,70,2019-09-04,26.84049224853516,27.397506713867188,28.549299240112305,-0.020330845107525697,-0.059854603687653385
71,71,71,71,2019-09-05,26.86881446838379,27.123722076416016,28.8608455657959,-0.00939795826376899,-0.0690219242839143
72,72,72,72,2019-09-06,26.8027286529541,27.53911781311035,28.568174362182617,-0.026739751256871558,-0.06179763840861807
73,73,73,73,2019-09-09,27.1426010131836,28.04892921447754,28.870285034179688,-0.03231239932061769,-0.05984298454104875
74,74,74,74,2019-09-10,26.963228225708008,27.68073272705078,28.59650230407715,-0.025920719238822665,-0.057114470189463584
75,75,75,75,2019-09-11,27.633529663085938,26.651674270629883,27.42582893371582,0.03684028937491779,0.007573179642887062
76,76,76,76,2019-09-12,28.22830390930176,26.84049224853516,27.397506713867188,0.05170589450878427,0.030323824868854432
77,77,77,77,2019-09-13,28.436004638671875,26.86881446838379,27.123722076416016,0.05832747746024225,0.048381359997671014
78,78,78,78,2019-09-16,27.756256103515625,26.8027286529541,27.53911781311035,0.035575760323060646,0.007884722084376294
79,79,79,79,2019-09-17,27.35974502563477,27.1426010131836,28.04892921447754,0.008000118055955685,-0.02457078427389825
80,80,80,80,2019-09-18,27.520238876342773,26.963228225708008,27.68073272705078,0.020658158806951876,-0.0057980347662967
81,81,81,81,2019-09-19,27.51079750061035,27.633529663085938,26.651674270629883,-0.004441421851350991,0.03223524425732682
82,82,82,82,2019-09-20,27.303096771240234,28.22830390930176,26.84049224853516,-0.03277586712380032,0.017235321857046904
83,83,83,83,2019-09-23,27.26533317565918,28.436004638671875,26.86881446838379,-0.041168633846002,0.014757581051518587
84,84,84,84,2019-09-24,26.661115646362305,27.756256103515625,26.8027286529541,-0.039455625898141555,-0.005283529465429537
85,85,85,85,2019-09-25,26.623353958129883,27.35974502563477,27.1426010131836,-0.0269151290267845,-0.01913033518053453
86,86,86,86,2019-09-26,26.09465980529785,27.520238876342773,26.963228225708008,-0.05180111544272936,-0.032213072304970614
87,87,87,87,2019-09-27,26.245716094970703,27.51079750061035,27.633529663085938,-0.04598490485823181,-0.05022208834831321
88,88,88,88,2019-09-30,26.434534072875977,27.303096771240234,28.22830390930176,-0.03181187488150283,-0.06354508022122807
89,89,89,89,2019-10-01,26.009695053100582,27.26533317565918,28.436004638671875,-0.04605255011809484,-0.0853252633906103
90,90,90,90,2019-10-02,25.433799743652344,26.661115646362305,27.756256103515625,-0.046033928924404166,-0.08367325734428277
91,91,91,91,2019-10-03,25.37715148925781,26.623353958129883,27.35974502563477,-0.04680862038764744,-0.07246388935713277
92,92,92,92,2019-10-04,24.4425048828125,26.09465980529785,27.520238876342773,-0.06331390923708935,-0.1118352935582978
93,93,93,93,2019-10-07,24.546356201171875,26.245716094970703,27.51079750061035,-0.06474808641721408,-0.1077555566817977
94,94,94,94,2019-10-08,24.754053115844727,26.434534072875977,27.303096771240234,-0.0635714233660567,-0.09336097208139948
95,95,95,95,2019-10-09,24.70685195922852,26.009695053100582,27.26533317565918,-0.05009067162118663,-0.09383641857399772
96,96,96,96,2019-10-10,24.29145240783692,25.433799743652344,26.661115646362305,-0.04491453684974955,-0.08888087317713977
97,97,97,97,2019-10-11,25.16944694519043,25.37715148925781,26.623353958129883,-0.008184706788518015,-0.05461021234311758
98,98,98,98,2019-10-14,24.85790634155273,24.4425048828125,26.09465980529785,0.016995044523130387,-0.047394887420376675
99,99,99,99,2019-10-15,25.20721435546875,24.546356201171875,26.245716094970703,0.02692286174293046,-0.03956842845301345
100,100,100,100,2019-10-16,25.367712020874023,24.754053115844727,26.434534072875977,0.024790239487548993,-0.0403571346883167
101,101,101,101,2019-10-17,25.27330207824707,24.70685195922852,26.009695053100582,0.022926843126486185,-0.028312249465059613
102,102,102,102,2019-10-18,24.584117889404297,24.29145240783692,25.433799743652344,0.012048084925253555,-0.03340758607884009
103,103,103,103,2019-10-21,24.074308395385746,25.16944694519043,25.37715148925781,-0.04351063224350871,-0.051339217264930626
104,104,104,104,2019-10-22,24.5274658203125,24.85790634155273,24.4425048828125,-0.013293175889389497,0.0034759505176469307
105,105,105,105,2019-10-23,24.17815971374512,25.20721435546875,24.546356201171875,-0.04082381445295935,-0.015000046622364871
106,106,106,106,2019-10-24,24.89566802978516,25.367712020874023,24.754053115844727,-0.01860806330111442,0.005720877840800442
107,107,107,107,2019-10-25,25.235538482666016,25.27330207824707,24.70685195922852,-0.0014942090061732527,0.02139837662483024
108,108,108,108,2019-10-28,25.27330207824707,24.584117889404297,24.29145240783692,0.028033716399473052,0.040419553920677975
109,109,109,109,2019-10-29,25.282745361328125,24.074308395385746,25.16944694519043,0.05019612385517158,0.0045014265265508335
110,110,110,110,2019-10-30,25.9436092376709,24.5274658203125,24.85790634155273,0.05773704579727168,0.0436763612027653
111,111,111,111,2019-10-31,24.90510368347168,24.17815971374512,25.20721435546875,0.030066141440586724,-0.011985087591859456
112,112,112,112,2019-11-01,24.71628761291504,24.89566802978516,25.367712020874023,-0.007205286343612505,-0.025679273220342247
113,113,113,113,2019-11-04,24.300886154174805,25.235538482666016,25.27330207824707,-0.03703714621081744,-0.038476013979559576
114,114,114,114,2019-11-05,24.225360870361328,25.27330207824707,24.584117889404297,-0.041464356522993184,-0.014593040134972313
115,115,115,115,2019-11-06,24.66908836364746,25.282745361328125,24.074308395385746,-0.024271770684337945,0.02470600436337822
116,116,116,116,2019-11-07,24.687965393066406,25.9436092376709,24.5274658203125,-0.04839896535217847,0.006543667166013956
117,117,117,117,2019-11-08,24.73517227172852,24.90510368347168,24.17815971374512,-0.006823156165213451,0.02303783929703873
