,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,STLD,STLD_6m,STLD_12m,STLD_6m_ret,STLD_12m_ret
0,0,0,0,2019-02-05,32.73871994018555,,,,
1,1,1,1,2019-02-06,32.83646011352539,,,,
2,2,2,2,2019-02-07,31.98355293273925,,,,
3,3,3,3,2019-02-08,31.77033424377441,,,,
4,4,4,4,2019-02-11,32.161258697509766,,,,
5,5,5,5,2019-02-12,32.87199401855469,,,,
6,6,6,6,2019-02-13,32.77427291870117,32.73871994018555,,0.0010859611671005798,
7,7,7,7,2019-02-14,32.65877151489258,32.83646011352539,,-0.005411320161140654,
8,8,8,8,2019-02-15,32.95194625854492,31.98355293273925,,0.03027785336551525,
9,9,9,9,2019-02-19,33.10297775268555,31.77033424377441,,0.04194615954260139,
10,10,10,10,2019-02-20,34.68439483642578,32.161258697509766,,0.0784526551851461,
11,11,11,11,2019-02-21,34.284603118896484,32.87199401855469,,0.042973027420984744,
12,12,12,12,2019-02-22,34.70216369628906,32.77427291870117,32.73871994018555,0.05882329662568431,0.0599731376086412
13,13,13,13,2019-02-25,34.515594482421875,32.65877151489258,32.83646011352539,0.05685526066657398,0.05113627848712121
14,14,14,14,2019-02-26,34.04472351074219,32.95194625854492,31.98355293273925,0.03316275292582738,0.06444470326162755
15,15,15,15,2019-02-27,33.715999603271484,33.10297775268555,31.77033424377441,0.018518631621779358,0.061241576640898465
16,16,16,16,2019-02-28,33.15629196166992,34.68439483642578,32.161258697509766,-0.04405736014604,0.030938878155201133
17,17,17,17,2019-03-01,33.64491653442383,34.284603118896484,32.87199401855469,-0.018658130072390477,0.02351310101336912
18,18,18,18,2019-03-04,33.73377227783203,34.70216369628906,32.77427291870117,-0.027905793625213837,0.029275992224479408
19,19,19,19,2019-03-05,33.50278091430664,34.515594482421875,32.65877151489258,-0.02934365127713623,0.025843268447167
20,20,20,20,2019-03-06,32.55215072631836,34.04472351074219,32.95194625854492,-0.04384153050774153,-0.012132683426032576
21,21,21,21,2019-03-07,32.01021194458008,33.715999603271484,33.10297775268555,-0.05059282473493365,-0.03301110299712584
22,22,22,22,2019-03-08,30.79306030273437,33.15629196166992,34.68439483642578,-0.07127551119611164,-0.11219266047579135
23,23,23,23,2019-03-11,31.690372467041016,33.64491653442383,34.284603118896484,-0.058093295175305926,-0.07566751298998176
24,24,24,24,2019-03-12,32.29451370239258,33.73377227783203,34.70216369628906,-0.0426652128788233,-0.0693803998784649
25,25,25,25,2019-03-13,32.42778396606445,33.50278091430664,34.515594482421875,-0.032086797540532896,-0.060488905020039674
26,26,26,26,2019-03-14,31.20174217224121,32.55215072631836,34.04472351074219,-0.04148446489544377,-0.08350725296987438
27,27,27,27,2019-03-15,31.20174217224121,32.01021194458008,33.715999603271484,-0.02525662041034238,-0.0745716413754588
28,28,28,28,2019-03-18,31.05071258544922,30.79306030273437,33.15629196166992,0.008367219113066371,-0.06350466990261883
29,29,29,29,2019-03-19,31.50381660461425,31.690372467041016,33.64491653442383,-0.005886830854411329,-0.06363814062724482
30,30,30,30,2019-03-20,31.25503921508789,32.29451370239258,33.73377227783203,-0.03218733983375255,-0.07347927300656576
31,31,31,31,2019-03-21,31.805877685546875,32.42778396606445,33.50278091430664,-0.019178192415750694,-0.05064962317904598
32,32,32,32,2019-03-22,30.18004035949707,31.20174217224121,32.55215072631836,-0.03274502452792849,-0.072871079602843
33,33,33,33,2019-03-25,30.23334503173828,31.20174217224121,32.01021194458008,-0.031036636837684983,-0.05550937669260425
34,34,34,34,2019-03-26,30.393266677856445,31.05071258544922,30.79306030273437,-0.021173295324013353,-0.012983237812268511
35,35,35,35,2019-03-27,30.775293350219727,31.50381660461425,31.690372467041016,-0.023124920498928336,-0.028875618857840846
36,36,36,36,2019-03-28,31.0168399810791,31.25503921508789,32.29451370239258,-0.007621146541188839,-0.039563181941297265
37,37,37,37,2019-03-29,31.55362129211425,31.805877685546875,32.42778396606445,-0.007931125055770871,-0.026957212829128552
38,38,38,38,2019-04-01,31.91147232055664,30.18004035949707,31.20174217224121,0.057370100915545175,0.022746491025967375
39,39,39,39,2019-04-02,31.66097640991211,30.23334503173828,31.20174217224121,0.04722042422613626,0.014718224230423127
40,40,40,40,2019-04-03,31.696758270263672,30.393266677856445,31.05071258544922,0.042887512100070024,0.02080614681664983
41,41,41,41,2019-04-04,31.51783943176269,30.775293350219727,31.50381660461425,0.024127993617895527,0.00044511518475465195
42,42,42,42,2019-04-05,32.036720275878906,31.0168399810791,31.25503921508789,0.03288150228785236,0.025009760999233466
43,43,43,43,2019-04-08,32.06356430053711,31.55362129211425,31.805877685546875,0.01616115639158977,0.008101855183431539
44,44,44,44,2019-04-09,31.025798797607425,31.91147232055664,30.18004035949707,-0.027754078973619922,0.028023767630390495
