,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,ARE,ARE_6m,ARE_12m,ARE_6m_ret,ARE_12m_ret
0,0,0,0,2019-02-05,111.52757263183594,,,,
1,1,1,1,2019-02-06,110.89151000976562,,,,
2,2,2,2,2019-02-07,114.0804672241211,,,,
3,3,3,3,2019-02-08,113.77964782714844,,,,
4,4,4,4,2019-02-11,114.9228515625,,,,
5,5,5,5,2019-02-12,113.94294738769533,,,,
6,6,6,6,2019-02-13,115.61907196044922,111.52757263183594,,0.036685989231736826,
7,7,7,7,2019-02-14,115.08615112304688,110.89151000976562,,0.03782653074984599,
8,8,8,8,2019-02-15,115.919921875,114.0804672241211,,0.01612418581057473,
9,9,9,9,2019-02-19,116.63336181640624,113.77964782714844,,0.02508105837691721,
10,10,10,10,2019-02-20,116.01446533203124,114.9228515625,,0.009498665884892121,
11,11,11,11,2019-02-21,116.46146392822266,113.94294738769533,,0.022103312212540693,
12,12,12,12,2019-02-22,117.51870727539062,115.61907196044922,111.52757263183594,0.016430120764083123,0.05371886522924729
13,13,13,13,2019-02-25,116.9170150756836,115.08615112304688,110.89151000976562,0.015908638309393153,0.05433693765543768
14,14,14,14,2019-02-26,117.00296020507812,115.919921875,114.0804672241211,0.009342987060032781,0.0256178209299891
15,15,15,15,2019-02-27,115.99729919433594,116.63336181640624,113.77964782714844,-0.005453522149790446,0.01949075611972817
16,16,16,16,2019-02-28,116.80525207519533,116.01446533203124,114.9228515625,0.006816277098729673,0.01637968852236149
17,17,17,17,2019-03-01,116.8224639892578,116.46146392822266,113.94294738769533,0.003099738307064781,0.025271565003183616
18,18,18,18,2019-03-04,117.72502899169922,117.51870727539062,115.61907196044922,0.0017556499819650906,0.01821461628727139
19,19,19,19,2019-03-05,118.10320281982422,116.9170150756836,115.08615112304688,0.010145552752717668,0.026215592991302605
20,20,20,20,2019-03-06,118.23212432861328,117.00296020507812,115.919921875,0.010505410473211407,0.019946549447355633
21,21,21,21,2019-03-07,117.50150299072266,115.99729919433594,116.63336181640624,0.012967576028357852,0.00744333491546767
22,22,22,22,2019-03-08,118.27513122558594,116.80525207519533,116.01446533203124,0.012584015909185009,0.01948606914736639
23,23,23,23,2019-03-11,119.81373596191406,116.8224639892578,116.46146392822266,0.02560528061564704,0.028784388591899246
24,24,24,24,2019-03-12,120.46698760986328,117.72502899169922,117.51870727539062,0.02329121208674656,0.025087753284791736
25,25,25,25,2019-03-13,121.4898452758789,118.10320281982422,116.9170150756836,0.02867528039202516,0.03911175971465908
26,26,26,26,2019-03-14,121.93683624267578,118.23212432861328,117.00296020507812,0.03133422439205824,0.04216881375436787
27,27,27,27,2019-03-15,120.7850341796875,117.50150299072266,115.99729919433594,0.027944588838358042,0.04127453844705853
28,28,28,28,2019-03-18,120.52716064453124,118.27513122558594,116.80525207519533,0.019040599622333065,0.031864222740086046
29,29,29,29,2019-03-19,120.07156372070312,119.81373596191406,116.8224639892578,0.0021519048439573307,0.027812285586992003
30,30,30,30,2019-03-20,120.5873031616211,120.46698760986328,117.72502899169922,0.0009987429265472247,0.024313216946616256
31,31,31,31,2019-03-21,122.4439697265625,121.4898452758789,118.10320281982422,0.007853532519668471,0.03675401515876309
32,32,32,32,2019-03-22,121.81651306152344,121.93683624267578,118.23212432861328,-0.0009867664674592103,0.030316538362685108
33,33,33,33,2019-03-25,121.77349853515624,120.7850341796875,117.50150299072266,0.008183665817391272,0.03635694383220667
34,34,34,34,2019-03-26,123.63016510009766,120.52716064453124,118.27513122558594,0.025745271347742626,0.04527607637397657
35,35,35,35,2019-03-27,122.83934783935548,120.07156372070312,119.81373596191406,0.023051120789019386,0.025252629451461228
36,36,36,36,2019-03-28,123.9557647705078,120.5873031616211,120.46698760986328,0.027933799998595354,0.028960441610302867
37,37,37,37,2019-03-29,123.37592315673828,122.4439697265625,121.4898452758789,0.007611264419611574,0.015524572251915059
38,38,38,38,2019-04-01,122.49315643310548,121.81651306152344,121.93683624267578,0.005554611231076034,0.004562363659514013
39,39,39,39,2019-04-02,123.9557647705078,121.77349853515624,120.7850341796875,0.017920699180056232,0.026251022010751024
40,40,40,40,2019-04-03,124.21541595458984,123.63016510009766,120.52716064453124,0.004733883951528739,0.03060103042613216
41,41,41,41,2019-04-04,123.86920928955078,122.83934783935548,120.07156372070312,0.008383807536507915,0.03162818448572313
42,42,42,42,2019-04-05,124.59619140625,123.9557647705078,120.5873031616211,0.005166574034922045,0.033244696079286706
43,43,43,43,2019-04-08,124.30194854736328,123.37592315673828,122.4439697265625,0.007505722080381583,0.01517411453540718
44,44,44,44,2019-04-09,123.8605499267578,122.49315643310548,121.81651306152344,0.011163019498146909,0.016779636962700017
45,45,45,45,2019-04-10,124.48365020751952,123.9557647705078,121.77349853515624,0.0042586598371527895,0.022255677179060962
46,46,46,46,2019-04-11,124.18941497802734,124.21541595458984,123.63016510009766,-0.00020932165595299868,0.004523571391147785
47,47,47,47,2019-04-12,124.92506408691406,123.86920928955078,122.83934783935548,0.008523948795823522,0.016979219478486574
48,48,48,48,2019-04-15,124.32791900634766,124.59619140625,123.9557647705078,-0.0021531348340145806,0.003002314870380385
49,49,49,49,2019-04-16,120.48538970947266,124.30194854736328,123.37592315673828,-0.030703934109579833,-0.023428667225399047
50,50,50,50,2019-04-17,118.04486083984376,123.8605499267578,122.49315643310548,-0.046953522250248514,-0.0363146458364878
51,51,51,51,2019-04-18,120.0007553100586,124.48365020751952,123.9557647705078,-0.036011917147253825,-0.03190661981531495
52,52,52,52,2019-04-22,119.00550079345705,124.18941497802734,124.21541595458984,-0.041741996976855766,-0.04194258112887872
53,53,53,53,2019-04-23,121.62774658203124,124.92506408691406,123.86920928955078,-0.02639436312467114,-0.018095398528620743
54,54,54,54,2019-04-24,123.0816879272461,124.32791900634766,124.59619140625,-0.010023742768813904,-0.012155295133105759
55,55,55,55,2019-04-25,123.21150970458984,120.48538970947266,124.30194854736328,0.022626145806480702,-0.00877249999309504
56,56,56,56,2019-04-26,124.03367614746094,118.04486083984376,123.8605499267578,0.05073338445239428,0.001397751106429812
57,57,57,57,2019-04-29,121.93064880371094,120.0007553100586,124.48365020751952,0.016082344554131156,-0.02050872865273967
58,58,58,58,2019-04-30,123.22881317138672,119.00550079345705,124.18941497802734,0.03548837952675443,-0.007734973281020685
59,59,59,59,2019-05-01,122.88265991210938,121.62774658203124,124.92506408691406,0.01031765666423623,-0.0163490344370264
60,60,60,60,2019-05-02,121.95661926269533,123.0816879272461,124.32791900634766,-0.009140829017682983,-0.019072946467729945
61,61,61,61,2019-05-03,123.15090942382812,123.21150970458984,120.48538970947266,-0.0004918394467124942,0.02212317792873364
62,62,62,62,2019-05-06,122.7787857055664,124.03367614746094,118.04486083984376,-0.010117336524014808,0.04010276120487233
63,63,63,63,2019-05-07,120.73633575439452,121.93064880371094,120.0007553100586,-0.009795019226372492,0.006129798453645696
64,64,64,64,2019-05-08,120.97002410888672,123.22881317138672,119.00550079345705,-0.018330039901938155,0.016507836212035665
65,65,65,65,2019-05-09,121.85277557373048,122.88265991210938,121.62774658203124,-0.00838103878216423,0.0018501452014278996
66,66,66,66,2019-05-10,123.52303314208984,121.95661926269533,123.0816879272461,0.012844025103881052,0.003585791048824616
67,67,67,67,2019-05-13,123.48846435546876,123.15090942382812,123.21150970458984,0.0027409861057454687,0.0022477985339433015
68,68,68,68,2019-05-14,124.4923324584961,122.7787857055664,124.03367614746094,0.013956374817380102,0.003697836952682776
69,69,69,69,2019-05-15,125.95491027832033,120.73633575439452,121.93064880371094,0.043222899645899426,0.03300451128647586
70,70,70,70,2019-05-16,126.76844024658205,120.97002410888672,123.22881317138672,0.04793266910880423,0.028724021469495264
71,71,71,71,2019-05-17,126.61266326904295,121.85277557373048,122.88265991210938,0.039062612016025566,0.030354187967622348
