,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,HCA,HCA_6m,HCA_12m,HCA_6m_ret,HCA_12m_ret
0,0,0,0,2019-02-05,133.44964599609375,,,,
1,1,1,1,2019-02-06,133.74575805664062,,,,
2,2,2,2,2019-02-07,134.3092498779297,,,,
3,3,3,3,2019-02-08,133.26817321777344,,,,
4,4,4,4,2019-02-11,132.43722534179688,,,,
5,5,5,5,2019-02-12,133.92721557617188,,,,
6,6,6,6,2019-02-13,134.56716918945312,133.44964599609375,,0.008374118829750143,
7,7,7,7,2019-02-14,135.83746337890625,133.74575805664062,,0.015639414308600275,
8,8,8,8,2019-02-15,137.785888671875,134.3092498779297,,0.025885326566153388,
9,9,9,9,2019-02-19,137.1459503173828,133.26817321777344,,0.029097548244116034,
10,10,10,10,2019-02-20,135.94253540039062,132.43722534179688,,0.026467709887059154,
11,11,11,11,2019-02-21,135.63687133789062,133.92721557617188,,0.012765558922162246,
12,12,12,12,2019-02-22,137.57577514648438,134.56716918945312,133.44964599609375,0.02235765213129759,0.03091899659674935
13,13,13,13,2019-02-25,136.8307647705078,135.83746337890625,133.74575805664062,0.007312425945638079,0.02306620231320311
14,14,14,14,2019-02-26,136.12399291992188,137.785888671875,134.3092498779297,-0.012061436537313175,0.013511675805214951
15,15,15,15,2019-02-27,132.58047485351562,137.1459503173828,133.26817321777344,-0.033289174440089386,-0.005160259555250679
16,16,16,16,2019-02-28,133.18394470214844,135.94253540039062,132.43722534179688,-0.020292329329575365,0.005638289071855818
17,17,17,17,2019-03-01,132.63796997070312,135.63687133789062,133.92721557617188,-0.02210977986742857,-0.009626464642920052
18,18,18,18,2019-03-04,130.3677978515625,137.57577514648438,134.56716918945312,-0.052392779813503876,-0.031206507227468316
19,19,19,19,2019-03-05,129.68768310546875,136.8307647705078,135.83746337890625,-0.05220376921096226,-0.04527307946176262
20,20,20,20,2019-03-06,123.30818176269533,136.12399291992188,137.785888671875,-0.09414806958216215,-0.10507394515309953
21,21,21,21,2019-03-07,121.5456771850586,132.58047485351562,137.1459503173828,-0.08323094091078698,-0.11374942604008431
22,22,22,22,2019-03-08,119.48622131347656,133.18394470214844,135.94253540039062,-0.10284815800662284,-0.12105345864298755
23,23,23,23,2019-03-11,120.58780670166016,132.63796997070312,135.63687133789062,-0.09085002787440577,-0.11095113362458153
24,24,24,24,2019-03-12,123.45186614990234,130.3677978515625,137.57577514648438,-0.053049386548161825,-0.10266276153300635
25,25,25,25,2019-03-13,125.3101806640625,129.68768310546875,136.8307647705078,-0.03375418803531438,-0.08419586140417767
26,26,26,26,2019-03-14,126.22013854980467,123.30818176269533,136.12399291992188,0.023615276338380786,-0.07275612592368907
27,27,27,27,2019-03-15,126.77571868896484,121.5456771850586,132.58047485351562,0.04302943243257662,-0.04378288862643076
28,28,28,28,2019-03-18,129.0746612548828,119.48622131347656,133.18394470214844,0.08024724387467752,-0.030854195349564018
29,29,29,29,2019-03-19,130.86587524414062,120.58780670166016,132.63796997070312,0.08523306645678441,-0.013360387881041325
30,30,30,30,2019-03-20,129.39073181152344,123.45186614990234,130.3677978515625,0.04810673055691028,-0.0074946885361334425
31,31,31,31,2019-03-21,131.1436767578125,125.3101806640625,129.68768310546875,0.04655245138771846,0.011226923154758373
32,32,32,32,2019-03-22,128.77767944335938,126.22013854980467,123.30818176269533,0.02026254227684543,0.04435632415041213
33,33,33,33,2019-03-25,127.07264709472656,126.77571868896484,121.5456771850586,0.0023421551763411763,0.045472369216824626
34,34,34,34,2019-03-26,124.28521728515624,129.0746612548828,119.48622131347656,-0.03710599681736837,0.040163593081492976
35,35,35,35,2019-03-27,123.26028442382812,130.86587524414062,120.58780670166016,-0.05811744892336268,0.02216208914703799
36,36,36,36,2019-03-28,123.24114227294922,129.39073181152344,123.45186614990234,-0.047527279987348736,-0.001706931482892693
37,37,37,37,2019-03-29,124.88870239257812,131.1436767578125,125.3101806640625,-0.047695584872045726,-0.003363479880491904
38,38,38,38,2019-04-01,126.42130279541016,128.77767944335938,126.22013854980467,-0.01829802072948228,0.001593757128749429
39,39,39,39,2019-04-02,125.14732360839844,127.07264709472656,126.77571868896484,-0.015151360503987021,-0.012844692165078997
40,40,40,40,2019-04-03,125.68375396728516,124.28521728515624,129.0746612548828,0.011252638991813058,-0.026270898212172433
41,41,41,41,2019-04-04,126.77571868896484,123.26028442382812,130.86587524414062,0.028520413380265897,-0.031254569210997674
42,42,42,42,2019-04-05,128.43284606933594,123.24114227294922,129.39073181152344,0.04212638491201548,-0.007403047565901377
43,43,43,43,2019-04-08,126.28720092773438,124.88870239257812,131.1436767578125,0.011197958729366686,-0.03703171933364924
