,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,T,T_6m,T_12m,T_6m_ret,T_12m_ret
77,77,77,77,2019-05-28,16.584266662597656,16.51674461364746,15.77920627593994,0.004088096687915321,0.05102033477344614
78,78,78,78,2019-05-29,16.573877334594727,16.719310760498047,15.903857231140137,-0.008698529980489922,0.042129408841942606
79,79,79,79,2019-05-30,16.54791259765625,16.83357810974121,15.825952529907228,-0.01696998167725572,0.045618743414318486
80,80,80,80,2019-05-31,15.88308334350586,16.766054153442383,16.147974014282227,-0.05266419885416107,-0.016403956963398802
81,81,81,81,2019-06-03,16.147974014282227,16.693334579467773,16.2310791015625,-0.03266936049172109,-0.00512012089647651
82,82,82,82,2019-06-04,16.350540161132812,16.7608585357666,16.423255920410156,-0.024480749226431064,-0.004427609216451134
83,83,83,83,2019-06-05,16.454416275024414,16.584266662597656,16.51674461364746,-0.007829733458525001,-0.003773645478028831
84,84,84,84,2019-06-06,16.672565460205078,16.573877334594727,16.719310760498047,0.005954438036316345,-0.002795886801949532
85,85,85,85,2019-06-07,16.875125885009766,16.54791259765625,16.83357810974121,0.019773689607223366,0.0024681487796414103
86,86,86,86,2019-06-10,16.584266662597656,15.88308334350586,16.766054153442383,0.044146549125708034,-0.010842592370334359
87,87,87,87,2019-06-11,16.677757263183594,16.147974014282227,16.693334579467773,0.032808032043697644,-0.0009331458738830456
88,88,88,88,2019-06-12,16.714113235473633,16.350540161132812,16.7608585357666,0.022236150656666176,-0.0027889561977518795
89,89,89,89,2019-06-13,16.771249771118164,16.454416275024414,16.584266662597656,0.01925522551502845,0.011274728773037035
90,90,90,90,2019-06-14,16.802412033081055,16.672565460205078,16.573877334594727,0.007788037970875017,0.01378884939671332
91,91,91,91,2019-06-17,16.776437759399414,16.875125885009766,16.54791259765625,-0.005848141595080847,0.013809908675462168
92,92,92,92,2019-06-18,16.84916114807129,16.584266662597656,15.88308334350586,0.015972637853867155,0.06082432382125802
93,93,93,93,2019-06-19,16.83357810974121,16.677757263183594,16.147974014282227,0.00934303360449995,0.0424575921940793
94,94,94,94,2019-06-20,16.901100158691406,16.714113235473633,16.350540161132812,0.011187367261633607,0.033672281902180856
95,95,95,95,2019-06-21,16.854351043701172,16.771249771118164,16.454416275024414,0.004954983899060128,0.02430561874648851
96,96,96,96,2019-06-24,16.921873092651367,16.802412033081055,16.672565460205078,0.007109756583466353,0.014953165608577068
97,97,97,97,2019-06-25,16.906291961669922,16.776437759399414,16.875125885009766,0.007740272645052615,0.0018468648395590925
98,98,98,98,2019-06-26,16.89590072631836,16.84916114807129,16.584266662597656,0.002774000309945457,0.018790946266169728
99,99,99,99,2019-06-27,17.129629135131836,16.83357810974121,16.677757263183594,0.017586933892522083,0.027094282811380044
100,100,100,100,2019-06-28,17.404909133911133,16.901100158691406,16.714113235473633,0.02980924143927055,0.04133009563267587
101,101,101,101,2019-07-01,17.363359451293945,16.854351043701172,16.771249771118164,0.03020041568334375,0.035305042155859834
102,102,102,102,2019-07-02,17.576309204101562,16.921873092651367,16.802412033081055,0.038673975857577814,0.04605869499550641
103,103,103,103,2019-07-03,17.64902687072754,16.906291961669922,16.776437759399414,0.04393245489558284,0.05201277671949378
104,104,104,104,2019-07-05,17.815229415893555,16.89590072631836,16.84916114807129,0.05441134535924319,0.05733628275807967
105,105,105,105,2019-07-08,17.789262771606445,17.129629135131836,16.83357810974121,0.03850834313287854,0.056772520710389074
106,106,106,106,2019-07-09,17.770843505859375,17.404909133911133,16.901100158691406,0.0210247792236542,0.05146075338301004
107,107,107,107,2019-07-10,17.88741111755371,17.363359451293945,16.854351043701172,0.03018146734390803,0.061293375886971146
108,108,108,108,2019-07-11,17.728458404541016,17.576309204101562,16.921873092651367,0.00865649316205408,0.047665250027192574
