,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,APH,APH_6m,APH_12m,APH_6m_ret,APH_12m_ret
0,0,0,0,2019-02-05,42.70698547363281,,,,
1,1,1,1,2019-02-06,42.70222091674805,,,,
2,2,2,2,2019-02-07,42.72600936889648,,,,
3,3,3,3,2019-02-08,42.92094039916992,,,,
4,4,4,4,2019-02-11,42.830596923828125,,,,
5,5,5,5,2019-02-12,43.5438117980957,,,,
6,6,6,6,2019-02-13,43.676944732666016,42.70698547363281,,0.02271195796837633,
7,7,7,7,2019-02-14,43.33936309814453,42.70222091674805,,0.014920586510913658,
8,8,8,8,2019-02-15,44.07159423828125,42.72600936889648,,0.03149334303063478,
9,9,9,9,2019-02-19,43.96699142456055,42.92094039916992,,0.024371577501849373,
10,10,10,10,2019-02-20,44.44721221923828,42.830596923828125,,0.03774440263546208,
11,11,11,11,2019-02-21,44.37589645385742,43.5438117980957,,0.019109136784348113,
12,12,12,12,2019-02-22,44.85611724853516,43.676944732666016,42.70698547363281,0.02699759617085218,0.05032272240870794
13,13,13,13,2019-02-25,45.23174285888672,43.33936309814453,42.70222091674805,0.043664226362920555,0.05923630874071417
14,14,14,14,2019-02-26,44.7943115234375,44.07159423828125,42.72600936889648,0.016398709818590707,0.04840850304280231
15,15,15,15,2019-02-27,44.78955459594727,43.96699142456055,42.92094039916992,0.01870865266726507,0.0435361895475499
16,16,16,16,2019-02-28,44.68020248413086,44.44721221923828,42.830596923828125,0.005241954517717362,0.043184211595093114
17,17,17,17,2019-03-01,45.22223663330078,44.37589645385742,43.5438117980957,0.01907206945832396,0.038545657026711755
18,18,18,18,2019-03-04,44.91793441772461,44.85611724853516,43.676944732666016,0.0013781212682082433,0.028412923400533918
19,19,19,19,2019-03-05,45.060577392578125,45.23174285888672,43.33936309814453,-0.0037841890559598967,0.039714803619421035
20,20,20,20,2019-03-06,44.71823120117188,44.7943115234375,44.07159423828125,-0.0016984371380684982,0.014672420502749972
21,21,21,21,2019-03-07,44.3996696472168,44.78955459594727,43.96699142456055,-0.00870481861781569,0.0098409786213971
22,22,22,22,2019-03-08,44.15242767333984,44.68020248413086,44.44721221923828,-0.01181227437316279,-0.006632239260460304
23,23,23,23,2019-03-11,44.68020248413086,45.22223663330078,44.37589645385742,-0.011986009306996115,0.0068574621492967225
24,24,24,24,2019-03-12,44.694454193115234,44.91793441772461,44.85611724853516,-0.00497530056772133,-0.0036040358670412775
25,25,25,25,2019-03-13,44.90366744995117,45.060577392578125,45.23174285888672,-0.003482200000677227,-0.007253211753504019
26,26,26,26,2019-03-14,44.84661102294922,44.71823120117188,44.7943115234375,0.002870860906814432,0.0011675477919634858
27,27,27,27,2019-03-15,45.36963653564453,44.3996696472168,44.78955459594727,0.021846263635174168,0.012951277254937166
28,28,28,28,2019-03-18,45.4840202331543,44.15242767333984,44.68020248413086,0.03015898853096366,0.01799046791045611
29,29,29,29,2019-03-19,45.61748504638672,44.68020248413086,45.22223663330078,0.02097758090037205,0.008740134113465858
30,30,30,30,2019-03-20,45.37915802001953,44.694454193115234,44.91793441772461,0.01531965965947002,0.010268139180347635
31,31,31,31,2019-03-21,46.022605895996094,44.90366744995117,45.060577392578125,0.024918642720932915,0.021349671022556027
