,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,SWKS,SWKS_6m,SWKS_12m,SWKS_6m_ret,SWKS_12m_ret
40,40,40,40,2019-04-03,77.97148132324219,75.01192474365234,75.44123840332031,0.03945448126686402,0.0335392548355955
41,41,41,41,2019-04-04,78.10851287841797,73.6143569946289,76.19941711425781,0.061049991703615136,0.02505394183393217
42,42,42,42,2019-04-05,79.28684997558594,73.56867980957031,74.67393493652344,0.07772560525507433,0.061774098860381654
43,43,43,43,2019-04-08,80.06327056884766,75.34075927734375,78.6200180053711,0.06268202413675494,0.018357316623585085
44,44,44,44,2019-04-09,79.53346252441406,76.6012954711914,75.44123840332031,0.03827829588502718,0.054243861947441685
45,45,45,45,2019-04-10,80.42864990234375,76.87535095214844,74.39990997314453,0.04622156394976451,0.08103154871256368
46,46,46,46,2019-04-11,80.6021957397461,77.97148132324219,75.01192474365234,0.03373944385637473,0.07452509737882451
47,47,47,47,2019-04-12,82.83100128173828,78.10851287841797,73.6143569946289,0.060460610876963417,0.12520172237301264
48,48,48,48,2019-04-15,82.46560668945312,79.28684997558594,73.56867980957031,0.040091852745392176,0.12093362152089937
49,49,49,49,2019-04-16,85.46172332763672,80.06327056884766,75.34075927734375,0.06742733241389187,0.13433583822849138
50,50,50,50,2019-04-17,83.28773498535156,79.53346252441406,76.6012954711914,0.04720368435845557,0.08728885684021925
51,51,51,51,2019-04-18,82.20985412597656,80.42864990234375,76.87535095214844,0.022146389698142865,0.0693915944155965
52,52,52,52,2019-04-22,80.62959289550781,80.6021957397461,77.97148132324219,0.000339905824032094,0.03409081791387325
53,53,53,53,2019-04-23,81.51564025878906,82.83100128173828,78.10851287841797,-0.015880057014827087,0.043620435914258904
54,54,54,54,2019-04-24,82.11849975585938,82.46560668945312,79.28684997558594,-0.004209111501487839,0.03571399016539778
55,55,55,55,2019-04-25,80.86709594726562,85.46172332763672,80.06327056884766,-0.05376240030588386,0.010039876871214659
56,56,56,56,2019-04-26,79.48780059814453,83.28773498535156,79.53346252441406,-0.04562417729183477,-0.0005741221973771804
57,57,57,57,2019-04-29,79.28684997558594,82.20985412597656,80.42864990234375,-0.03555539882009129,-0.014196432840090978
58,58,58,58,2019-04-30,80.5473861694336,80.62959289550781,80.6021957397461,-0.0010195602274807314,-0.000680000957907767
59,59,59,59,2019-05-01,80.82142639160156,81.51564025878906,82.83100128173828,-0.008516327234670107,-0.024261144487453756
60,60,60,60,2019-05-02,82.93148040771484,82.11849975585938,82.46560668945312,0.009900091383457932,0.00564930929346219
61,61,61,61,2019-05-03,80.01758575439453,80.86709594726562,85.46172332763672,-0.010505016693378888,-0.06370264208657317
62,62,62,62,2019-05-06,79.03107452392578,79.48780059814453,83.28773498535156,-0.005745863777609772,-0.051107890761760255
63,63,63,63,2019-05-07,76.31816101074219,79.28684997558594,82.20985412597656,-0.03744238755553875,-0.07166650735331648
64,64,64,64,2019-05-08,76.78399658203125,80.5473861694336,80.62959289550781,-0.04672267799585639,-0.047694601639131085
65,65,65,65,2019-05-09,76.40037536621094,80.82142639160156,81.51564025878906,-0.05470147240373413,-0.06275194399919581
