,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,TRGP,TRGP_6m,TRGP_12m,TRGP_6m_ret,TRGP_12m_ret
0,0,0,0,2019-02-05,36.91455078125,,,,
1,1,1,1,2019-02-06,36.81370162963867,,,,
2,2,2,2,2019-02-07,35.905967712402344,,,,
3,3,3,3,2019-02-08,35.86394119262695,,,,
4,4,4,4,2019-02-11,35.721065521240234,,,,
5,5,5,5,2019-02-12,36.67082214355469,,,,
6,6,6,6,2019-02-13,37.33480453491211,36.91455078125,,0.011384501362415866,
7,7,7,7,2019-02-14,37.906341552734375,36.81370162963867,,0.029680251502229194,
8,8,8,8,2019-02-15,38.25094985961914,35.905967712402344,,0.0653089805572018,
9,9,9,9,2019-02-19,40.25132751464844,35.86394119262695,,0.1223341935136637,
10,10,10,10,2019-02-20,37.72984313964844,35.721065521240234,,0.0562350979484012,
11,11,11,11,2019-02-21,35.32602310180664,36.67082214355469,,-0.03667218140034012,
12,12,12,12,2019-02-22,35.199954986572266,37.33480453491211,36.91455078125,-0.057181216694024095,-0.046447694970966014
13,13,13,13,2019-02-25,34.76289749145508,37.906341552734375,36.81370162963867,-0.08292660099910232,-0.05570763187075145
14,14,14,14,2019-02-26,33.897186279296875,38.25094985961914,35.905967712402344,-0.11382105794236652,-0.05594561464532288
15,15,15,15,2019-02-27,34.283809661865234,40.25132751464844,35.86394119262695,-0.1482564233592415,-0.044059059830450775
16,16,16,16,2019-02-28,33.8215446472168,37.72984313964844,35.721065521240234,-0.10358639652876267,-0.05317648973527833
17,17,17,17,2019-03-01,35.065467834472656,35.32602310180664,36.67082214355469,-0.007375731669061247,-0.04377742889967329
18,18,18,18,2019-03-04,34.93939971923828,35.199954986572266,37.33480453491211,-0.007402147742330278,-0.06416010062229904
19,19,19,19,2019-03-05,34.611610412597656,34.76289749145508,37.906341552734375,-0.0043519697658864764,-0.086917676704653
20,20,20,20,2019-03-06,33.85515594482422,33.897186279296875,38.25094985961914,-0.0012399357907274533,-0.11491986292961276
21,21,21,21,2019-03-07,33.695465087890625,34.283809661865234,40.25132751464844,-0.017161003394235985,-0.16287319776899223
22,22,22,22,2019-03-08,33.11552429199219,33.8215446472168,37.72984313964844,-0.02087487022218859,-0.1222989141666293
23,23,23,23,2019-03-11,33.90557861328125,35.065467834472656,35.32602310180664,-0.03307781965626955,-0.04020957820334847
24,24,24,24,2019-03-12,34.124107360839844,34.93939971923828,35.199954986572266,-0.023334469537252045,-0.03056389208857868
25,25,25,25,2019-03-13,34.2754020690918,34.611610412597656,34.76289749145508,-0.00971374459315788,-0.014023440436261358
26,26,26,26,2019-03-14,34.1073112487793,33.85515594482422,33.897186279296875,0.0074480621021515425,0.006198891192652045
27,27,27,27,2019-03-15,33.6534423828125,33.695465087890625,34.283809661865234,-0.001247132365394421,-0.018386733716874715
28,28,28,28,2019-03-18,34.250186920166016,33.11552429199219,33.8215446472168,0.03426376759640215,0.012673645672315326
29,29,29,29,2019-03-19,34.13252258300781,33.90557861328125,35.065467834472656,0.006693410907834041,-0.026605812187330047
30,30,30,30,2019-03-20,34.94780731201172,34.124107360839844,34.93939971923828,0.02413835891622873,0.0002406335781666158
31,31,31,31,2019-03-21,35.30922317504883,34.2754020690918,34.611610412597656,0.030162187561595166,0.02015545518209283
32,32,32,32,2019-03-22,34.23338317871094,34.1073112487793,33.85515594482422,0.003696331528805441,0.011171924137733713
33,33,33,33,2019-03-25,34.065284729003906,33.6534423828125,33.695465087890625,0.012237747969632506,0.010975353512665542
34,34,34,34,2019-03-26,34.44350814819336,34.250186920166016,33.11552429199219,0.005644384612497388,0.04010155009148675
35,35,35,35,2019-03-27,34.2754020690918,34.13252258300781,33.90557861328125,0.004186021872145895,0.010907451544439395
36,36,36,36,2019-03-28,34.45191192626953,34.94780731201172,34.124107360839844,-0.014189599402184672,0.009606245870796615
37,37,37,37,2019-03-29,34.92259979248047,35.30922317504883,34.2754020690918,-0.010949642835574092,0.018882279545082037
38,38,38,38,2019-04-01,35.62019729614258,34.23338317871094,34.1073112487793,0.04051057735637631,0.044356649409514226
39,39,39,39,2019-04-02,35.51093673706055,34.065284729003906,33.6534423828125,0.042437690439316444,0.05519478016895851
40,40,40,40,2019-04-03,34.09890365600586,34.44350814819336,34.250186920166016,-0.010004918509021743,-0.0044170055046059975
41,41,41,41,2019-04-04,33.838348388671875,34.2754020690918,34.13252258300781,-0.012751234239030018,-0.008618589312305525
42,42,42,42,2019-04-05,34.283809661865234,34.45191192626953,34.94780731201172,-0.0048793304930087045,-0.018999694150146684
43,43,43,43,2019-04-08,33.897186279296875,34.92259979248047,35.30922317504883,-0.02936246210983373,-0.039990596472532
44,44,44,44,2019-04-09,33.611419677734375,35.62019729614258,34.23338317871094,-0.056394342841715295,-0.01816833287349029
45,45,45,45,2019-04-10,33.031471252441406,35.51093673706055,34.065284729003906,-0.06982258741801872,-0.03034800632922019
46,46,46,46,2019-04-11,33.107120513916016,34.09890365600586,34.44350814819336,-0.029085484744468038,-0.03879940534882598
47,47,47,47,2019-04-12,33.7122688293457,33.838348388671875,34.2754020690918,-0.003725937149118619,-0.01642966109080035
48,48,48,48,2019-04-15,33.5861930847168,34.283809661865234,34.45191192626953,-0.02034828054492477,-0.025128325052190315
49,49,49,49,2019-04-16,33.29202651977539,33.897186279296875,34.92259979248047,-0.017852802133346724,-0.046691062016985696
50,50,50,50,2019-04-17,33.09030532836914,33.611419677734375,35.62019729614258,-0.0155040862409761,-0.07102408632777024
51,51,51,51,2019-04-18,33.065086364746094,33.031471252441406,35.51093673706055,0.0010176692417902533,-0.06887597447582594
52,52,52,52,2019-04-22,34.43510055541992,33.107120513916016,34.09890365600586,0.04011161408452035,0.009859463600520924
53,53,53,53,2019-04-23,34.384674072265625,33.7122688293457,33.838348388671875,0.01994541649877357,0.01614516398136745
54,54,54,54,2019-04-24,34.191368103027344,33.5861930847168,34.283809661865234,0.018018565449917867,-0.0026963619197990507
55,55,55,55,2019-04-25,33.813133239746094,33.29202651977539,33.897186279296875,0.015652598367995596,-0.0024796465068877005
56,56,56,56,2019-04-26,34.14093017578125,33.09030532836914,33.611419677734375,0.031750231283341535,0.01575388671837752
57,57,57,57,2019-04-29,34.93098068237305,33.065086364746094,33.031471252441406,0.05643095248698238,0.057506049773403456
58,58,58,58,2019-04-30,34.5013427734375,34.43510055541992,33.107120513916016,0.0019236830138180672,0.04211245912900963
59,59,59,59,2019-05-01,34.26072692871094,34.384674072265625,33.7122688293457,-0.003604720617510826,0.016268798227184744
60,60,60,60,2019-05-02,33.805294036865234,34.191368103027344,33.5861930847168,-0.011291565315513785,0.006523542325734377
61,61,61,61,2019-05-03,34.26072692871094,33.813133239746094,33.29202651977539,0.013237273392893156,0.02909706948479518
62,62,62,62,2019-05-06,34.32947540283203,34.14093017578125,33.09030532836914,0.005522556827831648,0.03744813056773211
63,63,63,63,2019-05-07,35.05988693237305,34.93098068237305,33.065086364746094,0.003690312939454543,0.06032951330058545
64,64,64,64,2019-05-08,33.891231536865234,34.5013427734375,34.43510055541992,-0.017683695402197164,-0.015794030212845867
65,65,65,65,2019-05-09,33.126441955566406,34.26072692871094,34.384674072265625,-0.03310744035013413,-0.03659281789482183
66,66,66,66,2019-05-10,34.741947174072266,33.805294036865234,34.191368103027344,0.027707291532077738,0.016102867524513398
67,67,67,67,2019-05-13,34.75053024291992,34.26072692871094,33.813133239746094,0.014296349147178367,0.027722867222252923
68,68,68,68,2019-05-14,35.437984466552734,34.32947540283203,34.14093017578125,0.03229030012003209,0.037991181965264076
69,69,69,69,2019-05-15,36.03950500488281,35.05988693237305,34.93098068237305,0.02794127871545471,0.03173470371729792
70,70,70,70,2019-05-16,36.314483642578125,33.891231536865234,34.5013427734375,0.07150085717826449,0.05255276239673079
71,71,71,71,2019-05-17,36.23714447021485,33.126441955566406,34.26072692871094,0.09390391273596288,0.05768755419627869
72,72,72,72,2019-05-20,35.44658279418945,34.741947174072266,33.805294036865234,0.020281984097973993,0.04855123447630327
73,73,73,73,2019-05-21,36.23714447021485,34.75053024291992,34.26072692871094,0.042779612768579556,0.05768755419627869
