,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,BXP,BXP_6m,BXP_12m,BXP_6m_ret,BXP_12m_ret
0,0,0,0,2019-02-05,105.86849975585938,,,,
1,1,1,1,2019-02-06,105.50773620605467,,,,
2,2,2,2,2019-02-07,106.3175048828125,,,,
3,3,3,3,2019-02-08,106.1491241455078,,,,
4,4,4,4,2019-02-11,106.88672637939452,,,,
5,5,5,5,2019-02-12,106.3816146850586,,,,
6,6,6,6,2019-02-13,107.19940185546876,105.86849975585938,,0.0125712757116474,
7,7,7,7,2019-02-14,106.71835327148438,105.50773620605467,,0.011474201882839985,
8,8,8,8,2019-02-15,107.12721252441406,106.3175048828125,,0.007615939092006085,
9,9,9,9,2019-02-19,107.9209442138672,106.1491241455078,,0.01669180111114832,
10,10,10,10,2019-02-20,107.3276596069336,106.88672637939452,,0.004125238394653286,
11,11,11,11,2019-02-21,107.880859375,106.3816146850586,,0.014093080786373724,
12,12,12,12,2019-02-22,108.77078247070312,107.19940185546876,105.86849975585938,0.014658483051547044,0.027414034595149905
13,13,13,13,2019-02-25,108.01714324951172,106.71835327148438,105.50773620605467,0.012170258800033196,0.023784104689311247
14,14,14,14,2019-02-26,107.43990325927734,107.12721252441406,106.3175048828125,0.0029188730621738657,0.010557042113638726
15,15,15,15,2019-02-27,106.1491241455078,107.9209442138672,106.1491241455078,-0.016417759140877952,0.0
16,16,16,16,2019-02-28,106.3816146850586,107.3276596069336,106.88672637939452,-0.008814549067218125,-0.004725672788808533
17,17,17,17,2019-03-01,105.69213104248048,107.880859375,106.3816146850586,-0.020288384289852357,-0.006481229342300554
18,18,18,18,2019-03-04,106.06896209716795,108.77078247070312,107.19940185546876,-0.024839578351501634,-0.010545205838227711
19,19,19,19,2019-03-05,106.8626708984375,108.01714324951172,106.71835327148438,-0.01068786228133689,0.0013523224687135293
20,20,20,20,2019-03-06,106.2292938232422,107.43990325927734,107.12721252441406,-0.011267782260690029,-0.008381798424627385
21,21,21,21,2019-03-07,106.19723510742188,106.1491241455078,107.9209442138672,0.00045323936774188667,-0.01597196094790876
22,22,22,22,2019-03-08,106.17317199707033,106.3816146850586,107.3276596069336,-0.001959386390264495,-0.010756664350003997
23,23,23,23,2019-03-11,106.7905044555664,105.69213104248048,107.880859375,0.01039219667776825,-0.010107028491898262
24,24,24,24,2019-03-12,108.23360443115234,106.06896209716795,108.77078247070312,0.020407877018739917,-0.004938624392956559
25,25,25,25,2019-03-13,108.26568603515624,106.8626708984375,108.01714324951172,0.013129141588199333,0.002300956849695668
26,26,26,26,2019-03-14,108.45008850097656,106.2292938232422,107.43990325927734,0.0209056710988742,0.00940232828822829
27,27,27,27,2019-03-15,106.42169952392578,106.19723510742188,106.1491241455078,0.002113655937245884,0.0025678532970685453
28,28,28,28,2019-03-18,106.54196166992188,106.17317199707033,106.3816146850586,0.003473473250490411,0.0015072809840119827
29,29,29,29,2019-03-19,106.02084350585938,106.7905044555664,105.69213104248048,-0.00720720398907071,0.00311009400734652
30,30,30,30,2019-03-20,105.740234375,108.23360443115234,106.06896209716795,-0.02303693080588831,-0.003099188637924244
31,31,31,31,2019-03-21,106.55801391601562,108.26568603515624,106.8626708984375,-0.01577297647738629,-0.0028509205306258556
32,32,32,32,2019-03-22,105.43556213378906,108.45008850097656,106.2292938232422,-0.02779643990018832,-0.007471872031587168
33,33,33,33,2019-03-25,105.11490631103516,106.42169952392578,106.19723510742188,-0.012279386804914028,-0.010191685266494055
34,34,34,34,2019-03-26,106.44576263427734,106.54196166992188,106.17317199707033,-0.0009029215732160312,0.002567415403342599
