,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,JCI,JCI_6m,JCI_12m,JCI_6m_ret,JCI_12m_ret
0,0,0,0,2019-02-05,30.16546058654785,,,,
1,1,1,1,2019-02-06,30.236352920532227,,,,
2,2,2,2,2019-02-07,30.03253936767578,,,,
3,3,3,3,2019-02-08,30.130016326904297,,,,
4,4,4,4,2019-02-11,30.192045211791992,,,,
5,5,5,5,2019-02-12,30.67058181762696,,,,
6,6,6,6,2019-02-13,30.865541458129883,30.16546058654785,,0.023208028585322893,
7,7,7,7,2019-02-14,30.706031799316406,30.236352920532227,,0.015533582374124277,
8,8,8,8,2019-02-15,31.10480690002441,30.03253936767578,,0.03570352540693644,
9,9,9,9,2019-02-19,30.936437606811523,30.130016326904297,,0.026764714335290263,
10,10,10,10,2019-02-20,31.39724349975586,30.192045211791992,,0.03991774255468972,
11,11,11,11,2019-02-21,31.539033889770508,30.67058181762696,,0.028315474330012025,
12,12,12,12,2019-02-22,31.698543548583984,30.865541458129883,30.16546058654785,0.026988092581628376,0.050822461591049084
13,13,13,13,2019-02-25,31.751718521118164,30.706031799316406,30.236352920532227,0.034054765807447485,0.05011734069147322
14,14,14,14,2019-02-26,31.530176162719727,31.10480690002441,30.03253936767578,0.0136753545541215,0.0498671383298297
15,15,15,15,2019-02-27,31.4681396484375,30.936437606811523,30.130016326904297,0.01718691881669354,0.044411636124416454
16,16,16,16,2019-02-28,31.25545692443848,31.39724349975586,30.192045211791992,-0.004515892464205695,0.035221585857693194
17,17,17,17,2019-03-01,31.273178100585938,31.539033889770508,30.67058181762696,-0.00842942082860687,0.019647370452315682
18,18,18,18,2019-03-04,31.29090690612793,31.698543548583984,30.865541458129883,-0.012859790918509417,0.013781240435229991
19,19,19,19,2019-03-05,31.220014572143555,31.751718521118164,30.706031799316406,-0.01674567468280408,0.016738821095032996
20,20,20,20,2019-03-06,31.157978057861328,31.530176162719727,31.10480690002441,-0.011804504451150999,0.0017094193192652707
21,21,21,21,2019-03-07,31.60992813110352,31.4681396484375,30.936437606811523,0.004505778995837817,0.0217701382703388
22,22,22,22,2019-03-08,31.796022415161133,31.25545692443848,31.39724349975586,0.017295075609660593,0.01270108044384144
23,23,23,23,2019-03-11,32.02643203735352,31.273178100585938,31.539033889770508,0.024086261215436666,0.015453807154857113
24,24,24,24,2019-03-12,31.982128143310547,31.29090690612793,31.698543548583984,0.02209016310253542,0.008946297305171713
25,25,25,25,2019-03-13,32.141639709472656,31.220014572143555,31.751718521118164,0.02952033014588773,0.01228031761793158
26,26,26,26,2019-03-14,31.911226272583008,31.157978057861328,31.530176162719727,0.024175131432562003,0.012085251534808217
