,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,JBHT,JBHT_6m,JBHT_12m,JBHT_6m_ret,JBHT_12m_ret
0,0,0,0,2019-02-05,104.77057647705078,,,,
1,1,1,1,2019-02-06,103.92872619628906,,,,
2,2,2,2,2019-02-07,104.39859771728516,,,,
3,3,3,3,2019-02-08,104.79175567626952,,,,
4,4,4,4,2019-02-11,105.12738800048828,,,,
5,5,5,5,2019-02-12,106.91099548339844,,,,
6,6,6,6,2019-02-13,106.50826263427734,104.77057647705078,,0.016585631344762097,
7,7,7,7,2019-02-14,107.50553131103516,103.92872619628906,,0.03441594297990935,
8,8,8,8,2019-02-15,108.92473602294922,104.39859771728516,,0.04335439751711023,
9,9,9,9,2019-02-19,109.13572692871094,104.79175567626952,,0.04145336839150926,
10,10,10,10,2019-02-20,109.11653137207033,105.12738800048828,,0.037945805060461746,
11,11,11,11,2019-02-21,106.87264251708984,106.91099548339844,,-0.0003587373416099604,
12,12,12,12,2019-02-22,104.62875366210938,106.50826263427734,104.77057647705078,-0.017646602485872243,-0.0013536511844284282
13,13,13,13,2019-02-25,102.97938537597656,107.50553131103516,103.92872619628906,-0.042101516823013885,-0.0091345372454531
14,14,14,14,2019-02-26,103.56434631347656,108.92473602294922,104.39859771728516,-0.04921186780148157,-0.00799102116359618
15,15,15,15,2019-02-27,102.614990234375,109.13572692871094,104.79175567626952,-0.05974887305781529,-0.020772296712149196
16,16,16,16,2019-02-28,103.24787902832033,109.11653137207033,105.12738800048828,-0.053783347673862614,-0.01787839503973243
17,17,17,17,2019-03-01,102.81637573242188,106.87264251708984,106.91099548339844,-0.03795421062990312,-0.03829933237888883
18,18,18,18,2019-03-04,101.7327651977539,104.62875366210938,106.50826263427734,-0.027678705546926863,-0.044836872918688875
19,19,19,19,2019-03-05,98.6258544921875,102.97938537597656,107.50553131103516,-0.04227575128647709,-0.08259739485549789
20,20,20,20,2019-03-06,98.99983215332033,103.56434631347656,108.92473602294922,-0.04407418501286153,-0.09111707984803219
