,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,LIN,LIN_6m,LIN_12m,LIN_6m_ret,LIN_12m_ret
0,0,0,0,2019-02-05,152.406005859375,,,,
1,1,1,1,2019-02-06,150.9557342529297,,,,
2,2,2,2,2019-02-07,148.4339141845703,,,,
3,3,3,3,2019-02-08,148.9235076904297,,,,
4,4,4,4,2019-02-11,149.04360961914062,,,,
5,5,5,5,2019-02-12,154.75225830078125,,,,
6,6,6,6,2019-02-13,154.61370849609375,152.406005859375,,0.01448566691496267,
7,7,7,7,2019-02-14,153.80079650878906,150.9557342529297,,0.01884699690236613,
8,8,8,8,2019-02-15,155.6852264404297,148.4339141845703,,0.048852125848023675,
9,9,9,9,2019-02-19,155.05706787109375,148.9235076904297,,0.041185977121986905,
10,10,10,10,2019-02-20,157.3109893798828,149.04360961914062,,0.05546953527137655,
11,11,11,11,2019-02-21,158.3270721435547,154.75225830078125,,0.02310023699832109,
12,12,12,12,2019-02-22,160.26690673828125,154.61370849609375,152.406005859375,0.03656337007355548,0.05157868178869207
13,13,13,13,2019-02-25,161.30148315429688,153.80079650878906,150.9557342529297,0.04876884135693782,0.06853498446129014
14,14,14,14,2019-02-26,160.6456298828125,155.6852264404297,148.4339141845703,0.03186174793714813,0.08227038790513541
15,15,15,15,2019-02-27,161.1906280517578,155.05706787109375,148.9235076904297,0.039556791991985696,0.08237195424397359
16,16,16,16,2019-02-28,160.02674865722656,157.3109893798828,149.04360961914062,0.017263633570987258,0.0736907745736417
17,17,17,17,2019-03-01,155.5374298095703,158.3270721435547,154.75225830078125,-0.017619490439733654,0.0050737321536398206
18,18,18,18,2019-03-04,155.83299255371094,160.26690673828125,154.61370849609375,-0.02766581245503774,0.007886002279338555
19,19,19,19,2019-03-05,155.59286499023438,161.30148315429688,153.80079650878906,-0.03539098371836902,0.011651880368141576
20,20,20,20,2019-03-06,156.23020935058594,160.6456298828125,155.6852264404297,-0.027485469324297962,0.0035005435173052213
21,21,21,21,2019-03-07,155.50132751464844,161.1906280517578,155.05706787109375,-0.03529547968063351,0.0028651363633680482
22,22,22,22,2019-03-08,157.34910583496094,160.02674865722656,157.3109893798828,-0.01673247031970304,0.00024230001494740527
23,23,23,23,2019-03-11,159.03903198242188,155.5374298095703,158.3270721435547,0.022512922948120462,0.0044967662777319894
24,24,24,24,2019-03-12,160.00469970703125,155.83299255371094,160.26690673828125,0.026770371825353134,-0.0016360647159565644
25,25,25,25,2019-03-13,161.92677307128906,155.59286499023438,161.30148315429688,0.0407082168032078,0.0038765292467524137
26,26,26,26,2019-03-14,161.75961303710938,156.23020935058594,160.6456298828125,0.035392666434410636,0.006934413062524625
27,27,27,27,2019-03-15,163.8209686279297,155.50132751464844,161.1906280517578,0.05350205844704137,0.016318197949618307
28,28,28,28,2019-03-18,162.07533264160156,157.34910583496094,160.02674865722656,0.030036566026614864,0.012801509757365714
29,29,29,29,2019-03-19,161.17466735839844,159.03903198242188,155.5374298095703,0.01342837257845364,0.036243607443751547
30,30,30,30,2019-03-20,164.00668334960938,160.00469970703125,155.83299255371094,0.02501166309430758,0.05245160644066571
31,31,31,31,2019-03-21,162.58599853515625,161.92677307128906,155.59286499023438,0.004071133212646405,0.044945078589309295
32,32,32,32,2019-03-22,157.7205047607422,161.75961303710938,156.23020935058594,-0.02496981910707574,0.009539098848750704
33,33,33,33,2019-03-25,157.85052490234375,163.8209686279297,155.50132751464844,-0.03644492994755766,0.01510724972733124
34,34,34,34,2019-03-26,158.76048278808594,162.07533264160156,157.34910583496094,-0.020452525375010522,0.008969717022766943
35,35,35,35,2019-03-27,157.36766052246094,161.17466735839844,159.03903198242188,-0.023620379668425118,-0.010509190348603648
36,36,36,36,2019-03-28,161.28604125976562,164.00668334960938,160.00469970703125,-0.016588605014615232,0.008008149479862281
37,37,37,37,2019-03-29,163.35665893554688,162.58599853515625,161.92677307128906,0.004740017020739895,0.008830447474107883
38,38,38,38,2019-04-01,163.96026611328125,157.7205047607422,161.75961303710938,0.03956214419935189,0.013604465508130437
39,39,39,39,2019-04-02,165.2973175048828,157.85052490234375,163.8209686279297,0.0471762295826772,0.009011965252788912
40,40,40,40,2019-04-03,169.68002319335938,158.76048278808594,162.07533264160156,0.0687799647211258,0.046920715372364086
41,41,41,41,2019-04-04,170.757080078125,157.36766052246094,161.17466735839844,0.08508367927191118,0.05945359079549695
42,42,42,42,2019-04-05,171.4256591796875,161.28604125976562,164.00668334960938,0.0628672998650337,0.04523581404462185
43,43,43,43,2019-04-08,171.62991333007812,163.35665893554688,162.58599853515625,0.050645345273592435,0.055625422092950405
44,44,44,44,2019-04-09,169.82859802246094,163.96026611328125,157.7205047607422,0.03579118312192309,0.07676930326900999
45,45,45,45,2019-04-10,168.08297729492188,165.2973175048828,157.85052490234375,0.016852419821977938,0.06482368303120034
46,46,46,46,2019-04-11,166.99656677246094,169.68002319335938,158.76048278808594,-0.01581480465641205,0.05187741835837412
47,47,47,47,2019-04-12,167.46084594726562,170.757080078125,157.36766052246094,-0.019303645443874307,0.0641376086503116
48,48,48,48,2019-04-15,167.26580810546875,171.4256591796875,161.28604125976562,-0.024266210170196367,0.03707553858347956
49,49,49,49,2019-04-16,167.7115020751953,171.62991333007812,163.35665893554688,-0.02283058459248266,0.02665849784162555
50,50,50,50,2019-04-17,167.05227661132812,169.82859802246094,163.96026611328125,-0.0163477850224355,0.018858291532111604
51,51,51,51,2019-04-18,167.5072479248047,168.08297729492188,165.2973175048828,-0.003425268753462163,0.01336942700147925
52,52,52,52,2019-04-22,166.11444091796875,166.99656677246094,169.68002319335938,-0.005282299340285901,-0.02101356546449462
53,53,53,53,2019-04-23,166.51373291015625,167.46084594726562,170.757080078125,-0.005655728249501557,-0.024850197520520534
54,54,54,54,2019-04-24,164.9259033203125,167.26580810546875,171.4256591796875,-0.013989139870599465,-0.0379158866325956
55,55,55,55,2019-04-25,163.6816864013672,167.7115020751953,171.62991333007812,-0.024028260578223826,-0.04631026593496512
56,56,56,56,2019-04-26,165.52020263671875,167.05227661132812,169.82859802246094,-0.009171224754835117,-0.025369080566586155
57,57,57,57,2019-04-29,164.44309997558594,167.5072479248047,168.08297729492188,-0.018292629048471176,-0.021655240631234918
58,58,58,58,2019-04-30,167.3772430419922,166.11444091796875,166.99656677246094,0.007602000867865888,0.0022795454834105833
59,59,59,59,2019-05-01,165.54803466796875,166.51373291015625,167.46084594726562,-0.005799511099234933,-0.011422438889979292
60,60,60,60,2019-05-02,167.59083557128906,164.9259033203125,167.26580810546875,0.016158360799157334,0.0019431793592590285
61,61,61,61,2019-05-03,168.0272216796875,163.6816864013672,167.7115020751953,0.026548695665711497,0.0018825161100197718
62,62,62,62,2019-05-06,165.86373901367188,165.52020263671875,167.05227661132812,0.0020754951448864745,-0.007114764442400001
63,63,63,63,2019-05-07,162.0939178466797,164.44309997558594,167.5072479248047,-0.014285683797343962,-0.03231699013140665
64,64,64,64,2019-05-08,163.923095703125,167.3772430419922,166.11444091796875,-0.020636899473846615,-0.013191780333691061
65,65,65,65,2019-05-09,160.9611053466797,165.54803466796875,166.51373291015625,-0.027707543194268824,-0.033346364089216096
66,66,66,66,2019-05-10,168.61221313476562,167.59083557128906,164.9259033203125,0.00609447145480746,0.022351308922611945
67,67,67,67,2019-05-13,167.76722717285156,168.0272216796875,163.6816864013672,-0.0015473356295301333,0.02496028029346009
68,68,68,68,2019-05-14,167.99009704589844,165.86373901367188,165.52020263671875,0.01281990894978735,0.014922011753456976
69,69,69,69,2019-05-15,167.9343719482422,162.0939178466797,164.44309997558594,0.03603129703538177,0.021230881521782097
70,70,70,70,2019-05-16,174.2390899658203,163.923095703125,167.3772430419922,0.0629319146179268,0.04099629554841333
71,71,71,71,2019-05-17,175.49261474609375,160.9611053466797,165.54803466796875,0.09027963226343383,0.06007066225866309
72,72,72,72,2019-05-20,172.01988220214844,168.61221313476562,167.59083557128906,0.020210096315260273,0.02642773762516004
73,73,73,73,2019-05-21,173.8862762451172,167.76722717285156,168.0272216796875,0.03647344702169475,0.03486967472805613
74,74,74,74,2019-05-22,174.7869415283203,167.99009704589844,165.86373901367188,0.040459792582683285,0.05379839238950779
75,75,75,75,2019-05-23,171.852783203125,167.9343719482422,162.0939178466797,0.02333299139077072,0.060205006369677294
76,76,76,76,2019-05-24,174.43408203125,174.2390899658203,163.923095703125,0.00111910631229728,0.06412144843311807
77,77,77,77,2019-05-28,171.13783264160156,175.49261474609375,160.9611053466797,-0.024814617474318124,0.06322476024877655
78,78,78,78,2019-05-29,169.9307098388672,172.01988220214844,168.61221313476562,-0.012144947063887468,0.007819698701468036
79,79,79,79,2019-05-30,170.30215454101562,173.8862762451172,167.76722717285156,-0.020611872204619797,0.015109788788201906
80,80,80,80,2019-05-31,168.45018005371094,174.7869415283203,167.99009704589844,-0.03625420422830983,0.0027387507710456838
81,81,81,81,2019-06-03,174.72915649414062,171.852783203125,167.9343719482422,0.016737426286636437,0.04046095190085697
82,82,82,82,2019-06-04,178.52638244628906,174.43408203125,174.2390899658203,0.023460440570931107,0.024605801610360523
83,83,83,83,2019-06-05,179.8325653076172,171.13783264160156,175.49261474609375,0.05080543870287424,0.024730103701529282
84,84,84,84,2019-06-06,184.124267578125,169.9307098388672,172.01988220214844,0.0835255602281455,0.07036619965680568
85,85,85,85,2019-06-07,186.6433563232422,170.30215454101562,173.8862762451172,0.0959541693777628,0.0733645020964282
