,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,J,J_6m,J_12m,J_6m_ret,J_12m_ret
0,0,0,0,2019-02-05,64.13358306884766,,,,
1,1,1,1,2019-02-06,65.37339782714844,,,,
2,2,2,2,2019-02-07,62.69194793701172,,,,
3,3,3,3,2019-02-08,63.172481536865234,,,,
4,4,4,4,2019-02-11,63.172481536865234,,,,
5,5,5,5,2019-02-12,64.99856567382812,,,,
6,6,6,6,2019-02-13,65.7674560546875,64.13358306884766,,0.025476090803875362,
7,7,7,7,2019-02-14,65.41095733642578,65.37339782714844,,0.0005745381229327329,
8,8,8,8,2019-02-15,66.21063995361328,62.69194793701172,,0.056126697803948966,
9,9,9,9,2019-02-19,68.64824676513672,63.172481536865234,,0.086679596796843,
10,10,10,10,2019-02-20,71.1051254272461,63.172481536865234,,0.12557119330117894,
11,11,11,11,2019-02-21,71.06661224365234,64.99856567382812,,0.09335662267186828,
12,12,12,12,2019-02-22,71.73141479492188,65.7674560546875,64.13358306884766,0.09068252138679611,0.11846884833984594
13,13,13,13,2019-02-25,72.0975112915039,65.41095733642578,65.37339782714844,0.10222375925011185,0.10285702881980319
14,14,14,14,2019-02-26,72.05899047851562,66.21063995361328,62.69194793701172,0.08832946681982934,0.14941380591515885
15,15,15,15,2019-02-27,72.05899047851562,68.64824676513672,63.172481536865234,0.049684352829110656,0.14067056929629307
16,16,16,16,2019-02-28,71.08586120605469,71.1051254272461,63.172481536865234,-0.000270925915335285,0.1252662468953587
17,17,17,17,2019-03-01,71.3074722290039,71.06661224365234,64.99856567382812,0.0033892143968503596,0.09706224267831942
18,18,18,18,2019-03-04,70.95096588134766,71.73141479492188,65.7674560546875,-0.010880155031174232,0.07881572646431567
19,19,19,19,2019-03-05,70.3343505859375,72.0975112915039,65.41095733642578,-0.024455222850031766,0.07526863158705055
20,20,20,20,2019-03-06,69.61173248291016,72.05899047851562,66.21063995361328,-0.0339618690097403,0.051367764028253715
21,21,21,21,2019-03-07,69.4768295288086,72.05899047851562,68.64824676513672,-0.0358339873006811,0.012069977060108705
22,22,22,22,2019-03-08,69.27450561523438,71.08586120605469,71.1051254272461,-0.025481235791317003,-0.02574525817952167
23,23,23,23,2019-03-11,70.37288665771484,71.3074722290039,71.06661224365234,-0.013106418473054826,-0.009761624538384583
