,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PKG,PKG_6m,PKG_12m,PKG_6m_ret,PKG_12m_ret
0,0,0,0,2019-02-05,81.63737487792969,,,,
1,1,1,1,2019-02-06,81.67139434814453,,,,
2,2,2,2,2019-02-07,80.65091705322266,,,,
3,3,3,3,2019-02-08,80.91455078125,,,,
4,4,4,4,2019-02-11,79.8685531616211,,,,
5,5,5,5,2019-02-12,82.65785217285156,,,,
6,6,6,6,2019-02-13,83.11705017089844,81.63737487792969,,0.018124973949508627,
7,7,7,7,2019-02-14,82.79390716552734,81.67139434814453,,0.013744259251872393,
8,8,8,8,2019-02-15,83.73783874511719,80.65091705322266,,0.03827509722992284,
9,9,9,9,2019-02-19,83.71233367919922,80.91455078125,,0.034577005877631795,
10,10,10,10,2019-02-20,85.6512222290039,79.8685531616211,,0.07240232655374479,
11,11,11,11,2019-02-21,83.55075073242188,82.65785217285156,,0.01080234407377434,
12,12,12,12,2019-02-22,83.58477020263672,83.11705017089844,81.63737487792969,0.0056272453218273455,0.023854212946201603
13,13,13,13,2019-02-25,84.62223815917969,82.79390716552734,81.67139434814453,0.022082917164387705,0.036130689754805045
14,14,14,14,2019-02-26,84.69026184082031,83.73783874511719,80.65091705322266,0.01137386765619941,0.05008430077654347
15,15,15,15,2019-02-27,84.23107147216797,83.71233367919922,80.91455078125,0.006196671030061607,0.04098793923832167
16,16,16,16,2019-02-28,81.2887191772461,85.6512222290039,79.8685531616211,-0.05093334266840788,0.01778129137698503
17,17,17,17,2019-03-01,81.7904281616211,83.55075073242188,82.65785217285156,-0.021068901899378045,-0.010494151353177439
18,18,18,18,2019-03-04,83.62728881835938,83.58477020263672,83.11705017089844,0.0005086885519882678,0.006138796389090206
19,19,19,19,2019-03-05,84.25657653808594,84.62223815917969,82.79390716552734,-0.004321105527909985,0.017666389021046225
20,20,20,20,2019-03-06,84.23107147216797,84.69026184082031,83.73783874511719,-0.005421997271840007,0.005890201304957099
21,21,21,21,2019-03-07,83.03202056884766,84.23107147216797,83.71233367919922,-0.014235256448287159,-0.008126796619464027
22,22,22,22,2019-03-08,82.82791137695312,81.2887191772461,85.6512222290039,0.018934880697909495,-0.03296287873747039
23,23,23,23,2019-03-11,83.15955352783203,81.7904281616211,83.55075073242188,0.01673943268160283,-0.004682150682794983
24,24,24,24,2019-03-12,84.35861206054688,83.62728881835938,83.58477020263672,0.008745031107919354,0.009258168157118885
25,25,25,25,2019-03-13,85.94034576416016,84.25657653808594,84.62223815917969,0.01998383147353633,0.015576373700977086
26,26,26,26,2019-03-14,84.63755798339844,84.23107147216797,84.69026184082031,0.004825849940241822,-0.0006223130768084895
27,27,27,27,2019-03-15,82.43485260009766,83.03202056884766,84.23107147216797,-0.007192020194845772,-0.021324896391277992
