,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,ROK,ROK_6m,ROK_12m,ROK_6m_ret,ROK_12m_ret
0,0,0,0,2019-02-05,155.4715118408203,,,,
1,1,1,1,2019-02-06,155.68096923828125,,,,
2,2,2,2,2019-02-07,154.7794189453125,,,,
3,3,3,3,2019-02-08,154.29678344726562,,,,
4,4,4,4,2019-02-11,154.5335693359375,,,,
5,5,5,5,2019-02-12,157.2654571533203,,,,
6,6,6,6,2019-02-13,161.0172576904297,155.4715118408203,,0.03567049541067946,
7,7,7,7,2019-02-14,160.64389038085938,155.68096923828125,,0.03187879139538241,
8,8,8,8,2019-02-15,162.4293975830078,154.7794189453125,,0.049425037836575925,
9,9,9,9,2019-02-19,162.49351501464844,154.29678344726562,,0.053123152565161647,
10,10,10,10,2019-02-20,163.75711059570312,154.5335693359375,,0.059686327698253994,
11,11,11,11,2019-02-21,162.95135498046875,157.2654571533203,,0.036154778869241344,
12,12,12,12,2019-02-22,164.11424255371094,161.0172576904297,155.4715118408203,0.019233869137403214,0.05559044618887787
13,13,13,13,2019-02-25,164.89254760742188,160.64389038085938,155.68096923828125,0.026447673898395196,0.05916958517287774
14,14,14,14,2019-02-26,164.17832946777344,162.4293975830078,154.7794189453125,0.01076733590587775,0.06072454972700103
15,15,15,15,2019-02-27,165.28628540039062,162.49351501464844,154.29678344726562,0.017186965187444114,0.07122314352639059
16,16,16,16,2019-02-28,163.50071716308594,163.75711059570312,154.5335693359375,-0.0015656934326974126,0.05802718377425764
17,17,17,17,2019-03-01,163.45494079589844,162.95135498046875,157.2654571533203,0.003090405817675057,0.03935691762587079
18,18,18,18,2019-03-04,162.8414306640625,164.11424255371094,161.0172576904297,-0.007755645517675713,0.011329052548764373
19,19,19,19,2019-03-05,163.1985626220703,164.89254760742188,160.64389038085938,-0.010273265893038563,0.015902704019145952
20,20,20,20,2019-03-06,163.0245819091797,164.17832946777344,162.4293975830078,-0.007027404666218207,0.0036642648130718047
21,21,21,21,2019-03-07,160.7079620361328,165.28628540039062,162.49351501464844,-0.02769935420332814,-0.010988456852291328
22,22,22,22,2019-03-08,159.8105926513672,163.50071716308594,163.75711059570312,-0.022569469882128934,-0.024099826444052397
23,23,23,23,2019-03-11,163.33590698242188,163.45494079589844,162.95135498046875,-0.0007282362521252583,0.0023599190199996567
24,24,24,24,2019-03-12,163.60145568847656,162.8414306640625,164.11424255371094,0.004667270616050878,-0.003124572598057984
25,25,25,25,2019-03-13,166.10122680664062,163.1985626220703,164.89254760742188,0.0177860891538133,0.007330102037700348
26,26,26,26,2019-03-14,165.4419403076172,163.0245819091797,164.17832946777344,0.014828183394969274,0.007696575083569579
27,27,27,27,2019-03-15,164.205810546875,160.7079620361328,165.28628540039062,0.021765247137884414,-0.006536990355238914
28,28,28,28,2019-03-18,165.542724609375,159.8105926513672,163.50071716308594,0.03586828546786425,0.012489287397144722
29,29,29,29,2019-03-19,163.69300842285156,163.33590698242188,163.45494079589844,0.0021863008999492006,0.0014564725042505167
30,30,30,30,2019-03-20,161.17495727539062,163.60145568847656,162.8414306640625,-0.01483176541965725,-0.010233718666533775
31,31,31,31,2019-03-21,162.0906219482422,166.10122680664062,163.1985626220703,-0.024145546276230778,-0.006788911961154054
32,32,32,32,2019-03-22,155.59854125976562,165.4419403076172,163.0245819091797,-0.05949760399055448,-0.04555166197911842
33,33,33,33,2019-03-25,155.50701904296875,164.205810546875,160.7079620361328,-0.05297493112415197,-0.03236269645429701
34,34,34,34,2019-03-26,157.05447387695312,165.542724609375,159.8105926513672,-0.05127528710459062,-0.017246158272040457
35,35,35,35,2019-03-27,156.61492919921875,163.69300842285156,163.33590698242188,-0.04323996053239321,-0.0411481951970698
36,36,36,36,2019-03-28,159.17880249023438,161.17495727539062,163.60145568847656,-0.012385018236707457,-0.027033091971159662
37,37,37,37,2019-03-29,160.66220092773438,162.0906219482422,166.10122680664062,-0.008812484049595004,-0.032745248084397605
38,38,38,38,2019-04-01,165.65252685546875,155.59854125976562,165.4419403076172,0.06461490907500478,0.001272872812419834
39,39,39,39,2019-04-02,166.71470642089844,155.50701904296875,164.205810546875,0.07207190676604025,0.015278971344971026
40,40,40,40,2019-04-03,167.86843872070312,157.05447387695312,165.542724609375,0.06885486657465334,0.01404902641789918
41,41,41,41,2019-04-04,169.38845825195312,156.61492919921875,163.69300842285156,0.08156009850431345,0.03479348253157566
42,42,42,42,2019-04-05,169.70892333984375,159.17880249023438,161.17495727539062,0.06615278344147235,0.05294846177543344
43,43,43,43,2019-04-08,170.3132781982422,160.66220092773438,162.0906219482422,0.06007061533315383,0.05072875994408621
44,44,44,44,2019-04-09,167.09010314941406,165.65252685546875,155.59854125976562,0.008678263599320779,0.07385391788772444
45,45,45,45,2019-04-10,167.4380645751953,166.71470642089844,155.50701904296875,0.004338898288136939,0.07672351772706709
46,46,46,46,2019-04-11,167.52049255371094,167.86843872070312,157.05447387695312,-0.0020727312986515978,0.06663941763898795
47,47,47,47,2019-04-12,168.7017059326172,169.38845825195312,156.61492919921875,-0.0040543040914537976,0.07717512497179446
48,48,48,48,2019-04-15,170.3132781982422,169.70892333984375,159.17880249023438,0.003561125994466563,0.06994948783265853
49,49,49,49,2019-04-16,171.76002502441406,170.3132781982422,160.66220092773438,0.008494621449819606,0.06907551392048639
50,50,50,50,2019-04-17,172.4193115234375,167.09010314941406,165.65252685546875,0.03189421918818258,0.040849269228912855
51,51,51,51,2019-04-18,173.90267944335938,167.4380645751953,166.71470642089844,0.03860899183566979,0.043115410612388994
52,52,52,52,2019-04-22,173.389892578125,167.52049255371094,167.86843872070312,0.03503690763404488,0.03289155424033208
