,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MHK,MHK_6m,MHK_12m,MHK_6m_ret,MHK_12m_ret
0,0,0,0,2019-02-05,126.9000015258789,,,,
1,1,1,1,2019-02-06,127.43000030517578,,,,
2,2,2,2,2019-02-07,128.1999969482422,,,,
3,3,3,3,2019-02-08,135.77999877929688,,,,
4,4,4,4,2019-02-11,137.97999572753906,,,,
5,5,5,5,2019-02-12,143.13999938964844,,,,
6,6,6,6,2019-02-13,139.41000366210938,126.9000015258789,,0.09858157593228456,
7,7,7,7,2019-02-14,138.8000030517578,127.43000030517578,,0.089225478453681,
8,8,8,8,2019-02-15,139.2100067138672,128.1999969482422,,0.0858815134767128,
9,9,9,9,2019-02-19,139.7100067138672,135.77999877929688,,0.028943938502741684,
10,10,10,10,2019-02-20,139.77000427246094,137.97999572753906,,0.012972956952807202,
11,11,11,11,2019-02-21,140.02999877929688,143.13999938964844,,-0.021726984935117155,
12,12,12,12,2019-02-22,140.5,139.41000366210938,126.9000015258789,0.007818637897266445,0.10717098747510745
13,13,13,13,2019-02-25,141.39999389648438,138.8000030517578,127.43000030517578,0.018731922100585496,0.10962876526604837
14,14,14,14,2019-02-26,140.02000427246094,139.2100067138672,128.1999969482422,0.00581852969994201,0.092199747313495
15,15,15,15,2019-02-27,138.60000610351562,139.7100067138672,135.77999877929688,-0.007945032975518296,0.020768944981377713
16,16,16,16,2019-02-28,136.1199951171875,139.77000427246094,137.97999572753906,-0.026114395390289036,-0.013480219364728763
17,17,17,17,2019-03-01,137.47999572753906,140.02999877929688,143.13999938964844,-0.018210405441600463,-0.03954173317202547
18,18,18,18,2019-03-04,138.22999572753906,140.5,139.41000366210938,-0.016156614038867922,-0.008464298856417196
19,19,19,19,2019-03-05,135.1699981689453,141.39999389648438,138.8000030517578,-0.044059377626988416,-0.026152772355911957
20,20,20,20,2019-03-06,133.3300018310547,140.02000427246094,139.2100067138672,-0.04777890470841839,-0.0422383779845531
