,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,DRI,DRI_6m,DRI_12m,DRI_6m_ret,DRI_12m_ret
0,0,0,0,2019-02-05,94.66584777832033,,,,
1,1,1,1,2019-02-06,95.67304229736328,,,,
2,2,2,2,2019-02-07,95.97955322265624,,,,
3,3,3,3,2019-02-08,95.8219223022461,,,,
4,4,4,4,2019-02-11,96.59261322021484,,,,
5,5,5,5,2019-02-12,97.66110229492188,,,,
6,6,6,6,2019-02-13,97.77496337890624,94.66584777832033,,0.03284305452866754,
7,7,7,7,2019-02-14,98.00267028808594,95.67304229736328,,0.02434988931868487,
8,8,8,8,2019-02-15,98.1953582763672,95.97955322265624,,0.02308621971359548,
9,9,9,9,2019-02-19,97.51223754882812,95.8219223022461,,0.017640172582327862,
10,10,10,10,2019-02-20,96.81156158447266,96.59261322021484,,0.002266719544678386,
11,11,11,11,2019-02-21,97.3020248413086,97.66110229492188,,-0.00367677043546899,
12,12,12,12,2019-02-22,97.88005828857422,97.77496337890624,94.66584777832033,0.001074865241940337,0.03395322162836001
13,13,13,13,2019-02-25,97.2932586669922,98.00267028808594,95.67304229736328,-0.007238696853956839,0.016934930997522635
14,14,14,14,2019-02-26,97.27574920654295,98.1953582763672,95.97955322265624,-0.009365097148849366,0.013504917874328504
15,15,15,15,2019-02-27,97.5297393798828,97.51223754882812,95.8219223022461,0.0001794834319734928,0.017822822133017002
16,16,16,16,2019-02-28,98.18659973144533,96.81156158447266,96.59261322021484,0.014203243129932153,0.016502157443410992
17,17,17,17,2019-03-01,97.7837142944336,97.3020248413086,97.66110229492188,0.004950456621129806,0.0012554844931143005
18,18,18,18,2019-03-04,97.38961029052734,97.88005828857422,97.77496337890624,-0.005010703984267284,-0.0039412245738772445
19,19,19,19,2019-03-05,96.93418884277344,97.2932586669922,98.00267028808594,-0.0036905930496968775,-0.010902574819355637
20,20,20,20,2019-03-06,95.93577575683594,97.27574920654295,98.1953582763672,-0.013775000045097463,-0.02301109298029902
21,21,21,21,2019-03-07,94.963623046875,97.5297393798828,97.51223754882812,-0.026311116479176277,-0.026136355456687577
22,22,22,22,2019-03-08,94.27173614501952,98.18659973144533,96.81156158447266,-0.03987166881360116,-0.02623473268982468
23,23,23,23,2019-03-11,95.2701416015625,97.7837142944336,97.3020248413086,-0.025705432760536717,-0.020882229769215277
24,24,24,24,2019-03-12,95.84819793701172,97.38961029052734,97.88005828857422,-0.015827277149147334,-0.020758675332743226
25,25,25,25,2019-03-13,96.37368774414062,96.93418884277344,97.2932586669922,-0.0057822849226286666,-0.009451537911778773
26,26,26,26,2019-03-14,96.37368774414062,95.93577575683594,97.27574920654295,0.004564636954775381,-0.009273240964580043
27,27,27,27,2019-03-15,96.91666412353516,94.963623046875,97.5297393798828,0.02056620223615635,-0.006286033985589579
28,28,28,28,2019-03-18,97.2932586669922,94.27173614501952,98.18659973144533,0.032051202677806145,-0.00909840107404214
29,29,29,29,2019-03-19,96.6626968383789,95.2701416015625,97.7837142944336,0.014616911588526182,-0.01146425521001615
