,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,DPZ,DPZ_6m,DPZ_12m,DPZ_6m_ret,DPZ_12m_ret
0,0,0,0,2019-02-05,274.4916076660156,,,,
1,1,1,1,2019-02-06,273.1631164550781,,,,
2,2,2,2,2019-02-07,274.11212158203125,,,,
3,3,3,3,2019-02-08,275.3170471191406,,,,
4,4,4,4,2019-02-11,279.7765808105469,,,,
5,5,5,5,2019-02-12,272.51806640625,,,,
6,6,6,6,2019-02-13,274.026611328125,274.4916076660156,,-0.0016940275218045864,
7,7,7,7,2019-02-14,272.4895324707031,273.1631164550781,,-0.0024658672558590666,
8,8,8,8,2019-02-15,267.2424621582031,274.11212158203125,,-0.025061494486927627,
9,9,9,9,2019-02-19,264.9462280273437,275.3170471191406,,-0.037668641300329875,
10,10,10,10,2019-02-20,264.2440185546875,279.7765808105469,,-0.05551773565485596,
11,11,11,11,2019-02-21,240.0674743652344,272.51806640625,,-0.11907684679018904,
12,12,12,12,2019-02-22,247.3736114501953,274.026611328125,274.4916076660156,-0.0972642757166925,-0.0987935348785447
13,13,13,13,2019-02-25,242.8476104736328,272.4895324707031,273.1631164550781,-0.10878187403494954,-0.11097949962959486
14,14,14,14,2019-02-26,239.8777008056641,267.2424621582031,274.11212158203125,-0.10239675660651393,-0.12489203534226823
15,15,15,15,2019-02-27,239.59304809570312,264.9462280273437,275.3170471191406,-0.09569179421955765,-0.12975585564804604
16,16,16,16,2019-02-28,238.1033935546875,264.2440185546875,279.7765808105469,-0.09892608030629835,-0.1489516639853381
17,17,17,17,2019-03-01,237.9040985107422,240.0674743652344,272.51806640625,-0.009011532529395905,-0.12701531444123726
18,18,18,18,2019-03-04,235.85459899902344,247.3736114501953,274.026611328125,-0.0465652434940137,-0.13930038452868954
19,19,19,19,2019-03-05,236.57569885253903,242.8476104736328,272.4895324707031,-0.025826532156777215,-0.13179894762388855
20,20,20,20,2019-03-06,235.8831024169922,239.8777008056641,267.2424621582031,-0.01665264580765724,-0.11734422549455004
21,21,21,21,2019-03-07,235.25685119628903,239.59304809570312,264.9462280273437,-0.018098174942379974,-0.11205812232960177
22,22,22,22,2019-03-08,237.70486450195312,238.1033935546875,264.2440185546875,-0.0016737646901401337,-0.1004342660162878
23,23,23,23,2019-03-11,234.3554534912109,237.9040985107422,240.0674743652344,-0.014916283669535235,-0.02379339762342536
24,24,24,24,2019-03-12,227.72296142578125,235.85459899902344,247.3736114501953,-0.034477333101636254,-0.07943713118474804
25,25,25,25,2019-03-13,232.8182830810547,236.57569885253903,242.8476104736328,-0.01588250944500602,-0.04129885146087142
26,26,26,26,2019-03-14,235.2252655029297,235.8831024169922,239.8777008056641,-0.0027888259367540025,-0.019395030413867254
27,27,27,27,2019-03-15,232.39019775390625,235.25685119628903,239.59304809570312,-0.012185207052656466,-0.03006285198608838
28,28,28,28,2019-03-18,231.572021484375,237.70486450195312,238.1033935546875,-0.02580024195309527,-0.027430823109257263
29,29,29,29,2019-03-19,236.66180419921875,234.3554534912109,237.9040985107422,0.009841250432409243,-0.005221828120238747
30,30,30,30,2019-03-20,232.07623291015625,227.72296142578125,235.85459899902344,0.019116524118248934,-0.016019895753157765
31,31,31,31,2019-03-21,233.1322326660156,232.8182830810547,236.57569885253903,0.0013484747881746806,-0.014555451820390863
32,32,32,32,2019-03-22,227.61431884765625,235.2252655029297,235.8831024169922,-0.03235599134727574,-0.035054582056151085
33,33,33,33,2019-03-25,230.7633514404297,232.39019775390625,235.25685119628903,-0.007000494552697689,-0.019100399129758583
34,34,34,34,2019-03-26,233.4652099609375,231.572021484375,237.70486450195312,0.008175376560722647,-0.017835792085697078
35,35,35,35,2019-03-27,235.53921508789065,236.66180419921875,234.3554534912109,-0.004743431730044212,0.0050511374028006095
36,36,36,36,2019-03-28,241.5708770751953,232.07623291015625,227.72296142578125,0.040911747170227164,0.060810361689975334
37,37,37,37,2019-03-29,245.547607421875,233.1322326660156,232.8182830810547,0.05325464700389859,0.054674934340910974
38,38,38,38,2019-04-01,237.3182678222656,227.61431884765625,235.2252655029297,0.04263329751721057,0.008897863564361952
39,39,39,39,2019-04-02,233.2939910888672,230.7633514404297,232.39019775390625,0.010966384534811136,0.0038891198669146476
40,40,40,40,2019-04-03,240.80029296875,233.4652099609375,231.572021484375,0.031418312857148134,0.03985054595638049
41,41,41,41,2019-04-04,236.83306884765625,235.53921508789065,236.66180419921875,0.005493156454999593,0.0007236683123286181
42,42,42,42,2019-04-05,242.17971801757807,241.5708770751953,232.07623291015625,0.002520340819863076,0.04353519953649543
43,43,43,43,2019-04-08,235.463119506836,245.547607421875,233.1322326660156,-0.04106937966499047,0.009998132022180028
