,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MAA,MAA_6m,MAA_12m,MAA_6m_ret,MAA_12m_ret
0,0,0,0,2019-02-05,87.64335632324219,,,,
1,1,1,1,2019-02-06,87.62628936767578,,,,
2,2,2,2,2019-02-07,88.31753540039062,,,,
3,3,3,3,2019-02-08,88.60770416259766,,,,
4,4,4,4,2019-02-11,88.66744232177734,,,,
5,5,5,5,2019-02-12,87.9676513671875,,,,
6,6,6,6,2019-02-13,88.78691101074219,87.64335632324219,,0.013047819429488738,
7,7,7,7,2019-02-14,88.43701171875,87.62628936767578,,0.009252044756482558,
8,8,8,8,2019-02-15,88.90638732910156,88.31753540039062,,0.00666744068481262,
9,9,9,9,2019-02-19,88.75275421142578,88.60770416259766,,0.001636991390296716,
10,10,10,10,2019-02-20,88.0785903930664,88.66744232177734,,-0.006641129069382301,
11,11,11,11,2019-02-21,88.99171447753906,87.9676513671875,,0.011641360141320556,
12,12,12,12,2019-02-22,89.17947387695312,88.78691101074219,87.64335632324219,0.004421404706414833,0.01752691382613758
13,13,13,13,2019-02-25,88.50529479980469,88.43701171875,87.62628936767578,0.0007721097731325788,0.010031298123792887
14,14,14,14,2019-02-26,88.75275421142578,88.90638732910156,88.31753540039062,-0.0017280323977970635,0.004927886733501641
15,15,15,15,2019-02-27,88.0700454711914,88.75275421142578,88.60770416259766,-0.007692254131156706,-0.006067854894644675
16,16,16,16,2019-02-28,88.39434814453125,88.0785903930664,88.66744232177734,0.0035849546417094924,-0.0030799825741564257
17,17,17,17,2019-03-01,87.98471069335938,88.99171447753906,87.9676513671875,-0.011315702704366326,0.00019392726652056602
18,18,18,18,2019-03-04,88.82102966308594,89.17947387695312,88.78691101074219,-0.004019357799326717,0.00038427569959753605
19,19,19,19,2019-03-05,89.07704162597656,88.50529479980469,88.43701171875,0.0064600296226926535,0.007237127247831543
20,20,20,20,2019-03-06,89.15386962890625,88.75275421142578,88.90638732910156,0.004519470083429011,0.002783627894906937
21,21,21,21,2019-03-07,89.58908081054688,88.0700454711914,88.75275421142578,0.017248036278718182,0.009423105869242221
22,22,22,22,2019-03-08,89.96458435058594,88.39434814453125,88.0785903930664,0.01776398875058427,0.021412626486220443
23,23,23,23,2019-03-11,91.1337432861328,87.98471069335938,88.99171447753906,0.03579067963010418,0.024069980235456256
