,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,KVUE,KVUE_6m,KVUE_12m,KVUE_6m_ret,KVUE_12m_ret
0,0,0,0,2023-05-04,26.39692497253418,,,,
1,1,1,1,2023-05-05,26.0044059753418,,,,
2,2,2,2,2023-05-08,26.01422119140625,,,,
3,3,3,3,2023-05-09,25.78852081298828,,,,
4,4,4,4,2023-05-10,25.759082794189453,,,,
5,5,5,5,2023-05-11,25.51375770568848,,,,
6,6,6,6,2023-05-12,26.0044059753418,26.39692497253418,,-0.014869875851099779,
7,7,7,7,2023-05-15,26.98570442199707,26.0044059753418,,0.03773585320832806,
8,8,8,8,2023-05-16,26.52449607849121,26.01422119140625,,0.019615228275737584,
9,9,9,9,2023-05-17,26.710941314697266,25.78852081298828,,0.03576864715887118,
10,10,10,10,2023-05-18,26.53430938720703,25.759082794189453,,0.030095271606194407,
11,11,11,11,2023-05-19,26.72075462341309,25.51375770568848,,0.04730768911611549,
12,12,12,12,2023-05-22,25.582448959350582,26.0044059753418,26.39692497253418,-0.016226366270059467,-0.030854958069209015
13,13,13,13,2023-05-23,25.51375770568848,26.98570442199707,26.0044059753418,-0.05454542498837833,-0.018867889930597515
14,14,14,14,2023-05-24,25.95534324645996,26.52449607849121,26.01422119140625,-0.021457630348452827,-0.0022632983902566295
15,15,15,15,2023-05-25,25.837587356567383,26.710941314697266,25.78852081298828,-0.03269648747456666,0.001902650560492436
16,16,16,16,2023-05-26,25.80814743041992,26.53430938720703,25.759082794189453,-0.027366906226593435,0.0019047509036902444
17,17,17,17,2023-05-30,25.24880790710449,26.72075462341309,25.51375770568848,-0.05508627046853165,-0.010384585510307631
18,18,18,18,2023-05-31,24.62077713012696,25.582448959350582,26.0044059753418,-0.037591077803054596,-0.053207477476195364
19,19,19,19,2023-06-01,24.80722427368164,25.51375770568848,26.98570442199707,-0.027692252946703855,-0.08072719222921854
20,20,20,20,2023-06-02,25.072172164916992,25.95534324645996,26.52449607849121,-0.034026561435030356,-0.0547540624061813
21,21,21,21,2023-06-05,24.67965316772461,25.837587356567383,26.710941314697266,-0.04481587900847295,-0.07604704465637735
22,22,22,22,2023-06-06,24.69927978515625,25.80814743041992,26.53430938720703,-0.042965797845553655,-0.06915686311155711
23,23,23,23,2023-06-07,24.6109619140625,25.24880790710449,26.72075462341309,-0.02526242012647706,-0.07895707808723185
24,24,24,24,2023-06-08,24.64040184020996,24.62077713012696,25.582448959350582,0.0007970792302485208,-0.03682396164016566
25,25,25,25,2023-06-09,24.630590438842773,24.80722427368164,25.51375770568848,-0.007120257909155159,-0.03461533487279289
26,26,26,26,2023-06-12,24.552085876464844,25.072172164916992,25.95534324645996,-0.02074356721193449,-0.054064296382846266
27,27,27,27,2023-06-13,24.6600284576416,24.67965316772461,25.837587356567383,-0.0007951777097366941,-0.04557542013017979
28,28,28,28,2023-06-14,24.866100311279297,24.69927978515625,25.80814743041992,0.006754064392731962,-0.036501927218155705
29,29,29,29,2023-06-15,25.2684326171875,24.6109619140625,25.24880790710449,0.026714547177017378,0.0007772529362659597
30,30,30,30,2023-06-16,25.759082794189453,24.64040184020996,24.62077713012696,0.0454002723345992,0.046233539178973215
31,31,31,31,2023-06-20,25.57263565063477,24.630590438842773,24.80722427368164,0.0382469601827482,0.03085437405285063
32,32,32,32,2023-06-21,25.710018157958984,24.552085876464844,25.072172164916992,0.047162277263135266,0.02544039618292504
33,33,33,33,2023-06-22,26.0534725189209,24.6600284576416,24.67965316772461,0.05650618220789205,0.05566607204160112
34,34,34,34,2023-06-23,25.98478126525879,24.866100311279297,24.69927978515625,0.04498819436805923,0.052046111922465776
35,35,35,35,2023-06-26,25.660951614379883,25.2684326171875,24.6109619140625,0.015533966951531086,0.04266349702152139
36,36,36,36,2023-06-27,25.40581512451172,25.759082794189453,24.64040184020996,-0.013714295361379136,0.031063344228936307
37,37,37,37,2023-06-28,25.31749725341797,25.57263565063477,24.630590438842773,-0.009977008263927889,0.027888361681006835
38,38,38,38,2023-06-29,25.503944396972656,25.710018157958984,24.552085876464844,-0.00801530981892884,0.03876894718017598
39,39,39,39,2023-06-30,25.9259033203125,26.0534725189209,24.6600284576416,-0.004896437452464486,0.051333065768568886
40,40,40,40,2023-07-03,25.55301094055176,25.98478126525879,24.866100311279297,-0.016616277054611883,0.027624381011640997
41,41,41,41,2023-07-05,25.219369888305664,25.660951614379883,25.2684326171875,-0.017208314512652922,-0.0019416609500528814
42,42,42,42,2023-07-06,25.14086532592773,25.40581512451172,25.759082794189453,-0.010428706864373027,-0.023999979859576914
43,43,43,43,2023-07-07,24.74834442138672,25.31749725341797,25.57263565063477,-0.022480611978911602,-0.03223333099134773
44,44,44,44,2023-07-10,24.77778434753418,25.503944396972656,25.710018157958984,-0.028472460500057917,-0.03625955472677156
45,45,45,45,2023-07-11,24.6109619140625,25.9259033203125,26.0534725189209,-0.050719212750429676,-0.05536730675002344
46,46,46,46,2023-07-12,24.77778434753418,25.55301094055176,25.98478126525879,-0.030337974449317184,-0.04645014731520347
47,47,47,47,2023-07-13,24.924978256225582,25.219369888305664,25.660951614379883,-0.011673235032592655,-0.028680672845424637
48,48,48,48,2023-07-14,24.473583221435547,25.14086532592773,25.40581512451172,-0.02654173179170638,-0.03669364271555087
49,49,49,49,2023-07-17,24.42451477050781,24.74834442138672,25.31749725341797,-0.013084901574226815,-0.035271356958065936
50,50,50,50,2023-07-18,24.34601211547852,24.77778434753418,25.503944396972656,-0.0174257805298329,-0.04540208618207253
51,51,51,51,2023-07-19,24.532459259033203,24.6109619140625,25.9259033203125,-0.0031897434689230897,-0.0537471749417332
