,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,DVA,DVA_6m,DVA_12m,DVA_6m_ret,DVA_12m_ret
436,436,436,436,2020-10-27,89.1500015258789,89.55999755859375,87.86000061035156,-0.004577892406111395,0.014682459669541181
437,437,437,437,2020-10-28,86.2699966430664,89.69999694824219,88.91000366210938,-0.03823857772431061,-0.02969302564732723
438,438,438,438,2020-10-29,85.7699966430664,89.61000061035156,88.3499984741211,-0.04285240420857184,-0.02920205858079783
439,439,439,439,2020-10-30,86.25,90.68000030517578,88.87000274658203,-0.04885311303779216,-0.029481294763241128
440,440,440,440,2020-11-02,89.06999969482422,91.0500030517578,88.91000366210938,-0.021746329385711638,0.0017995279060261105
441,441,441,441,2020-11-03,92.9499969482422,89.70999908447266,90.77999877929688,0.03611635154202486,0.02390392375110073
442,442,442,442,2020-11-04,96.04000091552734,89.1500015258789,89.55999755859375,0.07728546575120787,0.07235376879833111
443,443,443,443,2020-11-05,98.1500015258789,86.2699966430664,89.69999694824219,0.1377072602884737,0.0942029527884205
444,444,444,444,2020-11-06,98.62000274658205,85.7699966430664,89.61000061035156,0.1498193611571561,0.10054683712600787
445,445,445,445,2020-11-09,102.33000183105467,86.25,90.68000030517578,0.186434803838315,0.12847377025443096
446,446,446,446,2020-11-10,107.16999816894533,89.06999969482422,91.0500030517578,0.20321094123875794,0.17704551979008776
447,447,447,447,2020-11-11,106.31999969482422,92.9499969482422,89.70999908447266,0.14384080888164963,0.18515216564333326
448,448,448,448,2020-11-12,107.18000030517578,96.04000091552734,89.1500015258789,0.11599332864903555,0.2022433928289169
449,449,449,449,2020-11-13,110.5500030517578,98.1500015258789,86.2699966430664,0.12633725250232852,0.2814420697052711
450,450,450,450,2020-11-16,113.13999938964844,98.62000274658205,85.7699966430664,0.1472317606842657,0.3191092901691819
451,451,451,451,2020-11-17,113.38999938964844,102.33000183105467,86.25,0.1080816706800578,0.31466665959012685
452,452,452,452,2020-11-18,108.31999969482422,107.16999816894533,89.06999969482422,0.01073062933215696,0.21612215185758665
453,453,453,453,2020-11-19,107.62999725341795,106.31999969482422,92.9499969482422,0.012321271278723511,0.15793438178755492
454,454,454,454,2020-11-20,109.8499984741211,107.18000030517578,96.04000091552734,0.024911346905607035,0.14379422560335486
455,455,455,455,2020-11-23,110.0199966430664,110.5500030517578,98.1500015258789,-0.004794268602989149,0.12093728917627966
456,456,456,456,2020-11-24,109.66999816894533,113.13999938964844,98.62000274658205,-0.03066997736806243,0.11204618854815696
457,457,457,457,2020-11-25,109.5999984741211,113.38999938964844,102.33000183105467,-0.033424472492530444,0.07104462535893519
458,458,458,458,2020-11-27,109.87999725341795,108.31999969482422,107.16999816894533,0.014401750027592364,0.025286919201029656
459,459,459,459,2020-11-30,109.8499984741211,107.62999725341795,106.31999969482422,0.020626231323560118,0.033201643993878927
460,460,460,460,2020-12-01,108.58999633789062,109.8499984741211,107.18000030517578,-0.011470206224238666,0.013155402395037541
461,461,461,461,2020-12-02,108.36000061035156,110.0199966430664,110.5500030517578,-0.015088130188735671,-0.019810062242883064
462,462,462,462,2020-12-03,105.41999816894533,109.66999816894533,113.13999938964844,-0.038752622147881555,-0.06823405747171529
463,463,463,463,2020-12-04,109.3000030517578,109.5999984741211,113.38999938964844,-0.0027371845487217383,-0.036070168091596466
464,464,464,464,2020-12-07,108.45999908447266,109.87999725341795,108.31999969482422,-0.012923172592281151,0.0012924611340736636
465,465,465,465,2020-12-08,110.37999725341795,109.8499984741211,107.62999725341795,0.004824749992342614,0.02555049772532314
