,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,TXT,TXT_6m,TXT_12m,TXT_6m_ret,TXT_12m_ret
0,0,0,0,2019-02-05,53.98542404174805,,,,
1,1,1,1,2019-02-06,53.717384338378906,,,,
2,2,2,2,2019-02-07,52.68492889404297,,,,
3,3,3,3,2019-02-08,52.198486328125,,,,
4,4,4,4,2019-02-11,52.36725234985352,,,,
5,5,5,5,2019-02-12,53.39971160888672,,,,
6,6,6,6,2019-02-13,54.15418243408203,53.98542404174805,,0.0031259991994039282,
7,7,7,7,2019-02-14,53.60818099975586,53.717384338378906,,-0.002032923605050252,
8,8,8,8,2019-02-15,54.42222595214844,52.68492889404297,,0.03297521880687038,
9,9,9,9,2019-02-19,54.20382308959961,52.198486328125,,0.03841752706905832,
10,10,10,10,2019-02-20,54.591007232666016,52.36725234985352,,0.04246460875884983,
11,11,11,11,2019-02-21,54.29317092895508,53.39971160888672,,0.016731538301410387,
12,12,12,12,2019-02-22,54.660491943359375,54.15418243408203,53.98542404174805,0.009349407312974067,0.01250463275215341
13,13,13,13,2019-02-25,54.63071060180664,53.60818099975586,53.717384338378906,0.019074133518080627,0.017002433656755578
14,14,14,14,2019-02-26,54.084693908691406,54.42222595214844,52.68492889404297,-0.006202099189287269,0.026568604039754362
15,15,15,15,2019-02-27,54.32295608520508,54.20382308959961,52.198486328125,0.002197870718612327,0.04069983454549697
16,16,16,16,2019-02-28,53.90599822998047,54.591007232666016,52.36725234985352,-0.012548019122747611,0.029383742913356325
17,17,17,17,2019-03-01,54.03505706787109,54.29317092895508,53.39971160888672,-0.00475407600380795,0.011897919292856995
18,18,18,18,2019-03-04,53.72731399536133,54.660491943359375,54.15418243408203,-0.01707225666693657,-0.007882464835293201
19,19,19,19,2019-03-05,53.250789642333984,54.63071060180664,53.60818099975586,-0.025259070297120045,-0.006666731658429237
20,20,20,20,2019-03-06,52.46652221679688,54.084693908691406,54.42222595214844,-0.029919216971559526,-0.03593575420952344
21,21,21,21,2019-03-07,51.53334426879883,54.32295608520508,54.20382308959961,-0.05135235667276217,-0.0492673517952128
22,22,22,22,2019-03-08,50.72921752929688,53.90599822998047,54.591007232666016,-0.05893185925489053,-0.07074040028076867
23,23,23,23,2019-03-11,51.70211410522461,54.03505706787109,54.29317092895508,-0.043174618280057864,-0.047723438867127044
24,24,24,24,2019-03-12,51.55320358276367,53.72731399536133,54.660491943359375,-0.040465644956406366,-0.05684706174645404
25,25,25,25,2019-03-13,51.98008728027344,53.250789642333984,54.63071060180664,-0.023862601298410557,-0.0485189244718619
26,26,26,26,2019-03-14,51.42393493652344,52.46652221679688,54.084693908691406,-0.0198714768241236,-0.04919615476903694
27,27,27,27,2019-03-15,51.42393493652344,51.53334426879883,54.32295608520508,-0.0021230784422743287,-0.053366410033624634
28,28,28,28,2019-03-18,52.16876983642578,50.72921752929688,53.90599822998047,0.028377183351931956,-0.032226996078304815
29,29,29,29,2019-03-19,51.67220687866211,51.70211410522461,54.03505706787109,-0.0005784526818697344,-0.043728096488194756
30,30,30,30,2019-03-20,51.05647277832031,51.55320358276367,53.72731399536133,-0.009635304305500747,-0.04971105045883384
31,31,31,31,2019-03-21,51.50337600708008,51.98008728027344,53.250789642333984,-0.009171036412904843,-0.03281479292590106
32,32,32,32,2019-03-22,49.62637710571289,51.42393493652344,52.46652221679688,-0.03495566477029444,-0.05413252091206333
33,33,33,33,2019-03-25,49.556861877441406,51.42393493652344,51.53334426879883,-0.03630747163527459,-0.038353466467226593
34,34,34,34,2019-03-26,49.65616989135742,52.16876983642578,50.72921752929688,-0.04816291342400003,-0.021152457897064103
35,35,35,35,2019-03-27,49.43767547607422,51.67220687866211,51.70211410522461,-0.043244357800220734,-0.043797795667345096
36,36,36,36,2019-03-28,49.75548553466797,51.05647277832031,51.55320358276367,-0.025481338072471993,-0.03487112193153319
37,37,37,37,2019-03-29,50.31162643432617,51.50337600708008,51.98008728027344,-0.023139251543240147,-0.03209807703767453
38,38,38,38,2019-04-01,51.22531127929688,49.62637710571289,51.42393493652344,0.03221944189433734,-0.0038624748859015234
39,39,39,39,2019-04-02,50.51025390625,49.556861877441406,51.42393493652344,0.019238345461954687,-0.017767621855489413
40,40,40,40,2019-04-03,50.1229362487793,49.65616989135742,52.16876983642578,0.009399966981809449,-0.03921567623812405
