,Unnamed: 0.1,Unnamed: 0,Date,MGM,MGM_6m,MGM_12m
0,0,0,2019-02-05,28.73053359985352,,
1,1,1,2019-02-06,28.82789421081543,,
2,2,2,2019-02-07,28.13665008544922,,
3,3,3,2019-02-08,28.204795837402344,,
4,4,4,2019-02-11,28.224266052246094,,
5,5,5,2019-02-12,28.107440948486328,,
6,6,6,2019-02-13,28.457931518554688,28.73053359985352,
7,7,7,2019-02-14,26.647062301635746,28.82789421081543,
8,8,8,2019-02-15,27.46487045288086,28.13665008544922,
9,9,9,2019-02-19,27.718002319335938,28.204795837402344,
10,10,10,2019-02-20,28.04902458190918,28.224266052246094,
11,11,11,2019-02-21,27.601173400878903,28.107440948486328,
12,12,12,2019-02-22,26.97807884216309,28.457931518554688,28.73053359985352
13,13,13,2019-02-25,26.96834754943848,26.647062301635746,28.82789421081543
14,14,14,2019-02-26,26.948871612548828,27.46487045288086,28.13665008544922
15,15,15,2019-02-27,26.44260597229004,27.718002319335938,28.204795837402344
16,16,16,2019-02-28,26.043432235717773,28.04902458190918,28.224266052246094
17,17,17,2019-03-01,26.26736259460449,27.601173400878903,28.107440948486328
18,18,18,2019-03-04,26.13105583190918,26.97807884216309,28.457931518554688
19,19,19,2019-03-05,26.179731369018555,26.96834754943848,26.647062301635746
20,20,20,2019-03-06,26.25761985778809,26.948871612548828,27.46487045288086
21,21,21,2019-03-07,25.876089096069336,26.44260597229004,27.718002319335938
22,22,22,2019-03-08,25.92499542236328,26.043432235717773,28.04902458190918
23,23,23,2019-03-11,25.993480682373047,26.26736259460449,27.601173400878903
24,24,24,2019-03-12,26.03261375427246,26.13105583190918,26.97807884216309
25,25,25,2019-03-13,25.993480682373047,26.179731369018555,26.96834754943848
26,26,26,2019-03-14,25.876089096069336,26.25761985778809,26.948871612548828
27,27,27,2019-03-15,25.45541763305664,25.876089096069336,26.44260597229004
28,28,28,2019-03-18,25.680423736572266,25.92499542236328,26.043432235717773
29,29,29,2019-03-19,25.993480682373047,25.993480682373047,26.26736259460449
30,30,30,2019-03-20,25.680423736572266,26.03261375427246,26.13105583190918
31,31,31,2019-03-21,26.31632423400879,25.993480682373047,26.179731369018555
32,32,32,2019-03-22,25.52389907836914,25.876089096069336,26.25761985778809
33,33,33,2019-03-25,25.1912784576416,25.45541763305664,25.876089096069336
34,34,34,2019-03-26,25.220623016357425,25.680423736572266,25.92499542236328
35,35,35,2019-03-27,24.457550048828125,25.993480682373047,25.993480682373047
36,36,36,2019-03-28,24.90756225585937,25.680423736572266,26.03261375427246
37,37,37,2019-03-29,25.10322570800781,26.31632423400879,25.993480682373047
38,38,38,2019-04-01,26.01304817199707,25.52389907836914,25.876089096069336
39,39,39,2019-04-02,26.18914222717285,25.1912784576416,25.45541763305664
40,40,40,2019-04-03,26.41414833068848,25.220623016357425,25.680423736572266
41,41,41,2019-04-04,26.560895919799805,24.457550048828125,25.993480682373047
42,42,42,2019-04-05,26.8446044921875,24.90756225585937,25.680423736572266
43,43,43,2019-04-08,26.961997985839844,25.10322570800781,26.31632423400879
44,44,44,2019-04-09,25.90543556213379,26.01304817199707,25.52389907836914
45,45,45,2019-04-10,26.061962127685547,26.18914222717285,25.1912784576416
46,46,46,2019-04-11,26.35545539855957,26.41414833068848,25.220623016357425
47,47,47,2019-04-12,26.756561279296875,26.560895919799805,24.457550048828125
48,48,48,2019-04-15,26.688077926635746,26.8446044921875,24.90756225585937
49,49,49,2019-04-16,26.8446044921875,26.961997985839844,25.10322570800781
50,50,50,2019-04-17,26.961997985839844,25.90543556213379,26.01304817199707
51,51,51,2019-04-18,26.92287254333496,26.061962127685547,26.18914222717285
52,52,52,2019-04-22,26.60981178283692,26.35545539855957,26.41414833068848
53,53,53,2019-04-23,26.91308784484864,26.756561279296875,26.560895919799805
54,54,54,2019-04-24,27.18701171875,26.688077926635746,26.8446044921875
55,55,55,2019-04-25,27.147878646850582,26.8446044921875,26.961997985839844
56,56,56,2019-04-26,27.695730209350582,26.961997985839844,25.90543556213379
57,57,57,2019-04-29,27.97943115234375,26.92287254333496,26.061962127685547
58,58,58,2019-04-30,26.05217933654785,26.60981178283692,26.35545539855957
59,59,59,2019-05-01,25.279321670532227,26.91308784484864,26.756561279296875
60,60,60,2019-05-02,25.113008499145508,27.18701171875,26.688077926635746
61,61,61,2019-05-03,25.42606544494629,27.147878646850582,26.8446044921875
62,62,62,2019-05-06,24.946701049804688,27.695730209350582,26.961997985839844
63,63,63,2019-05-07,24.330366134643555,27.97943115234375,26.92287254333496
64,64,64,2019-05-08,25.113008499145508,26.05217933654785,26.60981178283692
65,65,65,2019-05-09,24.9956111907959,25.279321670532227,26.91308784484864
66,66,66,2019-05-10,25.073881149291992,25.113008499145508,27.18701171875
