,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,GS,GS_6m,GS_12m,GS_6m_ret,GS_12m_ret
0,0,0,0,2019-02-05,175.82107543945312,,,,
1,1,1,1,2019-02-06,174.58680725097656,,,,
2,2,2,2,2019-02-07,171.43467712402344,,,,
3,3,3,3,2019-02-08,170.19151306152344,,,,
4,4,4,4,2019-02-11,169.88963317871094,,,,
5,5,5,5,2019-02-12,172.69549560546875,,,,
6,6,6,6,2019-02-13,172.8730926513672,175.82107543945312,,-0.01676694776617449,
7,7,7,7,2019-02-14,170.95518493652344,174.58680725097656,,-0.020801241351716238,
8,8,8,8,2019-02-15,176.25616455078125,171.43467712402344,,0.02812434163054256,
9,9,9,9,2019-02-19,176.4071044921875,170.19151306152344,,0.03652115971503922,
10,10,10,10,2019-02-20,176.344970703125,169.88963317871094,,0.0379972421131991,
11,11,11,11,2019-02-21,174.35597229003906,172.69549560546875,,0.009615054977251791,
12,12,12,12,2019-02-22,174.03631591796875,172.8730926513672,175.82107543945312,0.006728769924579492,-0.010150998775451003
13,13,13,13,2019-02-25,176.38934326171875,170.95518493652344,174.58680725097656,0.031787034287454,0.010324583163669132
14,14,14,14,2019-02-26,176.61134338378906,176.25616455078125,171.43467712402344,0.0020151285710376943,0.030196144365941757
15,15,15,15,2019-02-27,176.61134338378906,176.4071044921875,170.19151306152344,0.0011577702167353543,0.037721213042773094
16,16,16,16,2019-02-28,175.3632049560547,176.344970703125,169.88963317871094,-0.005567302221071602,0.03221839776171609
17,17,17,17,2019-03-01,176.70050048828125,174.35597229003906,172.69549560546875,0.013446790307487078,0.023191136912812826
18,18,18,18,2019-03-04,174.7213134765625,174.03631591796875,172.8730926513672,0.003935946098265086,0.010691200098575271
19,19,19,19,2019-03-05,174.73915100097656,176.38934326171875,170.95518493652344,-0.009355396591582688,0.022134257383642053
20,20,20,20,2019-03-06,173.61587524414062,176.61134338378906,176.25616455078125,-0.016960791318704094,-0.014979840922840104
21,21,21,21,2019-03-07,171.8594970703125,176.61134338378906,176.4071044921875,-0.02690566881171652,-0.025779049176992697
22,22,22,22,2019-03-08,174.0615997314453,175.3632049560547,176.344970703125,-0.007422339395174449,-0.012948319209645787
23,23,23,23,2019-03-11,174.71241760253906,176.70050048828125,174.35597229003906,-0.011251144621823195,0.0020443539032151126
24,24,24,24,2019-03-12,175.30081176757812,174.7213134765625,174.03631591796875,0.0033167006330532267,0.007265701086234255
25,25,25,25,2019-03-13,175.85354614257812,174.73915100097656,176.38934326171875,0.006377478288167593,-0.003037582142055073
26,26,26,26,2019-03-14,176.0496368408203,173.61587524414062,176.61134338378906,0.014018082120988762,-0.003180466963258022
27,27,27,27,2019-03-15,176.75399780273438,171.8594970703125,176.61134338378906,0.028479664003784322,0.0008077307845131276
28,28,28,28,2019-03-18,180.5073089599609,174.0615997314453,175.3632049560547,0.03703119607346195,0.02933399857282093
29,29,29,29,2019-03-19,179.30374145507812,174.71241760253906,176.70050048828125,0.02627932184525128,0.014732504772783761
30,30,30,30,2019-03-20,173.2413787841797,175.30081176757812,174.7213134765625,-0.011747994562220976,-0.00847025851016936
31,31,31,31,2019-03-21,173.47315979003906,175.85354614257812,174.73915100097656,-0.01353618624562225,-0.007245034691340746
32,32,32,32,2019-03-22,168.46279907226562,176.0496368408203,173.61587524414062,-0.043094878834737504,-0.029680904264248187
33,33,33,33,2019-03-25,168.0615692138672,176.75399780273438,171.8594970703125,-0.049178115895111674,-0.022099028108359176
34,34,34,34,2019-03-26,170.005126953125,180.5073089599609,174.0615997314453,-0.05818147789885586,-0.023304811541310255
35,35,35,35,2019-03-27,169.416748046875,179.30374145507812,174.71241760253906,-0.055141032350851216,-0.03031077944162741
36,36,36,36,2019-03-28,170.44198608398438,173.2413787841797,175.30081176757812,-0.016158914918835476,-0.027717074636458672
37,37,37,37,2019-03-29,171.1641082763672,173.47315979003906,175.85354614257812,-0.013310713406423202,-0.026666723356314037
38,38,38,38,2019-04-01,175.39889526367188,168.46279907226562,176.0496368408203,0.04117286563920186,-0.003696352851535911
39,39,39,39,2019-04-02,176.0764617919922,168.0615692138672,176.75399780273438,0.04769021624405778,-0.003833214632567139
40,40,40,40,2019-04-03,179.07196044921875,170.005126953125,180.5073089599609,0.053332706245934114,-0.007951747322655689
41,41,41,41,2019-04-04,180.2933044433593,169.416748046875,179.30374145507812,0.0642000069171138,0.005518919907921083
42,42,42,42,2019-04-05,180.42710876464844,170.44198608398438,173.2413787841797,0.058583702936575444,0.041478138946357435
43,43,43,43,2019-04-08,180.5697326660156,171.1641082763672,173.47315979003906,0.054950915144323265,0.040908765854993145
44,44,44,44,2019-04-09,178.8579864501953,175.39889526367188,168.46279907226562,0.019721282630221104,0.06170612998938996
45,45,45,45,2019-04-10,180.9620056152344,176.0764617919922,168.0615692138672,0.027746717383574815,0.07676018057971801
