,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CNC,CNC_6m,CNC_12m,CNC_6m_ret,CNC_12m_ret
0,0,0,0,2019-02-05,63.73500061035156,,,,
1,1,1,1,2019-02-06,63.08000183105469,,,,
2,2,2,2,2019-02-07,63.90999984741211,,,,
3,3,3,3,2019-02-08,62.900001525878906,,,,
4,4,4,4,2019-02-11,61.95000076293945,,,,
5,5,5,5,2019-02-12,63.04999923706055,,,,
6,6,6,6,2019-02-13,63.68999862670898,63.73500061035156,,-0.0007060795985193158,
7,7,7,7,2019-02-14,63.959999084472656,63.08000183105469,,0.013950495051900047,
8,8,8,8,2019-02-15,64.97000122070312,63.90999984741211,,0.01658584534222829,
9,9,9,9,2019-02-19,64.41000366210938,62.900001525878906,,0.024006392680439026,
10,10,10,10,2019-02-20,65.27999877929688,61.95000076293945,,0.053752993952334904,
11,11,11,11,2019-02-21,63.5099983215332,63.04999923706055,,0.007295782554145758,
12,12,12,12,2019-02-22,64.01000213623047,63.68999862670898,63.73500061035156,0.005024391842070042,0.004314764622976197
13,13,13,13,2019-02-25,64.0199966430664,63.959999084472656,63.08000183105469,0.000938048146537751,0.014901629434464603
14,14,14,14,2019-02-26,63.790000915527344,64.97000122070312,63.90999984741211,-0.018162233076882917,-0.0018776237235372806
15,15,15,15,2019-02-27,61.88999938964844,64.41000366210938,62.900001525878906,-0.039124423679289255,-0.016057267277091003
16,16,16,16,2019-02-28,60.88999938964844,65.27999877929688,61.95000076293945,-0.06724876641757382,-0.017110594999784734
17,17,17,17,2019-03-01,61.34000015258789,63.5099983215332,63.04999923706055,-0.034167819655091525,-0.02712131808349849
18,18,18,18,2019-03-04,58.560001373291016,64.01000213623047,63.68999862670898,-0.08514295549218054,-0.0805463552210951
19,19,19,19,2019-03-05,58.08000183105469,64.0199966430664,63.959999084472656,-0.09278342898281056,-0.09193241615985948
20,20,20,20,2019-03-06,56.880001068115234,63.790000915527344,64.97000122070312,-0.10832418479759143,-0.12451900878231714
21,21,21,21,2019-03-07,56.43000030517578,61.88999938964844,64.41000366210938,-0.08822102340149451,-0.12389385038380318
22,22,22,22,2019-03-08,56.560001373291016,60.88999938964844,65.27999877929688,-0.07111180916013504,-0.13357839413396788
23,23,23,23,2019-03-11,57.45000076293945,61.34000015258789,63.5099983215332,-0.06341700978108522,-0.09541800848291149
24,24,24,24,2019-03-12,58.27999877929688,58.560001373291016,64.01000213623047,-0.004781464949245029,-0.08951731238406457
25,25,25,25,2019-03-13,59.97999954223633,58.08000183105469,64.0199966430664,0.03271345818322158,-0.063105237623714
26,26,26,26,2019-03-14,59.380001068115234,56.880001068115234,63.790000915527344,0.04395217920277794,-0.06913308957703201
27,27,27,27,2019-03-15,59.150001525878906,56.43000030517578,61.88999938964844,0.048201332730697155,-0.044272061573615296
28,28,28,28,2019-03-18,59.36000061035156,56.560001373291016,60.88999938964844,0.049504935804028705,-0.025127258903487215
29,29,29,29,2019-03-19,59.970001220703125,57.45000076293945,61.34000015258789,0.04386423715052934,-0.022334511386970846
30,30,30,30,2019-03-20,58.68000030517578,58.27999877929688,58.560001373291016,0.0068634443077750795,0.0020491620401412725
31,31,31,31,2019-03-21,58.90999984741211,59.97999954223633,58.08000183105469,-0.017839274808109207,0.014290599004658233
32,32,32,32,2019-03-22,57.13999938964844,59.380001068115234,56.880001068115234,-0.037723166692053,0.004570997128179544
33,33,33,33,2019-03-25,57.04999923706055,59.150001525878906,56.43000030517578,-0.03550299635917309,0.010987044631078913
34,34,34,34,2019-03-26,54.84999847412109,59.36000061035156,56.560001373291016,-0.07597712415528501,-0.030233431005138423
35,35,35,35,2019-03-27,52.119998931884766,59.970001220703125,57.45000076293945,-0.1308988182262758,-0.0927763578811478
36,36,36,36,2019-03-28,52.81999969482422,58.68000030517578,58.27999877929688,-0.09986367723032696,-0.09368564170959193
37,37,37,37,2019-03-29,53.09999847412109,58.90999984741211,59.97999954223633,-0.0986250447859448,-0.11470492031715551
38,38,38,38,2019-04-01,54.15999984741211,57.13999938964844,59.380001068115234,-0.052152600176194386,-0.08790840563837687
39,39,39,39,2019-04-02,53.68999862670898,57.04999923706055,59.150001525878906,-0.05889571700763252,-0.09230773894031274
40,40,40,40,2019-04-03,53.369998931884766,54.84999847412109,59.36000061035156,-0.026982672441360323,-0.10090973074252674
41,41,41,41,2019-04-04,53.560001373291016,52.119998931884766,59.970001220703125,0.02762859690937791,-0.1068867720015857
42,42,42,42,2019-04-05,55.84000015258789,52.81999969482422,58.68000030517578,0.05717532137849668,-0.04839809369151271
43,43,43,43,2019-04-08,56.63999938964844,53.09999847412109,58.90999984741211,0.06666668582396684,-0.038533363837097157
44,44,44,44,2019-04-09,57.880001068115234,54.15999984741211,57.13999938964844,0.06868539939408569,0.012950677045349357
45,45,45,45,2019-04-10,57.290000915527344,53.68999862670898,57.04999923706055,0.06705163682063287,0.004206865585913766
46,46,46,46,2019-04-11,55.130001068115234,53.369998931884766,54.84999847412109,0.032977368773732474,0.005104878792772549
47,47,47,47,2019-04-12,52.91999816894531,53.560001373291016,52.119998931884766,-0.011949275353545064,0.015349179843730631
48,48,48,48,2019-04-15,53.220001220703125,55.84000015258789,52.81999969482422,-0.04691975151728833,0.007572917989208117
49,49,49,49,2019-04-16,50.06999969482422,56.63999938964844,53.09999847412109,-0.11599575857384203,-0.057062125543630215
50,50,50,50,2019-04-17,47.0099983215332,57.880001068115234,54.15999984741211,-0.1878023936763551,-0.1320162766990951
