,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,NTAP,NTAP_6m,NTAP_12m,NTAP_6m_ret,NTAP_12m_ret
0,0,0,0,2019-02-05,58.10372543334961,,,,
1,1,1,1,2019-02-06,58.54174041748047,,,,
2,2,2,2,2019-02-07,57.53684616088867,,,,
3,3,3,3,2019-02-08,56.6865463256836,,,,
4,4,4,4,2019-02-11,56.626426696777344,,,,
5,5,5,5,2019-02-12,57.66569137573242,,,,
6,6,6,6,2019-02-13,57.846038818359375,58.10372543334961,,-0.0044349413582064345,
7,7,7,7,2019-02-14,54.6767578125,58.54174041748047,,-0.06602097200079815,
8,8,8,8,2019-02-15,54.99454116821289,57.53684616088867,,-0.04418568556168001,
9,9,9,9,2019-02-19,55.18350601196289,56.6865463256836,,-0.026514938925459086,
10,10,10,10,2019-02-20,56.0595588684082,56.626426696777344,,-0.010010658652445104,
11,11,11,11,2019-02-21,56.20557403564453,57.66569137573242,,-0.025320382106826744,
12,12,12,12,2019-02-22,56.70372772216797,57.846038818359375,58.10372543334961,-0.019747438537292772,-0.024094801163611623
13,13,13,13,2019-02-25,56.6865463256836,54.6767578125,58.54174041748047,0.036757638777259904,-0.03169010826406704
14,14,14,14,2019-02-26,57.33930206298828,54.99454116821289,57.53684616088867,0.04263624797965715,-0.003433349428781707
15,15,15,15,2019-02-27,56.75526428222656,55.18350601196289,56.6865463256836,0.02848239236417749,0.0012122445447311225
16,16,16,16,2019-02-28,55.99944305419922,56.0595588684082,56.626426696777344,-0.0010723561765817458,-0.011072279837389232
17,17,17,17,2019-03-01,56.87551498413086,56.20557403564453,57.66569137573242,0.01191947524744541,-0.013702712527159489
18,18,18,18,2019-03-04,55.441165924072266,56.70372772216797,57.846038818359375,-0.02226593997985271,-0.04157368323591837
19,19,19,19,2019-03-05,55.56999206542969,56.6865463256836,54.6767578125,-0.019696988661805692,0.016336635321223758
20,20,20,20,2019-03-06,54.91724395751953,57.33930206298828,54.99454116821289,-0.04224080200362523,-0.0014055433330542044
